,siteID,local_datetime,Jday,startDateTime,endDateTime,surfWaterNitrateMean,surfWaterNitrateMinimum,surfWaterNitrateMaximum,surfWaterNitrateVariance,surfWaterNitrateNumPts,surfWaterNitrateExpUncert,surfWaterNitrateStdErMean,N_mean_mgm3,solar_time,light
1,BIGC,6/21/19 04:00,172,6/21/19 11:00,6/21/19 11:15,3.9,3.9,4,0,11,1.33,0.02,54.62613,6/21/19 03:04,0
2,BIGC,6/21/19 05:00,172,6/21/19 12:00,6/21/19 12:15,4,3.9,4,0,11,1.33,0.01,56.0268,6/21/19 04:04,0
3,BIGC,6/21/19 06:00,172,6/21/19 13:00,6/21/19 13:15,4,3.9,4,0,11,1.33,0.01,56.0268,6/21/19 05:04,137.9558406
4,BIGC,6/21/19 07:00,172,6/21/19 14:00,6/21/19 14:15,4,3.9,4,0,11,1.33,0.01,56.0268,6/21/19 06:04,579.4547025
5,BIGC,6/21/19 08:00,172,6/21/19 15:00,6/21/19 15:15,4,3.9,4,0,11,1.33,0.01,56.0268,6/21/19 07:04,1019.434622
6,BIGC,6/21/19 09:00,172,6/21/19 16:00,6/21/19 16:15,3.9,3.9,4,0,11,1.33,0.01,54.62613,6/21/19 08:04,1427.920409
7,BIGC,6/21/19 10:00,172,6/21/19 17:00,6/21/19 17:15,3.8,3.8,3.9,0,11,1.33,0.02,53.22546,6/21/19 09:04,1777.082519
8,BIGC,6/21/19 11:00,172,6/21/19 18:00,6/21/19 18:15,3.7,3.7,3.8,0,11,1.33,0.01,51.82479,6/21/19 10:04,2043.133047
9,BIGC,6/21/19 12:00,172,6/21/19 19:00,6/21/19 19:15,3.6,3.5,3.7,0,11,1.33,0.01,50.42412,6/21/19 11:04,2207.946356
10,BIGC,6/21/19 13:00,172,6/21/19 20:00,6/21/19 20:15,3.5,3.5,3.6,0,11,1.33,0.02,49.02345,6/21/19 12:04,2260.293954
11,BIGC,6/21/19 14:00,172,6/21/19 21:00,6/21/19 21:15,3.5,3.4,3.5,0,11,1.33,0.02,49.02345,6/21/19 13:04,2196.609472
12,BIGC,6/21/19 15:00,172,6/21/19 22:00,6/21/19 22:15,3.4,3.4,3.5,0,11,1.33,0.01,47.62278,6/21/19 14:04,2021.231642
13,BIGC,6/21/19 16:00,172,6/21/19 23:00,6/21/19 23:15,3.5,3.4,3.6,0,11,1.33,0.02,49.02345,6/21/19 15:04,1746.108696
14,BIGC,6/21/19 17:00,172,6/22/19 00:00,6/22/19 00:15,3.5,3.4,3.5,0,11,1.33,0.02,49.02345,6/21/19 16:04,1389.984362
15,BIGC,6/21/19 18:00,172,6/22/19 01:00,6/22/19 01:15,3.5,3.4,3.6,0,11,1.33,0.02,49.02345,6/21/19 17:04,977.1208721
16,BIGC,6/21/19 19:00,172,6/22/19 02:00,6/22/19 02:15,3.6,3.5,3.7,0,11,1.33,0.02,50.42412,6/21/19 18:04,535.6460156
17,BIGC,6/21/19 20:00,172,6/22/19 03:00,6/22/19 03:15,3.6,3.5,3.7,0,11,1.33,0.02,50.42412,6/21/19 19:04,95.6368348
18,BIGC,6/21/19 21:00,172,6/22/19 04:00,6/22/19 04:15,3.7,3.5,3.7,0,11,1.33,0.02,51.82479,6/21/19 20:04,0
19,BIGC,6/21/19 22:00,172,6/22/19 05:00,6/22/19 05:15,3.7,3.6,3.8,0,11,1.33,0.01,51.82479,6/21/19 21:04,0
20,BIGC,6/21/19 23:00,172,6/22/19 06:00,6/22/19 06:15,3.8,3.7,3.8,0,11,1.33,0.01,53.22546,6/21/19 22:04,0
21,BIGC,6/22/19 00:00,173,6/22/19 07:00,6/22/19 07:15,3.8,3.7,3.9,0.01,11,1.33,0.02,53.22546,6/21/19 23:04,0
22,BIGC,6/22/19 01:00,173,6/22/19 08:00,6/22/19 08:15,3.9,3.8,4,0,11,1.33,0.01,54.62613,6/22/19 00:04,0
23,BIGC,6/22/19 02:00,173,6/22/19 09:00,6/22/19 09:15,3.9,3.8,4,0,11,1.33,0.01,54.62613,6/22/19 01:04,0
24,BIGC,6/22/19 03:00,173,6/22/19 10:00,6/22/19 10:15,3.9,3.8,4,0,11,1.33,0.01,54.62613,6/22/19 02:04,0
25,BIGC,6/22/19 04:00,173,6/22/19 11:00,6/22/19 11:15,3.9,3.8,4,0,11,1.33,0.02,54.62613,6/22/19 03:04,0
26,BIGC,6/22/19 05:00,173,6/22/19 12:00,6/22/19 12:15,3.9,3.9,4,0,11,1.33,0.01,54.62613,6/22/19 04:04,0
27,BIGC,6/22/19 06:00,173,6/22/19 13:00,6/22/19 13:15,4,3.9,4.1,0.01,11,1.33,0.02,56.0268,6/22/19 05:04,136.752213
28,BIGC,6/22/19 07:00,173,6/22/19 14:00,6/22/19 14:15,4,3.9,4,0,11,1.33,0.02,56.0268,6/22/19 06:04,578.1624425
29,BIGC,6/22/19 08:00,173,6/22/19 15:00,6/22/19 15:15,3.9,3.8,4,0,11,1.33,0.02,54.62613,6/22/19 07:04,1018.160359
30,BIGC,6/22/19 09:00,173,6/22/19 16:00,6/22/19 16:15,3.8,3.8,3.9,0,11,1.33,0.02,53.22546,6/22/19 08:04,1426.769534
31,BIGC,6/22/19 10:00,173,6/22/19 17:00,6/22/19 17:15,3.8,3.7,3.9,0,11,1.33,0.01,53.22546,6/22/19 09:04,1776.152006
32,BIGC,6/22/19 11:00,173,6/22/19 18:00,6/22/19 18:15,3.7,3.6,3.8,0,11,1.33,0.02,51.82479,6/22/19 10:04,2042.504843
33,BIGC,6/22/19 12:00,173,6/22/19 19:00,6/22/19 19:15,3.5,3.5,3.6,0,11,1.33,0.02,49.02345,6/22/19 11:04,2207.681802
34,BIGC,6/22/19 13:00,173,6/22/19 20:00,6/22/19 20:15,3.5,3.4,3.6,0,11,1.33,0.02,49.02345,6/22/19 12:04,2260.429608
35,BIGC,6/22/19 14:00,173,6/22/19 21:00,6/22/19 21:15,3.4,3.4,3.5,0,11,1.33,0.01,47.62278,6/22/19 13:04,2197.154621
36,BIGC,6/22/19 15:00,173,6/22/19 22:00,6/22/19 22:15,3.4,3.3,3.5,0,11,1.33,0.01,47.62278,6/22/19 14:04,2022.167672
37,BIGC,6/22/19 16:00,173,6/22/19 23:00,6/22/19 23:15,3.4,3.4,3.5,0,11,1.33,0.01,47.62278,6/22/19 15:04,1747.390368
38,BIGC,6/22/19 17:00,173,6/23/19 00:00,6/23/19 00:15,3.4,3.4,3.5,0,11,1.33,0.02,47.62278,6/22/19 16:04,1391.542895
39,BIGC,6/22/19 18:00,173,6/23/19 01:00,6/23/19 01:15,3.4,3.4,3.5,0,11,1.33,0.02,47.62278,6/22/19 17:04,978.8686335
40,BIGC,6/22/19 19:00,173,6/23/19 02:00,6/23/19 02:15,3.5,3.4,3.5,0,11,1.33,0.01,49.02345,6/22/19 18:04,537.4824976
41,BIGC,6/22/19 20:00,173,6/23/19 03:00,6/23/19 03:15,3.5,3.5,3.6,0,11,1.33,0.02,49.02345,6/22/19 19:04,97.45550249
42,BIGC,6/22/19 21:00,173,6/23/19 04:00,6/23/19 04:15,3.6,3.6,3.7,0,11,1.33,0.02,50.42412,6/22/19 20:04,0
43,BIGC,6/22/19 22:00,173,6/23/19 05:00,6/23/19 05:15,3.7,3.6,3.8,0,11,1.33,0.02,51.82479,6/22/19 21:04,0
44,BIGC,6/22/19 23:00,173,6/23/19 06:00,6/23/19 06:15,3.7,3.6,3.8,0,11,1.33,0.02,51.82479,6/22/19 22:04,0
45,BIGC,6/23/19 00:00,174,6/23/19 07:00,6/23/19 07:15,3.8,3.6,3.9,0.01,11,1.33,0.02,53.22546,6/22/19 23:04,0
46,BIGC,6/23/19 01:00,174,6/23/19 08:00,6/23/19 08:15,3.8,3.7,3.9,0,11,1.33,0.02,53.22546,6/23/19 00:04,0
47,BIGC,6/23/19 02:00,174,6/23/19 09:00,6/23/19 09:15,3.8,3.7,3.9,0,11,1.33,0.01,53.22546,6/23/19 01:04,0
48,BIGC,6/23/19 03:00,174,6/23/19 10:00,6/23/19 10:15,3.9,3.8,4,0,11,1.33,0.02,54.62613,6/23/19 02:04,0
49,BIGC,6/23/19 04:00,174,6/23/19 11:00,6/23/19 11:15,3.9,3.8,3.9,0,11,1.33,0.01,54.62613,6/23/19 03:04,0
50,BIGC,6/23/19 05:00,174,6/23/19 12:00,6/23/19 12:15,3.9,3.8,4,0,11,1.33,0.01,54.62613,6/23/19 04:04,0
51,BIGC,6/23/19 06:00,174,6/23/19 13:00,6/23/19 13:15,3.9,3.8,4,0,11,1.33,0.01,54.62613,6/23/19 05:04,135.3742706
52,BIGC,6/23/19 07:00,174,6/23/19 14:00,6/23/19 14:15,3.9,3.8,4,0,11,1.33,0.02,54.62613,6/23/19 06:04,576.7188899
53,BIGC,6/23/19 08:00,174,6/23/19 15:00,6/23/19 15:15,3.9,3.9,4,0,11,1.33,0.01,54.62613,6/23/19 07:04,1016.757513
54,BIGC,6/23/19 09:00,174,6/23/19 16:00,6/23/19 16:15,3.9,3.8,4,0,11,1.33,0.02,54.62613,6/23/19 08:04,1425.51091
