"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"sigma",0.389455454871926,0.000666157855630969,0.0114947038613259,0.36660552263599,0.381939005852496,0.389846508136184,0.397062614028518,0.411946689307557,297.74279896476,1.01716872714733,0.390511701105012,0.0101614391968906,0.369996138834243,0.383662598247447,0.390878449535,0.396773297164563,0.409907371075425,0.389719358929665,0.0112389139776552,0.36798362030877,0.381895950615198,0.389830402210289,0.396773730413048,0.412616671470647,0.39012337333062,0.0111494851007908,0.369684370798517,0.382332051859759,0.390367495785796,0.397868396155421,0.413194253903397,0.387467386122407,0.0130119441008012,0.36346863927418,0.378652935299485,0.387870772117911,0.397110250164634,0.410997822294917
"K[1]",3.2666016978051,0.0284960529763474,0.766650904106228,1.81661419732197,2.73887703064618,3.23510945245002,3.79529169119212,4.82341311326488,723.812177293086,1.00457853495777,3.30183504843022,0.801878433021802,1.80113501201388,2.75561809744337,3.30016529339645,3.86423856189067,4.86110271034037,3.30113256194665,0.726156831670278,1.85445440263438,2.80020441657634,3.27135477179013,3.78205477480968,4.82183664640197,3.21530115731416,0.770539498318675,1.75418243454036,2.61415398734495,3.21143216199524,3.72823307458593,4.80211795510534,3.24813802352938,0.763372002041102,1.84448611653735,2.74705416769645,3.17240657315149,3.80017711727737,4.78687480901883
"K[2]",3.74767821069453,0.0415177966660911,0.864040497953306,2.08108948550698,3.15590893381327,3.72421129033934,4.34595055012871,5.4955702375261,433.111386856159,1.00795713513936,3.69942980968041,0.815051484057075,2.1258697534539,3.18972211111724,3.64863890561318,4.21250815140372,5.41184225995737,3.71931342147766,0.805823296441805,2.25815912340512,3.14945162356736,3.70043220041661,4.26413786389305,5.3107298725853,3.74988830087601,0.887483627216081,2.00547682291299,3.10572153203673,3.76745846308857,4.42497391190402,5.39451437669528,3.82208131074404,0.936905438076378,2.02186133364521,3.17846192717834,3.79648882572019,4.4520200241383,5.67920094646177
"K[3]",2.50043415393392,0.0341610885988436,0.73481059544671,1.24549371758425,1.93339522298156,2.45219556202773,2.99078809903869,4.06527427998249,462.687126678452,1.00381358898657,2.45997944250277,0.769223200958481,1.18862131222247,1.88561474279574,2.40873225446977,2.99471197679307,4.05403442743416,2.51755922517211,0.709851252907621,1.25246715005752,2.02060145575174,2.45934680797697,2.95819699896645,4.03450848195882,2.54400167367726,0.733406281997558,1.31436053338228,1.94064416671417,2.49078490461376,3.0307437986029,4.1511681563023,2.48019627438353,0.723290239479968,1.30081907028685,1.89804926821736,2.43736761869321,2.96046420076988,4.03784252802854
"K[4]",3.639139523879,0.0184021714950684,0.755977136014817,2.17351806704921,3.13161462658212,3.61764360174675,4.13394384738405,5.18627188246272,1687.63752772203,1.00279280447376,3.63921378679386,0.747972260603477,2.05923476903723,3.20445508779368,3.62813979460984,4.11845858889749,5.11862377324821,3.71490069634084,0.721586429679753,2.24877199849356,3.24493827488462,3.7418577339706,4.17447054536217,5.12088978517519,3.58318606983711,0.782950027247365,2.23740973745424,3.01335995823834,3.53207234405017,4.07978537123677,5.304124557072,3.61925754254421,0.764668057698262,2.12737729101006,3.13161462658212,3.54159784226192,4.13980992760946,5.18257976812298
"K[5]",3.17032323599522,0.0454301470572458,0.966583816435955,1.50877195125148,2.44488377487562,3.10878040997004,3.84226328629535,5.15037961058718,452.679422992562,1.01106115226419,3.10050122024319,0.921347843319844,1.51973234150078,2.35702211840984,3.03549862253737,3.71395547365769,5.10124977907605,3.19186722157401,0.937361595156428,1.54412672835262,2.55419283893864,3.1176321685159,3.81043804245671,5.24087152844175,3.12582652201686,1.01301648221113,1.54019309603888,2.32970050941344,3.03703001030132,3.83247542007199,5.24110782139871,3.2630979801468,0.984550109243992,1.44162603552874,2.52103835379772,3.22328437881606,4.01207754024139,4.98878483724807
"K[6]",2.9748851613069,0.0207717567791496,1.03730402247707,1.24472354918083,2.23997597079683,2.89722782388913,3.61286401760694,5.3569567208978,2493.82323305572,1.00074087466001,2.99380401656862,1.0257134678769,1.284367706391,2.25540364268955,2.8844083529474,3.60640592247938,5.33792351355965,2.94763974760242,1.09793053353916,1.20002306202571,2.15390418023964,2.83467621846359,3.61358101374293,5.48094498568045,2.99212006045193,1.02368234085988,1.25418070451576,2.27162917294799,2.94634634721746,3.6442585920583,5.28531419358216,2.96597682060461,0.999604544015359,1.2560588380109,2.28430744835401,2.88867072028894,3.56036553022791,5.21993683650171
"K[7]",2.27925008709564,0.0289893857521837,0.713269399547028,1.06742849898599,1.75753196309408,2.2267170862088,2.73018698663033,3.77779750766455,605.381518377143,1.00767940956489,2.26886659505399,0.685491349973808,1.12866509758399,1.80075975137553,2.2002385370913,2.68243541949713,3.76190030971509,2.26807999048773,0.695715532475587,1.14171095200116,1.75457329414405,2.18402534525332,2.72262135334492,3.77363735110844,2.21966625977312,0.711351576348248,0.903842883267332,1.71572589718633,2.23677892365254,2.60247454542153,3.76194402017625,2.36038750306772,0.752142643609196,1.08018767439449,1.77248693259597,2.29660008340776,2.91689445592148,3.79216807180057
"K[8]",2.50612064217342,0.0296998758597504,0.800781045698161,1.09002291590104,1.92483043270695,2.42252156487818,3.02668840709041,4.19909677159202,726.973034256258,1.00357650199105,2.4871623809573,0.859158275675206,0.82244619632508,1.89133691504456,2.46772563349256,3.06326951900772,4.18098798987828,2.53148891560031,0.80493332915779,1.2184343401141,1.91550681110282,2.43103803114113,3.07588195624922,4.24823611583058,2.50758440595925,0.773179496743573,1.19189896257248,2.0031990543716,2.40917934036984,2.97272305050903,4.15684759487984,2.4982468661768,0.7624562490431,1.30186922604702,1.89385537321991,2.38139126602714,2.96953185288753,4.16822191563002
"K[9]",2.09195735596254,0.0136953212508928,0.676911506150898,0.982810755275439,1.60297645041837,2.01977855101848,2.48750974822722,3.60622942586483,2442.97681150726,1.00180322003329,2.07121340330646,0.663088722688113,0.917573084881022,1.59051556497124,2.01648066660795,2.48542120315758,3.57695128964524,2.09563493713267,0.690467526652023,0.993881721784942,1.58912402152833,2.02279161984309,2.51232485361307,3.62727749825548,2.14271045156156,0.716036143252315,0.958458863118973,1.62838860596127,2.09403748616207,2.49548541814257,3.70701104917273,2.05827063184945,0.632816466770057,1.02725221801151,1.59923181966487,1.95888740008037,2.44909130378544,3.48844687909477
