Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,187237,-,-,-,37.05,-119.26,-8,1192,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2019,1,1,0,30,0,0,-5.6000000000000005,858,0.8
2019,1,1,1,30,0,0,-6.1000000000000005,859,0.7000000000000001
2019,1,1,2,30,0,0,-6.4,859,0.7000000000000001
2019,1,1,3,30,0,0,-6.4,859,0.7000000000000001
2019,1,1,4,30,0,0,-6.4,859,0.7000000000000001
2019,1,1,5,30,0,0,-6.5,860,0.7000000000000001
2019,1,1,6,30,0,0,-6.2,861,0.6000000000000001
2019,1,1,7,30,39,39,-4.4,862,0.5
2019,1,1,8,30,209,209,-1.1,862,0.4
2019,1,1,9,30,371,371,2.1,863,0.7000000000000001
2019,1,1,10,30,490,490,4.1000000000000005,862,1
2019,1,1,11,30,555,555,5.2,862,1.2000000000000002
2019,1,1,12,30,548,548,5.7,861,1.3
2019,1,1,13,30,481,481,5.4,861,1.3
2019,1,1,14,30,361,358,4,862,1.1
2019,1,1,15,30,200,185,3,862,1
2019,1,1,16,30,36,36,-2.5,862,0.4
2019,1,1,17,30,0,0,-2.6,863,0.4
2019,1,1,18,30,0,0,-2,863,0.30000000000000004
2019,1,1,19,30,0,0,-1.8,863,0.2
2019,1,1,20,30,0,0,-1.6,863,0.2
2019,1,1,21,30,0,0,-1.6,863,0.30000000000000004
2019,1,1,22,30,0,0,-1.9000000000000001,863,0.4
2019,1,1,23,30,0,0,-2.2,863,0.4
2019,1,2,0,30,0,0,-2.2,863,0.5
2019,1,2,1,30,0,0,-2.1,863,0.5
2019,1,2,2,30,0,0,-2,863,0.5
2019,1,2,3,30,0,0,-2.1,863,0.5
2019,1,2,4,30,0,0,-2.2,863,0.5
2019,1,2,5,30,0,0,-2.2,863,0.5
2019,1,2,6,30,0,0,-2,864,0.5
2019,1,2,7,30,36,36,-0.30000000000000004,864,0.5
2019,1,2,8,30,198,198,2.7,865,0.6000000000000001
2019,1,2,9,30,355,355,5.6000000000000005,865,0.8
2019,1,2,10,30,472,472,7.4,865,1
2019,1,2,11,30,535,535,8.5,864,1
2019,1,2,12,30,534,534,8.9,864,1
2019,1,2,13,30,472,472,8.700000000000001,864,0.9
2019,1,2,14,30,355,355,7.2,864,0.8
2019,1,2,15,30,198,198,5.9,864,0.7000000000000001
2019,1,2,16,30,37,37,0.30000000000000004,864,0.4
2019,1,2,17,30,0,0,-1.1,865,0.5
2019,1,2,18,30,0,0,-0.5,865,0.7000000000000001
2019,1,2,19,30,0,0,0.5,866,1
2019,1,2,20,30,0,0,0.5,866,1.1
2019,1,2,21,30,0,0,-0.2,866,1.1
2019,1,2,22,30,0,0,-0.8,866,1.1
2019,1,2,23,30,0,0,-0.9,865,1.1
2019,1,3,0,30,0,0,-0.6000000000000001,865,1.2000000000000002
2019,1,3,1,30,0,0,0,865,1.3
2019,1,3,2,30,0,0,0.6000000000000001,865,1.3
2019,1,3,3,30,0,0,0.7000000000000001,864,1.3
