model_day,light.t,sumlight.sum,sumlight.real
60,11.5,5552,5552
61,11.5,5251.5,5251.5
62,12,2925,2925
63,12,5587.5,5587.5
64,12,5617,5617
65,12,4064,4064
66,12,4487,4487
67,12,3129.5,3129.5
68,12,4337.5,4337.5
69,12,1361,1361
70,12,2660.5,2660.5
71,12,3027,3027
72,12,5302,5302
73,12,5174,5174
74,12,3926,3926
75,12.5,3291.5,3291.5
76,12.5,5029.5,5029.5
77,12.5,4870,4870
78,12.5,2720,2720
79,12.5,4083.5,4083.5
80,12.5,4369,4369
81,12.5,4579,4579
82,12.5,5632.5,5632.5
83,12.5,5964.5,5964.5
84,12.5,4014,4014
85,12.5,4493.5,4493.5
86,12.5,6865.5,6865.5
87,12.5,6982.5,6982.5
88,12.5,6956,6956
89,12.5,6951,6951
90,12.5,7126.5,7126.5
91,12.5,7027,7027
92,12.5,7330.5,7330.5
93,12.5,7095.5,7095.5
94,12.5,6921,6921
95,13.5,6852,6852
96,13.5,7331,7331
103,13.5,7655,7655
104,13.5,7244,7244
105,13.5,7807.5,7807.5
106,13.5,7649,7649
107,13.5,6881,6881
108,13.5,8065,8065
109,13.5,7891.5,7891.5
110,13.5,7264.5,7264.5
111,13.5,3469.5,3469.5
112,13.5,7517,7517
113,13.5,7930.5,7930.5
114,13.5,6131.5,6131.5
115,13.5,2355.5,2355.5
116,13.5,3368.5,3368.5
117,14,5528,5528
118,14,8419.5,8419.5
119,14,8092.5,8092.5
120,14,8051.5,8051.5
121,14,8255,8255
122,14,6991.5,6991.5
123,14,8397.5,8397.5
124,14,8352,8352
125,14,8327.5,8327.5
126,14,8286.5,8286.5
127,14,8486,8486
128,14,8557.5,8557.5
129,14.5,8400,8400
130,14.5,8480.5,8480.5
131,14.5,8575.5,8575.5
132,14.5,8647,8647
133,14.5,8633,8633
134,14.5,8534.5,8534.5
135,14.5,8686,8686
136,14.5,3399,3399
137,14.5,8425.5,8425.5
138,14.5,8775,8775
139,14.5,8763,8763
140,14.5,9054.5,9054.5
141,14.5,4851.5,4851.5
142,14.5,4967.5,4967.5
143,14.5,8345,8345
144,14.5,8767,8767
148,14.5,8894.5,8894.5
149,14.5,8474,8474
150,14.5,8624.5,8624.5
151,14.5,8687.5,8687.5
152,14.5,8708,8708
153,14.5,8762.5,8762.5
154,14.5,8432,8432
155,14.5,8869.5,8869.5
156,14.5,8913,8913
157,14.5,9006.5,9006.5
158,14.5,7282.5,7282.5
159,14.5,9074.5,9074.5
160,14.5,8899,8899
161,14.5,9328.5,9328.5
162,14.5,9017.5,9017.5
163,14.5,8940.5,8940.5
164,14.5,9009,9009
165,14.5,8964.5,8964.5
166,14.5,9156.5,9156.5
167,14.5,7867.5,7867.5
168,14.5,8163.5,8163.5
169,14.5,7684.5,7684.5
170,14.5,8734,8734
171,14.5,8815,8815
172,14.5,8941.5,8941.5
173,14.5,9136,9136
174,14.5,9093.5,9093.5
175,14.5,9023,9023
176,14.5,8928.5,8928.5
177,14.5,8773.5,8773.5
178,14.5,8756,8756
179,14.5,7872.5,7872.5
180,14.5,5355.5,5355.5
181,14.5,7163.5,7163.5
182,14.5,8652.5,8652.5
183,14.5,8808,8808
184,14.5,8235.5,8235.5
185,14.5,8875,8875
196,14.5,8537,8537
197,14.5,8632.5,8632.5
198,14.5,8614,8614
199,14.5,5374,5374
200,14.5,6615,6615
201,14.5,8562,8562
202,14.5,8620,8620
203,14.5,8417,8417
204,14.5,7963.5,7963.5
205,14.5,8068,8068
206,14.5,7263,7263
207,14.5,6317,6317
208,14.5,8402,8402
209,14.5,7991.5,7991.5
210,14.5,5677,5677
211,14.5,6937.5,6937.5
212,14.5,6883,6883
213,14.5,8250,8250
214,14.5,8429.5,8429.5
215,14.5,8277,8277
216,14.5,8269,8269
217,14.5,8556,8556
218,14.5,8358.5,8358.5
219,14,7563.5,7563.5
220,14,7609.5,7609.5
221,14,7842,7842
222,14,7769,7769
225,13.5,7481,7481
226,13.5,6648.5,6648.5
227,13.5,6694,6694
228,13.5,6677.5,6677.5
229,13.5,7753,7753
230,13.5,7649.5,7649.5
231,13.5,6795,6795
232,13.5,6703,6703
233,13.5,7019.5,7019.5
234,13.5,7109.5,7109.5
235,13.5,7293,7293
236,13.5,7585,7585
243,13.5,7376.5,7376.5
244,13.5,7465,7465
245,13.5,7447.5,7447.5
246,13,7159,7159
247,13,7226.5,7226.5
248,13,7190.5,7190.5
249,13,6897.5,6897.5
250,13,6905,6905
251,13,6830,6830
252,13,6272.5,6272.5
253,13,5536,5536
254,13,6757.5,6757.5
255,13,6821,6821
256,12.5,6879,6879
257,12.5,6007.5,6007.5
258,12.5,6068,6068
259,12.5,5980,5980
260,12.5,5685.5,5685.5
261,12.5,6167.5,6167.5
262,12.5,6459.5,6459.5
263,12.5,6032,6032
264,12.5,5642,5642
265,12.5,5564.5,5564.5
266,12,5565,5565
267,12,5135,5135
268,12,4980,4980
269,12,5202.5,5202.5
270,12,5542.5,5542.5
271,12,3984.5,3984.5
272,12,5935,5935
273,12,5698,5698
274,12,4527,4527
275,12,4054.5,4054.5
276,12,3830,3830
277,12,3388,3388
278,12,3640.5,3640.5
279,12,4699.5,4699.5
280,12,4718,4718
281,12,2265,2265
