"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"sigma",1.05850150613336,0.000592346425077658,0.0262842218129284,1.00716402514449,1.04141157268392,1.0577562422878,1.075092830926,1.11084948991714,1968.96820688385,0.999717434254768,1.05917581601631,0.0270784640688662,1.00885154537722,1.04061178068141,1.05796340948937,1.0770452624544,1.1127751390021,1.05783183108821,0.0243939729983885,1.00993452568428,1.04294801675219,1.05657423133325,1.07158580505652,1.1071843225165,1.05801424544261,0.0262497210871103,1.00716402514449,1.04030668786292,1.05855559100256,1.07561344243842,1.1094455679555,1.05898413198632,0.0273273497555152,1.00354037975674,1.04171544552247,1.05909804230122,1.07555523427911,1.11330211720305
"K[1]",3.28891958199903,0.0264542311412856,1.09601317975833,1.54624329790735,2.5079159521697,3.12579006571024,3.96428992924051,5.7454328932337,1716.48995255993,1.00135801215101,3.32500666048737,1.12641770872201,1.48668693090016,2.52812406166707,3.17732443149834,4.00711591098905,5.9004503909092,3.26153255707818,1.08909517525391,1.55481335585778,2.49924761144784,3.03808679467202,3.88105409996642,5.76491333755845,3.319062216655,1.09326596936503,1.58058774158076,2.51919348769721,3.19451038975312,3.99141018871205,5.70891865561104,3.25007689377557,1.07421465937645,1.54366127179618,2.49140697516522,3.10053408461565,3.95189661798921,5.71740345523405
"K[2]",3.17031499592867,0.0542848204070614,1.08572954268667,1.44346689236904,2.35703936632637,3.04167647908782,3.86532662591563,5.66687047313557,400.024415702816,1.00899108291732,3.12473719888103,1.05321436395967,1.4877945560124,2.36182005364154,3.01654483555252,3.85238188375935,5.40876025121214,3.32911935998804,1.16471909328196,1.41392796553392,2.45836167163947,3.14745054354289,4.09173040466453,5.79750500241661,3.15463118335079,1.0544783978682,1.46822551778484,2.35394598844295,3.03534021053849,3.76912987423827,5.73237960360699,3.07277224149485,1.05067832598031,1.402751165123,2.26548600260398,2.95713643318845,3.73968245670069,5.36846965497329
"K[3]",3.16567944859454,0.0602570426374687,1.15506709061971,1.31286677674468,2.31026673200223,2.99315679440729,3.89783725334675,5.64753122332562,367.45045939364,1.00923712993146,3.09724221634764,1.15231546915951,1.35638186382362,2.19778870457541,2.92597058506019,3.83063853384017,5.73179535690586,3.27309644893827,1.2164623069879,1.25455595262902,2.39341120967054,3.08282130571227,4.03850268124199,5.69583701746673,3.10180164400798,1.10333594994122,1.37726225364043,2.32466158984593,2.92565033655361,3.78138455206623,5.52116274542942,3.19057748508426,1.13790222886369,1.29682410483942,2.36058783575835,3.06549277251133,3.93965085890589,5.65680478939738
"K[4]",2.95424688349123,0.0325284351073978,1.02920660339709,1.36640756148815,2.17217780315075,2.82915604171811,3.59028398452463,5.31003933233253,1001.1030554231,1.00682003731228,3.02182331553271,1.02143665113958,1.37809801162246,2.27544190240374,2.96760724216368,3.66150118195632,5.24952388443866,2.8619507696367,1.00340466713953,1.37108813829436,2.09621588754595,2.71589251654585,3.47119443781298,5.24358716699702,2.97733867414543,1.030470581047,1.3737865758898,2.21174334900678,2.85293092147603,3.60087250491518,5.36705733793089,2.95587477465005,1.05574043711615,1.33828680022153,2.16113946183405,2.82099722941529,3.62577066526461,5.35429938970874
"K[5]",3.33020903690782,0.0328317846376204,1.13989497544554,1.46916934278868,2.48754691641764,3.1971051797623,4.0395675899805,5.87701672918537,1205.42639810993,1.00189401405676,3.36314052908877,1.10052074438045,1.55433802996121,2.51635208255669,3.23078082728078,4.03039168494548,5.77655041303503,3.41319383983258,1.13512574498893,1.44308414042791,2.51040611880932,3.31819705752472,4.2138928036071,5.76572006017132,3.25046690521784,1.156393161962,1.3783902652473,2.44777427695797,3.1375111068825,3.8493070317309,6.02575319541658,3.29403487349209,1.1613736266596,1.55930720570237,2.49012675748709,3.11657306437613,3.86118325225175,6.29478303536917
"K[6]",3.18138415461132,0.0689551442851349,1.14046505151812,1.36074922227206,2.35522064269113,3.03210714028779,3.85338400296824,5.69279805202456,273.546158016828,1.01532233402916,3.18309065123548,1.16777069221691,1.28842577030131,2.3151217089967,3.04458984405226,3.91372910326419,5.680904841166,3.36962358943638,1.27475400042975,1.34908066347145,2.42440608031955,3.1827077658588,4.13842123464299,6.00457110969172,3.13018242406053,1.09200176292166,1.41445959173631,2.36699451290474,2.98739754575267,3.74935452513965,5.6274411209377,3.04263995371291,0.983884184041741,1.38745680938986,2.31085436535882,2.9316358617235,3.64790733957176,5.20730833687223
"K[7]",2.9170622660437,0.0216921806761987,0.966475591963446,1.32297014691755,2.20970036163157,2.83737816058338,3.48585427227669,5.0880610699741,1985.06784693033,1.00202653529615,2.86002132170386,0.943475718557016,1.27073914026685,2.18925925731605,2.8087400095544,3.37712239343305,4.98389124676766,3.01200130753838,0.947898893306087,1.4184939683535,2.32959776502736,2.96837569458377,3.62279149627046,5.0834094954266,2.89124021972608,1.000351406806,1.29052506562251,2.18240645734551,2.77789487322564,3.4969790697189,5.18225207705777,2.9049862152065,0.967807230983585,1.32297014691755,2.18484420913163,2.82784634220104,3.45347498612775,5.02626877568269
"K[8]",2.69990668516771,0.0305705347346365,0.916062637123874,1.19903735473684,2.02863666688006,2.6014345701913,3.2858392839696,4.70506626309303,897.933696709988,1.00722224637095,2.58352659053769,0.930969149489986,1.19468437502391,1.87809876703884,2.47234016688812,3.20010099180208,4.66798219192171,2.7667984750876,0.897938354722426,1.29372937191836,2.05633676895577,2.71033474814131,3.35645437034924,4.65667696233145,2.70881531110208,0.906514869479518,1.13869323688817,2.08354515447953,2.6131295905709,3.23746285006523,4.72371336090636,2.74048636394345,0.919060564629407,1.27189005545027,2.07876312837245,2.61609948290737,3.32132863738522,4.72812879405759
"K[9]",2.98827657433193,0.0234757016653539,1.02746787061018,1.35336190087288,2.25558684390278,2.87759871607626,3.58960345752416,5.39145496559194,1915.57577786068,0.999775912166332,2.99561509566177,1.03620226624329,1.28780373880891,2.29802917867545,2.83059792127386,3.56016732794095,5.52710361587079,3.02503992527272,0.972758107688161,1.36588231683679,2.30447768638897,2.9620349748992,3.64306021455229,5.12665105945701,2.93477183045994,1.0005280191763,1.35321725385261,2.20458076818023,2.84628030201566,3.55884868904473,5.18969143046808,2.99767944593328,1.09569175467111,1.29831429023806,2.19324654811882,2.88178075229506,3.57416539214044,5.52464123087289
