siteID,local_datetime,Jday,startDateTime,endDateTime,surfWaterNitrateMean,surfWaterNitrateMinimum,surfWaterNitrateMaximum,surfWaterNitrateVariance,surfWaterNitrateNumPts,surfWaterNitrateExpUncert,surfWaterNitrateStdErMean,N_mean_mgm3,model_datetime,model_day
BIGC,2021-03-01T12:00:00Z,60,2021-03-01T12:00:00Z,2021-03-01T12:15:00Z,2.8,2.7,2.8,0,11,1.33,0.01,39.218759999999996,2021-03-01T08:00:00Z,60
BIGC,2021-03-01T13:00:00Z,60,2021-03-01T13:00:00Z,2021-03-01T13:15:00Z,2.8,2.7,2.9,0,11,1.33,0.02,39.218759999999996,2021-03-01T09:00:00Z,60
BIGC,2021-03-01T14:00:00Z,60,2021-03-01T14:00:00Z,2021-03-01T14:15:00Z,2.8,2.8,2.9,0,11,1.33,0.01,39.218759999999996,2021-03-01T10:00:00Z,60
BIGC,2021-03-01T15:00:00Z,60,2021-03-01T15:00:00Z,2021-03-01T15:15:00Z,2.8,2.8,2.9,0,11,1.33,0.01,39.218759999999996,2021-03-01T11:00:00Z,60
BIGC,2021-03-01T16:00:00Z,60,2021-03-01T16:00:00Z,2021-03-01T16:15:00Z,2.8,2.7,2.9,0,11,1.33,0.02,39.218759999999996,2021-03-01T12:00:00Z,60
BIGC,2021-03-01T17:00:00Z,60,2021-03-01T17:00:00Z,2021-03-01T17:15:00Z,2.8,2.7,2.9,0,11,1.33,0.02,39.218759999999996,2021-03-01T13:00:00Z,60
BIGC,2021-03-01T18:00:00Z,60,2021-03-01T18:00:00Z,2021-03-01T18:15:00Z,2.7,2.7,2.9,0,11,1.33,0.02,37.818090000000005,2021-03-01T14:00:00Z,60
BIGC,2021-03-01T19:00:00Z,60,2021-03-01T19:00:00Z,2021-03-01T19:15:00Z,2.6,2.5,2.7,0,11,1.33,0.02,36.41742,2021-03-01T15:00:00Z,60
BIGC,2021-03-01T20:00:00Z,60,2021-03-01T20:00:00Z,2021-03-01T20:15:00Z,2.6,2.5,2.6,0,11,1.33,0.02,36.41742,2021-03-01T16:00:00Z,60
BIGC,2021-03-01T21:00:00Z,60,2021-03-01T21:00:00Z,2021-03-01T21:15:00Z,2.5,2.4,2.6,0,11,1.33,0.01,35.01675,2021-03-01T17:00:00Z,60
BIGC,2021-03-01T22:00:00Z,60,2021-03-01T22:00:00Z,2021-03-01T22:15:00Z,2.4,2.3,2.5,0,11,1.33,0.01,33.61608,2021-03-01T18:00:00Z,60
BIGC,2021-03-01T23:00:00Z,60,2021-03-01T23:00:00Z,2021-03-01T23:15:00Z,2.3,2.2,2.4,0,11,1.33,0.02,32.21541,2021-03-01T19:00:00Z,60
BIGC,2021-03-02T00:00:00Z,60,2021-03-02T00:00:00Z,2021-03-02T00:15:00Z,2.3,2.2,2.3,0,11,1.33,0.01,32.21541,2021-03-01T20:00:00Z,60
BIGC,2021-03-02T01:00:00Z,60,2021-03-02T01:00:00Z,2021-03-02T01:15:00Z,2.3,2.2,2.4,0,11,1.33,0.01,32.21541,2021-03-01T21:00:00Z,60
BIGC,2021-03-02T02:00:00Z,60,2021-03-02T02:00:00Z,2021-03-02T02:15:00Z,2.3,2.3,2.4,0,11,1.33,0.01,32.21541,2021-03-01T22:00:00Z,60
