"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"sigma",0.200745689095868,0.000132553083168197,0.00611144619966186,0.189114190026599,0.196660923517363,0.200555688530184,0.204699338613491,0.213538960174234,2125.73105979295,1.00054628571569,0.200840084289152,0.00602198545424009,0.189232847664877,0.196780663909303,0.200513960610896,0.204936602479593,0.21331639073079,0.200645801894145,0.00638548822918803,0.188835014640784,0.19634520683932,0.199994848894166,0.204629159589621,0.214237363349091,0.200644929866204,0.00619302208260044,0.188943081967582,0.196362428051502,0.200668765938655,0.204497771125768,0.213538301455196,0.20085194033397,0.00584730233719728,0.18956985374795,0.196958368607461,0.20091648630121,0.204704005207411,0.212369721612961
"K[1]",2.56892219559902,0.00227666359760201,0.102855470344858,2.36698156284421,2.49975865074781,2.56957436367254,2.63994837942555,2.76663649542411,2041.06606423761,1.00075236368118,2.56111263758191,0.10853109924005,2.35462260548373,2.47959237607929,2.56146987178004,2.6329654651418,2.78600162131507,2.5774311680345,0.0969815858402618,2.38407100051651,2.51271751310732,2.58034908145398,2.64639288223438,2.76146295815394,2.57109619119117,0.106146085228534,2.35210286308286,2.50542538994252,2.57535261247389,2.63897399429885,2.77043847444016,2.5660487855885,0.0989065570212432,2.3921726725154,2.49811233340832,2.56235060744443,2.63815365135528,2.74868152586904
"K[2]",3.12427749359267,0.00418313642595849,0.180148795689494,2.7731937187443,3.00159417946462,3.12317357198962,3.24615689232672,3.46781737616572,1854.63593001738,0.99953520714556,3.12324178652643,0.175515503401464,2.77831946210842,2.99330742839691,3.12418942448861,3.24743019387993,3.44302240227244,3.12201836255392,0.171625243889302,2.78269034752596,3.00702712328342,3.12728348006046,3.23252188595694,3.45381443442846,3.12796153623473,0.184711339242343,2.77840941544951,3.00918115492759,3.12177962553716,3.23993850189445,3.5074514678505,3.1238882890556,0.188706998007986,2.7496316317763,2.99802141911065,3.12204898624035,3.25542307099864,3.46869940494842
"K[3]",2.75553026734044,0.00300757018673654,0.135062786907659,2.49399495644768,2.66472469533688,2.75312126852765,2.84528129061466,3.01762604432804,2016.69337361978,0.999731658477315,2.75245093101218,0.133954205053045,2.48112717666399,2.66521198305017,2.74934649817426,2.83966530374232,3.00053010911103,2.74854367390109,0.140082630948061,2.48328882929333,2.65139104169228,2.74861065624348,2.84461746152878,3.0031176736144,2.75839389248013,0.128403902601864,2.49475158133576,2.67145216464881,2.75925060623241,2.85521695759837,2.99815817793259,2.76273257196838,0.137493477697812,2.49835765912864,2.66562251634517,2.75676241554244,2.84319340148138,3.04892372933196
"K[4]",2.51239613989329,0.00388625859360348,0.159090812093047,2.21117788492932,2.40517582700338,2.50806070947283,2.61824274799435,2.82646363469125,1675.81782945362,1.00278596015703,2.52368182869541,0.165703235717664,2.21266350776311,2.4070705262713,2.52410913073543,2.63713769308311,2.84358440803174,2.494116832972,0.164791099345885,2.2118519189037,2.37893582858817,2.48551266688742,2.6020801668256,2.83494810462585,2.50993172667098,0.152775044862899,2.17112965289307,2.41677388587454,2.51601577490078,2.61296836466663,2.78577799213622,2.52185417123476,0.151260314431414,2.23760402522368,2.41362902440856,2.51698845201402,2.62000207932953,2.82877465939399
"K[5]",2.15769878424662,0.00278305596182483,0.113480027025621,1.93241109423026,2.08075126634828,2.1530586867673,2.23446946413703,2.38100213444428,1662.62758858421,1.00049425967623,2.16025249785334,0.110053527509129,1.94628013922629,2.08044470924619,2.16026492506924,2.23968697620828,2.36049945209835,2.16558149476581,0.108091282452545,1.96078636122386,2.10049341661523,2.15655529763997,2.2328798870795,2.38460279918371,2.15110355556609,0.118847105809011,1.914641746625,2.06828060834068,2.14892723335169,2.2364166767833,2.38658432733946,2.15385758880125,0.116365732611606,1.93986658469063,2.07015048991288,2.14401171004774,2.22884862719636,2.39155505984776
"K[6]",2.77422678506946,0.00293567518930985,0.135004110757691,2.51410078845074,2.68532460418161,2.76916251699053,2.85855581946194,3.05135528059111,2114.84226073685,0.999495311146565,2.78218951001976,0.136411716212199,2.52073723100704,2.69976257049702,2.77822663490613,2.86640791972011,3.06396584150378,2.77112348139504,0.134457646557647,2.52825245647891,2.68189446011966,2.7659985756459,2.85135409300116,3.06003040971828,2.77507027643378,0.132208955110941,2.49224622225503,2.69171294660863,2.77639402001835,2.85931884408435,3.04539975846149,2.76852387242926,0.136898902511578,2.51601126662304,2.67165227987621,2.75692755504696,2.85589986619791,3.04869435718585
"K[7]",2.85005978690852,0.00259393698772231,0.107450218675793,2.647963901207,2.77770890644681,2.84457910254856,2.92466616719472,3.0628428646319,1715.91497139677,1.00081363999486,2.84366800898861,0.110964415923446,2.62353245935774,2.77494309722231,2.84136853517836,2.91647974659585,3.05078108223475,2.84757780786646,0.105175094968197,2.64983055618366,2.77768677045462,2.84405363970682,2.92251960735976,3.038528271155,2.85492741246504,0.102363155024959,2.6707212346592,2.78501079866705,2.84436990522575,2.92688745787247,3.06619731555526,2.85406591831397,0.110957472077147,2.65000992174547,2.77538215968845,2.85622423894724,2.92902157541314,3.08689659450538
"K[8]",3.21477585969708,0.00306750982879638,0.147165376225853,2.92553158775478,3.1190555668205,3.215342237216,3.31086142522823,3.50432960204345,2301.65042806593,0.999975958533331,3.21755516472038,0.149062084127394,2.93024806113151,3.11126918578628,3.21758516220938,3.31936937627408,3.50364210219447,3.20907164153926,0.146053318837193,2.91848116677363,3.12400203455286,3.21163266166055,3.30100038242965,3.51509594779946,3.2117840454086,0.142668346620795,2.94090872829559,3.12313057641299,3.20789604231252,3.30519572528367,3.49676896101119,3.22069258712008,0.150900875101705,2.92435898875994,3.11493179310014,3.22720640630895,3.32461239611437,3.4977441350482
"K[9]",2.4587954717866,0.00276212194457752,0.119018302343995,2.21797903219401,2.38191092080306,2.45754223276974,2.53553326194539,2.69214806547742,1856.70029317886,1.00067483849417,2.4600218371843,0.110784971282754,2.24047408320598,2.38589633322024,2.45791501487675,2.53614470281207,2.67496536608865,2.45548217846162,0.127163377358815,2.19503417986831,2.3778703029617,2.4581177879043,2.53390600735791,2.7036055156602,2.45461747170814,0.11856233080414,2.21880471181453,2.37524483154228,2.4478421020817,2.53110548741489,2.6756257486324,2.46506039979234,0.11906469418569,2.23672668559856,2.38773176465342,2.4650937810442,2.53981199752337,2.70122005284172
"K[10]",3.64513942885445,0.00324502844592429,0.157531325423747,3.35335444628811,3.53463736376905,3.64282170247246,3.75101099632869,3.96165912034728,2356.65949657334,1.00126903724929,3.63644660052394,0.152676643581994,3.35296678521706,3.53279298196018,3.63523991416181,3.73672158220567,3.95447814438933,3.63960426927721,0.160765607688637,3.33143895229263,3.52578888383681,3.63899279612092,3.75237505415175,3.93724424430469,3.65081582914703,0.156129389180751,3.37088178829919,3.53790661933598,3.64803510586845,3.7455666204818,3.96501552828785,3.65369101646963,0.160217247509618,3.37322697118261,3.53971562046981,3.64804241152605,3.77007808423357,3.96163216579346
"K[11]",3.40363645889201,0.00251386126272498,0.133572067574762,3.14844125910742,3.31481358900259,3.4026561423056,3.49084233536701,3.68212638330065,2823.24576584017,0.998408560798547,3.40773763767643,0.135110878758633,3.15601596635945,3.31502333818284,3.40442161747945,3.49590264643402,3.68060447663615,3.40223152631091,0.133137404459725,3.1547327647153,3.31743249610602,3.39609617448283,3.48962346551386,3.68030234849154,3.40555378841338,0.134968998417645,3.15488981046864,3.3126312636407,3.40348854701729,3.49554744090541,3.6811791165689,3.39902288316733,0.1312717085852,3.14255626859657,3.31206028772407,3.40360610860047,3.48288563806247,3.67961971242694
"K[12]",3.0004377086967,0.00271760358766407,0.124948724065392,2.76545633348423,2.9192978139176,3.00164589712432,3.08103536148275,3.24550367351522,2113.93406295788,0.999325766927746,3.00140569997911,0.128029604788148,2.76330400307571,2.90999883396755,3.00320150268754,3.08552291989257,3.24208723101335,2.99913872980617,0.121108734573149,2.75679588943848,2.92406094962046,3.00172164360396,3.07617682030155,3.23897219380574,2.99567449826428,0.12874995756993,2.77034733187443,2.90651999153315,2.99530658969574,3.07229610160279,3.25925278499187,3.00553190673723,0.121884258321631,2.76850858979654,2.92698968192338,3.00431779718913,3.08861410745099,3.23177809135554
"K[13]",2.97568769528567,0.00346897163356341,0.14814544258751,2.68492312170961,2.87340756343181,2.97790979313534,3.07211088753142,3.27076452982897,1823.79111014483,1.00162649706688,2.96961961191404,0.144275237833984,2.67995484491881,2.87631272322436,2.97261315070096,3.07146913155252,3.22943264513411,2.98464381592687,0.149104143331018,2.70326437882148,2.87733127564816,2.9865167717583,3.08241224989494,3.28282313633334,2.96114383288951,0.141209029652022,2.67658491337898,2.86552795661301,2.95749535195085,3.04933886846567,3.2375869840315,2.98734352041226,0.156420933633727,2.68730226580142,2.87825299472293,2.98479008263056,3.08532088130326,3.29409611447037
