state,stream,LU_desig,DrainageArea_ha,stream_gradient_m_m,Date_15Nexpt,15NreachLength_m,water_velocity_m_min,Q_L_s,h2otemp_C,width_m,depth_m,Spec_discharge_Q/w_m3_s_m,NO3conc_ugN_L,NH4conc_ugN_L,DONconc_ugN_L,SRPconc_ugP_L,DOCconc_mgC_L,SC_uS_cm,DO_mg_L,PAR_duringN15exp_molequanta_m2_24h,GPP_gO2_m2_d,R_gO2_m2_d,PAR_duringMetabolismMeas_moleQuanta_m2_24h,ktot_no3_per_m,Vf_tot_no3_cm_s,U_tot_no3_ugN_m2_s,kden_N2_per_m,kdenN2O_per_m,kdenN2O_comments,kdentot_per_m,kdentot_frac_of_kNO3,kdenN2O_frac_of_kdentot,Vfdentot_cm_s,Udentot_ugN_m2_s,Ktime_per_h,Nitrif_rate_ugN_m2_s,kNH4upt_per_m,kammonif_per_s,,Sw_tot_m,Sw_den_m,ktot_timebased_per_day,kdentot_timebased_perday,kassim_per_m,Sw_assim_m,Vf_assim_cm_s,U_assim_ugN_m2_s,biomass_autotrophic_gAFDM_m2,biomass_detritus_gAFDM_m2,biomass_SurfaceBOM_gAFDM_m2,,Kprop_per_m,KSF6_per_m,Date_gasTracer,h2otemp_gastracer_C,reachLength_gastracer_m,,TS_D_m_s2,TS_A_m2,TS_As_m2,TS_alpha_per_s,,TS_As/A,TS_Rh_sec_m,TS_Fmed200_fraction,TS_Tsto_s,NutLim_hetero,NutLim_auto
MA,Cart Creek,REF,395.7299831,0.010224949,7/15/03,475,0.626923077,4.815429728,17.9375,2.51,0.183610842,0.001918498,15.26955744,293.1566667,501.8541309,1.498333333,8.697421413,,0.4136,3.750,0.20,-3.80,1.20,0.00281037,0.00054380,0.085207063,,0.000002210,yellow indicates plat del >500 for at least 3 stations,,,,,,,0.088674275,0.000000000,0.0004555110,,355.82,,2.54,,,,,,16.602,637.031,229.104,,,0.0028,7/16/03,19.00,75.0,,0.02735800,0.46722600,0.15419600,0.00002315,,0.33002444,30.83920000,0.08714530,14256.47,P,P
MA,IS_104,URB,132.8999999,0.008108108,7/29/03,345,0.856481481,2.053862075,17.12166667,1.34,0.107374153,0.001532733,1336.178492,121.21,60.25743209,2.118333333,2.848599046,311.500,3.9675,1.150,0.70,-9.10,1.20,0.00070320,0.00010778,1.449190556,0.000429179,0.000003335,,0.000432514,0.615065395,0.007711025,0.0000662928,0.885818911,0.022226396,2.503809904,0.000000000,0.0059138090,,1422.07,2312.07,0.87,0.533433665,0.00027069,3694.31894300,0.00004148,0.56337165,1.534,1327.447,267.828,,,0.0090,9/10/03,14.50,50.0,,0.04057150,0.17731500,0.02298010,0.00001923,,0.12960043,9.99134783,0.02944300,6738.30,P,P
MA,Boxford,REF,155.2499985,0.015,7/27/04,550,4,12.16088607,19.83333333,1.54,0.118450189,0.007896679,52.82916667,13.30257143,295.9160123,9.2,6.79501066,60.333,8.3283,0.461,0.05,-14.60,0.50,0.00072904,0.00057485,0.299468831,0.000194402,0.000000450,,0.000194853,0.267274812,0.002311318,0.0001538690,0.081798210,0.046764676,0.946809243,1.490450671,0.0002779170,,1371.68,5132.08,4.20,1.122352223,0.00053418,1872.01888100,0.00042098,0.21767062,13.499,4966.126,176.920,,0.0046,,7/26/04,20.83,550.0,,0.25548600,0.21185300,0.02751030,0.00008601,,0.12985561,2.06844361,0.02754613,1509.76,x,x
MA,Runaway Brook,AGR,39.01999833,0.011428571,6/29/04,500,1.095890411,0.653174097,16.25,0.55,0.065020512,0.001187589,1164.1975,80.18461538,139.2004571,7.783333333,2.09676504,109.333,8.7710,21.941,7.30,-11.00,19.00,0.00101590,0.00011681,1.366483966,0.000248286,0.000003911,,0.000252198,0.248250836,0.015509159,0.0000296104,0.342709138,0.016394409,3.195294508,0.019747911,0.0000575088,,984.35,3965.14,1.60,0.397988631,0.00076370,1309.41321400,0.00008720,1.02377483,70.168,9338.995,266.654,,0.0039,,6/28/04,17.00,318.0,,0.06181890,0.04795080,0.08078690,0.00008876,,1.68478732,72.13116071,0.33406602,18981.00,x,x
MA,Long Meadow Brook,AGR,89.20000062,0.006993007,7/13/04,400,2.2,2.390198717,16.58333333,1.14,0.057181787,0.002096666,989.3258333,63.13923077,384.9207201,10.8,3.463951735,,7.4218,3.605,3.90,-8.20,4.50,0.00055046,0.00011538,1.141339849,0.000533764,0.000001828,,0.000534677,0.971325032,0.003417974,0.0001120700,1.108519457,0.070556180,1.376314542,0.000000000,0.0001172980,,1816.66,1870.29,1.74,1.693857713,0.00001578,63353.39330000,0.00000331,0.03282039,31.831,8038.407,151.728,,0.0096,,7/12/04,17.67,275.0,,0.09976990,0.06838990,0.01213000,0.00002850,,0.17736537,4.73828125,0.02127690,6223.80,P,x
MA,Gravelly Brook,REF,533.8900012,0.004285714,8/9/05,325,1.051524711,1.981977674,21.39166667,2.52,0.044877637,0.000786499,112.1571905,435.3846154,802.1084296,80.33333333,25.55939923,,2.8128,0.726,0.20,-11.30,0.70,,,,,,,,,,,,,,,,,,,,,,,,,6.423,373.911,103.204,,0.0134,,8/8/05,21.87,175.0,,0.04590690,0.12267400,0.02262100,0.00004413,,0.18439930,10.87548077,0.06318011,4178.45,no data,x
MA,Black Brook,AGR,620.3699955,0.005641749,7/12/05,625,2.451977401,120.1483733,22.63333333,2.62,1.122151234,0.045858158,50.30133597,30.5,632.6348349,33.5,13.92034532,,3.4619,19.890,0.60,-4.50,19.90,0.00026339,0.00124152,0.619768942,0.000072940,0.000001709,,0.000074649,0.283417725,0.022899549,0.0003218090,0.161883601,0.010324023,5.229298066,,,,3796.66,13395.97,0.93,0.26357525,0.00018874,5298.28448100,0.00091971,0.45788534,70.283,677.290,296.492,,0.0008,,7/12/05,22.77,322.0,,0.41939300,0.62006200,0.05057320,0.00003860,,0.08156152,2.02292800,0.01314196,2112.84,no data,N
MA,Sawmill Brook,URB,402.1200032,0.012,7/26/05,425,0.752314815,4.933755656,21.2,2.66,0.147927064,0.001854795,1024.73992,39.15384615,188.6524053,11.45,10.02825818,,6.7721,0.238,0.05,-1.20,0.20,0.00024700,0.00004588,0.470197766,0.000158046,0.000001511,,0.000159557,0.644979186,0.009471126,0.0000295946,0.303267772,0.007202238,0.559727829,,,,4048.58,6267.34,0.27,0.172853713,0.00008744,11436.05689000,0.00001629,0.16692999,9.157,87.831,24.311,,0.0055,,7/26/05,21.47,225.0,,,,,,,,,,,N ,x
MA,IS_118,URB,201.5000051,0.00678733,7/7/05,412,4.12173913,11.34020862,18.66666667,1.746,0.094546957,0.006494965,512.805,253.8461538,385.8989019,11.83333333,12.46723593,,7.4204,9.736,0.10,-4.00,9.70,0.00021700,0.00014094,0.722751147,0.000214000,0.000003233,,0.000217233,1.001074644,0.014883534,0.0001410920,0.723527847,0.053722714,3.588475296,,,,4608.29,4603.35,1.29,1.289345143,,,,,0.934,601.575,155.510,,0.0050,,7/7/06,18.70,237.0,,0.13314700,0.22351400,0.04044490,0.00007030,,0.18095019,2.77019863,0.02967466,2573.82,no data,x
NC,Hugh White Creek,REF,19.8,0.134,5/23/03,269,6.666666667,19.35621863,12.675,3.74,0.046579136,0.00517546,7.333333333,3.19726776,9.332153583,2.75,0.399268405,11.900,9.3935,0.120,0.10,-2.20,0.20,0.00235700,0.00111252,0.088472185,,0.000002606,,,,,,,,-0.982883115,0.381096533,0.0027242230,,424.27,,22.63,,,,,,2.628,182.125,26.580,,,0.0164,5/24/03,13.03,85.0,,2.46150000,0.28350000,0.19240000,0.00009503,,0.67865961,7.50187135,0.07659792,7143.26,NP,NP
NC,Hoglot Branch,AGR,245.7,0.011,6/10/03,565,11.75925926,52.66754164,17.63333333,1.69,0.159011168,0.031164226,154.45,17.10392157,100.2028256,2.816666667,0.575141597,25.417,8.3482,24.020,0.30,-1.60,25.80,,,,,,,,,,,,,,0.003358784,0.0000044838,,,,,,,,,,56.827,100.839,23.365,,,0.0008,6/10/03,20.15,340.0,,0.67590000,0.25540000,0.00780000,0.00002088,,0.03054033,0.15541260,0.00062329,1456.64,P,P
NC,Crawford Branch,URB,82.2,0.021,6/20/03,1087,8.333333333,45.03157641,17.26666667,1.54,0.21053724,0.029241283,102.5,15.36610169,31.84530099,4.3,0.55441303,32.150,7.9589,1.967,3.00,-6.50,2.30,0.00014800,0.00043277,0.450730990,,0.000000420,,,,,,,,-0.640709713,0.113972118,0.0282755720,,6756.76,,1.78,,,,,,5.055,133.071,16.893,,,0.0046,6/20/03,18.65,170.0,,4.38060000,0.58600000,0.05320000,0.00002377,,0.09078498,0.68660090,0.00293904,3822.64,NP,NP
