siteID,sensorLocationDescription,positionStartDateTime,positionEndDateTime,referenceLocationIDDescription,referenceLocationIDStartDateTime,referenceLocationIDEndDateTime,locationReferenceLatitude,locationReferenceLongitude,locationReferenceElevation,publicationDate
HOPB,Hop Brook Nitrate Analyzer S2,2010-01-01T00:00:00Z,2019-05-01T23:59:59Z,Hop Brook Nitrate Analyzer S2,2010-01-01T00:00:00Z,2019-05-01T23:59:59Z,42.471802,-72.330656,208.32,20240320T203232Z
HOPB,Hop Brook Nitrate Analyzer S2,2019-05-02T00:00:00Z,NA,Hop Brook Nitrate Analyzer S2,2019-05-02T00:00:00Z,NA,42.473264,-72.330924,214.2,20240320T203232Z
HOPB,Hop Brook Nitrate Analyzer S2 Overhang,2010-01-01T00:00:00Z,NA,Hop Brook Nitrate Analyzer S2 Overhang,2010-01-01T00:00:00Z,NA,42.471752,-72.330641,208.31,20240320T203232Z
POSE,Posey Creek Nitrate Analyzer S2,2010-01-01T00:00:00Z,NA,Posey Creek Nitrate Analyzer S2,2010-01-01T00:00:00Z,NA,38.895193,-78.147862,271.86,20240320T193449Z
FLNT,Flint River Nitrate Analyzer Buoy,2010-01-01T00:00:00Z,NA,Flint River Nitrate Analyzer Buoy,2010-01-01T00:00:00Z,NA,31.184609,-84.438438,30,20240320T193253Z
CUPE,Rio Cupeyes Nitrate Analyzer S2,2010-01-01T00:00:00Z,2018-05-06T23:59:59Z,Rio Cupeyes Nitrate Analyzer S2,2010-01-01T00:00:00Z,2018-05-06T23:59:59Z,18.110163,-66.986319,149.27,20240320T203726Z
CUPE,Rio Cupeyes Nitrate Analyzer S2,2018-05-07T00:00:00Z,2019-10-01T23:59:59Z,Rio Cupeyes Nitrate Analyzer S2,2018-05-07T00:00:00Z,2019-10-01T23:59:59Z,18.110163,-66.986319,149.27,20240320T203726Z
CUPE,Rio Cupeyes Nitrate Analyzer S2,2019-10-02T00:00:00Z,2019-12-06T23:59:59Z,Rio Cupeyes Nitrate Analyzer S2,2019-10-02T00:00:00Z,2019-12-06T23:59:59Z,18.110154,-66.986306,149.56,20240320T203726Z
CUPE,Rio Cupeyes Nitrate Analyzer S2,2019-12-07T00:00:00Z,NA,Rio Cupeyes Nitrate Analyzer S2,2019-12-07T00:00:00Z,NA,18.110265,-66.986411,149.9,20240320T203726Z
GUIL,Rio Yahuecas Nitrate Analyzer S2,2010-01-01T00:00:00Z,2018-04-30T23:59:59Z,Rio Yahuecas Nitrate Analyzer S2,2010-01-01T00:00:00Z,2018-04-30T23:59:59Z,18.174411,-66.800393,545.67,20240320T201224Z
GUIL,Rio Yahuecas Nitrate Analyzer S2,2018-05-01T00:00:00Z,2018-07-05T23:59:59Z,Rio Yahuecas Nitrate Analyzer S2,2018-05-01T00:00:00Z,2018-07-05T23:59:59Z,18.174094,-66.79971,545.97,20240320T201224Z
GUIL,Rio Yahuecas Nitrate Analyzer S2,2018-07-06T00:00:00Z,2018-09-30T23:59:59Z,Rio Yahuecas Nitrate Analyzer S2,2018-07-06T00:00:00Z,2018-09-30T23:59:59Z,18.174092,-66.799708,545.96,20240320T201224Z
GUIL,Rio Yahuecas Nitrate Analyzer S2,2018-10-01T00:00:00Z,2019-10-06T23:59:59Z,Rio Yahuecas Nitrate Analyzer S2,2018-10-01T00:00:00Z,2019-10-06T23:59:59Z,18.174094,-66.799712,545.85,20240320T201224Z
GUIL,Rio Yahuecas Nitrate Analyzer S2,2019-10-07T00:00:00Z,2019-12-06T23:59:59Z,Rio Yahuecas Nitrate Analyzer S2,2019-10-07T00:00:00Z,2019-12-06T23:59:59Z,18.174097,-66.799717,546.33,20240320T201224Z
GUIL,Rio Yahuecas Nitrate Analyzer S2,2019-12-07T00:00:00Z,NA,Rio Yahuecas Nitrate Analyzer S2,2019-12-07T00:00:00Z,NA,18.174069,-66.799688,546.37,20240320T201224Z
LECO,LeConte Creek Nitrate Analyzer S2,2010-01-01T00:00:00Z,2019-08-22T23:59:59Z,LeConte Creek Nitrate Analyzer S2,2010-01-01T00:00:00Z,2019-08-22T23:59:59Z,35.692201,-83.504427,537.41,20240320T192848Z
LECO,LeConte Creek Nitrate Analyzer S2,2019-08-23T00:00:00Z,NA,LeConte Creek Nitrate Analyzer S2,2019-08-23T00:00:00Z,NA,35.69222,-83.504409,538.09,20240320T192848Z
LECO,LeConte Creek Nitrate Analyzer S2 Overhang,2010-01-01T00:00:00Z,NA,LeConte Creek Nitrate Analyzer S2 Overhang,2010-01-01T00:00:00Z,NA,35.692205,-83.504421,537.52,20240320T192848Z
BLWA,Black Warrior River Nitrate Analyzer Buoy,2010-01-01T00:00:00Z,2021-03-22T23:59:59Z,Black Warrior River Nitrate Analyzer Buoy,2010-01-01T00:00:00Z,2021-03-22T23:59:59Z,32.54067,-87.79806,20,20240320T200604Z
BLWA,Black Warrior River Nitrate Analyzer Buoy,2021-03-23T00:00:00Z,NA,Black Warrior River Nitrate Analyzer Buoy,2021-03-23T00:00:00Z,NA,32.542478,-87.797972,23,20240320T200604Z
ARIK,Arikaree River Nitrate Analyzer S2,2010-01-01T00:00:00Z,NA,Arikaree River Nitrate Analyzer S2,2010-01-01T00:00:00Z,NA,39.758356,-102.44859,1178.7,20240320T201059Z
BLUE,Not Used - Blue River Nitrate Analyzer S2,2010-01-01T00:00:00Z,2018-10-16T23:59:59Z,Not Used - Blue River Nitrate Analyzer S2,2010-01-01T00:00:00Z,2018-10-16T23:59:59Z,34.443439,-96.623887,286.66,20240320T195426Z
