model_day,light.t,sumlight.sum,sumlight.real
1,9.5,2847.5,2847.5
2,9.5,2277.5,2277.5
3,9.5,2873,2873
4,9.5,2846.5,2846.5
5,9.5,2957.5,2957.5
6,9.5,2118.5,2118.5
7,9.5,2944,2944
8,9.5,2700.5,2700.5
9,9.5,2313.5,2313.5
10,9.5,219,219
11,10,2977.5,2977.5
12,10,754.5,754.5
13,10,1120,1120
14,10,2780.5,2780.5
15,10,1311,1311
16,10,2213,2213
17,10,211.5,211.5
18,10,3298.5,3298.5
19,10,3220.5,3220.5
20,10,3286,3286
21,10,2519,2519
22,10,469,469
23,10,830.5,830.5
24,10,918,918
25,10,2267.5,2267.5
26,10,2962.5,2962.5
27,10,2359.5,2359.5
28,10.5,368,368
29,10.5,1983.5,1983.5
30,10.5,1579,1579
31,10.5,2775.5,2775.5
32,10.5,3479,3479
33,10.5,3736.5,3736.5
34,10.5,655,655
35,10.5,916,916
36,10.5,734,734
38,11,3024.5,3024.5
39,11,4023.5,4023.5
40,11,2867,2867
41,11,3411.5,3411.5
42,11,3343,3343
43,11,509.5,509.5
44,11,1543,1543
45,11,835,835
46,11,4119.5,4119.5
47,11,3686.5,3686.5
48,11,2712.5,2712.5
49,11,4093.5,4093.5
50,11,2110,2110
51,11,4848,4848
52,11,4863.5,4863.5
53,11,3215,3215
54,11,1630,1630
55,11,1622.5,1622.5
56,11.5,1388.5,1388.5
57,11.5,5103,5103
58,11.5,3154.5,3154.5
59,11.5,4845.5,4845.5
60,11.5,4880,4880
61,11.5,3841.5,3841.5
62,11.5,4280,4280
63,11.5,5323,5323
64,12,4347.5,4347.5
65,12,5584.5,5584.5
66,12,5464,5464
67,12,4680,4680
68,12,4640.5,4640.5
69,12,774,774
70,12,2458.5,2458.5
71,12,5513.5,5513.5
72,12,3878,3878
73,12,1290.5,1290.5
74,12,1287.5,1287.5
75,12.5,1192,1192
76,12.5,1572,1572
77,12.5,1787,1787
78,12.5,3263.5,3263.5
79,12.5,5022.5,5022.5
80,12.5,6376,6376
81,12.5,5544.5,5544.5
82,12.5,1101,1101
83,12.5,5275,5275
84,12.5,2657,2657
85,12.5,5407,5407
86,12.5,1014.5,1014.5
87,12.5,1034,1034
88,12.5,4881.5,4881.5
89,12.5,6682.5,6682.5
90,12.5,4997,4997
91,12.5,6089,6089
92,12.5,5842,5842
93,12.5,2024.5,2024.5
94,13,5110.5,5110.5
95,13.5,4847,4847
