model_day,light.t,sumlight.sum,sumlight.real
232,13.5,5677,5677
233,13.5,2730.5,2730.5
234,13.5,3577.5,3577.5
235,13.5,4595.5,4595.5
236,13.5,2179,2179
237,13.5,4678.5,4678.5
238,13.5,1614.5,1614.5
239,13.5,6750.5,6750.5
240,13.5,6988.5,6988.5
241,13.5,6613.5,6613.5
242,13.5,5244,5244
243,13.5,3327.5,3327.5
244,13.5,6640.5,6640.5
245,13.5,6552,6552
246,13.5,6523.5,6523.5
247,13,6160.5,6160.5
248,13,6434.5,6434.5
249,13,6178.5,6178.5
250,13,5883,5883
251,13,3165.5,3165.5
252,13,3411.5,3411.5
253,13,4336.5,4336.5
254,13,6150.5,6150.5
255,13,2334.5,2334.5
256,13,6345,6345
257,13,5957.5,5957.5
258,12.5,6010.5,6010.5
259,12.5,4877.5,4877.5
260,12.5,5178,5178
261,12.5,5782.5,5782.5
262,12.5,4995.5,4995.5
263,12.5,2517,2517
264,12.5,3188,3188
265,12.5,3489.5,3489.5
266,12,5855,5855
267,12,4825.5,4825.5
268,12,5632,5632
269,12,4737,4737
270,12,5348.5,5348.5
271,12,819,819
272,12,5108,5108
273,12,4183.5,4183.5
274,12,4255,4255
275,12,1135.5,1135.5
276,12,3144.5,3144.5
277,12,681.5,681.5
278,12,4210.5,4210.5
279,12,3014.5,3014.5
280,12,5337.5,5337.5
281,12,5172,5172
282,12,3079.5,3079.5
283,12,1807.5,1807.5
284,12,5240.5,5240.5
285,11.5,5144,5144
286,11.5,5075.5,5075.5
287,11.5,4856.5,4856.5
288,11.5,4744,4744
289,11.5,4752.5,4752.5
290,11,4703,4703
291,11,4612.5,4612.5
292,11,4653,4653
293,11,2304,2304
294,11,1689,1689
295,11,4506,4506
296,11,3101,3101
299,11,4385.5,4385.5
300,11,2110,2110
301,11,954,954
302,11,1626.5,1626.5
303,11,811.5,811.5
304,11,4224.5,4224.5
305,11,3501,3501
306,11,4053.5,4053.5
307,11,3833.5,3833.5
308,10.5,1869,1869
309,10.5,3744.5,3744.5
310,10.5,3543,3543
311,10.5,3960,3960
312,10.5,2725,2725
313,10.5,3547.5,3547.5
314,10.5,3586,3586
315,10.5,1908.5,1908.5
316,10.5,3714.5,3714.5
317,10,1504.5,1504.5
318,10,3535.5,3535.5
319,10,3457.5,3457.5
320,10,3072,3072
321,10,3389,3389
322,10,2147.5,2147.5
323,10,2942.5,2942.5
324,10,1110.5,1110.5
325,10,890.5,890.5
326,10,382.5,382.5
327,10,3230,3230
328,10,3114,3114
329,10,3038,3038
330,10,936.5,936.5
331,10,3126.5,3126.5
332,10,572,572
333,10,1009.5,1009.5
334,10,3031,3031
335,10,911.5,911.5
336,10,2985,2985
337,10,2903.5,2903.5
338,10,2714.5,2714.5
339,10,2640,2640
340,10,2943.5,2943.5
341,10,2885.5,2885.5
342,10,1187,1187
343,10,2661.5,2661.5
344,10,2417.5,2417.5
345,10,2824.5,2824.5
346,10,2273,2273
347,9.5,2319,2319
348,9.5,1611.5,1611.5
349,9.5,398.5,398.5
350,9.5,1928.5,1928.5
351,9.5,2908.5,2908.5
352,9.5,2863.5,2863.5
353,9.5,2666.5,2666.5
354,9.5,2481.5,2481.5
355,9.5,2836.5,2836.5
356,9.5,2800.5,2800.5
357,9.5,2290.5,2290.5
358,9.5,1822.5,1822.5
359,9.5,2278,2278
360,9.5,605,605
361,9.5,1491.5,1491.5
362,9.5,96,96
363,9.5,615,615
364,9.5,940.5,940.5
365,9.5,2870.5,2870.5
