Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,187237,-,-,-,37.05,-119.26,-8,1192,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2021,1,1,0,0,0,0,-2.1,860,0.6000000000000001
2021,1,1,0,30,0,0,-2,860,0.6000000000000001
2021,1,1,1,0,0,0,-1.9000000000000001,860,0.6000000000000001
2021,1,1,1,30,0,0,-1.8,860,0.6000000000000001
2021,1,1,2,0,0,0,-1.7000000000000002,861,0.6000000000000001
2021,1,1,2,30,0,0,-1.6,861,0.6000000000000001
2021,1,1,3,0,0,0,-1.5,861,0.6000000000000001
2021,1,1,3,30,0,0,-1.5,861,0.6000000000000001
2021,1,1,4,0,0,0,-1.4000000000000001,861,0.6000000000000001
2021,1,1,4,30,0,0,-1.4000000000000001,861,0.6000000000000001
2021,1,1,5,0,0,0,-1.4000000000000001,861,0.6000000000000001
2021,1,1,5,30,0,0,-1.5,861,0.6000000000000001
2021,1,1,6,0,0,0,-1.7000000000000002,861,0.6000000000000001
2021,1,1,6,30,0,0,-1.5,862,0.6000000000000001
2021,1,1,7,0,0,0,-1.3,862,0.6000000000000001
2021,1,1,7,30,36,36,0.5,862,0.6000000000000001
2021,1,1,8,0,113,113,2.4000000000000004,862,0.6000000000000001
2021,1,1,8,30,199,199,4.3,863,0.8
2021,1,1,9,0,283,283,6.1000000000000005,863,1
2021,1,1,9,30,356,356,7.5,863,1.1
2021,1,1,10,0,418,418,8.9,863,1.2000000000000002
2021,1,1,10,30,470,470,9.4,863,1.3
2021,1,1,11,0,508,508,9.9,863,1.3
2021,1,1,11,30,531,531,9.9,863,1.2000000000000002
2021,1,1,12,0,538,538,9.8,863,1.2000000000000002
2021,1,1,12,30,529,529,9.700000000000001,863,1.1
2021,1,1,13,0,503,499,9.5,863,1
2021,1,1,13,30,464,435,9.1,863,0.9
2021,1,1,14,0,412,384,8.8,863,0.7000000000000001
2021,1,1,14,30,348,297,7.800000000000001,863,0.5
2021,1,1,15,0,273,230,6.9,863,0.30000000000000004
2021,1,1,15,30,192,145,6.9,863,0.30000000000000004
2021,1,1,16,0,109,85,3.6,864,0.5
2021,1,1,16,30,36,32,2.7,864,0.5
2021,1,1,17,0,0,0,1.7000000000000002,864,0.5
2021,1,1,17,30,0,0,1.7000000000000002,864,0.6000000000000001
2021,1,1,18,0,0,0,1.8,864,0.6000000000000001
2021,1,1,18,30,0,0,1.8,864,0.8
2021,1,1,19,0,0,0,1.8,864,1
2021,1,1,19,30,0,0,2.5,865,1
2021,1,1,20,0,0,0,3.2,865,1
2021,1,1,20,30,0,0,3,866,0.9
2021,1,1,21,0,0,0,2.8000000000000003,866,0.8
2021,1,1,21,30,0,0,1.5,866,0.9
2021,1,1,22,0,0,0,0.2,866,0.9
2021,1,1,22,30,0,0,0,866,0.8
2021,1,1,23,0,0,0,-0.30000000000000004,866,0.6000000000000001
2021,1,1,23,30,0,0,-0.4,865,0.7000000000000001
2021,1,2,0,0,0,0,-0.5,865,0.7000000000000001
2021,1,2,0,30,0,0,-0.5,865,0.9
2021,1,2,1,0,0,0,-0.6000000000000001,865,1.2000000000000002
2021,1,2,1,30,0,0,-0.2,865,1.2000000000000002
2021,1,2,2,0,0,0,0.2,865,1.2000000000000002
2021,1,2,2,30,0,0,0.2,865,1.2000000000000002
2021,1,2,3,0,0,0,0.1,865,1.2000000000000002
2021,1,2,3,30,0,0,0.4,865,1.2000000000000002
2021,1,2,4,0,0,0,0.6000000000000001,865,1.2000000000000002
2021,1,2,4,30,0,0,0.9,865,1.2000000000000002
2021,1,2,5,0,0,0,1.2000000000000002,866,1.2000000000000002
2021,1,2,5,30,0,0,0.9,866,1.2000000000000002
2021,1,2,6,0,0,0,0.6000000000000001,866,1.2000000000000002
2021,1,2,6,30,0,0,1.5,866,1.1
2021,1,2,7,0,0,0,2.3000000000000003,866,1
2021,1,2,7,30,33,29,3.6,867,0.7000000000000001
2021,1,2,8,0,107,74,4.800000000000001,867,0.4
2021,1,2,8,30,191,141,6.2,867,0.5
2021,1,2,9,0,273,151,7.6000000000000005,868,0.6000000000000001
2021,1,2,9,30,348,268,8.700000000000001,868,0.4
2021,1,2,10,0,412,353,9.9,867,0.30000000000000004
2021,1,2,10,30,464,372,10.200000000000001,867,0.5
2021,1,2,11,0,501,363,10.5,867,0.7000000000000001
2021,1,2,11,30,525,288,10.5,866,0.6000000000000001
2021,1,2,12,0,532,375,10.600000000000001,866,0.6000000000000001
2021,1,2,12,30,525,407,10.5,866,0.6000000000000001
2021,1,2,13,0,502,391,10.5,866,0.5
2021,1,2,13,30,465,404,10.3,866,0.5
2021,1,2,14,0,414,354,10.200000000000001,865,0.5
2021,1,2,14,30,350,261,9.4,865,0.4
2021,1,2,15,0,276,212,8.700000000000001,865,0.4
2021,1,2,15,30,195,137,8.700000000000001,865,0.4
2021,1,2,16,0,112,82,5.6000000000000005,865,0.5
2021,1,2,16,30,37,25,4.9,866,0.5
2021,1,2,17,0,0,0,4.2,866,0.6000000000000001
2021,1,2,17,30,0,0,3.2,866,0.7000000000000001
2021,1,2,18,0,0,0,2.2,866,0.9
2021,1,2,18,30,0,0,2.9000000000000004,866,0.8
2021,1,2,19,0,0,0,3.7,866,0.8
2021,1,2,19,30,0,0,4,866,0.5
2021,1,2,20,0,0,0,4.3,866,0.1
2021,1,2,20,30,0,0,4,867,0.2
2021,1,2,21,0,0,0,3.6,867,0.30000000000000004
2021,1,2,21,30,0,0,3.2,867,0.6000000000000001
2021,1,2,22,0,0,0,2.9000000000000004,866,0.9
2021,1,2,22,30,0,0,2.8000000000000003,866,0.9
2021,1,2,23,0,0,0,2.7,866,0.9
2021,1,2,23,30,0,0,2.9000000000000004,866,0.9
2021,1,3,0,0,0,0,3.1,866,0.9
2021,1,3,0,30,0,0,3.1,866,0.9
2021,1,3,1,0,0,0,3.1,866,0.9
2021,1,3,1,30,0,0,3.3000000000000003,866,0.8
2021,1,3,2,0,0,0,3.5,866,0.7000000000000001
2021,1,3,2,30,0,0,3.4000000000000004,865,0.6000000000000001
2021,1,3,3,0,0,0,3.3000000000000003,865,0.6000000000000001
2021,1,3,3,30,0,0,3.1,865,0.6000000000000001
2021,1,3,4,0,0,0,2.8000000000000003,865,0.7000000000000001
2021,1,3,4,30,0,0,2.6,865,0.7000000000000001
2021,1,3,5,0,0,0,2.5,865,0.7000000000000001
2021,1,3,5,30,0,0,2,865,0.8
2021,1,3,6,0,0,0,1.6,865,0.8
2021,1,3,6,30,0,0,1.6,865,0.8
2021,1,3,7,0,0,0,1.6,865,0.8
2021,1,3,7,30,32,18,2.9000000000000004,866,0.5
2021,1,3,8,0,104,65,4.1000000000000005,866,0.30000000000000004
2021,1,3,8,30,186,146,5.800000000000001,866,0.30000000000000004
2021,1,3,9,0,267,217,7.4,866,0.30000000000000004
2021,1,3,9,30,341,297,8.6,866,0.5
2021,1,3,10,0,405,387,9.9,866,0.8
2021,1,3,10,30,458,450,10.5,865,0.9
2021,1,3,11,0,496,496,11.100000000000001,865,1
2021,1,3,11,30,520,520,11.3,865,1
2021,1,3,12,0,529,525,11.600000000000001,864,1
2021,1,3,12,30,521,454,11.5,864,1
2021,1,3,13,0,497,320,11.4,864,1
2021,1,3,13,30,458,325,10.8,864,0.9
2021,1,3,14,0,406,281,10.200000000000001,864,0.8
2021,1,3,14,30,344,224,9.3,864,0.7000000000000001
2021,1,3,15,0,271,157,8.3,864,0.5
2021,1,3,15,30,192,85,8.3,864,0.5
2021,1,3,16,0,110,41,5.800000000000001,865,0.30000000000000004
2021,1,3,16,30,37,13,5,865,0.4
2021,1,3,17,0,0,0,4.2,865,0.5
2021,1,3,17,30,0,0,4,865,0.6000000000000001
2021,1,3,18,0,0,0,3.9000000000000004,865,0.7000000000000001
2021,1,3,18,30,0,0,4.1000000000000005,865,0.8
2021,1,3,19,0,0,0,4.4,865,0.9
2021,1,3,19,30,0,0,4.3,865,0.9
2021,1,3,20,0,0,0,4.1000000000000005,865,0.9
2021,1,3,20,30,0,0,4.3,864,0.9
2021,1,3,21,0,0,0,4.5,864,0.9
2021,1,3,21,30,0,0,4.6000000000000005,864,0.9
2021,1,3,22,0,0,0,4.7,864,0.9
2021,1,3,22,30,0,0,4.7,864,0.9
2021,1,3,23,0,0,0,4.6000000000000005,864,0.9
2021,1,3,23,30,0,0,4.3,864,0.9
2021,1,4,0,0,0,0,4,864,0.8
2021,1,4,0,30,0,0,3.8000000000000003,864,0.8
2021,1,4,1,0,0,0,3.6,865,0.7000000000000001
2021,1,4,1,30,0,0,3.9000000000000004,865,0.7000000000000001
2021,1,4,2,0,0,0,4.1000000000000005,865,0.7000000000000001
2021,1,4,2,30,0,0,4.2,865,0.7000000000000001
2021,1,4,3,0,0,0,4.3,865,0.7000000000000001
2021,1,4,3,30,0,0,4.3,865,0.8
2021,1,4,4,0,0,0,4.3,865,0.9
2021,1,4,4,30,0,0,4.3,865,0.9
2021,1,4,5,0,0,0,4.2,865,0.9
2021,1,4,5,30,0,0,4,865,0.9
2021,1,4,6,0,0,0,3.8000000000000003,865,1
2021,1,4,6,30,0,0,3.7,866,1
2021,1,4,7,0,0,0,3.7,866,1
2021,1,4,7,30,32,20,5,866,0.9
2021,1,4,8,0,104,65,6.4,866,0.8
2021,1,4,8,30,187,131,7.9,866,0.9
2021,1,4,9,0,267,154,9.4,866,1
2021,1,4,9,30,341,301,10.100000000000001,866,1
2021,1,4,10,0,405,366,10.8,866,1
2021,1,4,10,30,457,340,11,866,1
2021,1,4,11,0,495,327,11.3,865,0.9
2021,1,4,11,30,519,250,11.4,865,0.9
2021,1,4,12,0,528,166,11.4,865,0.9
2021,1,4,12,30,519,174,11,865,0.8
2021,1,4,13,0,494,106,10.700000000000001,865,0.7000000000000001
2021,1,4,13,30,458,162,10.200000000000001,865,0.6000000000000001
2021,1,4,14,0,409,226,9.700000000000001,865,0.5
2021,1,4,14,30,346,47,8.9,865,0.4
2021,1,4,15,0,273,52,8,865,0.30000000000000004
2021,1,4,15,30,194,39,8,865,0.30000000000000004
2021,1,4,16,0,111,17,6.4,865,0.1
2021,1,4,16,30,40,32,6,865,0.2
2021,1,4,17,0,2,1,5.6000000000000005,865,0.30000000000000004
2021,1,4,17,30,0,0,5.300000000000001,865,0.4
2021,1,4,18,0,0,0,5.1000000000000005,865,0.4
2021,1,4,18,30,0,0,4.6000000000000005,865,0.5
2021,1,4,19,0,0,0,4.1000000000000005,865,0.6000000000000001
2021,1,4,19,30,0,0,3.4000000000000004,865,0.7000000000000001
2021,1,4,20,0,0,0,2.7,865,0.9
2021,1,4,20,30,0,0,1.7000000000000002,865,0.9
2021,1,4,21,0,0,0,0.8,866,0.9
2021,1,4,21,30,0,0,0.30000000000000004,865,0.7000000000000001
2021,1,4,22,0,0,0,-0.2,865,0.6000000000000001
2021,1,4,22,30,0,0,-0.5,865,0.6000000000000001
2021,1,4,23,0,0,0,-0.8,865,0.5
2021,1,4,23,30,0,0,-1.1,865,0.5
2021,1,5,0,0,0,0,-1.4000000000000001,864,0.5
2021,1,5,0,30,0,0,-1.3,864,0.6000000000000001
2021,1,5,1,0,0,0,-1.1,865,0.7000000000000001
2021,1,5,1,30,0,0,-0.6000000000000001,865,0.9
2021,1,5,2,0,0,0,-0.2,865,1
2021,1,5,2,30,0,0,0,864,1
2021,1,5,3,0,0,0,0.1,864,1
2021,1,5,3,30,0,0,0.4,864,1
2021,1,5,4,0,0,0,0.6000000000000001,864,1
2021,1,5,4,30,0,0,0.6000000000000001,865,1.1
2021,1,5,5,0,0,0,0.7000000000000001,865,1.1
2021,1,5,5,30,0,0,0.8,865,1.1
2021,1,5,6,0,0,0,1,865,1.1
2021,1,5,6,30,0,0,1.1,865,1
2021,1,5,7,0,0,0,1.3,865,1
2021,1,5,7,30,34,34,2.4000000000000004,865,0.7000000000000001
2021,1,5,8,0,111,111,3.6,865,0.4
2021,1,5,8,30,198,198,6,865,0.30000000000000004
2021,1,5,9,0,282,282,8.5,865,0.2
2021,1,5,9,30,358,358,9.700000000000001,865,0.30000000000000004
2021,1,5,10,0,424,424,10.9,865,0.5
2021,1,5,10,30,478,478,11.3,865,0.6000000000000001
2021,1,5,11,0,519,519,11.700000000000001,865,0.8
2021,1,5,11,30,543,543,12,865,0.8
2021,1,5,12,0,552,552,12.200000000000001,865,0.9
2021,1,5,12,30,543,543,12.200000000000001,864,0.9
2021,1,5,13,0,518,518,12.200000000000001,864,1
2021,1,5,13,30,481,481,12,864,0.9
