Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,356085,-,-,-,44.97,-110.58,-7,1982,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2022,1,1,0,0,0,0,-24,787,0.4
2022,1,1,0,30,0,0,-24.200000000000003,787,0.30000000000000004
2022,1,1,1,0,0,0,-24.400000000000002,787,0.30000000000000004
2022,1,1,1,30,0,0,-24.700000000000003,787,0.30000000000000004
2022,1,1,2,0,0,0,-25,788,0.30000000000000004
2022,1,1,2,30,0,0,-25.3,788,0.4
2022,1,1,3,0,0,0,-25.6,788,0.4
2022,1,1,3,30,0,0,-26,788,0.5
2022,1,1,4,0,0,0,-26.400000000000002,788,0.6000000000000001
2022,1,1,4,30,0,0,-26.900000000000002,788,0.7000000000000001
2022,1,1,5,0,0,0,-27.3,789,0.8
2022,1,1,5,30,0,0,-27.700000000000003,789,0.9
2022,1,1,6,0,0,0,-28.1,789,1
2022,1,1,6,30,0,0,-28.8,789,1.1
2022,1,1,7,0,0,0,-29.400000000000002,789,1.1
2022,1,1,7,30,0,0,-29.5,790,1
2022,1,1,8,0,3,2,-29.700000000000003,790,0.9
2022,1,1,8,30,55,32,-28.200000000000003,790,0.7000000000000001
2022,1,1,9,0,126,91,-26.700000000000003,791,0.5
2022,1,1,9,30,199,131,-24,791,0.6000000000000001
2022,1,1,10,0,266,200,-21.200000000000003,792,0.6000000000000001
2022,1,1,10,30,324,292,-19.5,792,0.6000000000000001
2022,1,1,11,0,370,370,-17.8,792,0.6000000000000001
2022,1,1,11,30,403,403,-16.900000000000002,792,0.6000000000000001
2022,1,1,12,0,416,416,-16.1,792,0.6000000000000001
