Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,356208,-,-,-,40.05,-110.58,-7,2272,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2022,1,1,0,0,0,0,-17.6,770,2.6
2022,1,1,0,30,0,0,-17.8,770,2.7
2022,1,1,1,0,0,0,-18,770,2.8000000000000003
2022,1,1,1,30,0,0,-18.5,770,3
2022,1,1,2,0,0,0,-19,770,3.1
2022,1,1,2,30,0,0,-19.3,771,3.3000000000000003
2022,1,1,3,0,0,0,-19.700000000000003,771,3.5
2022,1,1,3,30,0,0,-19.900000000000002,771,3.6
2022,1,1,4,0,0,0,-20.1,772,3.7
2022,1,1,4,30,0,0,-20.400000000000002,772,3.7
2022,1,1,5,0,0,0,-20.6,773,3.7
2022,1,1,5,30,0,0,-20.900000000000002,773,3.6
2022,1,1,6,0,0,0,-21.1,774,3.5
2022,1,1,6,30,0,0,-21.400000000000002,774,3.4000000000000004
2022,1,1,7,0,0,0,-21.6,775,3.4000000000000004
2022,1,1,7,30,0,0,-21.1,775,3.5
2022,1,1,8,0,30,25,-20.6,776,3.6
2022,1,1,8,30,107,103,-18.6,776,4.2
2022,1,1,9,0,193,193,-16.6,777,4.7
2022,1,1,9,30,277,277,-15,777,5.1000000000000005
2022,1,1,10,0,352,352,-13.4,778,5.5
2022,1,1,10,30,416,416,-12.600000000000001,778,5.7
