Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,356064,-,-,-,45.81,-110.58,-7,1494,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2022,1,1,0,0,0,0,-24.3,844,1.5
2022,1,1,0,30,0,0,-24.400000000000002,844,1.5
2022,1,1,1,0,0,0,-24.6,844,1.6
2022,1,1,1,30,0,0,-24.8,844,1.6
2022,1,1,2,0,0,0,-25.1,844,1.7000000000000002
2022,1,1,2,30,0,0,-25.3,845,1.7000000000000002
2022,1,1,3,0,0,0,-25.5,845,1.7000000000000002
2022,1,1,3,30,0,0,-25.6,845,1.8
2022,1,1,4,0,0,0,-25.8,845,1.8
2022,1,1,4,30,0,0,-26,845,1.8
2022,1,1,5,0,0,0,-26.200000000000003,845,1.7000000000000002
2022,1,1,5,30,0,0,-26.200000000000003,845,1.7000000000000002
2022,1,1,6,0,0,0,-26.200000000000003,845,1.6
2022,1,1,6,30,0,0,-26.1,845,1.6
2022,1,1,7,0,0,0,-25.900000000000002,845,1.7000000000000002
2022,1,1,7,30,0,0,-25.700000000000003,845,1.7000000000000002
2022,1,1,8,0,3,3,-25.400000000000002,846,1.7000000000000002
2022,1,1,8,30,46,37,-23.8,846,1.8
2022,1,1,9,0,111,98,-22.1,846,1.8
2022,1,1,9,30,180,166,-19.8,847,2.2
2022,1,1,10,0,243,243,-17.400000000000002,847,2.5
2022,1,1,10,30,298,298,-15.8,847,3
2022,1,1,11,0,343,343,-14.3,847,3.6
2022,1,1,11,30,375,375,-13.3,847,3.9000000000000004
2022,1,1,12,0,394,394,-12.4,847,4.2
2022,1,1,12,30,397,397,-11.8,847,4.2
2022,1,1,13,0,385,385,-11.100000000000001,847,4.1000000000000005
2022,1,1,13,30,363,363,-10.700000000000001,847,4
2022,1,1,14,0,327,327,-10.3,847,3.8000000000000003
2022,1,1,14,30,277,277,-10.3,847,3.5
2022,1,1,15,0,220,220,-10.3,847,3.2
2022,1,1,15,30,155,149,-11,847,3
2022,1,1,16,0,88,62,-11.600000000000001,847,2.8000000000000003
2022,1,1,16,30,27,13,-12.3,847,2.7
2022,1,1,17,0,0,0,-13,847,2.6
2022,1,1,17,30,0,0,-12.9,848,2.7
2022,1,1,18,0,0,0,-12.9,848,2.8000000000000003
2022,1,1,18,30,0,0,-12.5,848,2.8000000000000003
2022,1,1,19,0,0,0,-12.200000000000001,848,2.9000000000000004
2022,1,1,19,30,0,0,-11.9,848,3.1
2022,1,1,20,0,0,0,-11.600000000000001,849,3.3000000000000003
2022,1,1,20,30,0,0,-11.3,849,3.3000000000000003
2022,1,1,21,0,0,0,-11.100000000000001,849,3.4000000000000004
2022,1,1,21,30,0,0,-11.200000000000001,849,3.3000000000000003
2022,1,1,22,0,0,0,-11.4,849,3.3000000000000003
2022,1,1,22,30,0,0,-11.700000000000001,849,3.2
2022,1,1,23,0,0,0,-12,850,3.2
2022,1,1,23,30,0,0,-12.4,850,3.2
2022,1,2,0,0,0,0,-12.700000000000001,850,3.2
2022,1,2,0,30,0,0,-12.9,850,3.2
2022,1,2,1,0,0,0,-13.100000000000001,850,3.2
2022,1,2,1,30,0,0,-13.200000000000001,850,3.2
2022,1,2,2,0,0,0,-13.3,850,3.2
2022,1,2,2,30,0,0,-13.100000000000001,851,3.3000000000000003
2022,1,2,3,0,0,0,-12.8,851,3.3000000000000003
2022,1,2,3,30,0,0,-12.3,851,3.5
2022,1,2,4,0,0,0,-11.700000000000001,851,3.7
2022,1,2,4,30,0,0,-11.200000000000001,851,3.9000000000000004
2022,1,2,5,0,0,0,-10.700000000000001,851,4.1000000000000005
2022,1,2,5,30,0,0,-10.5,851,4.1000000000000005
2022,1,2,6,0,0,0,-10.3,851,4.1000000000000005
2022,1,2,6,30,0,0,-10.200000000000001,851,4
2022,1,2,7,0,0,0,-10.100000000000001,851,4
2022,1,2,7,30,0,0,-10,851,3.9000000000000004
2022,1,2,8,0,2,1,-10,851,3.8000000000000003
2022,1,2,8,30,43,19,-9.700000000000001,851,3.7
2022,1,2,9,0,106,66,-9.5,852,3.6
2022,1,2,9,30,173,150,-9,852,3.6
2022,1,2,10,0,236,202,-8.4,852,3.6
2022,1,2,10,30,290,244,-7.800000000000001,851,3.5
2022,1,2,11,0,334,122,-7.1000000000000005,851,3.5
2022,1,2,11,30,366,166,-6.5,851,3.4000000000000004
2022,1,2,12,0,385,125,-5.800000000000001,851,3.3000000000000003
2022,1,2,12,30,390,124,-5.4,850,3.3000000000000003
2022,1,2,13,0,382,133,-5,850,3.2
2022,1,2,13,30,360,107,-4.9,850,3
2022,1,2,14,0,325,82,-4.7,850,2.8000000000000003
2022,1,2,14,30,279,69,-4.800000000000001,850,2.7
2022,1,2,15,0,222,53,-4.9,850,2.5
2022,1,2,15,30,158,44,-5.300000000000001,850,2.4000000000000004
2022,1,2,16,0,90,31,-5.7,850,2.2
2022,1,2,16,30,28,11,-6.1000000000000005,850,2.2
2022,1,2,17,0,0,0,-6.6000000000000005,850,2.1
2022,1,2,17,30,0,0,-6.9,850,2.1
2022,1,2,18,0,0,0,-7.2,849,2.1
2022,1,2,18,30,0,0,-7.800000000000001,849,2.1
2022,1,2,19,0,0,0,-8.3,849,2.1
2022,1,2,19,30,0,0,-9,849,2.1
2022,1,2,20,0,0,0,-9.700000000000001,849,2.1
2022,1,2,20,30,0,0,-10.3,849,2.2
2022,1,2,21,0,0,0,-10.9,849,2.2
2022,1,2,21,30,0,0,-11.200000000000001,848,2.3000000000000003
2022,1,2,22,0,0,0,-11.600000000000001,848,2.3000000000000003
2022,1,2,22,30,0,0,-11.700000000000001,848,2.3000000000000003
2022,1,2,23,0,0,0,-11.9,848,2.4000000000000004
2022,1,2,23,30,0,0,-12,848,2.4000000000000004
2022,1,3,0,0,0,0,-12,848,2.4000000000000004
2022,1,3,0,30,0,0,-12.100000000000001,848,2.3000000000000003
2022,1,3,1,0,0,0,-12.100000000000001,848,2.3000000000000003
2022,1,3,1,30,0,0,-12.100000000000001,848,2.3000000000000003
2022,1,3,2,0,0,0,-12.100000000000001,848,2.3000000000000003
2022,1,3,2,30,0,0,-12,848,2.3000000000000003
2022,1,3,3,0,0,0,-12,847,2.2
2022,1,3,3,30,0,0,-11.9,847,2.2
2022,1,3,4,0,0,0,-11.9,847,2.2
2022,1,3,4,30,0,0,-11.8,847,2.2
2022,1,3,5,0,0,0,-11.700000000000001,847,2.3000000000000003
2022,1,3,5,30,0,0,-11.600000000000001,846,2.3000000000000003
2022,1,3,6,0,0,0,-11.4,846,2.3000000000000003
2022,1,3,6,30,0,0,-11.200000000000001,846,2.3000000000000003
2022,1,3,7,0,0,0,-11,845,2.3000000000000003
2022,1,3,7,30,0,0,-10.600000000000001,845,2.3000000000000003
2022,1,3,8,0,3,1,-10.200000000000001,845,2.3000000000000003
2022,1,3,8,30,45,17,-9.200000000000001,845,2.3000000000000003
2022,1,3,9,0,110,32,-8.200000000000001,845,2.4000000000000004
2022,1,3,9,30,178,35,-6.7,845,2.5
2022,1,3,10,0,242,52,-5.2,845,2.6
2022,1,3,10,30,297,72,-4,845,2.9000000000000004
2022,1,3,11,0,342,206,-2.7,845,3.1
2022,1,3,11,30,375,205,-2,844,3.2
2022,1,3,12,0,394,189,-1.2000000000000002,844,3.2
2022,1,3,12,30,399,98,-0.8,843,3.1
2022,1,3,13,0,391,86,-0.4,842,3.1
2022,1,3,13,30,368,96,-0.4,842,2.9000000000000004
2022,1,3,14,0,332,65,-0.4,842,2.7
2022,1,3,14,30,282,40,-0.9,842,2.6
2022,1,3,15,0,225,129,-1.5,841,2.5
2022,1,3,15,30,161,35,-2.6,841,2.3000000000000003
2022,1,3,16,0,92,35,-3.7,841,2.2
2022,1,3,16,30,31,12,-4.4,841,2.1
2022,1,3,17,0,0,0,-5.1000000000000005,841,2
2022,1,3,17,30,0,0,-5.1000000000000005,840,2.1
2022,1,3,18,0,0,0,-5,840,2.1
2022,1,3,18,30,0,0,-5,840,2.1
2022,1,3,19,0,0,0,-4.9,839,2.1
2022,1,3,19,30,0,0,-4.800000000000001,839,2.2
2022,1,3,20,0,0,0,-4.7,838,2.2
2022,1,3,20,30,0,0,-4.5,838,2.2
2022,1,3,21,0,0,0,-4.3,837,2.3000000000000003
2022,1,3,21,30,0,0,-4.2,837,2.4000000000000004
2022,1,3,22,0,0,0,-4,837,2.4000000000000004
2022,1,3,22,30,0,0,-4,837,2.5
2022,1,3,23,0,0,0,-3.9000000000000004,836,2.5
2022,1,3,23,30,0,0,-3.7,836,2.9000000000000004
2022,1,4,0,0,0,0,-3.5,836,3.3000000000000003
2022,1,4,0,30,0,0,-3.3000000000000003,836,3.1
2022,1,4,1,0,0,0,-3.1,835,2.9000000000000004
2022,1,4,1,30,0,0,-3.3000000000000003,835,2.7
2022,1,4,2,0,0,0,-3.5,835,2.4000000000000004
2022,1,4,2,30,0,0,-3.8000000000000003,836,2.2
2022,1,4,3,0,0,0,-4.2,836,1.9000000000000001
2022,1,4,3,30,0,0,-4.5,837,2.2
2022,1,4,4,0,0,0,-4.9,837,2.6
2022,1,4,4,30,0,0,-5.300000000000001,839,2.8000000000000003
2022,1,4,5,0,0,0,-5.7,840,3
2022,1,4,5,30,0,0,-6.300000000000001,841,2.8000000000000003
2022,1,4,6,0,0,0,-6.800000000000001,842,2.6
2022,1,4,6,30,0,0,-7.2,842,2.7
2022,1,4,7,0,0,0,-7.6000000000000005,843,2.7
2022,1,4,7,30,0,0,-7.9,844,2.6
2022,1,4,8,0,2,1,-8.1,844,2.6
2022,1,4,8,30,44,18,-7.800000000000001,845,2.8000000000000003
2022,1,4,9,0,107,54,-7.5,845,3
2022,1,4,9,30,176,94,-7,846,3.3000000000000003
2022,1,4,10,0,241,128,-6.4,846,3.7
2022,1,4,10,30,297,131,-6.2,846,3.8000000000000003
2022,1,4,11,0,341,209,-6,847,4
2022,1,4,11,30,374,268,-5.800000000000001,847,3.9000000000000004
2022,1,4,12,0,393,221,-5.6000000000000005,847,3.8000000000000003
2022,1,4,12,30,399,167,-5.5,847,3.6
2022,1,4,13,0,390,248,-5.300000000000001,847,3.4000000000000004
2022,1,4,13,30,368,320,-5.300000000000001,847,3.1
2022,1,4,14,0,333,330,-5.300000000000001,847,2.8000000000000003
2022,1,4,14,30,287,287,-5.800000000000001,847,2.1
2022,1,4,15,0,230,230,-6.300000000000001,847,1.4000000000000001
2022,1,4,15,30,165,165,-7.800000000000001,848,1.3
2022,1,4,16,0,97,89,-9.3,848,1.1
2022,1,4,16,30,34,18,-10.600000000000001,848,1.3
2022,1,4,17,0,0,0,-11.8,848,1.4000000000000001
2022,1,4,17,30,0,0,-12.4,848,1.4000000000000001
2022,1,4,18,0,0,0,-13.100000000000001,848,1.5
2022,1,4,18,30,0,0,-12.9,848,1.4000000000000001
2022,1,4,19,0,0,0,-12.8,848,1.3
2022,1,4,19,30,0,0,-12.600000000000001,848,1
2022,1,4,20,0,0,0,-12.3,848,0.8
2022,1,4,20,30,0,0,-12.200000000000001,848,0.5
2022,1,4,21,0,0,0,-12.100000000000001,848,0.2
2022,1,4,21,30,0,0,-12.100000000000001,848,0.4
2022,1,4,22,0,0,0,-12,848,0.5
2022,1,4,22,30,0,0,-11.8,848,0.5
2022,1,4,23,0,0,0,-11.700000000000001,848,0.4
2022,1,4,23,30,0,0,-11.700000000000001,847,0.4
2022,1,5,0,0,0,0,-11.700000000000001,847,0.4
2022,1,5,0,30,0,0,-12,847,0.6000000000000001
2022,1,5,1,0,0,0,-12.200000000000001,846,0.8
2022,1,5,1,30,0,0,-12.700000000000001,846,0.9
2022,1,5,2,0,0,0,-13.200000000000001,846,1.1
2022,1,5,2,30,0,0,-13.4,846,1.1
2022,1,5,3,0,0,0,-13.700000000000001,845,1.2000000000000002
2022,1,5,3,30,0,0,-13.8,845,1.4000000000000001
2022,1,5,4,0,0,0,-13.8,845,1.7000000000000002
2022,1,5,4,30,0,0,-14.200000000000001,844,2.4000000000000004
2022,1,5,5,0,0,0,-14.600000000000001,844,3
2022,1,5,5,30,0,0,-15.3,844,3.4000000000000004
2022,1,5,6,0,0,0,-16.1,844,3.7
2022,1,5,6,30,0,0,-16.900000000000002,844,3.8000000000000003
2022,1,5,7,0,0,0,-17.7,844,3.9000000000000004
2022,1,5,7,30,0,0,-18.5,845,3.9000000000000004
2022,1,5,8,0,3,1,-19.200000000000003,845,4
2022,1,5,8,30,44,21,-19.700000000000003,846,3.8000000000000003
2022,1,5,9,0,108,51,-20.200000000000003,847,3.6
2022,1,5,9,30,178,99,-20.400000000000002,847,3.3000000000000003
2022,1,5,10,0,243,137,-20.5,848,3
2022,1,5,10,30,299,177,-20.5,848,2.6
2022,1,5,11,0,345,219,-20.400000000000002,848,2.2
2022,1,5,11,30,378,282,-20.200000000000003,848,1.9000000000000001
2022,1,5,12,0,398,329,-20.1,849,1.6
2022,1,5,12,30,404,329,-19.900000000000002,849,1.5
2022,1,5,13,0,396,309,-19.700000000000003,849,1.3
2022,1,5,13,30,375,299,-19.5,849,1.3
2022,1,5,14,0,340,271,-19.3,849,1.2000000000000002
2022,1,5,14,30,293,209,-19.3,849,1.2000000000000002
2022,1,5,15,0,235,157,-19.200000000000003,849,1.2000000000000002
2022,1,5,15,30,170,119,-19.3,850,1.2000000000000002
2022,1,5,16,0,101,54,-19.400000000000002,850,1.1
2022,1,5,16,30,36,20,-19.6,850,1
2022,1,5,17,0,0,0,-19.8,850,0.8
2022,1,5,17,30,0,0,-20,851,0.8
2022,1,5,18,0,0,0,-20.200000000000003,851,0.7000000000000001
2022,1,5,18,30,0,0,-20.400000000000002,851,0.7000000000000001
2022,1,5,19,0,0,0,-20.5,851,0.7000000000000001
2022,1,5,19,30,0,0,-20.700000000000003,851,0.6000000000000001
2022,1,5,20,0,0,0,-20.8,851,0.6000000000000001
2022,1,5,20,30,0,0,-20.900000000000002,851,0.7000000000000001
2022,1,5,21,0,0,0,-20.900000000000002,851,0.7000000000000001
2022,1,5,21,30,0,0,-20.8,851,0.7000000000000001
2022,1,5,22,0,0,0,-20.700000000000003,850,0.8
2022,1,5,22,30,0,0,-20.5,850,0.8
2022,1,5,23,0,0,0,-20.200000000000003,850,0.8
2022,1,5,23,30,0,0,-20,850,0.8
2022,1,6,0,0,0,0,-19.8,850,0.8
2022,1,6,0,30,0,0,-19.5,849,0.8
2022,1,6,1,0,0,0,-19.200000000000003,849,0.8
2022,1,6,1,30,0,0,-18.6,849,0.8
2022,1,6,2,0,0,0,-18,848,0.8
2022,1,6,2,30,0,0,-17.400000000000002,848,0.8
2022,1,6,3,0,0,0,-16.8,848,0.8
2022,1,6,3,30,0,0,-16.2,847,0.8
2022,1,6,4,0,0,0,-15.600000000000001,847,0.8
2022,1,6,4,30,0,0,-15.100000000000001,846,0.8
2022,1,6,5,0,0,0,-14.5,846,0.8
2022,1,6,5,30,0,0,-14,846,0.8
2022,1,6,6,0,0,0,-13.600000000000001,845,0.8
2022,1,6,6,30,0,0,-13.100000000000001,845,0.8
2022,1,6,7,0,0,0,-12.700000000000001,844,0.8
2022,1,6,7,30,0,0,-12.3,844,0.8
2022,1,6,8,0,2,1,-11.8,843,0.9
2022,1,6,8,30,43,15,-11.200000000000001,843,0.9
2022,1,6,9,0,105,32,-10.5,843,0.9
2022,1,6,9,30,170,47,-9.8,842,1
2022,1,6,10,0,231,65,-9.1,842,1.1
2022,1,6,10,30,285,83,-8.4,842,1.3
2022,1,6,11,0,328,100,-7.7,841,1.5
2022,1,6,11,30,359,113,-7,841,1.5
2022,1,6,12,0,378,122,-6.2,840,1.5
2022,1,6,12,30,385,120,-5.5,840,1.6
2022,1,6,13,0,378,135,-4.7,840,1.7000000000000002
2022,1,6,13,30,357,120,-3.9000000000000004,840,1.9000000000000001
2022,1,6,14,0,324,94,-3,840,2
2022,1,6,14,30,279,93,-2.1,840,2.4000000000000004
2022,1,6,15,0,224,68,-1.1,840,2.8000000000000003
2022,1,6,15,30,162,46,-0.7000000000000001,840,2.7
2022,1,6,16,0,96,31,-0.2,840,2.6
2022,1,6,16,30,35,17,0.1,840,2.6
2022,1,6,17,0,0,0,0.30000000000000004,840,2.5
2022,1,6,17,30,0,0,0.6000000000000001,840,2.5
2022,1,6,18,0,0,0,0.8,840,2.5
2022,1,6,18,30,0,0,1.1,840,2.5
2022,1,6,19,0,0,0,1.3,840,2.6
2022,1,6,19,30,0,0,1.5,840,2.7
2022,1,6,20,0,0,0,1.7000000000000002,840,2.9000000000000004
2022,1,6,20,30,0,0,1.9000000000000001,839,2.9000000000000004
2022,1,6,21,0,0,0,2,839,3
2022,1,6,21,30,0,0,2.1,839,3.2
2022,1,6,22,0,0,0,2.2,839,3.4000000000000004
2022,1,6,22,30,0,0,2.1,839,3.4000000000000004
2022,1,6,23,0,0,0,2.1,839,3.4000000000000004
2022,1,6,23,30,0,0,2.1,839,3.5
2022,1,7,0,0,0,0,2.1,839,3.6
2022,1,7,0,30,0,0,2.1,838,3.7
2022,1,7,1,0,0,0,2.1,838,3.8000000000000003
2022,1,7,1,30,0,0,2.1,838,3.7
2022,1,7,2,0,0,0,2.1,838,3.7
2022,1,7,2,30,0,0,2.1,837,3.7
2022,1,7,3,0,0,0,2.1,837,3.7
2022,1,7,3,30,0,0,2.1,837,4
2022,1,7,4,0,0,0,2.2,836,4.4
2022,1,7,4,30,0,0,2.3000000000000003,836,4.4
2022,1,7,5,0,0,0,2.3000000000000003,835,4.5
2022,1,7,5,30,0,0,2.4000000000000004,835,4.6000000000000005
2022,1,7,6,0,0,0,2.5,835,4.7
2022,1,7,6,30,0,0,2.6,835,4.7
2022,1,7,7,0,0,0,2.7,834,4.800000000000001
2022,1,7,7,30,0,0,2.8000000000000003,834,5
2022,1,7,8,0,2,1,3,834,5.2
2022,1,7,8,30,43,16,3,834,5.300000000000001
2022,1,7,9,0,104,38,3.1,834,5.5
2022,1,7,9,30,170,53,3.1,834,5.5
2022,1,7,10,0,231,62,3.1,834,5.5
2022,1,7,10,30,285,100,3,834,5.4
2022,1,7,11,0,329,158,2.9000000000000004,833,5.4
2022,1,7,11,30,361,216,2.9000000000000004,833,5.2
2022,1,7,12,0,380,226,2.8000000000000003,833,5
2022,1,7,12,30,386,84,2.8000000000000003,833,5
2022,1,7,13,0,378,95,2.8000000000000003,832,4.9
2022,1,7,13,30,359,104,2.8000000000000003,833,4.9
2022,1,7,14,0,326,89,2.8000000000000003,833,5
2022,1,7,14,30,283,135,2.9000000000000004,833,4.7
2022,1,7,15,0,229,223,3,833,4.5
2022,1,7,15,30,167,167,3,832,4.7
2022,1,7,16,0,101,101,2.9000000000000004,832,4.9
2022,1,7,16,30,37,37,2.4000000000000004,832,4.9
2022,1,7,17,0,0,0,1.8,833,4.9
2022,1,7,17,30,0,0,1.6,833,4.800000000000001
2022,1,7,18,0,0,0,1.3,833,4.6000000000000005
2022,1,7,18,30,0,0,1.4000000000000001,833,4.800000000000001
2022,1,7,19,0,0,0,1.6,833,5
2022,1,7,19,30,0,0,1.6,834,4.800000000000001
2022,1,7,20,0,0,0,1.6,834,4.5
2022,1,7,20,30,0,0,1.5,834,4.3
2022,1,7,21,0,0,0,1.5,835,4.1000000000000005
2022,1,7,21,30,0,0,1.4000000000000001,835,4
2022,1,7,22,0,0,0,1.3,836,3.9000000000000004
2022,1,7,22,30,0,0,0.8,836,3.9000000000000004
2022,1,7,23,0,0,0,0.4,836,3.9000000000000004
2022,1,7,23,30,0,0,0,837,4
2022,1,8,0,0,0,0,-0.5,837,4.1000000000000005
2022,1,8,0,30,0,0,-1,838,4
2022,1,8,1,0,0,0,-1.4000000000000001,838,3.9000000000000004
2022,1,8,1,30,0,0,-1.9000000000000001,839,3.9000000000000004
2022,1,8,2,0,0,0,-2.3000000000000003,839,3.8000000000000003
2022,1,8,2,30,0,0,-2.9000000000000004,840,3.7
2022,1,8,3,0,0,0,-3.6,840,3.6
2022,1,8,3,30,0,0,-4.1000000000000005,841,3.6
2022,1,8,4,0,0,0,-4.7,841,3.5
2022,1,8,4,30,0,0,-4.9,842,3.5
2022,1,8,5,0,0,0,-5.2,842,3.6
2022,1,8,5,30,0,0,-5.4,843,3.6
2022,1,8,6,0,0,0,-5.6000000000000005,843,3.6
2022,1,8,6,30,0,0,-5.7,844,3.6
2022,1,8,7,0,0,0,-5.800000000000001,844,3.6
2022,1,8,7,30,0,0,-5.9,845,3.6
2022,1,8,8,0,3,1,-6,845,3.5
2022,1,8,8,30,47,24,-5.7,846,3.7
2022,1,8,9,0,113,113,-5.300000000000001,846,3.8000000000000003
2022,1,8,9,30,183,183,-4.800000000000001,847,4
2022,1,8,10,0,247,247,-4.3,848,4.1000000000000005
2022,1,8,10,30,303,303,-4.1000000000000005,848,4.3
2022,1,8,11,0,349,349,-3.9000000000000004,848,4.5
2022,1,8,11,30,383,383,-3.9000000000000004,849,4.6000000000000005
2022,1,8,12,0,404,404,-3.9000000000000004,849,4.7
2022,1,8,12,30,411,411,-3.8000000000000003,849,4.7
2022,1,8,13,0,404,404,-3.8000000000000003,849,4.6000000000000005
2022,1,8,13,30,382,382,-3.9000000000000004,850,4.4
2022,1,8,14,0,348,348,-3.9000000000000004,850,4.3
2022,1,8,14,30,301,301,-4.1000000000000005,851,4
2022,1,8,15,0,244,244,-4.2,851,3.7
2022,1,8,15,30,179,179,-4.800000000000001,852,3.3000000000000003
2022,1,8,16,0,110,110,-5.5,852,2.9000000000000004
2022,1,8,16,30,45,41,-6.300000000000001,853,2.6
2022,1,8,17,0,2,1,-7.2,853,2.3000000000000003
2022,1,8,17,30,0,0,-7.9,854,2.2
2022,1,8,18,0,0,0,-8.6,854,2.1
2022,1,8,18,30,0,0,-9.3,855,1.9000000000000001
2022,1,8,19,0,0,0,-10,855,1.8
2022,1,8,19,30,0,0,-10.8,855,1.7000000000000002
2022,1,8,20,0,0,0,-11.600000000000001,856,1.6
2022,1,8,20,30,0,0,-12.100000000000001,856,1.6
2022,1,8,21,0,0,0,-12.700000000000001,856,1.7000000000000002
2022,1,8,21,30,0,0,-13,856,1.7000000000000002
2022,1,8,22,0,0,0,-13.3,856,1.8
2022,1,8,22,30,0,0,-13.4,856,1.8
2022,1,8,23,0,0,0,-13.5,856,1.8
2022,1,8,23,30,0,0,-13.5,856,1.9000000000000001
2022,1,9,0,0,0,0,-13.5,856,1.9000000000000001
2022,1,9,0,30,0,0,-13.600000000000001,856,1.9000000000000001
2022,1,9,1,0,0,0,-13.700000000000001,856,1.9000000000000001
2022,1,9,1,30,0,0,-13.9,856,2
2022,1,9,2,0,0,0,-14.200000000000001,857,2
2022,1,9,2,30,0,0,-14.200000000000001,857,2.1
2022,1,9,3,0,0,0,-14.200000000000001,857,2.3000000000000003
2022,1,9,3,30,0,0,-14.200000000000001,857,2.3000000000000003
2022,1,9,4,0,0,0,-14.200000000000001,857,2.4000000000000004
2022,1,9,4,30,0,0,-14.100000000000001,857,2.4000000000000004
2022,1,9,5,0,0,0,-14.100000000000001,857,2.4000000000000004
2022,1,9,5,30,0,0,-14,858,2.4000000000000004
2022,1,9,6,0,0,0,-13.9,858,2.5
2022,1,9,6,30,0,0,-13.700000000000001,858,2.5
2022,1,9,7,0,0,0,-13.5,859,2.5
2022,1,9,7,30,0,0,-13.100000000000001,859,2.5
2022,1,9,8,0,3,1,-12.8,859,2.6
2022,1,9,8,30,46,26,-11.5,860,2.6
2022,1,9,9,0,109,93,-10.200000000000001,860,2.7
2022,1,9,9,30,177,177,-8.6,861,2.9000000000000004
2022,1,9,10,0,241,241,-7,861,3.1
2022,1,9,10,30,296,296,-5.7,861,3.2
2022,1,9,11,0,341,341,-4.4,862,3.3000000000000003
2022,1,9,11,30,374,368,-3.4000000000000004,862,3.3000000000000003
2022,1,9,12,0,394,362,-2.5,862,3.3000000000000003
2022,1,9,12,30,401,384,-1.8,862,3.2
2022,1,9,13,0,394,321,-1.2000000000000002,862,3.1
2022,1,9,13,30,374,311,-0.9,862,2.9000000000000004
2022,1,9,14,0,341,320,-0.7000000000000001,862,2.8000000000000003
2022,1,9,14,30,296,296,-0.9,862,2.4000000000000004
2022,1,9,15,0,240,240,-1.2000000000000002,862,2.1
2022,1,9,15,30,176,176,-2.4000000000000004,863,1.9000000000000001
2022,1,9,16,0,109,106,-3.5,863,1.8
2022,1,9,16,30,45,31,-4.800000000000001,863,1.8
2022,1,9,17,0,3,1,-6.2,863,1.8
2022,1,9,17,30,0,0,-6.800000000000001,863,1.8
2022,1,9,18,0,0,0,-7.5,864,1.8
2022,1,9,18,30,0,0,-7.9,864,1.9000000000000001
2022,1,9,19,0,0,0,-8.3,864,1.9000000000000001
2022,1,9,19,30,0,0,-8.6,864,1.9000000000000001
2022,1,9,20,0,0,0,-8.9,864,2
2022,1,9,20,30,0,0,-9.200000000000001,864,2
2022,1,9,21,0,0,0,-9.4,864,2
2022,1,9,21,30,0,0,-9.600000000000001,864,2
2022,1,9,22,0,0,0,-9.8,864,2
2022,1,9,22,30,0,0,-10,864,2
2022,1,9,23,0,0,0,-10.200000000000001,864,2
2022,1,9,23,30,0,0,-10.4,864,1.9000000000000001
2022,1,10,0,0,0,0,-10.5,864,1.9000000000000001
2022,1,10,0,30,0,0,-10.600000000000001,864,1.9000000000000001
2022,1,10,1,0,0,0,-10.700000000000001,863,1.9000000000000001
2022,1,10,1,30,0,0,-10.700000000000001,863,1.9000000000000001
2022,1,10,2,0,0,0,-10.700000000000001,863,1.9000000000000001
2022,1,10,2,30,0,0,-10.700000000000001,863,1.9000000000000001
2022,1,10,3,0,0,0,-10.700000000000001,863,1.9000000000000001
2022,1,10,3,30,0,0,-10.700000000000001,863,1.9000000000000001
2022,1,10,4,0,0,0,-10.700000000000001,862,1.9000000000000001
2022,1,10,4,30,0,0,-10.700000000000001,862,1.9000000000000001
2022,1,10,5,0,0,0,-10.700000000000001,862,1.9000000000000001
2022,1,10,5,30,0,0,-10.600000000000001,862,2
2022,1,10,6,0,0,0,-10.5,862,2
2022,1,10,6,30,0,0,-10.5,862,2
2022,1,10,7,0,0,0,-10.4,862,2
2022,1,10,7,30,0,0,-10.100000000000001,862,2
2022,1,10,8,0,3,3,-9.8,862,2.1
2022,1,10,8,30,48,48,-8.5,862,2.1
2022,1,10,9,0,114,114,-7.2,862,2.2
2022,1,10,9,30,183,183,-5.5,862,2.3000000000000003
2022,1,10,10,0,248,248,-3.8000000000000003,861,2.4000000000000004
2022,1,10,10,30,304,304,-2.5,861,2.7
2022,1,10,11,0,350,350,-1.1,861,3
