Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,356237,-,-,-,38.89,-110.58,-7,2033,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2022,1,1,0,0,0,0,-10.4,783,4.3
2022,1,1,0,30,0,0,-10.600000000000001,783,4.4
2022,1,1,1,0,0,0,-10.8,783,4.5
2022,1,1,1,30,0,0,-11.100000000000001,784,4.6000000000000005
2022,1,1,2,0,0,0,-11.3,784,4.7
2022,1,1,2,30,0,0,-11.600000000000001,784,4.6000000000000005
2022,1,1,3,0,0,0,-11.9,785,4.5
2022,1,1,3,30,0,0,-12.4,785,4.5
2022,1,1,4,0,0,0,-12.9,786,4.5
2022,1,1,4,30,0,0,-13.3,786,4.7
2022,1,1,5,0,0,0,-13.700000000000001,787,4.800000000000001
2022,1,1,5,30,0,0,-13.9,787,5
2022,1,1,6,0,0,0,-14.200000000000001,788,5.1000000000000005
2022,1,1,6,30,0,0,-14.4,789,5.1000000000000005
2022,1,1,7,0,0,0,-14.600000000000001,789,5.1000000000000005
2022,1,1,7,30,0,0,-14.200000000000001,790,5.2
2022,1,1,8,0,39,24,-13.8,790,5.4
2022,1,1,8,30,120,58,-12.4,791,6.1000000000000005
2022,1,1,9,0,209,59,-11.100000000000001,792,6.9
2022,1,1,9,30,294,97,-10.3,792,7.300000000000001
2022,1,1,10,0,371,141,-9.4,793,7.7
2022,1,1,10,30,437,205,-8.9,793,7.6000000000000005
2022,1,1,11,0,489,351,-8.4,793,7.5
2022,1,1,11,30,527,429,-8,794,7.5
2022,1,1,12,0,549,452,-7.7,794,7.4
2022,1,1,12,30,555,492,-7.5,794,7.300000000000001
2022,1,1,13,0,545,483,-7.300000000000001,794,7.1000000000000005
2022,1,1,13,30,519,460,-7.4,795,7
2022,1,1,14,0,477,451,-7.4,795,6.800000000000001
2022,1,1,14,30,421,413,-7.7,795,6.5
2022,1,1,15,0,350,350,-7.9,796,6.2
2022,1,1,15,30,266,266,-8.8,797,5.7
2022,1,1,16,0,181,169,-9.700000000000001,797,5.2
2022,1,1,16,30,94,84,-11,798,4.7
2022,1,1,17,0,21,17,-12.3,799,4.2
2022,1,1,17,30,0,0,-13,799,4
2022,1,1,18,0,0,0,-13.600000000000001,800,3.8000000000000003
2022,1,1,18,30,0,0,-14.100000000000001,800,3.6
2022,1,1,19,0,0,0,-14.5,800,3.5
2022,1,1,19,30,0,0,-14.8,801,3.4000000000000004
2022,1,1,20,0,0,0,-15.100000000000001,801,3.3000000000000003
2022,1,1,20,30,0,0,-15.200000000000001,801,3.1
2022,1,1,21,0,0,0,-15.4,801,3
2022,1,1,21,30,0,0,-15.5,801,3
2022,1,1,22,0,0,0,-15.600000000000001,801,2.9000000000000004
2022,1,1,22,30,0,0,-15.600000000000001,801,2.9000000000000004
2022,1,1,23,0,0,0,-15.600000000000001,802,2.8000000000000003
2022,1,1,23,30,0,0,-15.600000000000001,802,2.8000000000000003
2022,1,2,0,0,0,0,-15.600000000000001,802,2.7
2022,1,2,0,30,0,0,-15.600000000000001,802,2.7
2022,1,2,1,0,0,0,-15.5,802,2.6
2022,1,2,1,30,0,0,-15.4,802,2.5
2022,1,2,2,0,0,0,-15.3,803,2.3000000000000003
2022,1,2,2,30,0,0,-15.200000000000001,803,2.2
2022,1,2,3,0,0,0,-15.100000000000001,803,2
2022,1,2,3,30,0,0,-15,803,1.9000000000000001
2022,1,2,4,0,0,0,-14.8,803,1.8
2022,1,2,4,30,0,0,-14.700000000000001,803,1.6
2022,1,2,5,0,0,0,-14.5,803,1.5
2022,1,2,5,30,0,0,-14.3,803,1.4000000000000001
2022,1,2,6,0,0,0,-14.100000000000001,803,1.2000000000000002
2022,1,2,6,30,0,0,-13.8,803,1
2022,1,2,7,0,0,0,-13.5,804,0.8
2022,1,2,7,30,0,0,-12.700000000000001,804,0.6000000000000001
2022,1,2,8,0,36,28,-11.9,804,0.5
2022,1,2,8,30,114,114,-10.600000000000001,804,0.8
2022,1,2,9,0,200,200,-9.4,805,1.1
2022,1,2,9,30,283,283,-8.6,805,1.5
2022,1,2,10,0,358,358,-7.800000000000001,805,1.9000000000000001
2022,1,2,10,30,422,422,-7.300000000000001,805,1.9000000000000001
2022,1,2,11,0,473,473,-6.800000000000001,805,2
2022,1,2,11,30,510,510,-6.300000000000001,805,1.9000000000000001
2022,1,2,12,0,532,532,-5.9,804,1.9000000000000001
2022,1,2,12,30,537,537,-5.6000000000000005,804,1.8
2022,1,2,13,0,526,526,-5.300000000000001,804,1.8
2022,1,2,13,30,498,498,-5.1000000000000005,803,1.9000000000000001
2022,1,2,14,0,457,457,-5,803,1.9000000000000001
2022,1,2,14,30,403,403,-5.1000000000000005,803,1.8
2022,1,2,15,0,337,337,-5.2,803,1.8
2022,1,2,15,30,261,261,-5.9,803,1.6
2022,1,2,16,0,178,178,-6.5,803,1.5
2022,1,2,16,30,93,92,-7.6000000000000005,803,1.1
2022,1,2,17,0,21,21,-8.6,803,0.8
2022,1,2,17,30,0,0,-9,803,0.7000000000000001
2022,1,2,18,0,0,0,-9.4,803,0.6000000000000001
2022,1,2,18,30,0,0,-9.700000000000001,803,0.5
2022,1,2,19,0,0,0,-10.100000000000001,803,0.30000000000000004
2022,1,2,19,30,0,0,-10.3,803,0.2
2022,1,2,20,0,0,0,-10.600000000000001,803,0.1
2022,1,2,20,30,0,0,-10.8,803,0.2
2022,1,2,21,0,0,0,-11.100000000000001,803,0.2
2022,1,2,21,30,0,0,-11.3,803,0.30000000000000004
2022,1,2,22,0,0,0,-11.4,803,0.30000000000000004
2022,1,2,22,30,0,0,-11.5,803,0.4
2022,1,2,23,0,0,0,-11.600000000000001,802,0.4
2022,1,2,23,30,0,0,-11.8,802,0.4
2022,1,3,0,0,0,0,-11.9,802,0.4
2022,1,3,0,30,0,0,-12.100000000000001,802,0.4
2022,1,3,1,0,0,0,-12.3,802,0.4
2022,1,3,1,30,0,0,-12.3,802,0.30000000000000004
2022,1,3,2,0,0,0,-12.3,802,0.30000000000000004
2022,1,3,2,30,0,0,-12.4,802,0.2
2022,1,3,3,0,0,0,-12.4,802,0.2
2022,1,3,3,30,0,0,-12.5,802,0.2
2022,1,3,4,0,0,0,-12.700000000000001,801,0.2
2022,1,3,4,30,0,0,-12.8,801,0.2
2022,1,3,5,0,0,0,-12.8,801,0.2
2022,1,3,5,30,0,0,-12.9,801,0.2
2022,1,3,6,0,0,0,-13,801,0.2
2022,1,3,6,30,0,0,-13,801,0.2
2022,1,3,7,0,0,0,-13.100000000000001,801,0.2
2022,1,3,7,30,0,0,-12.700000000000001,801,0.4
2022,1,3,8,0,35,35,-12.200000000000001,801,0.5
2022,1,3,8,30,114,77,-11.100000000000001,801,0.7000000000000001
2022,1,3,9,0,200,65,-9.9,801,0.9
2022,1,3,9,30,283,102,-8.8,802,1.2000000000000002
2022,1,3,10,0,358,174,-7.7,802,1.5
2022,1,3,10,30,423,198,-6.800000000000001,801,1.8
2022,1,3,11,0,475,369,-5.9,801,2.2
2022,1,3,11,30,512,446,-5.1000000000000005,800,2.5
2022,1,3,12,0,534,470,-4.3,800,2.8000000000000003
2022,1,3,12,30,540,443,-3.7,799,3
2022,1,3,13,0,530,528,-3.1,799,3.2
2022,1,3,13,30,505,492,-2.7,798,3.2
2022,1,3,14,0,465,449,-2.3000000000000003,798,3.3000000000000003
2022,1,3,14,30,411,371,-2.3000000000000003,798,3.1
2022,1,3,15,0,345,307,-2.3000000000000003,798,2.9000000000000004
2022,1,3,15,30,268,245,-3.5,797,2.3000000000000003
2022,1,3,16,0,184,119,-4.7,797,1.8
2022,1,3,16,30,98,89,-5.7,797,1.6
2022,1,3,17,0,23,15,-6.7,797,1.4000000000000001
2022,1,3,17,30,0,0,-6.7,797,1.5
2022,1,3,18,0,0,0,-6.800000000000001,797,1.5
2022,1,3,18,30,0,0,-6.800000000000001,797,1.5
2022,1,3,19,0,0,0,-6.9,797,1.4000000000000001
2022,1,3,19,30,0,0,-6.800000000000001,796,1.4000000000000001
2022,1,3,20,0,0,0,-6.800000000000001,796,1.3
2022,1,3,20,30,0,0,-6.800000000000001,796,1.3
2022,1,3,21,0,0,0,-6.800000000000001,796,1.3
2022,1,3,21,30,0,0,-7.1000000000000005,795,1.2000000000000002
2022,1,3,22,0,0,0,-7.4,795,1.1
2022,1,3,22,30,0,0,-7.800000000000001,795,1
2022,1,3,23,0,0,0,-8.200000000000001,795,0.9
2022,1,3,23,30,0,0,-8.3,795,0.8
2022,1,4,0,0,0,0,-8.5,795,0.8
2022,1,4,0,30,0,0,-8.4,794,0.8
2022,1,4,1,0,0,0,-8.3,794,0.8
2022,1,4,1,30,0,0,-8.200000000000001,794,0.8
2022,1,4,2,0,0,0,-8.1,794,0.8
2022,1,4,2,30,0,0,-8.3,794,0.8
2022,1,4,3,0,0,0,-8.5,794,0.9
2022,1,4,3,30,0,0,-8.9,794,1
2022,1,4,4,0,0,0,-9.3,794,1.1
2022,1,4,4,30,0,0,-9.600000000000001,794,1.2000000000000002
2022,1,4,5,0,0,0,-9.9,794,1.3
2022,1,4,5,30,0,0,-10,795,1.4000000000000001
2022,1,4,6,0,0,0,-10.100000000000001,795,1.5
2022,1,4,6,30,0,0,-9.9,795,1.5
2022,1,4,7,0,0,0,-9.8,795,1.6
2022,1,4,7,30,0,0,-8.4,795,1.7000000000000002
2022,1,4,8,0,33,18,-7,796,1.8
2022,1,4,8,30,111,54,-4.9,796,2.2
2022,1,4,9,0,196,133,-2.7,796,2.5
2022,1,4,9,30,276,190,-1.3,796,2.5
2022,1,4,10,0,349,217,0.1,796,2.5
2022,1,4,10,30,413,300,1.4000000000000001,796,3.1
2022,1,4,11,0,464,332,2.7,796,3.6
2022,1,4,11,30,501,460,3.4000000000000004,796,4.3
2022,1,4,12,0,523,475,4.2,796,5
2022,1,4,12,30,528,476,4.4,796,5.1000000000000005
2022,1,4,13,0,518,480,4.5,796,5.300000000000001
2022,1,4,13,30,493,452,4.3,796,5
2022,1,4,14,0,454,413,4.1000000000000005,796,4.7
2022,1,4,14,30,401,362,3.4000000000000004,796,4.1000000000000005
2022,1,4,15,0,336,272,2.7,796,3.4000000000000004
2022,1,4,15,30,260,186,1.2000000000000002,796,2.8000000000000003
2022,1,4,16,0,178,150,-0.30000000000000004,796,2.1
2022,1,4,16,30,95,67,-1.5,797,2
2022,1,4,17,0,22,15,-2.6,797,1.9000000000000001
2022,1,4,17,30,0,0,-2.9000000000000004,797,1.8
2022,1,4,18,0,0,0,-3.1,797,1.7000000000000002
2022,1,4,18,30,0,0,-3.3000000000000003,798,1.6
2022,1,4,19,0,0,0,-3.4000000000000004,798,1.5
2022,1,4,19,30,0,0,-3.7,798,1.4000000000000001
2022,1,4,20,0,0,0,-4,798,1.4000000000000001
2022,1,4,20,30,0,0,-4.2,798,1.3
2022,1,4,21,0,0,0,-4.5,798,1.3
2022,1,4,21,30,0,0,-4.7,798,1.2000000000000002
2022,1,4,22,0,0,0,-4.9,798,1.1
2022,1,4,22,30,0,0,-5,797,1.1
2022,1,4,23,0,0,0,-5.2,797,1.1
2022,1,4,23,30,0,0,-5.300000000000001,797,1.1
2022,1,5,0,0,0,0,-5.4,797,1.1
2022,1,5,0,30,0,0,-5.6000000000000005,797,1.1
2022,1,5,1,0,0,0,-5.7,797,1.1
2022,1,5,1,30,0,0,-5.800000000000001,797,1.2000000000000002
2022,1,5,2,0,0,0,-5.9,796,1.2000000000000002
2022,1,5,2,30,0,0,-5.9,796,1.3
2022,1,5,3,0,0,0,-5.9,796,1.4000000000000001
2022,1,5,3,30,0,0,-5.9,795,1.4000000000000001
2022,1,5,4,0,0,0,-5.9,795,1.5
2022,1,5,4,30,0,0,-5.800000000000001,795,1.6
2022,1,5,5,0,0,0,-5.7,794,1.7000000000000002
2022,1,5,5,30,0,0,-5.7,794,1.8
2022,1,5,6,0,0,0,-5.6000000000000005,794,1.9000000000000001
2022,1,5,6,30,0,0,-5.5,794,2.1
2022,1,5,7,0,0,0,-5.300000000000001,794,2.2
2022,1,5,7,30,0,0,-4.1000000000000005,794,2.7
2022,1,5,8,0,32,32,-2.9000000000000004,794,3.2
2022,1,5,8,30,107,107,-1.4000000000000001,794,3.6
2022,1,5,9,0,189,189,0.1,794,4
2022,1,5,9,30,270,270,1.3,794,4.5
2022,1,5,10,0,343,343,2.6,794,5
2022,1,5,10,30,405,405,3.7,794,6.1000000000000005
2022,1,5,11,0,455,455,4.800000000000001,794,7.300000000000001
2022,1,5,11,30,492,492,5.300000000000001,793,7.7
2022,1,5,12,0,514,514,5.800000000000001,793,8.200000000000001
2022,1,5,12,30,521,521,5.9,793,8.4
2022,1,5,13,0,512,512,6,792,8.5
2022,1,5,13,30,488,488,5.800000000000001,792,8.4
2022,1,5,14,0,450,450,5.6000000000000005,792,8.200000000000001
2022,1,5,14,30,398,398,5,792,7.800000000000001
2022,1,5,15,0,333,333,4.4,793,7.300000000000001
2022,1,5,15,30,259,259,3.2,792,6.7
2022,1,5,16,0,178,178,2,792,6.1000000000000005
2022,1,5,16,30,96,96,1,792,5.9
2022,1,5,17,0,25,25,0,792,5.7
2022,1,5,17,30,0,0,-0.30000000000000004,793,5.6000000000000005
2022,1,5,18,0,0,0,-0.6000000000000001,793,5.4
2022,1,5,18,30,0,0,-0.7000000000000001,793,5.4
2022,1,5,19,0,0,0,-0.8,793,5.4
2022,1,5,19,30,0,0,-0.8,794,5.4
2022,1,5,20,0,0,0,-0.9,794,5.300000000000001
2022,1,5,20,30,0,0,-0.9,794,5.2
