Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,972743,-,-,-,35.97,-84.26,-5,315,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2021,1,1,0,0,0,0,7.2,983,0.1
2021,1,1,0,30,0,0,7.2,982,0.1
2021,1,1,1,0,0,0,7.300000000000001,982,0.1
2021,1,1,1,30,0,0,7.300000000000001,982,0.1
2021,1,1,2,0,0,0,7.300000000000001,981,0.1
2021,1,1,2,30,0,0,7.300000000000001,981,0.1
2021,1,1,3,0,0,0,7.4,980,0.1
2021,1,1,3,30,0,0,7.6000000000000005,980,0.2
2021,1,1,4,0,0,0,7.7,979,0.2
2021,1,1,4,30,0,0,8,978,0.2
2021,1,1,5,0,0,0,8.3,978,0.2
2021,1,1,5,30,0,0,8.9,978,0.2
2021,1,1,6,0,0,0,9.5,978,0.2
2021,1,1,6,30,0,0,10.700000000000001,978,0.30000000000000004
2021,1,1,7,0,0,0,12,978,0.30000000000000004
2021,1,1,7,30,0,0,12.700000000000001,978,0.4
2021,1,1,8,0,17,4,13.4,978,0.5
2021,1,1,8,30,78,15,13.8,978,0.6000000000000001
2021,1,1,9,0,153,18,14.3,978,0.6000000000000001
2021,1,1,9,30,230,17,14.600000000000001,978,0.6000000000000001
2021,1,1,10,0,302,28,14.9,978,0.5
2021,1,1,10,30,366,35,15.3,978,0.5
2021,1,1,11,0,418,44,15.700000000000001,978,0.5
2021,1,1,11,30,458,17,16.3,977,0.5
2021,1,1,12,0,484,26,17,976,0.5
2021,1,1,12,30,497,67,17.6,976,0.5
2021,1,1,13,0,496,102,18.3,975,0.6000000000000001
2021,1,1,13,30,480,87,18.7,974,0.6000000000000001
2021,1,1,14,0,451,49,19.1,974,0.6000000000000001
2021,1,1,14,30,409,96,19.200000000000003,973,0.6000000000000001
2021,1,1,15,0,356,58,19.3,973,0.6000000000000001
2021,1,1,15,30,291,87,19.1,973,0.6000000000000001
2021,1,1,16,0,218,139,18.8,973,0.6000000000000001
2021,1,1,16,30,139,43,18.3,973,0.5
2021,1,1,17,0,64,30,17.900000000000002,973,0.5
2021,1,1,17,30,9,9,17.7,973,0.4
2021,1,1,18,0,0,0,17.5,973,0.4
2021,1,1,18,30,0,0,17.5,973,0.4
