Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,461546,-,-,-,39.89,-105.9,-7,2902,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2022,1,1,0,0,0,0,-16.6,694,0.5
2022,1,1,0,30,0,0,-16.8,694,0.5
2022,1,1,1,0,0,0,-17,694,0.5
2022,1,1,1,30,0,0,-17.1,694,0.4
2022,1,1,2,0,0,0,-17.2,695,0.4
2022,1,1,2,30,0,0,-17.5,695,0.30000000000000004
2022,1,1,3,0,0,0,-17.7,694,0.30000000000000004
2022,1,1,3,30,0,0,-18,695,0.30000000000000004
2022,1,1,4,0,0,0,-18.400000000000002,695,0.30000000000000004
2022,1,1,4,30,0,0,-18.6,695,0.30000000000000004
2022,1,1,5,0,0,0,-18.900000000000002,695,0.4
2022,1,1,5,30,0,0,-19,695,0.4
2022,1,1,6,0,0,0,-19.200000000000003,696,0.30000000000000004
2022,1,1,6,30,0,0,-19.3,696,0.4
2022,1,1,7,0,0,0,-19.400000000000002,696,0.5
2022,1,1,7,30,11,6,-19.200000000000003,696,0.5
2022,1,1,8,0,74,43,-18.900000000000002,697,0.5
2022,1,1,8,30,158,96,-18.2,697,0.6000000000000001
2022,1,1,9,0,243,157,-17.6,698,0.7000000000000001
2022,1,1,9,30,322,210,-17.2,698,0.8
2022,1,1,10,0,391,272,-16.7,698,0.9
2022,1,1,10,30,448,356,-16.400000000000002,698,1
2022,1,1,11,0,491,413,-16.2,699,1.1
2022,1,1,11,30,519,377,-15.9,699,1.1
2022,1,1,12,0,531,420,-15.700000000000001,699,1.2000000000000002
2022,1,1,12,30,527,385,-15.600000000000001,699,1.2000000000000002
2022,1,1,13,0,507,410,-15.5,699,1.2000000000000002
2022,1,1,13,30,472,394,-15.5,700,1.1
2022,1,1,14,0,423,407,-15.600000000000001,700,1.1
2022,1,1,14,30,360,360,-15.8,701,1
2022,1,1,15,0,288,288,-16.1,701,0.8
2022,1,1,15,30,208,208,-16.8,702,0.8
2022,1,1,16,0,120,118,-17.6,702,0.7000000000000001
2022,1,1,16,30,39,33,-18.8,703,0.8
2022,1,1,17,0,0,0,-20,703,0.9
2022,1,1,17,30,0,0,-21.1,704,1.2000000000000002
2022,1,1,18,0,0,0,-22.200000000000003,704,1.4000000000000001
2022,1,1,18,30,0,0,-23.1,705,1.6
2022,1,1,19,0,0,0,-23.900000000000002,705,1.7000000000000002
2022,1,1,19,30,0,0,-24.1,705,1.9000000000000001
2022,1,1,20,0,0,0,-24.200000000000003,705,2.1
2022,1,1,20,30,0,0,-24.200000000000003,706,2.3000000000000003
