Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,706376,-,-,-,39.09,-96.62,-6,401,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2019,1,1,0,0,0,0,-9.600000000000001,983,5.9
2019,1,1,0,30,0,0,-9.8,984,5.7
2019,1,1,1,0,0,0,-10.100000000000001,984,5.5
2019,1,1,1,30,0,0,-10.3,984,5.300000000000001
2019,1,1,2,0,0,0,-10.600000000000001,985,5
2019,1,1,2,30,0,0,-10.700000000000001,985,4.9
2019,1,1,3,0,0,0,-10.9,985,4.9
2019,1,1,3,30,0,0,-11,986,4.9
2019,1,1,4,0,0,0,-11.100000000000001,986,5
2019,1,1,4,30,0,0,-11.200000000000001,986,5
2019,1,1,5,0,0,0,-11.3,986,4.9
2019,1,1,5,30,0,0,-11.4,986,4.7
2019,1,1,6,0,0,0,-11.600000000000001,987,4.4
2019,1,1,6,30,0,0,-11.700000000000001,987,4.3
2019,1,1,7,0,0,0,-11.9,987,4.2
2019,1,1,7,30,0,0,-11.700000000000001,987,4.3
2019,1,1,8,0,22,6,-11.600000000000001,988,4.3
2019,1,1,8,30,86,11,-11.200000000000001,988,4.3
2019,1,1,9,0,163,28,-10.8,988,4.2
2019,1,1,9,30,240,66,-10.4,988,4
2019,1,1,10,0,311,51,-10,988,3.7
2019,1,1,10,30,373,77,-9.700000000000001,988,3.6
2019,1,1,11,0,423,91,-9.3,987,3.4000000000000004
2019,1,1,11,30,459,93,-9,987,3.3000000000000003
2019,1,1,12,0,480,112,-8.700000000000001,986,3.2
2019,1,1,12,30,488,97,-8.5,986,3.2
2019,1,1,13,0,480,106,-8.200000000000001,986,3.1
2019,1,1,13,30,458,135,-7.9,986,3
2019,1,1,14,0,422,131,-7.7,986,2.9000000000000004
2019,1,1,14,30,372,80,-7.6000000000000005,986,2.8000000000000003
2019,1,1,15,0,311,58,-7.6000000000000005,985,2.7
2019,1,1,15,30,240,151,-7.800000000000001,985,2.5
2019,1,1,16,0,164,164,-8,985,2.3000000000000003
2019,1,1,16,30,87,87,-8.4,985,1.8
2019,1,1,17,0,23,20,-8.8,985,1.4000000000000001
2019,1,1,17,30,0,0,-8.8,985,1.4000000000000001
2019,1,1,18,0,0,0,-9.3,985,0.9
2019,1,1,18,30,0,0,-9.5,985,0.8
2019,1,1,19,0,0,0,-9.700000000000001,985,0.7000000000000001
2019,1,1,19,30,0,0,-9.8,985,0.7000000000000001
2019,1,1,20,0,0,0,-9.9,985,0.7000000000000001
2019,1,1,20,30,0,0,-10,985,0.7000000000000001
2019,1,1,21,0,0,0,-10.200000000000001,984,0.6000000000000001
2019,1,1,21,30,0,0,-10.3,984,0.7000000000000001
2019,1,1,22,0,0,0,-10.4,984,0.7000000000000001
2019,1,1,22,30,0,0,-10.5,984,0.8
2019,1,1,23,0,0,0,-10.600000000000001,983,1
2019,1,1,23,30,0,0,-10.700000000000001,983,1.1
2019,1,2,0,0,0,0,-10.700000000000001,983,1.3
2019,1,2,0,30,0,0,-10.700000000000001,983,1.4000000000000001
2019,1,2,1,0,0,0,-10.8,983,1.5
2019,1,2,1,30,0,0,-10.8,982,1.5
2019,1,2,2,0,0,0,-10.8,982,1.6
2019,1,2,2,30,0,0,-10.8,982,1.6
2019,1,2,3,0,0,0,-10.8,982,1.6
2019,1,2,3,30,0,0,-10.700000000000001,981,1.7000000000000002
2019,1,2,4,0,0,0,-10.600000000000001,981,1.8
2019,1,2,4,30,0,0,-10.5,981,2
2019,1,2,5,0,0,0,-10.4,981,2.2
2019,1,2,5,30,0,0,-10.200000000000001,981,2.4000000000000004
2019,1,2,6,0,0,0,-10.100000000000001,981,2.6
2019,1,2,6,30,0,0,-10,981,2.7
2019,1,2,7,0,0,0,-9.8,981,2.8000000000000003
2019,1,2,7,30,0,0,-9.200000000000001,981,3.2
2019,1,2,8,0,24,24,-8.5,981,3.6
2019,1,2,8,30,92,92,-7.4,981,3.9000000000000004
2019,1,2,9,0,174,174,-6.300000000000001,981,4.3
2019,1,2,9,30,254,254,-5,980,4.6000000000000005
2019,1,2,10,0,327,327,-3.7,980,4.9
2019,1,2,10,30,391,391,-2.6,979,4.7
2019,1,2,11,0,446,446,-1.6,979,4.6000000000000005
2019,1,2,11,30,483,483,-0.7000000000000001,978,4.4
2019,1,2,12,0,506,506,0.1,977,4.3
2019,1,2,12,30,513,513,0.7000000000000001,977,4
2019,1,2,13,0,501,501,1.3,977,3.8000000000000003
2019,1,2,13,30,478,478,1.5,977,3.6
2019,1,2,14,0,442,442,1.8,977,3.3000000000000003
2019,1,2,14,30,392,392,1.7000000000000002,976,3.1
2019,1,2,15,0,330,330,1.6,976,2.9000000000000004
2019,1,2,15,30,255,255,0.7000000000000001,976,2.2
2019,1,2,16,0,176,176,-0.30000000000000004,976,1.5
2019,1,2,16,30,96,96,-1.3,976,1.5
2019,1,2,17,0,26,26,-2.2,976,1.4000000000000001
2019,1,2,17,30,0,0,-2.2,976,1.4000000000000001
2019,1,2,18,0,0,0,-2.3000000000000003,977,1.4000000000000001
2019,1,2,18,30,0,0,-2.5,977,1.4000000000000001
2019,1,2,19,0,0,0,-2.7,977,1.4000000000000001
2019,1,2,19,30,0,0,-3,977,1.4000000000000001
2019,1,2,20,0,0,0,-3.3000000000000003,977,1.5
2019,1,2,20,30,0,0,-3.5,977,1.6
2019,1,2,21,0,0,0,-3.7,977,1.7000000000000002
2019,1,2,21,30,0,0,-3.9000000000000004,977,1.7000000000000002
2019,1,2,22,0,0,0,-4,977,1.8
2019,1,2,22,30,0,0,-4.2,977,1.8
2019,1,2,23,0,0,0,-4.4,977,1.8
2019,1,2,23,30,0,0,-4.5,977,1.8
