Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,187237,-,-,-,37.05,-119.26,-8,1192,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2022,1,1,0,0,0,0,-7.4,854,0.5
2022,1,1,0,30,0,0,-7.4,855,0.5
2022,1,1,1,0,0,0,-7.4,855,0.5
2022,1,1,1,30,0,0,-7.2,856,0.5
2022,1,1,2,0,0,0,-7,856,0.5
2022,1,1,2,30,0,0,-6.9,856,0.5
2022,1,1,3,0,0,0,-6.7,857,0.4
2022,1,1,3,30,0,0,-6.9,857,0.4
2022,1,1,4,0,0,0,-7,857,0.4
2022,1,1,4,30,0,0,-7,858,0.4
2022,1,1,5,0,0,0,-6.9,858,0.4
2022,1,1,5,30,0,0,-6.7,858,0.4
2022,1,1,6,0,0,0,-6.5,859,0.4
2022,1,1,6,30,0,0,-6,859,0.30000000000000004
2022,1,1,7,0,0,0,-5.6000000000000005,860,0.30000000000000004
2022,1,1,7,30,38,38,-4,860,0.2
2022,1,1,8,0,117,117,-2.5,861,0.2
2022,1,1,8,30,206,206,-1,861,0.2
2022,1,1,9,0,293,289,0.5,862,0.30000000000000004
2022,1,1,9,30,369,368,1.3,862,0.5
2022,1,1,10,0,434,434,2.1,862,0.6000000000000001
2022,1,1,10,30,487,487,2.9000000000000004,862,0.7000000000000001
2022,1,1,11,0,526,526,3.7,862,0.8
2022,1,1,11,30,550,550,4.2,862,0.8
2022,1,1,12,0,558,558,4.7,862,0.8
2022,1,1,12,30,549,549,4.800000000000001,862,0.8
2022,1,1,13,0,524,524,5,862,0.7000000000000001
2022,1,1,13,30,485,485,4.9,862,0.7000000000000001
2022,1,1,14,0,432,432,4.7,862,0.6000000000000001
2022,1,1,14,30,365,327,4.2,862,0.6000000000000001
2022,1,1,15,0,288,254,3.6,862,0.5
2022,1,1,15,30,203,203,2.3000000000000003,863,0.5
2022,1,1,16,0,116,116,1,863,0.5
2022,1,1,16,30,38,38,0,864,0.6000000000000001
2022,1,1,17,0,0,0,-1,864,0.7000000000000001
2022,1,1,17,30,0,0,-1.4000000000000001,864,0.8
2022,1,1,18,0,0,0,-1.8,865,0.9
2022,1,1,18,30,0,0,-1.8,865,1
2022,1,1,19,0,0,0,-1.7000000000000002,865,1.1
2022,1,1,19,30,0,0,-1.8,866,1
2022,1,1,20,0,0,0,-1.9000000000000001,866,1
2022,1,1,20,30,0,0,-2.1,866,0.9
2022,1,1,21,0,0,0,-2.3000000000000003,866,0.9
2022,1,1,21,30,0,0,-2.2,866,0.9
2022,1,1,22,0,0,0,-2.2,867,1
2022,1,1,22,30,0,0,-2.2,867,1
2022,1,1,23,0,0,0,-2.2,867,1.1
2022,1,1,23,30,0,0,-2.2,867,1.1
2022,1,2,0,0,0,0,-2.2,867,1.1
2022,1,2,0,30,0,0,-2.3000000000000003,867,1.1
2022,1,2,1,0,0,0,-2.4000000000000004,867,1.2000000000000002
2022,1,2,1,30,0,0,-2.2,867,1.2000000000000002
2022,1,2,2,0,0,0,-2.1,867,1.3
2022,1,2,2,30,0,0,-2.1,867,1.3
2022,1,2,3,0,0,0,-2.1,867,1.3
2022,1,2,3,30,0,0,-2.1,866,1.3
2022,1,2,4,0,0,0,-2.2,866,1.3
2022,1,2,4,30,0,0,-2.3000000000000003,866,1.3
2022,1,2,5,0,0,0,-2.4000000000000004,867,1.3
2022,1,2,5,30,0,0,-2.4000000000000004,867,1.3
2022,1,2,6,0,0,0,-2.4000000000000004,867,1.3
2022,1,2,6,30,0,0,-2.4000000000000004,867,1.2000000000000002
2022,1,2,7,0,0,0,-2.4000000000000004,867,1.1
2022,1,2,7,30,37,37,-1.1,867,0.8
2022,1,2,8,0,117,117,0.2,868,0.6000000000000001
2022,1,2,8,30,205,205,1.7000000000000002,868,0.6000000000000001
2022,1,2,9,0,291,291,3.1,868,0.7000000000000001
2022,1,2,9,30,368,368,4.4,868,0.7000000000000001
2022,1,2,10,0,434,434,5.7,868,0.8
2022,1,2,10,30,488,488,6.2,867,0.7000000000000001
2022,1,2,11,0,528,528,6.7,867,0.6000000000000001
2022,1,2,11,30,552,552,6.9,866,0.6000000000000001
2022,1,2,12,0,561,561,7.1000000000000005,866,0.5
2022,1,2,12,30,554,554,7.1000000000000005,865,0.4
2022,1,2,13,0,530,530,7.1000000000000005,865,0.4
