Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,356085,-,-,-,44.97,-110.58,-7,1982,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2021,1,1,0,0,0,0,-14.700000000000001,800,0.5
2021,1,1,0,30,0,0,-14.600000000000001,800,0.5
2021,1,1,1,0,0,0,-14.4,800,0.5
2021,1,1,1,30,0,0,-14.4,800,0.5
2021,1,1,2,0,0,0,-14.3,800,0.5
2021,1,1,2,30,0,0,-14.3,800,0.5
2021,1,1,3,0,0,0,-14.4,800,0.5
2021,1,1,3,30,0,0,-14.600000000000001,800,0.5
2021,1,1,4,0,0,0,-14.9,800,0.5
2021,1,1,4,30,0,0,-15.100000000000001,800,0.5
2021,1,1,5,0,0,0,-15.4,800,0.5
2021,1,1,5,30,0,0,-15.600000000000001,800,0.6000000000000001
2021,1,1,6,0,0,0,-15.700000000000001,800,0.6000000000000001
2021,1,1,6,30,0,0,-15.700000000000001,800,0.6000000000000001
2021,1,1,7,0,0,0,-15.700000000000001,800,0.6000000000000001
2021,1,1,7,30,0,0,-15.4,800,0.6000000000000001
2021,1,1,8,0,3,3,-15.100000000000001,800,0.6000000000000001
2021,1,1,8,30,52,41,-13.600000000000001,800,0.6000000000000001
2021,1,1,9,0,120,92,-12,800,0.7000000000000001
2021,1,1,9,30,191,126,-10.4,800,0.7000000000000001
2021,1,1,10,0,256,174,-8.8,800,0.7000000000000001
2021,1,1,10,30,312,261,-7.7,800,0.7000000000000001
2021,1,1,11,0,358,286,-6.6000000000000005,800,0.7000000000000001
2021,1,1,11,30,391,347,-5.9,799,0.8
2021,1,1,12,0,409,401,-5.2,799,0.8
2021,1,1,12,30,412,412,-5,799,0.8
2021,1,1,13,0,402,372,-4.7,799,0.8
2021,1,1,13,30,380,340,-4.800000000000001,798,0.8
2021,1,1,14,0,344,298,-4.9,798,0.8
2021,1,1,14,30,296,222,-5.2,798,0.8
2021,1,1,15,0,238,74,-5.6000000000000005,798,0.8
2021,1,1,15,30,171,75,-6.4,798,0.8
2021,1,1,16,0,101,42,-7.2,798,0.8
2021,1,1,16,30,35,14,-7.2,798,0.8
2021,1,1,17,0,0,0,-8.8,798,0.8
2021,1,1,17,30,0,0,-9.200000000000001,798,0.9
2021,1,1,18,0,0,0,-9.700000000000001,798,0.9
2021,1,1,18,30,0,0,-9.9,798,0.9
2021,1,1,19,0,0,0,-10.200000000000001,798,0.9
2021,1,1,19,30,0,0,-10.200000000000001,798,1
2021,1,1,20,0,0,0,-10.100000000000001,798,1
2021,1,1,20,30,0,0,-9.9,797,1
2021,1,1,21,0,0,0,-9.700000000000001,797,1
2021,1,1,21,30,0,0,-9.4,797,1
2021,1,1,22,0,0,0,-9.1,797,1
2021,1,1,22,30,0,0,-8.8,796,1
2021,1,1,23,0,0,0,-8.6,796,1
2021,1,1,23,30,0,0,-8.4,796,1
2021,1,2,0,0,0,0,-8.200000000000001,796,1
2021,1,2,0,30,0,0,-8.1,796,1
2021,1,2,1,0,0,0,-8,796,1
2021,1,2,1,30,0,0,-7.9,796,1
2021,1,2,2,0,0,0,-7.7,796,1
2021,1,2,2,30,0,0,-7.6000000000000005,796,1
2021,1,2,3,0,0,0,-7.5,796,1.1
2021,1,2,3,30,0,0,-7.5,796,1.1
2021,1,2,4,0,0,0,-7.5,796,1.1
2021,1,2,4,30,0,0,-7.7,796,1.1
2021,1,2,5,0,0,0,-7.800000000000001,796,1
2021,1,2,5,30,0,0,-8,796,1
2021,1,2,6,0,0,0,-8.1,796,1
2021,1,2,6,30,0,0,-8.1,796,1
2021,1,2,7,0,0,0,-8.200000000000001,796,0.9
2021,1,2,7,30,0,0,-8.200000000000001,796,0.9
2021,1,2,8,0,3,1,-8.200000000000001,796,0.9
2021,1,2,8,30,49,18,-8.1,797,0.9
2021,1,2,9,0,114,41,-7.9,797,0.8
2021,1,2,9,30,183,80,-7.5,797,0.8
2021,1,2,10,0,248,176,-7.1000000000000005,797,0.8
2021,1,2,10,30,306,275,-6.6000000000000005,797,0.8
2021,1,2,11,0,352,267,-6.1000000000000005,797,0.9
2021,1,2,11,30,384,219,-5.7,797,0.9
2021,1,2,12,0,406,186,-5.2,796,0.8
2021,1,2,12,30,414,260,-4.9,796,0.8
2021,1,2,13,0,406,341,-4.6000000000000005,796,0.8
2021,1,2,13,30,387,334,-4.6000000000000005,796,0.8
2021,1,2,14,0,351,320,-4.5,796,0.8
2021,1,2,14,30,303,255,-4.7,796,0.8
2021,1,2,15,0,244,181,-5,796,0.8
2021,1,2,15,30,176,118,-5.5,796,0.7000000000000001
