Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1467062,-,-,-,18.13,-66.98,-4,518,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2022,1,1,0,0,0,0,23.400000000000002,993,4.5
2022,1,1,0,30,0,0,23.400000000000002,993,4.6000000000000005
2022,1,1,1,0,0,0,23.400000000000002,993,4.6000000000000005
2022,1,1,1,30,0,0,23.400000000000002,993,4.6000000000000005
2022,1,1,2,0,0,0,23.3,993,4.6000000000000005
2022,1,1,2,30,0,0,23.3,993,4.6000000000000005
2022,1,1,3,0,0,0,23.200000000000003,993,4.6000000000000005
2022,1,1,3,30,0,0,23.200000000000003,993,4.6000000000000005
2022,1,1,4,0,0,0,23.1,993,4.6000000000000005
2022,1,1,4,30,0,0,23,993,4.5
2022,1,1,5,0,0,0,23,993,4.5
2022,1,1,5,30,0,0,22.900000000000002,993,4.5
2022,1,1,6,0,0,0,22.900000000000002,993,4.5
2022,1,1,6,30,0,0,23.200000000000003,993,4.6000000000000005
2022,1,1,7,0,7,7,23.400000000000002,993,4.7
2022,1,1,7,30,74,74,24,994,5
2022,1,1,8,0,178,178,24.5,994,5.300000000000001
2022,1,1,8,30,290,290,25,994,5.5
2022,1,1,9,0,400,400,25.5,995,5.6000000000000005
2022,1,1,9,30,502,502,25.900000000000002,995,5.6000000000000005
2022,1,1,10,0,594,594,26.3,995,5.6000000000000005
2022,1,1,10,30,673,673,26.700000000000003,994,5.5
2022,1,1,11,0,736,736,27,994,5.5
2022,1,1,11,30,782,782,27.3,994,5.4
2022,1,1,12,0,810,810,27.6,993,5.300000000000001
2022,1,1,12,30,819,819,27.700000000000003,993,5.2
2022,1,1,13,0,809,809,27.900000000000002,993,5.1000000000000005
2022,1,1,13,30,784,784,27.900000000000002,992,5.1000000000000005
2022,1,1,14,0,740,740,27.900000000000002,992,5.1000000000000005
2022,1,1,14,30,678,662,27.700000000000003,992,5.1000000000000005
2022,1,1,15,0,600,572,27.6,992,5.1000000000000005
2022,1,1,15,30,509,481,27.3,992,5.1000000000000005
2022,1,1,16,0,408,395,27.1,992,5.1000000000000005
2022,1,1,16,30,299,299,26.6,992,5
2022,1,1,17,0,187,187,26.1,992,4.800000000000001
2022,1,1,17,30,83,83,25.5,992,4.7
2022,1,1,18,0,11,11,25,993,4.6000000000000005
2022,1,1,18,30,0,0,24.900000000000002,993,4.7
2022,1,1,19,0,0,0,24.700000000000003,994,4.7
2022,1,1,19,30,0,0,24.400000000000002,994,4.6000000000000005
2022,1,1,20,0,0,0,24.200000000000003,994,4.6000000000000005
2022,1,1,20,30,0,0,24,994,4.5
2022,1,1,21,0,0,0,23.8,994,4.5
2022,1,1,21,30,0,0,23.6,995,4.4
2022,1,1,22,0,0,0,23.400000000000002,995,4.2
2022,1,1,22,30,0,0,23.3,995,4.2
2022,1,1,23,0,0,0,23.200000000000003,994,4.1000000000000005
2022,1,1,23,30,0,0,23.1,994,4
2022,1,2,0,0,0,0,23,994,4
2022,1,2,0,30,0,0,22.900000000000002,994,4
2022,1,2,1,0,0,0,22.8,994,3.9000000000000004
2022,1,2,1,30,0,0,22.900000000000002,994,4
2022,1,2,2,0,0,0,22.900000000000002,994,4
2022,1,2,2,30,0,0,22.900000000000002,993,4
2022,1,2,3,0,0,0,22.900000000000002,993,4
2022,1,2,3,30,0,0,22.900000000000002,993,4
2022,1,2,4,0,0,0,22.900000000000002,993,4
2022,1,2,4,30,0,0,22.900000000000002,993,4
2022,1,2,5,0,0,0,22.900000000000002,994,4
2022,1,2,5,30,0,0,22.900000000000002,994,4
2022,1,2,6,0,0,0,22.8,994,3.9000000000000004
2022,1,2,6,30,0,0,23.1,994,4
2022,1,2,7,0,7,7,23.400000000000002,995,4.1000000000000005
2022,1,2,7,30,74,74,24.1,995,4.5
2022,1,2,8,0,178,178,24.700000000000003,995,4.9
2022,1,2,8,30,290,290,25.1,995,5.1000000000000005
2022,1,2,9,0,400,400,25.5,996,5.2
2022,1,2,9,30,502,502,25.900000000000002,996,5.300000000000001
2022,1,2,10,0,594,594,26.3,996,5.300000000000001
2022,1,2,10,30,673,673,26.6,995,5.300000000000001
2022,1,2,11,0,737,663,26.900000000000002,995,5.300000000000001
2022,1,2,11,30,783,720,27.200000000000003,995,5.1000000000000005
2022,1,2,12,0,811,724,27.5,994,5
2022,1,2,12,30,821,626,27.6,994,4.9
2022,1,2,13,0,812,478,27.700000000000003,993,4.800000000000001
2022,1,2,13,30,785,436,27.8,993,4.800000000000001
2022,1,2,14,0,741,392,27.8,993,4.7
2022,1,2,14,30,679,323,27.700000000000003,993,4.7
2022,1,2,15,0,602,311,27.6,993,4.7
2022,1,2,15,30,511,231,27.3,993,4.7
2022,1,2,16,0,409,195,27,993,4.7
2022,1,2,16,30,300,178,26.5,993,4.5
2022,1,2,17,0,189,104,26,993,4.3
2022,1,2,17,30,84,32,25.5,993,4.2
2022,1,2,18,0,12,6,25,994,4.2
2022,1,2,18,30,0,0,24.8,994,4.2
2022,1,2,19,0,0,0,24.5,994,4.3
2022,1,2,19,30,0,0,24.3,995,4.2
2022,1,2,20,0,0,0,24,995,4.2
2022,1,2,20,30,0,0,23.8,995,4.1000000000000005
2022,1,2,21,0,0,0,23.700000000000003,995,4.1000000000000005
2022,1,2,21,30,0,0,23.5,995,4
