Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,461546,-,-,-,39.89,-105.9,-7,2902,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2021,1,1,0,0,0,0,-14.9,708,0.8
2021,1,1,0,30,0,0,-15.100000000000001,708,0.8
2021,1,1,1,0,0,0,-15.3,708,0.9
2021,1,1,1,30,0,0,-15.4,708,0.9
2021,1,1,2,0,0,0,-15.5,708,0.8
2021,1,1,2,30,0,0,-15.5,708,0.8
2021,1,1,3,0,0,0,-15.5,708,0.7000000000000001
2021,1,1,3,30,0,0,-15.5,708,0.7000000000000001
2021,1,1,4,0,0,0,-15.5,708,0.7000000000000001
2021,1,1,4,30,0,0,-15.5,708,0.7000000000000001
2021,1,1,5,0,0,0,-15.5,708,0.7000000000000001
2021,1,1,5,30,0,0,-15.5,709,0.6000000000000001
2021,1,1,6,0,0,0,-15.5,709,0.6000000000000001
2021,1,1,6,30,0,0,-15.5,709,0.6000000000000001
2021,1,1,7,0,0,0,-15.5,709,0.6000000000000001
2021,1,1,7,30,11,11,-14.5,709,0.5
2021,1,1,8,0,72,39,-13.600000000000001,710,0.5
2021,1,1,8,30,154,76,-11.8,710,0.5
2021,1,1,9,0,238,145,-10,710,0.5
2021,1,1,9,30,315,306,-8.700000000000001,710,0.5
2021,1,1,10,0,382,382,-7.4,710,0.5
2021,1,1,10,30,438,438,-6.6000000000000005,710,0.4
2021,1,1,11,0,480,480,-5.800000000000001,709,0.4
2021,1,1,11,30,507,507,-5.2,709,0.30000000000000004
2021,1,1,12,0,518,518,-4.7,709,0.30000000000000004
2021,1,1,12,30,514,514,-4.4,709,0.4
2021,1,1,13,0,495,495,-4.1000000000000005,708,0.4
2021,1,1,13,30,460,449,-4.1000000000000005,708,0.4
2021,1,1,14,0,411,406,-4.1000000000000005,709,0.4
2021,1,1,14,30,349,349,-4.5,709,0.30000000000000004
2021,1,1,15,0,277,277,-4.9,709,0.30000000000000004
2021,1,1,15,30,196,162,-6.300000000000001,709,0.30000000000000004
2021,1,1,16,0,112,86,-7.7,709,0.30000000000000004
2021,1,1,16,30,36,29,-7.7,709,0.30000000000000004
2021,1,1,17,0,0,0,-9.5,710,0.6000000000000001
2021,1,1,17,30,0,0,-10.100000000000001,710,0.7000000000000001
2021,1,1,18,0,0,0,-10.700000000000001,710,0.8
2021,1,1,18,30,0,0,-11.5,710,0.9
2021,1,1,19,0,0,0,-12.3,710,1
