Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,706376,-,-,-,39.09,-96.62,-6,401,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Clearsky GHI,GHI,Temperature,Pressure,Wind Speed
2020,1,1,0,0,0,0,-2.2,970,2.6
2020,1,1,0,30,0,0,-2.3000000000000003,969,2.7
2020,1,1,1,0,0,0,-2.3000000000000003,969,2.9000000000000004
2020,1,1,1,30,0,0,-2.5,969,2.9000000000000004
2020,1,1,2,0,0,0,-2.6,968,2.8000000000000003
2020,1,1,2,30,0,0,-2.7,968,2.8000000000000003
2020,1,1,3,0,0,0,-2.9000000000000004,967,2.8000000000000003
2020,1,1,3,30,0,0,-2.9000000000000004,967,2.9000000000000004
2020,1,1,4,0,0,0,-3,966,3
2020,1,1,4,30,0,0,-3,965,3.2
2020,1,1,5,0,0,0,-3,965,3.4000000000000004
2020,1,1,5,30,0,0,-3,965,3.5
2020,1,1,6,0,0,0,-3,964,3.6
2020,1,1,6,30,0,0,-2.9000000000000004,964,3.8000000000000003
2020,1,1,7,0,0,0,-2.9000000000000004,964,3.9000000000000004
2020,1,1,7,30,0,0,-2.4000000000000004,964,4.3
2020,1,1,8,0,24,24,-1.9000000000000001,963,4.6000000000000005
2020,1,1,8,30,92,92,-0.8,963,4.7
2020,1,1,9,0,171,171,0.4,963,4.800000000000001
2020,1,1,9,30,248,248,1.9000000000000001,963,5.2
2020,1,1,10,0,319,319,3.5,962,5.7
