siteID,eventID,collectDate_UTC,peakMaxVelocity_mPerSec,wettedWidth_m,meanDepth_m,meanQ_lps,meanTemp_c,k600.normClean_mPerDay,K600.normClean_perDay,k600.normCorr_mPerDay,K600.normCorr_perDay,k600.stanClean_mPerDay,K600.stanClean_perDay,k600.stanSaltCorr_mPerDay,K600.stanSaltCorr_perDay,best_k600_mPerDay,best_K600_perDay,best_unpooled_k600_mPerDay,best_unpooled_K600_perDay
BIGC,BIGC.20170620,6/20/17 16:46,0.18556701,4.256666667,0.159109371,125.68,16,2.451972561,15.41061061,4.446974169,27.94916567,1.994399242,12.32932009,NA,NA,1.994399242,12.32932009,2.451972561,15.41061061
BIGC,BIGC.20170627,6/27/17 17:54,0.209302326,4.206666667,0.117426572,103.39,16.8,2.616023656,22.27795303,4.033264355,34.34711825,2.945700999,24.56221229,NA,NA,2.945700999,24.56221229,2.616023656,22.27795303
BIGC,BIGC.20170712,7/12/17 17:39,0.163636364,4.063333333,0.134093519,89.16,16.2,1.4529747,10.83553263,4.230336606,31.54765896,1.33428671,9.565093966,NA,NA,1.33428671,9.565093966,1.4529747,10.83553263
BIGC,BIGC.20170808,8/8/17 17:31,0.136363636,3.900666667,0.112406426,59.79,16.1,2.284242861,20.3212836,2.976792687,26.48240668,2.347490593,20.61911805,NA,NA,2.347490593,20.61911805,2.284242861,20.3212836
BIGC,BIGC.20170905,9/5/17 17:59,0.079646018,3.745,0.091325323,27.24,17.5,1.913361491,20.95105091,3.734358093,40.89071871,1.776286166,19.32702451,NA,NA,1.776286166,19.32702451,1.913361491,20.95105091
BIGC,BIGC.20171003,10/3/17 17:08,0.101694915,3.953333333,0.103150506,41.47,10.2,4.465282078,43.28899829,-17.23909072,-167.125605,4.12860604,39.90892239,NA,NA,4.12860604,39.90892239,4.465282078,43.28899829
BIGC,BIGC.20180227,2/27/18 18:42,0.097297297,4.186666667,0.098268976,40.03,4,0.333293768,3.391647916,-19.24371011,-195.826912,0.670392296,6.18609056,NA,NA,0.670392296,6.18609056,0.333293768,3.391647916
BIGC,BIGC.20180409,4/9/18 19:35,0.240641711,4.2,0.175967989,177.85,11.6,1.338234483,7.604988219,9.878916157,56.14041629,1.697681596,9.379747618,NA,NA,1.697681596,9.379747618,1.338234483,7.604988219
BIGC,BIGC.20180620,6/20/18 18:33,0.081447964,3.956666667,0.187735187,60.5,16.7,3.33563279,17.76775491,-21.46201466,-114.3206823,3.24843423,17.35650225,NA,NA,3.24843423,17.35650225,3.33563279,17.76775491
BIGC,BIGC.20181023,10/23/18 17:00,0.04137931,3.836666667,0.115326021,18.309,9.9,2.55949422,22.19355352,0.533567729,4.626603125,2.399735219,20.80938461,NA,NA,2.399735219,20.80938461,2.55949422,22.19355352
BIGC,BIGC.20181217,12/17/18 19:13,0.070038911,3.891666667,0.178194004,48.57,7.8,1.350520183,7.578931683,-2.491189932,-13.98021188,1.585208718,9.032167683,NA,NA,1.585208718,9.032167683,1.350520183,7.578931683
BIGC,BIGC.20190508,5/8/19 17:30,0.243243243,4.105666667,0.195919461,195.66,12.7,2.588598506,13.21256445,28.13240834,143.5916993,2.493528353,12.95839331,NA,NA,2.493528353,12.95839331,2.588598506,13.21256445
BIGC,BIGC.20190619,6/19/19 18:46,0.202247191,4.018,0.174310741,141.65,17.9,1.452946075,8.335378914,4.557639993,26.14663885,1.49258539,8.42571221,NA,NA,1.49258539,8.42571221,1.452946075,8.335378914
BIGC,BIGC.20190813,8/13/19 17:09,0.117647059,3.891666667,0.149101285,68.265,17.2,0.815539685,5.469702594,5.842845986,39.18709343,1.257959306,8.309975245,NA,NA,1.257959306,8.309975245,0.815539685,5.469702594
BIGC,BIGC.20190909,9/9/19 18:58,0.074074074,3.945666667,0.171292726,50.064,16,2.644010023,15.43562348,3.235522537,18.88884959,2.804088026,16.4048932,NA,NA,2.804088026,16.4048932,2.644010023,15.43562348
BIGC,BIGC.20191118,11/18/19 19:24,0.06870229,3.994,0.138777054,38.08,10.3,2.160472087,15.5679345,6.386422943,46.01930045,2.197532616,15.84960055,NA,NA,2.197532616,15.84960055,2.160472087,15.5679345
BIGC,BIGC.20191211,12/11/19 16:49,0.15,4.026,0.150587846,90.94,6.6,3.818567357,25.35773941,11.128877,73.90288986,3.517051297,23.26773796,NA,NA,3.517051297,23.26773796,3.818567357,25.35773941
BIGC,BIGC.20200226,2/26/20 18:26,0.094736842,3.885,0.141990562,52.26,8.3,2.297012801,16.1772217,4.628463429,32.59697943,2.06601493,14.5084909,NA,NA,2.06601493,14.5084909,2.297012801,16.1772217
BIGC,BIGC.20201104,11/4/20 17:47,0.047244094,3.404,0.10073443,16.2,10.2,1.172333826,11.63786628,2.340135395,23.23074042,1.080086742,10.67656942,NA,NA,1.080086742,10.67656942,1.172333826,11.63786628
