site,yr_jday,K,K.lower,K.upper,K.median,U,U.lower,U.upper,U.median,N_e,N_e.lower,N_e.upper,N_e.median,sumlightReal,sumlightIdeal,z,b0,b1,model_date,model_jday,Year,domainID,d
BIGC,2021_56,2.151900933738403,0.9321062319306901,3.953220504665596,2.032638109019582,0.12433815307293976,0.0904975273144953,0.16446228040278546,0.12318305667976664,3.063486680736558,2.7662902286577364,3.5110182581292286,3.0346759515649455,5190,11038.643455924495,0.2,-8.823148904773692,0.7895468293217817,2021-02-25,56,2021,D17,1
BIGC,2021_57,2.03868699570197,0.9233723820653036,3.659375371600569,1.94001335773457,0.12896647984752052,0.09575658312257848,0.1699917527903168,0.1275282744868534,2.996222355402942,2.6962258126005585,3.400952088833706,2.975953435380145,5297,11150.77604441168,0.2,-10.061708778899257,0.9260139142451748,2021-02-26,57,2021,D17,2
BIGC,2021_58,1.7880714098170125,0.8294298169008782,3.1971274291579217,1.7136348519200835,0.12940921427882285,0.09416507838861199,0.17288551978251843,0.1281201400349071,2.959045730964911,2.614922768489224,3.4138321358815364,2.9384525873176246,5152,11263.408410756747,0.2,-8.863438076102412,0.7860220071345048,2021-02-27,58,2021,D17,3
BIGC,2021_59,2.095929969576665,0.909054265654601,3.826015424807076,1.9985962226372571,0.12693314168649403,0.09403300835459573,0.1673229295746827,0.12559574668216994,2.8298759685101156,2.523284174566789,3.2553524226469785,2.807881151022061,5352,11376.489896152008,0.2,-8.5926127063113,0.7567531375754016,2021-02-28,59,2021,D17,4
BIGC,2021_60,2.019266189480077,0.9245438536339708,3.568394497511145,1.9277100135852496,0.1346818281022524,0.09886155294773456,0.17682877228376245,0.13338229645298227,2.919064550995242,2.610052840734158,3.3795860703914418,2.8923168094245315,5557,11489.969755429724,0.2,-8.832466780086529,0.786714148909548,2021-03-01,60,2021,D17,5
BIGC,2021_61,1.9690092779530024,0.8686649835805854,3.527382546012719,1.896505877903551,0.1258617900044069,0.09237185575549953,0.16740458043235548,0.12434410530600382,2.626044503597427,2.3003016541689254,3.036276818178711,2.6113012142093037,5070,11603.797204611255,0.2,-8.459047085631342,0.7404956199105396,2021-03-02,61,2021,D17,6
BIGC,2021_63,2.304662227031576,0.9372864354778321,4.315006485368593,2.1939911528273446,0.132871697007912,0.0988049681331325,0.1726201182283361,0.1315944457830032,2.529039033321217,2.251018298546122,2.9667875735736016,2.5001502751331537,5582,11832.291829445487,0.2,-8.98943670453597,0.8039185171200771,2021-03-04,63,2021,D17,7
BIGC,2021_64,2.210446004328899,0.9736680612151805,4.050690311054163,2.1163975244594013,0.13705252212992644,0.1019095283863769,0.18014163553993426,0.13568503530612203,2.4941786538806077,2.2207268895023216,2.91103023974013,2.467229702348187,5614,11946.857675440173,0.2,-9.865222028936332,0.9014212165772809,2021-03-05,64,2021,D17,8
BIGC,2021_65,2.149619716690641,0.9074646564663104,3.989270360174149,2.0495596557710103,0.11009845504568355,0.07920745668449386,0.1496991346656154,0.1083276177127607,2.3761875323363397,2.094291193880223,2.7872831108478437,2.356169130290153,4236,12061.568549545336,0.2,-11.338439391392992,1.0690354045659363,2021-03-06,65,2021,D17,9
BIGC,2021_128,2.4505702615526337,1.018142266056372,4.772648461812542,2.273306431674996,0.1730662392502165,0.12783351148755795,0.2222397729050221,0.1726815521786146,2.2121468288214063,1.896082879911617,2.7343063850229865,2.1762632463931615,8537,18660.618698830687,0.2,-8.76989495319676,0.77928645898015,2021-05-08,128,2021,D17,10
BIGC,2021_129,2.5151771230690394,0.9784678157175617,5.216700367056301,2.3117294840796223,0.1646661357659295,0.12106208942663986,0.21135834616884203,0.16391380239513426,2.10289034625663,1.8149047708099144,2.6189909401938203,2.065724590933317,8338,18729.198745610192,0.2,-9.022419631468903,0.8091498693961605,2021-05-09,129,2021,D17,11
