site,local_datetime,model_datetime,N_conc,N_pred,N_pred.lower,N_pred.upper,lightReal,z,Year,yr_jday,Jday,model_jday,hours,mod_hours
BIGC,2021-02-25T12:00:00Z,2021-02-25T08:00:00Z,2.8,2.8,2.8,2.8,0,0.2,2021,2021_56,56,56,4,0
BIGC,2021-02-25T13:00:00Z,2021-02-25T09:00:00Z,2.9,2.8204595651744593,2.7964504169583217,2.84429901717646,0,0.2,2021,2021_56,56,56,5,1
BIGC,2021-02-25T14:00:00Z,2021-02-25T10:00:00Z,2.9,2.839123713393739,2.793309240155075,2.884829171377497,0,0.2,2021,2021_56,56,56,6,2
BIGC,2021-02-25T15:00:00Z,2021-02-25T11:00:00Z,2.9,2.848101554441273,2.7833876467974035,2.913185934300484,46,0.2,2021,2021_56,56,56,7,3
BIGC,2021-02-25T16:00:00Z,2021-02-25T12:00:00Z,2.9,2.8311426719555355,2.75166651648154,2.9132806924311874,265,0.2,2021,2021_56,56,56,8,4
BIGC,2021-02-25T17:00:00Z,2021-02-25T13:00:00Z,2.9,2.793819133388576,2.700543556697377,2.8890692744096884,468,0.2,2021,2021_56,56,56,9,5
BIGC,2021-02-25T18:00:00Z,2021-02-25T14:00:00Z,2.8,2.7426724001882548,2.6360383132892458,2.851008392515792,620,0.2,2021,2021_56,56,56,10,6
BIGC,2021-02-25T19:00:00Z,2021-02-25T15:00:00Z,2.8,2.6848123074595365,2.562409270278556,2.8077470698951674,730,0.2,2021,2021_56,56,56,11,7
BIGC,2021-02-25T20:00:00Z,2021-02-25T16:00:00Z,2.7,2.6274719254166197,2.4885093385534987,2.763747551753015,772,0.2,2021,2021_56,56,56,12,8
BIGC,2021-02-25T21:00:00Z,2021-02-25T17:00:00Z,2.6,2.5775493587924116,2.4212655794931917,2.7269984991788623,743,0.2,2021,2021_56,56,56,13,9
BIGC,2021-02-25T22:00:00Z,2021-02-25T18:00:00Z,2.6,2.541168325949727,2.3660299374225406,2.7024442533315156,654,0.2,2021,2021_56,56,56,14,10
BIGC,2021-02-25T23:00:00Z,2021-02-25T19:00:00Z,2.5,2.5232879915159683,2.3305036201781677,2.693370439817014,512,0.2,2021,2021_56,56,56,15,11
BIGC,2021-02-26T00:00:00Z,2021-02-25T20:00:00Z,2.5,2.527389095211545,2.323649638016156,2.7039677617463482,262,0.2,2021,2021_56,56,56,16,12
BIGC,2021-02-26T01:00:00Z,2021-02-25T21:00:00Z,2.5,2.555258156609902,2.3398967186207877,2.7382575808453993,118,0.2,2021,2021_56,56,56,17,13
