site,local_datetime,model_datetime,N_conc,N_pred,N_pred.lower,N_pred.upper,lightReal,z,Year,yr_jday,Jday,model_jday,hours,mod_hours
CUPE,2021-01-01T08:00:00Z,2021-01-01T04:00:00Z,26.9,26.9,26.9,26.9,0,0.15,2021,2021_1,1,1,4,0
CUPE,2021-01-01T09:00:00Z,2021-01-01T05:00:00Z,26.9,26.97562422445925,26.898292129715518,27.055813394846613,0,0.15,2021,2021_1,1,1,5,1
CUPE,2021-01-01T10:00:00Z,2021-01-01T06:00:00Z,27,27.038107723818296,26.89692800058726,27.186830135390114,0,0.15,2021,2021_1,1,1,6,2
CUPE,2021-01-01T11:00:00Z,2021-01-01T07:00:00Z,27.1,27.08991520830843,26.895838421935512,27.300840924091865,0,0.15,2021,2021_1,1,1,7,3
CUPE,2021-01-01T12:00:00Z,2021-01-01T08:00:00Z,26.9,26.978539629001613,26.74203064026943,27.241184951772418,168,0.15,2021,2021_1,1,1,8,4
CUPE,2021-01-01T13:00:00Z,2021-01-01T09:00:00Z,26.7,26.743569561531995,26.476018845149635,27.048578191266987,387,0.15,2021,2021_1,1,1,9,5
CUPE,2021-01-01T14:00:00Z,2021-01-01T10:00:00Z,26.4,26.434232494681975,26.13846862798068,26.772939616450643,578,0.15,2021,2021_1,1,1,10,6
CUPE,2021-01-01T15:00:00Z,2021-01-01T11:00:00Z,26.1,26.098389680509694,25.776531641616817,26.45948571230729,720,0.15,2021,2021_1,1,1,11,7
CUPE,2021-01-01T16:00:00Z,2021-01-01T12:00:00Z,25.7,25.78061053301811,25.438410300621857,26.167142490569603,793,0.15,2021,2021_1,1,1,12,8
CUPE,2021-01-01T17:00:00Z,2021-01-01T13:00:00Z,25.4,25.520177587816683,25.14052246231369,25.914720302667398,795,0.15,2021,2021_1,1,1,13,9
CUPE,2021-01-01T18:00:00Z,2021-01-01T14:00:00Z,25.3,25.349225946491078,24.944497710296893,25.756845081668217,730,0.15,2021,2021_1,1,1,14,10
CUPE,2021-01-01T19:00:00Z,2021-01-01T15:00:00Z,25.3,25.291195468029,24.85800290953561,25.704185758984753,593,0.15,2021,2021_1,1,1,15,11
CUPE,2021-01-01T20:00:00Z,2021-01-01T16:00:00Z,25.5,25.35974033383227,24.9001693544523,25.76717911346863,402,0.15,2021,2021_1,1,1,16,12
CUPE,2021-01-01T21:00:00Z,2021-01-01T17:00:00Z,25.7,25.55820020318351,25.078545919216136,25.960676721789437,182,0.15,2021,2021_1,1,1,17,13
CUPE,2021-01-01T22:00:00Z,2021-01-01T18:00:00Z,26,25.87594904197648,25.368225707844566,26.27425098761921,0,0.15,2021,2021_1,1,1,18,14
CUPE,2021-01-01T23:00:00Z,2021-01-01T19:00:00Z,26.3,26.133388720931677,25.612130798938395,26.51777952669395,0,0.15,2021,2021_1,1,1,19,15
CUPE,2021-01-02T00:00:00Z,2021-01-01T20:00:00Z,26.5,26.342795856009868,25.83218271983319,26.715163986725965,0,0.15,2021,2021_1,1,1,20,16
CUPE,2021-01-02T01:00:00Z,2021-01-01T21:00:00Z,26.7,26.513792967247102,26.021661283609486,26.876717411317653,0,0.15,2021,2021_1,1,1,21,17
CUPE,2021-01-02T02:00:00Z,2021-01-01T22:00:00Z,26.8,26.65395320442754,26.170373595989062,27.012850164333305,0,0.15,2021,2021_1,1,1,22,18
CUPE,2021-01-02T03:00:00Z,2021-01-01T23:00:00Z,26.9,26.769260752932738,26.307448297400626,27.12513804922518,0,0.15,2021,2021_1,1,1,23,19
CUPE,2021-01-02T04:00:00Z,2021-01-02T00:00:00Z,26.9,26.864462813228176,26.42078970539137,27.2265297425553,0,0.15,2021,2021_1,2,1,0,20
CUPE,2021-01-02T05:00:00Z,2021-01-02T01:00:00Z,27,26.943339784207446,26.52561221465644,27.319600957536718,0,0.15,2021,2021_1,2,1,1,21
CUPE,2021-01-02T06:00:00Z,2021-01-02T02:00:00Z,27,27.008913488818777,26.603370036263698,27.394510006316587,0,0.15,2021,2021_1,2,1,2,22
CUPE,2021-01-02T07:00:00Z,2021-01-02T03:00:00Z,27,27.063608280623797,26.673154483240282,27.466622556885078,0,0.15,2021,2021_1,2,1,3,23
CUPE,2021-01-02T08:00:00Z,2021-01-02T04:00:00Z,27,27,27,27,0,0.15,2021,2021_2,2,2,4,0
CUPE,2021-01-02T09:00:00Z,2021-01-02T05:00:00Z,27,26.946130570050368,26.84411360428208,27.04401759643228,0,0.15,2021,2021_2,2,2,5,1
CUPE,2021-01-02T10:00:00Z,2021-01-02T06:00:00Z,27.1,26.902331439839074,26.72109816817884,27.082995203831157,0,0.15,2021,2021_2,2,2,6,2
CUPE,2021-01-02T11:00:00Z,2021-01-02T07:00:00Z,27.1,26.86667190551816,26.624475844258583,27.11761442129113,0,0.15,2021,2021_2,2,2,7,3
CUPE,2021-01-02T12:00:00Z,2021-01-02T08:00:00Z,26.9,26.677428663850755,26.39161263227678,26.990780759437577,36,0.15,2021,2021_2,2,2,8,4
CUPE,2021-01-02T13:00:00Z,2021-01-02T09:00:00Z,26.3,26.36834824869643,26.054325158124826,26.721712671428467,174,0.15,2021,2021_2,2,2,9,5
CUPE,2021-01-02T14:00:00Z,2021-01-02T10:00:00Z,25.7,25.98663271423954,25.6431619460921,26.377672171835233,575,0.15,2021,2021_2,2,2,10,6
CUPE,2021-01-02T15:00:00Z,2021-01-02T11:00:00Z,25.3,25.579995407073138,25.20838996017431,25.998013094362022,341,0.15,2021,2021_2,2,2,11,7
CUPE,2021-01-02T16:00:00Z,2021-01-02T12:00:00Z,24.9,25.194197333411356,24.798647163609164,25.63940654946626,546,0.15,2021,2021_2,2,2,12,8
CUPE,2021-01-02T17:00:00Z,2021-01-02T13:00:00Z,24.7,24.870571682795735,24.44340080476312,25.34443175163017,92,0.15,2021,2021_2,2,2,13,9
CUPE,2021-01-02T18:00:00Z,2021-01-02T14:00:00Z,24.6,24.643732738606968,24.19691306769206,25.123099434634177,587,0.15,2021,2021_2,2,2,14,10
CUPE,2021-01-02T19:00:00Z,2021-01-02T15:00:00Z,24.5,24.539647403954557,24.092096003526024,25.013892861249317,101,0.15,2021,2021_2,2,2,15,11
CUPE,2021-01-02T20:00:00Z,2021-01-02T16:00:00Z,24.6,24.574218535296943,24.123445078741195,25.022066527511058,406,0.15,2021,2021_2,2,2,16,12
CUPE,2021-01-02T21:00:00Z,2021-01-02T17:00:00Z,24.8,24.752490952961303,24.308924540572992,25.17387169049823,185,0.15,2021,2021_2,2,2,17,13
