site,local_datetime,model_datetime,N_conc,N_pred,N_pred.lower,N_pred.upper,lightReal,z,Year,yr_jday,Jday,model_jday,hours,mod_hours
WLOU,2021-02-01T11:00:00Z,2021-02-01T07:00:00Z,3.7,3.7,3.7,3.7,0,0.0797349887539881,2021,2021_032,32,32,4,0
WLOU,2021-02-01T12:00:00Z,2021-02-01T08:00:00Z,3.7,3.7031702578630017,3.674548300166618,3.7306229557800576,0,0.0797349887539881,2021,2021_032,32,32,5,1
WLOU,2021-02-01T13:00:00Z,2021-02-01T09:00:00Z,3.7,3.7063024550085775,3.652949385440192,3.7590038074058807,0,0.0797349887539881,2021,2021_032,32,32,6,2
WLOU,2021-02-01T14:00:00Z,2021-02-01T10:00:00Z,3.7,3.709368468306645,3.6342707493420345,3.7850083672574186,0,0.0797349887539881,2021,2021_032,32,32,7,3
WLOU,2021-02-01T15:00:00Z,2021-02-01T11:00:00Z,3.7,3.6906989564300092,3.6011432147082414,3.7826597644227973,87,0.0797349887539881,2021,2021_032,32,32,8,4
WLOU,2021-02-01T16:00:00Z,2021-02-01T12:00:00Z,3.7,3.6456831298470056,3.5440120900326932,3.7498018035081047,260,0.0797349887539881,2021,2021_032,32,32,9,5
WLOU,2021-02-01T17:00:00Z,2021-02-01T13:00:00Z,3.6,3.5827117898949705,3.471564748395139,3.6985605403245656,405,0.0797349887539881,2021,2021_032,32,32,10,6
WLOU,2021-02-01T18:00:00Z,2021-02-01T14:00:00Z,3.6,3.5108457465772083,3.3859589227283124,3.6414514986407704,475,0.0797349887539881,2021,2021_032,32,32,11,7
WLOU,2021-02-01T19:00:00Z,2021-02-01T15:00:00Z,3.5,3.4392650709932338,3.292718335384722,3.5882486358204457,390,0.0797349887539881,2021,2021_032,32,32,12,8
WLOU,2021-02-01T20:00:00Z,2021-02-01T16:00:00Z,3.4,3.3767011176823436,3.2054011962571907,3.5417565349768227,371,0.0797349887539881,2021,2021_032,32,32,13,9
WLOU,2021-02-01T21:00:00Z,2021-02-01T17:00:00Z,3.4,3.3308914038872146,3.1449296644283247,3.5081959383672907,494,0.0797349887539881,2021,2021_032,32,32,14,10
WLOU,2021-02-01T22:00:00Z,2021-02-01T18:00:00Z,3.3,3.308095642858117,3.108149142594396,3.4942538288720497,405,0.0797349887539881,2021,2021_032,32,32,15,11
WLOU,2021-02-01T23:00:00Z,2021-02-01T19:00:00Z,3.3,3.3127068713226575,3.105071227626857,3.500782639112086,148,0.0797349887539881,2021,2021_032,32,32,16,12
WLOU,2021-02-02T00:00:00Z,2021-02-01T20:00:00Z,3.3,3.3469849758316257,3.1367268848197285,3.529262568379099,32,0.0797349887539881,2021,2021_032,32,32,17,13
WLOU,2021-02-02T01:00:00Z,2021-02-01T21:00:00Z,3.3,3.3846085246128306,3.171405636190298,3.562457348143553,0,0.0797349887539881,2021,2021_032,32,32,18,14
WLOU,2021-02-02T02:00:00Z,2021-02-01T22:00:00Z,3.4,3.418299170764697,3.2064603991750458,3.596917278866757,0,0.0797349887539881,2021,2021_032,32,32,19,15
WLOU,2021-02-02T03:00:00Z,2021-02-01T23:00:00Z,3.4,3.4485298636285844,3.235505980005722,3.6267156392182525,0,0.0797349887539881,2021,2021_032,32,32,20,16
WLOU,2021-02-02T04:00:00Z,2021-02-02T00:00:00Z,3.5,3.475709282341833,3.258254979195848,3.6545531844479324,0,0.0797349887539881,2021,2021_032,32,32,21,17
WLOU,2021-02-02T05:00:00Z,2021-02-02T01:00:00Z,3.5,3.5001915476483645,3.280573043930495,3.6850657099196775,0,0.0797349887539881,2021,2021_032,32,32,22,18
WLOU,2021-02-02T06:00:00Z,2021-02-02T02:00:00Z,3.6,3.5222843257346588,3.2989176221793652,3.7091838833287145,0,0.0797349887539881,2021,2021_032,32,32,23,19
WLOU,2021-02-02T07:00:00Z,2021-02-02T03:00:00Z,3.5,3.5422556119267483,3.31549331610172,3.732069109830979,0,0.0797349887539881,2021,2021_032,33,32,0,20
WLOU,2021-02-02T08:00:00Z,2021-02-02T04:00:00Z,3.6,3.5603394270274515,3.329824627563147,3.7582578291823174,0,0.0797349887539881,2021,2021_032,33,32,1,21
WLOU,2021-02-02T09:00:00Z,2021-02-02T05:00:00Z,3.5,3.576740615158995,3.3443996097717656,3.7821726236615865,0,0.0797349887539881,2021,2021_032,33,32,2,22
WLOU,2021-02-02T10:00:00Z,2021-02-02T06:00:00Z,3.6,3.5916388968377166,3.3551904301809365,3.806749061940536,0,0.0797349887539881,2021,2021_032,33,32,3,23
WLOU,2021-02-02T11:00:00Z,2021-02-02T07:00:00Z,3.5,3.5,3.5,3.5,0,0.07972698257238713,2021,2021_033,33,33,4,0
WLOU,2021-02-02T12:00:00Z,2021-02-02T08:00:00Z,3.6,3.5207735552471737,3.4946596749354133,3.547247612526744,0,0.07972698257238713,2021,2021_033,33,33,5,1
WLOU,2021-02-02T13:00:00Z,2021-02-02T09:00:00Z,3.6,3.5397570843849397,3.4899090791695118,3.5906078208747534,0,0.07972698257238713,2021,2021_033,33,33,6,2
WLOU,2021-02-02T14:00:00Z,2021-02-02T10:00:00Z,3.6,3.55712567270587,3.4858024776772205,3.6316755895012833,0,0.07972698257238713,2021,2021_033,33,33,7,3
WLOU,2021-02-02T15:00:00Z,2021-02-02T11:00:00Z,3.6,3.5482681859497562,3.461398107355763,3.639741219470719,122,0.07972698257238713,2021,2021_033,33,33,8,4
WLOU,2021-02-02T16:00:00Z,2021-02-02T12:00:00Z,3.6,3.5085300829831136,3.4147332247275832,3.6102416765905816,110,0.07972698257238713,2021,2021_033,33,33,9,5
WLOU,2021-02-02T17:00:00Z,2021-02-02T13:00:00Z,3.5,3.447215085612041,3.343107299261902,3.5610012907323627,254,0.07972698257238713,2021,2021_033,33,33,10,6
WLOU,2021-02-02T18:00:00Z,2021-02-02T14:00:00Z,3.4,3.374469737847441,3.2555032532332984,3.5038383670764492,263,0.07972698257238713,2021,2021_033,33,33,11,7
WLOU,2021-02-02T19:00:00Z,2021-02-02T15:00:00Z,3.4,3.3006604814681926,3.15738882182279,3.450814533835955,632,0.07972698257238713,2021,2021_033,33,33,12,8
WLOU,2021-02-02T20:00:00Z,2021-02-02T16:00:00Z,3.3,3.235727301383058,3.0670155550513587,3.4063685740136402,618,0.07972698257238713,2021,2021_033,33,33,13,9
WLOU,2021-02-02T21:00:00Z,2021-02-02T17:00:00Z,3.2,3.18855914675373,2.9962968103442904,3.377548783666419,541,0.07972698257238713,2021,2021_033,33,33,14,10
WLOU,2021-02-02T22:00:00Z,2021-02-02T18:00:00Z,3.2,3.166434671961417,2.956149289806615,3.3652191469118664,405,0.07972698257238713,2021,2021_033,33,33,15,11
WLOU,2021-02-02T23:00:00Z,2021-02-02T19:00:00Z,3.2,3.1745672425961193,2.959642456260558,3.3774742332129435,232,0.07972698257238713,2021,2021_033,33,33,16,12
WLOU,2021-02-03T00:00:00Z,2021-02-02T20:00:00Z,3.2,3.2157859236059827,3.0008113571906616,3.4125311460565446,50,0.07972698257238713,2021,2021_033,33,33,17,13
WLOU,2021-02-03T01:00:00Z,2021-02-02T21:00:00Z,3.2,3.261605737715355,3.044284957740736,3.4578656196808435,0,0.07972698257238713,2021,2021_033,33,33,18,14
WLOU,2021-02-03T02:00:00Z,2021-02-02T22:00:00Z,3.3,3.3031026331740927,3.086411681155997,3.500189776042074,0,0.07972698257238713,2021,2021_033,33,33,19,15
WLOU,2021-02-03T03:00:00Z,2021-02-02T23:00:00Z,3.3,3.340742270575615,3.118216755223725,3.5389291494288333,0,0.07972698257238713,2021,2021_033,33,33,20,16
WLOU,2021-02-03T04:00:00Z,2021-02-03T00:00:00Z,3.4,3.374933710023874,3.1497474175888622,3.5762248707562976,0,0.07972698257238713,2021,2021_033,33,33,21,17
WLOU,2021-02-03T05:00:00Z,2021-02-03T01:00:00Z,3.4,3.406037088993563,3.1791894731129404,3.612216958034614,0,0.07972698257238713,2021,2021_033,33,33,22,18
WLOU,2021-02-03T06:00:00Z,2021-02-03T02:00:00Z,3.4,3.4343701500601065,3.201374075608025,3.6458095361782585,0,0.07972698257238713,2021,2021_033,33,33,23,19
WLOU,2021-02-03T07:00:00Z,2021-02-03T03:00:00Z,3.5,3.460213806806272,3.220511796523976,3.6801641449394693,0,0.07972698257238713,2021,2021_033,34,33,0,20
WLOU,2021-02-03T08:00:00Z,2021-02-03T04:00:00Z,3.5,3.4838169028557555,3.2417836999649863,3.710333690390135,0,0.07972698257238713,2021,2021_033,34,33,1,21
WLOU,2021-02-03T09:00:00Z,2021-02-03T05:00:00Z,3.5,3.505400291956931,3.262077203438942,3.7390144554976557,0,0.07972698257238713,2021,2021_033,34,33,2,22
WLOU,2021-02-03T10:00:00Z,2021-02-03T06:00:00Z,3.5,3.525160345067898,3.2807406864608977,3.765712605576525,0,0.07972698257238713,2021,2021_033,34,33,3,23
WLOU,2021-02-03T11:00:00Z,2021-02-03T07:00:00Z,3.5,3.5,3.5,3.5,0,0.0798222426945385,2021,2021_034,34,34,4,0
WLOU,2021-02-03T12:00:00Z,2021-02-03T08:00:00Z,3.5,3.5150524361595896,3.486763962209467,3.5418100936347794,0,0.0798222426945385,2021,2021_034,34,34,5,1
WLOU,2021-02-03T13:00:00Z,2021-02-03T09:00:00Z,3.5,3.5286897015944216,3.475800881959376,3.580462129924753,0,0.0798222426945385,2021,2021_034,34,34,6,2
WLOU,2021-02-03T14:00:00Z,2021-02-03T10:00:00Z,3.5,3.5410646639815444,3.4669999782137078,3.616489168310079,0,0.0798222426945385,2021,2021_034,34,34,7,3
WLOU,2021-02-03T15:00:00Z,2021-02-03T11:00:00Z,3.5,3.528408944690701,3.439237495097018,3.6194824582841902,64,0.0798222426945385,2021,2021_034,34,34,8,4
WLOU,2021-02-03T16:00:00Z,2021-02-03T12:00:00Z,3.5,3.487296757931786,3.3902796861930495,3.591310174478695,191,0.0798222426945385,2021,2021_034,34,34,9,5
WLOU,2021-02-03T17:00:00Z,2021-02-03T13:00:00Z,3.5,3.426933467666483,3.322387510926753,3.541513233468199,223,0.0798222426945385,2021,2021_034,34,34,10,6
WLOU,2021-02-03T18:00:00Z,2021-02-03T14:00:00Z,3.4,3.3570938636502046,3.2350654235982157,3.4900457443393202,358,0.0798222426945385,2021,2021_034,34,34,11,7
WLOU,2021-02-03T19:00:00Z,2021-02-03T15:00:00Z,3.3,3.2875577740798034,3.1458249552523077,3.4399212932991157,369,0.0798222426945385,2021,2021_034,34,34,12,8
WLOU,2021-02-03T20:00:00Z,2021-02-03T16:00:00Z,3.2,3.227529295588381,3.064330091917844,3.39673017442552,372,0.0798222426945385,2021,2021_034,34,34,13,9
WLOU,2021-02-03T21:00:00Z,2021-02-03T17:00:00Z,3.2,3.1850820610214594,3.00194649174973,3.3701076594222905,224,0.0798222426945385,2021,2021_034,34,34,14,10
WLOU,2021-02-03T22:00:00Z,2021-02-03T18:00:00Z,3.1,3.1666706335508987,2.9670757426799126,3.3586343006365023,248,0.0798222426945385,2021,2021_034,34,34,15,11
WLOU,2021-02-03T23:00:00Z,2021-02-03T19:00:00Z,3.2,3.1767431706150155,2.972617149671291,3.3678094100399747,165,0.0798222426945385,2021,2021_034,34,34,16,12
WLOU,2021-02-04T00:00:00Z,2021-02-03T20:00:00Z,3.2,3.2174832530494974,3.012850387610669,3.397465541073841,22,0.0798222426945385,2021,2021_034,34,34,17,13
WLOU,2021-02-04T01:00:00Z,2021-02-03T21:00:00Z,3.3,3.2621997285439464,3.0548783106676813,3.4373135433492745,0,0.0798222426945385,2021,2021_034,34,34,18,14
WLOU,2021-02-04T02:00:00Z,2021-02-03T22:00:00Z,3.3,3.301822920378342,3.0931150131700402,3.476062421649263,0,0.0798222426945385,2021,2021_034,34,34,19,15
WLOU,2021-02-04T03:00:00Z,2021-02-03T23:00:00Z,3.4,3.337033990900638,3.126752967338338,3.512197443902758,0,0.0798222426945385,2021,2021_034,34,34,20,16
WLOU,2021-02-04T04:00:00Z,2021-02-04T00:00:00Z,3.4,3.368409466039985,3.1564619001368572,3.547384144545549,0,0.0798222426945385,2021,2021_034,34,34,21,17
WLOU,2021-02-04T05:00:00Z,2021-02-04T01:00:00Z,3.4,3.396439309659004,3.180176943677801,3.5798711382251582,0,0.0798222426945385,2021,2021_034,34,34,22,18
