site,yr_jday,K,K.lower,K.upper,K.median,U,U.lower,U.upper,U.median,N_e,N_e.lower,N_e.upper,N_e.median,sumlightReal,sumlightIdeal,Q,v,z,b0,b1,model_date,model_jday,Year,domainID,d,U_other,U_tot,U_auto_perc
WLOU,2021_032,2.3848501723107844,0.9585305832455644,4.662180873858556,2.2517745564803207,0.04852374991026209,0.025112678496763834,0.07488834751313925,0.04811359681033336,3.76959422885535,3.4747488487693494,4.234974876275091,3.7352148248116803,3067,7917.7616957045175,0.009827437500000001,0.06986336684049772,0.0797349887539881,-3.7258869085644686,0.14689795498928349,2021-02-01,32,2021,D13,1,0.7168109664742247,0.7653347163844868,6.340199767690254
WLOU,2021_033,2.1856036647431325,0.911657526572525,4.2289606650022,2.043379127438845,0.05482455082248593,0.03050217540952756,0.0808900885977056,0.05452843822314686,3.7773989957640053,3.4505808968724185,4.3356463807504495,3.7367885838599886,3227,8001.124991122691,0.009824354166666665,0.06985109109980049,0.07972698257238713,-3.8933023613762603,0.15729386990791658,2021-02-02,33,2021,D13,2,0.6582177632814121,0.7130423141038981,7.688821510036976
WLOU,2021_034,2.5945141615937386,0.9907314867085579,5.241869291301773,2.4176320254191213,0.052313678932990534,0.028007851107553845,0.07918212987497276,0.051738641637854285,3.687549001829171,3.401032447969273,4.19977667064573,3.6457636688198756,2236,8085.948858584139,0.009861083333333333,0.06999721174355497,0.0798222426945385,-4.996834572656599,0.29437221119419915,2021-02-03,34,2021,D13,3,0.7636911736375859,0.8160048525705764,6.41095194081164
WLOU,2021_035,2.5778126787552877,0.9978561023833408,5.177674421800107,2.4117168245031317,0.048716185970692424,0.025601324414355985,0.07493355036479016,0.04825218805101572,3.604656870768686,3.3245794588238886,4.085730056007161,3.5712010807816044,2781,8172.197212569379,0.009886625,0.07009868372322213,0.07988834497340598,-3.96403511686133,0.1624004622496681,2021-02-04,35,2021,D13,4,0.7423329016795774,0.7910490876502698,6.158427679298494
WLOU,2021_036,2.4663850520282833,0.8978648614537701,5.21252940922619,2.267536463835584,0.044765529773319344,0.02284406858336525,0.07034906285424875,0.04411342495667103,3.7315816961257013,3.4369674118000457,4.2930078798889495,3.682996910121567,2712,8259.833215486498,0.009949659722222223,0.07034861576289425,0.08005098448872756,-5.133226556612233,0.31491543341635914,2021-02-05,36,2021,D13,5,0.7367506218845808,0.7815161516579002,5.728036417207017
WLOU,2021_037,2.2497633808371664,0.8247811878153419,4.5966694149072955,2.0746564276156807,0.03943304767375324,0.02011651386484319,0.06284638661700061,0.03875580988656623,3.6941509362907925,3.3930316058137815,4.2141523063662465,3.653410104741477,3113,8348.819293095701,0.010057201388888888,0.07077341479680871,0.08032684902971376,-5.8003146411563575,0.39437507999294624,2021-02-06,37,2021,D13,6,0.6675936709897672,0.7070267186635204,5.577306575951303
WLOU,2021_040,2.053890599893142,0.8277083812787116,3.985281969829491,1.9104326390708275,0.05101724536722842,0.027470805742930395,0.07775363692917742,0.05043309688705082,3.6325333951278305,3.2914960030769027,4.192854419863217,3.594498842816739,3216,8623.491548580554,0.009803416666666667,0.06976768730336916,0.07967257102551405,-4.482093106886185,0.23105152369952636,2021-02-09,40,2021,D13,7,0.5944232048545416,0.64544045022177,7.90425287874337
WLOU,2021_041,2.681412781912007,0.9685947320690043,5.389691160628197,2.5242942321140376,0.04820194714549316,0.02478130707321885,0.07342662122883863,0.04755110938171911,3.4865912103272048,3.227984159708882,3.952610058264438,3.4546706726083576,3076,8717.48807353917,0.009736534722222223,0.06950073893484202,0.0794982297120513,-5.8318607702866805,0.3903485484979833,2021-02-10,41,2021,D13,8,0.7432281734107884,0.7914301205562816,6.09048681538844
WLOU,2021_042,2.4233166230358867,0.9236112848873951,4.633589069921915,2.273778077136914,0.05108045415182894,0.027652964630114147,0.07805232891457395,0.050431201080245285,3.480973464295712,3.188877970400278,3.985212894569918,3.4441992422838883,3229,8812.636395658381,0.009697284722222222,0.06934370322214686,0.0793955371788853,-4.805373162961202,0.2694911971217121,2021-02-11,42,2021,D13,9,0.6697411221823918,0.7208215763342207,7.086421359860162
WLOU,2021_043,2.531163742254621,0.9459884546064119,5.053953355546367,2.362246671357446,0.05566277555343337,0.030003563925549318,0.08351473177752806,0.055593260864624,3.501776911009059,3.199341923928124,4.093938908199447,3.456817369458369,3068,8908.894926860405,0.009715916666666666,0.0694182827528383,0.07944432041513558,-6.054173663646201,0.41555785970408055,2021-02-12,43,2021,D13,10,0.7041603547337256,0.759823130287159,7.325754288685158
WLOU,2021_044,2.2113506616547096,0.8897554635813774,4.263356138115666,2.076556641644509,0.04893298099206164,0.025753880815631767,0.0746904588127468,0.04839375431149616,3.4175768066674648,3.1060040358514804,3.908669450669129,3.3803641770145134,2398,9006.221490738128,0.009682937499999999,0.06928623150506352,0.07935792899701592,-5.783166017894895,0.3900326596380438,2021-02-13,44,2021,D13,11,0.5997444322217464,0.6486774132138081,7.543500050298965
WLOU,2021_045,2.5977131806049756,0.9682380955910251,5.186204566677591,2.4128465298052184,0.04926481972706246,0.02549859949022334,0.07495055246130566,0.0488307792942992,3.453235408938333,3.1735630423862187,3.946251108373973,3.4136829325965308,4384,9104.57334979294,0.009621743055555555,0.06904067859899614,0.07919709395911743,-5.346898726330661,0.33162911840898185,2021-02-14,45,2021,D13,12,0.7104387302087216,0.759703549935784,6.4847425987711524
WLOU,2021_046,2.216928343531275,0.883546766047928,4.229893040396781,2.0898708093228047,0.05768969907263372,0.03179116142304872,0.08573081359078823,0.05742613636118526,3.528810605767387,3.1806557809077547,4.142806383939278,3.482477935270041,2327,9203.907233826598,0.009636770833333334,0.06910104356308748,0.07923665518586041,-5.071873025959276,0.30714455742760793,2021-02-15,46,2021,D13,13,0.6198778817964599,0.6775675808690936,8.514235435915786
WLOU,2021_047,2.2262518532546975,0.8633630209365948,4.328417313032724,2.0948347602191606,0.0546249248778611,0.029749911384635452,0.08174073849521919,0.0542901819789994,3.5346458685539384,3.2018052321657344,4.131035926899977,3.4830337836037253,3425,9304.179369458157,0.009766604166666666,0.069620855720242375,0.07957671223421074,-5.391003306243611,0.3417942667698797,2021-02-16,47,2021,D13,14,0.626190096764714,0.6808150216425751,8.023460579067386
WLOU,2021_048,2.119227374049478,0.865748741353216,4.039398654919494,2.00082635331424,0.05678215830164005,0.030962635227263384,0.08388267027573991,0.05646670183021821,3.512660954350494,3.1649890457767187,4.121528899357953,3.469206388972742,3404,9405.345511187457,0.009563548611111111,0.0688065254388021,0.07904349715091452,-3.874183572841575,0.1561850442562905,2021-02-17,48,2021,D13,15,0.5884098510933616,0.6451920093950017,8.800815489777197
WLOU,2021_049,2.453197667645629,0.9215111102397084,5.011978954417946,2.290516267986951,0.0513790816483461,0.026869045201377225,0.07808749147353447,0.05092264936194872,3.5560184177147818,3.23318999447135,4.158364520811429,3.5021611914424198,4107,9507.360973815681,0.009495604166666666,0.06853234710792987,0.07886336012823521,-3.6485423049505266,0.13674008518165423,2021-02-18,49,2021,D13,16,0.6879736772033312,0.7393527588516774,6.949197258443359
WLOU,2021_050,2.7160835922465925,0.9975702823710709,5.372553878749127,2.5564194479439726,0.05208028838829892,0.025714085402180432,0.08132345153510932,0.051759612257731014,3.5055688064940176,3.2297680559721043,4.012231601856264,3.467748325511371,1877,9610.180666197855,0.009581041666666667,0.0688769768365357,0.0790897344899377,-4.129216911836784,0.19478288675833555,2021-02-19,50,2021,D13,17,0.7530464150082283,0.8051267033965273,6.468582916029457
WLOU,2021_051,2.55523306915987,0.9749603962737623,5.128467005057438,2.392914701180965,0.05320965322072315,0.02777219934339949,0.08063190734349243,0.05253675568363721,3.5182087118140912,3.2327418444412324,4.034553209259178,3.4794138942563744,2908,9723.38909196559,0.0095136875,0.06860540341106935,0.07891138875252075,-5.028545452670152,0.2937738211329203,2021-02-20,51,2021,D13,18,0.7094010151015134,0.7626106683222366,6.977302499293089
WLOU,2021_052,2.41390723115334,0.8613118503167039,4.784554994853757,2.2474245513502615,0.04899340385714956,0.0253630286493093,0.07548100729940037,0.048295595418709966,3.508174780765037,3.2006528991213217,4.069619684491845,3.465285049329911,3938,9837.538447752231,0.009410798611111111,0.06818891453668621,0.07863728627785241,-3.7173718540382183,0.13126374978854272,2021-02-21,52,2021,D13,19,0.6659326612863004,0.7149260651434499,6.852932945915048
WLOU,2021_053,3.016465859773191,1.0180509265509177,6.686765607537312,2.751197835255206,0.046357688221179666,0.023518270605575795,0.0733043294226515,0.04559484771061872,3.5388120897077253,3.2805262015600203,4.025727661036035,3.5013493127775632,4505,9952.53757631361,0.00938888888888889,0.06809996681466744,0.078578654511912,-5.426095431771502,0.33821947013266934,2021-02-22,53,2021,D13,20,0.8388040232199969,0.8851617114411766,5.2371998948872704
WLOU,2021_054,2.3483743452709973,0.8406506065017031,5.0984575883626,2.1495964718231706,0.03527266580658529,0.016945578726661654,0.05713621055542052,0.0344869517632839,3.553581646999657,3.26285537556382,4.029030368775316,3.521653054953778,4963,10068.335818189807,0.009439861111111112,0.06830676019020884,0.0787149162677812,-5.548806842758841,0.3564426580359515,2021-02-23,54,2021,D13,21,0.6568869942679747,0.69215966007456,5.096030271799673
WLOU,2021_055,2.48060349049701,0.8880485488267075,5.105212590133472,2.2519216423635644,0.04135448030776224,0.020278424089626254,0.06655714855588456,0.040803038656530136,3.546151813051014,3.2621918996426964,4.065541363843972,3.5072972620800438,5226,10184.882128765428,0.009420409722222222,0.06822790437020984,0.07866297691477249,-4.630889037834741,0.25007124635448097,2021-02-24,55,2021,D13,22,0.6919664725437105,0.7333209528514727,5.6393425207554655
WLOU,2021_056,2.679887323803736,1.0481253029958837,5.028999826856992,2.5351153271329734,0.05808143933744738,0.03169502816489988,0.08663021858407786,0.057728868891085625,3.550779684677953,3.2618376363779475,4.053297438692028,3.513077837201707,5370,10302.125120167817,0.009390611111111112,0.06810696188993233,0.07858326665181002,-5.457147970828981,0.3449002841780801,2021-02-25,56,2021,D13,23,0.7477739627287262,0.8058554020661736,7.207426938943318
WLOU,2021_057,2.5656177230785775,0.9358154691752767,5.313208482507276,2.3955997389514545,0.04680741590355598,0.024437893448258932,0.07277060535175206,0.0462494477643416,3.5143531419928,3.236479267778988,4.019987660025864,3.4752072398211413,5078,10420.013105148217,0.009509471120389702,0.06858837478834802,0.07890019576703951,-3.258800744165404,0.09468169446970334,2021-02-26,57,2021,D13,24,0.7114025662543193,0.7582099821578753,6.173410665254165
WLOU,2021_058,2.1334236918363145,0.8337129507143295,4.1836915525060085,2.000806587104055,0.05260510753801331,0.02817751708897073,0.0805229889481251,0.05235324708960597,3.634846446959465,3.271451886518061,4.287788142952501,3.586908159205592,3471,10538.494141244715,0.00939675,0.06813189135771848,0.07859970202118462,-3.927133478482127,0.1656965247235323,2021-02-27,58,2021,D13,25,0.6095145568272041,0.6621196643652174,7.944954721809464
WLOU,2021_059,3.677307192609491,1.1994753452674611,7.592259794981725,3.4313662746441795,0.04748740891199513,0.023738658152268527,0.07337436350002455,0.046874296460001366,3.5002735272535577,3.2947133737113434,3.9077511179688744,3.4651167981921085,4979,10657.516076559717,0.009300000000000001,0.06773816065479686,0.07833982334525694,-5.91517239389412,0.4052790289849437,2021-02-28,59,2021,D13,26,1.0083573831141062,1.0558447920261014,4.497574763888327
WLOU,2021_068,2.2798888511938573,0.8707936588509545,4.530107204313033,2.127958568038803,0.047793534524241094,0.02280065120765177,0.07605169656555988,0.04705841540010484,3.335960346027698,3.0282817551732273,3.9050291670744484,3.2989942059978183,5434,11744.406138122227,0.009283145833333334,0.0676693874865077,0.07829436384133964,-3.5390156367692516,0.11615328391756714,2021-03-09,68,2021,D13,27,0.5954770856388092,0.6432706201630503,7.429771083300343
WLOU,2021_069,2.3371728519739805,0.8912437553454405,4.64902544914844,2.195067234030938,0.059810908037450504,0.03253859946449757,0.08907148744591109,0.05935158235398254,3.4522027246835623,3.115730005910647,4.091439641940189,3.3978521176898653,4058,11865.956661233606,0.009164923611111112,0.0671854304945413,0.07797390348941273,-5.292889343438144,0.34124949061381604,2021-03-10,69,2021,D13,28,0.6291242130938312,0.6889351211312816,8.681645949365542
WLOU,2021_070,2.080301886274616,0.8298425343689158,4.095647568624243,1.9530351527321448,0.0552896172144991,0.02827634731147064,0.08483681087221885,0.05468834296007165,3.4768935458931907,3.1061483105319767,4.170922817440767,3.4256660908052474,4429,11987.474295072447,0.009178659722222223,0.06724180139297871,0.07801128122787533,-5.098494001210691,0.305214465206772,2021-03-11,70,2021,D13,29,0.5642546767361413,0.6195442939506404,8.924239599066354
WLOU,2021_071,2.1694564090244683,0.8322773013761445,4.342335488769276,2.007190316603607,0.044877083046517025,0.022049487457673447,0.07088714895109849,0.04452507606415117,3.424324549759911,3.096857757731661,4.014379780913426,3.3775815075387876,6060,12108.908144512097,0.009169618055555556,0.06720469995501856,0.07798668196329624,-6.114670063907253,0.42468246114312197,2021-03-12,71,2021,D13,30,0.5793570429353376,0.6242341259818547,7.189142851799409
WLOU,2021_074,2.313603907915051,0.9138182363276794,4.490898762069871,2.186092376670743,0.06271703840146169,0.035296446445377966,0.0921483281086568,0.06203907175094249,3.4426397008020317,3.098807378251826,4.101310887188752,3.393732003937025,4187,12472.896541965223,0.009050451388888887,0.06671420006467056,0.07766091823300045,-4.665548025342443,0.2596137474956239,2021-03-15,74,2021,D13,31,0.6185618099469891,0.6812788483484508,9.205780944689488
WLOU,2021_095,6.086122635764308,2.1966723444417666,11.001761208445101,5.922257677832043,0.09604208619370022,0.049249471785873744,0.15068876056296343,0.09449218072351266,3.177295591023603,3.048912099549022,3.406946031279308,3.161236043340587,7151,15125.694045962882,0.011215340277777777,0.07522772412265663,0.08317791501271299,-4.37945073362587,0.21679918621318262,2021-04-05,95,2021,D13,32,1.6084454968703268,1.704487583064027,5.634660360567292
WLOU,2021_096,2.4319048260812672,0.9451490687974231,4.375589452666339,2.3426095645522076,0.06343657147867184,0.033770243718774705,0.09727792845383561,0.06295522361486741,3.0016258377221283,2.7040298123644417,3.4704576564512113,2.9730046379630566,5384,15250.942583904485,0.010803902777777777,0.0736695678556299,0.082189030569868,-4.186074296582247,0.19989215193574153,2021-04-06,96,2021,D13,33,0.5999526660595252,0.6633892375381971,9.562496327809244
WLOU,2021_097,2.5387242361439646,1.0443511987035345,4.6399862268894685,2.450744616190658,0.08235584814527572,0.049093312605808445,0.11732221692043586,0.0817774168270861,3.073844285630442,2.7433043117530342,3.681715552074383,3.0292819392024004,5813,15374.960548448973,0.010233729166666667,0.07146640618012116,0.0807753593045906,-4.407989781116577,0.229154394808881,2021-04-07,97,2021,D13,34,0.6303420660839576,0.7126979142292333,11.555505705996307
WLOU,2021_098,2.5039465515722963,1.039976295348208,4.658558475424544,2.391417555081161,0.07823625979720995,0.0465525517345576,0.11105316886977805,0.07801438724546252,3.083948431078014,2.7493892425648565,3.6960644778285574,3.0341583929201565,6943,15497.714568839438,0.0099074375,0.0701812824024351,0.07994212227475478,-6.139332989918754,0.4272366680242317,2021-04-08,98,2021,D13,35,0.6173164289104887,0.6955526887076986,11.248070932278177
WLOU,2021_099,2.919730251339937,1.1589297677821837,5.436236507574873,2.779980186227524,0.090581762593111,0.0547478774130598,0.12801984446379674,0.09034695460964662,3.1455974934363704,2.824384609366679,3.7624350544916503,3.0881811338968026,7092,15619.172529761738,0.009925604166666666,0.07025331816484502,0.07998900026627653,-3.20532694527075,0.0801692106852394,2021-04-09,99,2021,D13,36,0.7346426679978212,0.8252244305909322,10.976621538972932
WLOU,2021_100,2.9995371087850913,1.1052803169262777,5.809469152545519,2.8443067911279796,0.07314500906665049,0.040158400558519006,0.1078529111034548,0.07298524741141126,3.119325684094123,2.84297469220006,3.656740503968112,3.0763053284845343,7713,15739.303576428763,0.010115708333333334,0.07100368291779192,0.08047608857672162,-4.034370390872671,0.17835979027240034,2021-04-10,100,2021,D13,37,0.7529771900536342,0.8261221991202846,8.854018103440465
WLOU,2021_101,2.8168287685349984,1.1548386803604744,5.076661109014195,2.7155627797433084,0.08654327535144173,0.053260262251149694,0.12236243210524912,0.08636518410159155,3.1461540981442653,2.85899854944434,3.6715056197339684,3.104252339818645,7028,15858.078117265177,0.010469097222222222,0.07238225666447849,0.0813652566913066,-4.4793882614702785,0.2211561067318512,2021-04-11,101,2021,D13,38,0.7210733368710229,0.8076166122224646,10.715885983732424
WLOU,2021_102,2.831719745359194,1.0766533829136946,5.385110995656201,2.6650603434682765,0.08295107319464234,0.04877178370661704,0.11860760499622983,0.08263272051380435,3.2279542145903415,2.9144653587227394,3.828625000808457,3.1824907774208535,7845,15975.467824218576,0.01080604861111111,0.0736777614129044,0.08219425392832558,-3.2038571653031993,0.08398267379807836,2021-04-12,102,2021,D13,39,0.7513098677389253,0.8342609409335676,9.94306087275489
