site,local_datetime,model_datetime,N_conc,N_pred,N_pred.lower,N_pred.upper,lightReal,z,Year,yr_jday,Jday,model_jday,hours,mod_hours
WLOU,2021-02-01T11:00:00Z,2021-02-01T07:00:00Z,3.7,3.7,3.7,3.7,0,0.2,2021,2021_32,32,32,4,0
WLOU,2021-02-01T12:00:00Z,2021-02-01T08:00:00Z,3.7,3.7051523062581,3.676770210103064,3.7328034911212766,0,0.2,2021,2021_32,32,32,5,1
WLOU,2021-02-01T13:00:00Z,2021-02-01T09:00:00Z,3.7,3.71007885073423,3.6565846729443985,3.763356075752659,0,0.2,2021,2021_32,32,32,6,2
WLOU,2021-02-01T14:00:00Z,2021-02-01T10:00:00Z,3.7,3.7147735833141655,3.6398956120768053,3.791331114895068,0,0.2,2021,2021_32,32,32,7,3
WLOU,2021-02-01T15:00:00Z,2021-02-01T11:00:00Z,3.7,3.6960946897462503,3.605792814040774,3.789581675884344,87,0.2,2021,2021_32,32,32,8,4
WLOU,2021-02-01T16:00:00Z,2021-02-01T12:00:00Z,3.7,3.6491170082010935,3.5471516214655447,3.758096299904425,260,0.2,2021,2021_32,32,32,9,5
WLOU,2021-02-01T17:00:00Z,2021-02-01T13:00:00Z,3.6,3.5828083310519365,3.4707769576995084,3.7039729790766023,405,0.2,2021,2021_32,32,32,10,6
WLOU,2021-02-01T18:00:00Z,2021-02-01T14:00:00Z,3.6,3.5068571983019208,3.3814375011603746,3.642663877962221,475,0.2,2021,2021_32,32,32,11,7
WLOU,2021-02-01T19:00:00Z,2021-02-01T15:00:00Z,3.5,3.4310843368419177,3.2892619967808763,3.587055270291037,390,0.2,2021,2021_32,32,32,12,8
WLOU,2021-02-01T20:00:00Z,2021-02-01T16:00:00Z,3.4,3.3648353445857855,3.204932351371595,3.537341136749826,371,0.2,2021,2021_32,32,32,13,9
WLOU,2021-02-01T21:00:00Z,2021-02-01T17:00:00Z,3.4,3.3163974764321744,3.1382645793188657,3.50042855319883,494,0.2,2021,2021_32,32,32,14,10
WLOU,2021-02-01T22:00:00Z,2021-02-01T18:00:00Z,3.3,3.2924815015794393,3.1009653594617985,3.485204754624672,405,0.2,2021,2021_32,32,32,15,11
WLOU,2021-02-01T23:00:00Z,2021-02-01T19:00:00Z,3.3,3.297804966821599,3.099574391447174,3.489398953609388,148,0.2,2021,2021_32,32,32,16,12
WLOU,2021-02-02T00:00:00Z,2021-02-01T20:00:00Z,3.3,3.3348061255239636,3.1357202230970973,3.519530234635655,32,0.2,2021,2021_32,32,32,17,13
WLOU,2021-02-02T01:00:00Z,2021-02-01T21:00:00Z,3.3,3.3753724382295665,3.1779826252394345,3.555162691110591,0,0.2,2021,2021_32,32,32,18,14
WLOU,2021-02-02T02:00:00Z,2021-02-01T22:00:00Z,3.4,3.411727468449043,3.2088334646372347,3.592813455021528,0,0.2,2021,2021_32,32,32,19,15
WLOU,2021-02-02T03:00:00Z,2021-02-01T23:00:00Z,3.4,3.444375220802791,3.2380594972991235,3.6295471981379896,0,0.2,2021,2021_32,32,32,20,16
WLOU,2021-02-02T04:00:00Z,2021-02-02T00:00:00Z,3.5,3.473751542202428,3.2651763282974033,3.660799739621592,0,0.2,2021,2021_32,32,32,21,17
WLOU,2021-02-02T05:00:00Z,2021-02-02T01:00:00Z,3.5,3.5002343522300947,3.286871266817746,3.690095673471478,0,0.2,2021,2021_32,32,32,22,18
WLOU,2021-02-02T06:00:00Z,2021-02-02T02:00:00Z,3.6,3.524152195777184,3.3064814818095556,3.7188306884439615,0,0.2,2021,2021_32,32,32,23,19
WLOU,2021-02-02T07:00:00Z,2021-02-02T03:00:00Z,3.5,3.545791414434932,3.3277446151861843,3.7456302983105,0,0.2,2021,2021_32,33,32,0,20
WLOU,2021-02-02T08:00:00Z,2021-02-02T04:00:00Z,3.6,3.565402177340819,3.3456076428171033,3.7714424971583824,0,0.2,2021,2021_32,33,32,1,21
WLOU,2021-02-02T09:00:00Z,2021-02-02T05:00:00Z,3.5,3.5832035674592464,3.3596215093960615,3.797230314245896,0,0.2,2021,2021_32,33,32,2,22
WLOU,2021-02-02T10:00:00Z,2021-02-02T06:00:00Z,3.6,3.5993878833200643,3.37128193533821,3.822524449289362,0,0.2,2021,2021_32,33,32,3,23
WLOU,2021-02-02T11:00:00Z,2021-02-02T07:00:00Z,3.5,3.5,3.5,3.5,0,0.2,2021,2021_33,33,33,4,0
WLOU,2021-02-02T12:00:00Z,2021-02-02T08:00:00Z,3.6,3.522059559369662,3.496552157779411,3.54847511971864,0,0.2,2021,2021_33,33,33,5,1
WLOU,2021-02-02T13:00:00Z,2021-02-02T09:00:00Z,3.6,3.542253058295548,3.4933963617677963,3.5930736653022133,0,0.2,2021,2021_33,33,33,6,2
WLOU,2021-02-02T14:00:00Z,2021-02-02T10:00:00Z,3.6,3.5607622442934233,3.49078581042298,3.6344687195288152,0,0.2,2021,2021_33,33,33,7,3
