siteID,model_datetime,surfWaterNitrateMean,surfWaterNitrateVariance,surfWaterNitrateStdErMean,rangeFailQM,UTC_startDateTime,local_datetime,Jday,model_jday,yr_jday,Year,domainID,GHI_wm2,clearsky_GHI_wm2
BIGC,2021-10-01T07:00:00Z,1.6,0,0.02,0,2021-10-01T11:00:00Z,2021-10-01T11:00:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T07:15:00Z,1.6,0,0.02,0,2021-10-01T11:15:00Z,2021-10-01T11:15:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T07:30:00Z,1.6,0,0.02,0,2021-10-01T11:30:00Z,2021-10-01T11:30:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T07:45:00Z,1.6,0,0.02,0,2021-10-01T11:45:00Z,2021-10-01T11:45:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T08:00:00Z,1.6,0.01,0.02,0,2021-10-01T12:00:00Z,2021-10-01T12:00:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T08:15:00Z,1.6,0.01,0.03,0,2021-10-01T12:15:00Z,2021-10-01T12:15:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T08:30:00Z,1.6,0.01,0.02,0,2021-10-01T12:30:00Z,2021-10-01T12:30:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T08:45:00Z,1.6,0.01,0.03,0,2021-10-01T12:45:00Z,2021-10-01T12:45:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T09:00:00Z,1.6,0.01,0.02,0,2021-10-01T13:00:00Z,2021-10-01T13:00:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T09:15:00Z,1.6,0.01,0.02,0,2021-10-01T13:15:00Z,2021-10-01T13:15:00Z,274,274,2021_274,2021,D17,25,25
BIGC,2021-10-01T09:30:00Z,1.6,0,0.02,0,2021-10-01T13:30:00Z,2021-10-01T13:30:00Z,274,274,2021_274,2021,D17,73,73
BIGC,2021-10-01T09:45:00Z,1.6,0.01,0.03,0,2021-10-01T13:45:00Z,2021-10-01T13:45:00Z,274,274,2021_274,2021,D17,137,149
BIGC,2021-10-01T10:00:00Z,1.6,0,0.02,0,2021-10-01T14:00:00Z,2021-10-01T14:00:00Z,274,274,2021_274,2021,D17,250,250
BIGC,2021-10-01T10:15:00Z,1.6,0,0.02,0,2021-10-01T14:15:00Z,2021-10-01T14:15:00Z,274,274,2021_274,2021,D17,291,369
BIGC,2021-10-01T10:30:00Z,1.6,0.01,0.03,0,2021-10-01T14:30:00Z,2021-10-01T14:30:00Z,274,274,2021_274,2021,D17,436,496
BIGC,2021-10-01T10:45:00Z,1.6,0.01,0.02,0,2021-10-01T14:45:00Z,2021-10-01T14:45:00Z,274,274,2021_274,2021,D17,627,627
BIGC,2021-10-01T11:00:00Z,1.6,0.01,0.03,0,2021-10-01T15:00:00Z,2021-10-01T15:00:00Z,274,274,2021_274,2021,D17,762,762
BIGC,2021-10-01T11:15:00Z,1.6,0.01,0.03,0,2021-10-01T15:15:00Z,2021-10-01T15:15:00Z,274,274,2021_274,2021,D17,894,894
BIGC,2021-10-01T11:30:00Z,1.6,0.01,0.02,0,2021-10-01T15:30:00Z,2021-10-01T15:30:00Z,274,274,2021_274,2021,D17,1016,1016
BIGC,2021-10-01T11:45:00Z,1.6,0.01,0.02,0,2021-10-01T15:45:00Z,2021-10-01T15:45:00Z,274,274,2021_274,2021,D17,1141,1141
BIGC,2021-10-01T12:00:00Z,1.6,0,0.02,0,2021-10-01T16:00:00Z,2021-10-01T16:00:00Z,274,274,2021_274,2021,D17,1260,1260
BIGC,2021-10-01T12:15:00Z,1.6,0,0.02,0,2021-10-01T16:15:00Z,2021-10-01T16:15:00Z,274,274,2021_274,2021,D17,1371,1371
BIGC,2021-10-01T12:30:00Z,1.6,0.01,0.03,0,2021-10-01T16:30:00Z,2021-10-01T16:30:00Z,274,274,2021_274,2021,D17,1483,1483
BIGC,2021-10-01T12:45:00Z,1.6,0.01,0.03,0,2021-10-01T16:45:00Z,2021-10-01T16:45:00Z,274,274,2021_274,2021,D17,1829,1829
BIGC,2021-10-01T13:00:00Z,1.5,0.01,0.03,0,2021-10-01T17:00:00Z,2021-10-01T17:00:00Z,274,274,2021_274,2021,D17,1921,1921
BIGC,2021-10-01T13:15:00Z,1.5,0,0.02,0,2021-10-01T17:15:00Z,2021-10-01T17:15:00Z,274,274,2021_274,2021,D17,2003,2003
BIGC,2021-10-01T13:30:00Z,1.6,0,0.02,0,2021-10-01T17:30:00Z,2021-10-01T17:30:00Z,274,274,2021_274,2021,D17,2073,2073
BIGC,2021-10-01T13:45:00Z,1.5,0.01,0.02,0,2021-10-01T17:45:00Z,2021-10-01T17:45:00Z,274,274,2021_274,2021,D17,2082,2082
BIGC,2021-10-01T14:00:00Z,1.6,0.01,0.02,0,2021-10-01T18:00:00Z,2021-10-01T18:00:00Z,274,274,2021_274,2021,D17,2129,2129
BIGC,2021-10-01T14:15:00Z,1.6,0.01,0.02,0,2021-10-01T18:15:00Z,2021-10-01T18:15:00Z,274,274,2021_274,2021,D17,2165,2165
BIGC,2021-10-01T14:30:00Z,1.6,0.01,0.02,0,2021-10-01T18:30:00Z,2021-10-01T18:30:00Z,274,274,2021_274,2021,D17,2189,2189
BIGC,2021-10-01T14:45:00Z,1.5,0.01,0.03,0,2021-10-01T18:45:00Z,2021-10-01T18:45:00Z,274,274,2021_274,2021,D17,2141,2141
BIGC,2021-10-01T15:00:00Z,1.5,0.01,0.03,0,2021-10-01T19:00:00Z,2021-10-01T19:00:00Z,274,274,2021_274,2021,D17,2139,2139
BIGC,2021-10-01T15:15:00Z,1.5,0,0.02,0,2021-10-01T19:15:00Z,2021-10-01T19:15:00Z,274,274,2021_274,2021,D17,2127,2127
BIGC,2021-10-01T15:30:00Z,1.5,0.01,0.02,0,2021-10-01T19:30:00Z,2021-10-01T19:30:00Z,274,274,2021_274,2021,D17,2102,2102
BIGC,2021-10-01T15:45:00Z,1.5,0.01,0.02,0,2021-10-01T19:45:00Z,2021-10-01T19:45:00Z,274,274,2021_274,2021,D17,1910,1910
BIGC,2021-10-01T16:00:00Z,1.5,0.01,0.02,0,2021-10-01T20:00:00Z,2021-10-01T20:00:00Z,274,274,2021_274,2021,D17,1863,1863
BIGC,2021-10-01T16:15:00Z,1.5,0.01,0.02,0,2021-10-01T20:15:00Z,2021-10-01T20:15:00Z,274,274,2021_274,2021,D17,1803,1803
BIGC,2021-10-01T16:30:00Z,1.5,0.01,0.02,0,2021-10-01T20:30:00Z,2021-10-01T20:30:00Z,274,274,2021_274,2021,D17,1734,1734
BIGC,2021-10-01T16:45:00Z,1.4,0.01,0.02,0,2021-10-01T20:45:00Z,2021-10-01T20:45:00Z,274,274,2021_274,2021,D17,1622,1622
BIGC,2021-10-01T17:00:00Z,1.4,0.01,0.03,0,2021-10-01T21:00:00Z,2021-10-01T21:00:00Z,274,274,2021_274,2021,D17,1534,1534
BIGC,2021-10-01T17:15:00Z,1.4,0.01,0.03,0,2021-10-01T21:15:00Z,2021-10-01T21:15:00Z,274,274,2021_274,2021,D17,1437,1437
BIGC,2021-10-01T17:30:00Z,1.4,0.01,0.02,0,2021-10-01T21:30:00Z,2021-10-01T21:30:00Z,274,274,2021_274,2021,D17,1331,1331
BIGC,2021-10-01T17:45:00Z,1.4,0,0.02,0,2021-10-01T21:45:00Z,2021-10-01T21:45:00Z,274,274,2021_274,2021,D17,1188,1188
BIGC,2021-10-01T18:00:00Z,1.4,0.01,0.02,0,2021-10-01T22:00:00Z,2021-10-01T22:00:00Z,274,274,2021_274,2021,D17,1069,1069
BIGC,2021-10-01T18:15:00Z,1.4,0.01,0.03,0,2021-10-01T22:15:00Z,2021-10-01T22:15:00Z,274,274,2021_274,2021,D17,945,945
BIGC,2021-10-01T18:30:00Z,1.4,0,0.01,0,2021-10-01T22:30:00Z,2021-10-01T22:30:00Z,274,274,2021_274,2021,D17,817,817
BIGC,2021-10-01T18:45:00Z,1.4,0.01,0.02,0,2021-10-01T22:45:00Z,2021-10-01T22:45:00Z,274,274,2021_274,2021,D17,655,655
BIGC,2021-10-01T19:00:00Z,1.4,0.01,0.02,0,2021-10-01T23:00:00Z,2021-10-01T23:00:00Z,274,274,2021_274,2021,D17,528,528
BIGC,2021-10-01T19:15:00Z,1.4,0.01,0.02,0,2021-10-01T23:15:00Z,2021-10-01T23:15:00Z,274,274,2021_274,2021,D17,406,406
BIGC,2021-10-01T19:30:00Z,1.3,0.01,0.03,0,2021-10-01T23:30:00Z,2021-10-01T23:30:00Z,274,274,2021_274,2021,D17,291,291
BIGC,2021-10-01T19:45:00Z,1.3,0.01,0.03,0,2021-10-01T23:45:00Z,2021-10-01T23:45:00Z,274,274,2021_274,2021,D17,175,175
BIGC,2021-10-01T20:00:00Z,1.3,0,0.02,0,2021-10-02T00:00:00Z,2021-10-02T00:00:00Z,274,274,2021_274,2021,D17,99,99
BIGC,2021-10-01T20:15:00Z,1.3,0,0.02,0,2021-10-02T00:15:00Z,2021-10-02T00:15:00Z,274,274,2021_274,2021,D17,46,46
BIGC,2021-10-01T20:30:00Z,1.4,0,0.01,0,2021-10-02T00:30:00Z,2021-10-02T00:30:00Z,274,274,2021_274,2021,D17,16,16
BIGC,2021-10-01T20:45:00Z,1.4,0.01,0.03,0,2021-10-02T00:45:00Z,2021-10-02T00:45:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T21:00:00Z,1.4,0,0.01,0,2021-10-02T01:00:00Z,2021-10-02T01:00:00Z,274,274,2021_274,2021,D17,0,0
BIGC,2021-10-01T21:15:00Z,1.4,0.01,0.03,0,2021-10-02T01:15:00Z,2021-10-02T01:15:00Z,274,274,2021_274,2021,D17,0,0
