siteID,model_datetime,surfWaterNitrateMean,surfWaterNitrateVariance,surfWaterNitrateStdErMean,rangeFailQM,UTC_startDateTime,local_datetime,Jday,model_jday,yr_jday,Year,domainID,GHI_wm2,clearsky_GHI_wm2,solar_time,mod_light,hours
BIGC,2021-10-01T07:00:00Z,1.6,0,0.02,0,2021-10-01T11:00:00Z,2021-10-01T11:00:00Z,274,274,2021_274,2021,D17,0,0,2021-10-01T03:04:17Z,0,4
BIGC,2021-10-01T08:00:00Z,1.6,0.01,0.02,0,2021-10-01T12:00:00Z,2021-10-01T12:00:00Z,274,274,2021_274,2021,D17,0,0,2021-10-01T04:04:17Z,0,5
BIGC,2021-10-01T09:00:00Z,1.6,0.01,0.02,0,2021-10-01T13:00:00Z,2021-10-01T13:00:00Z,274,274,2021_274,2021,D17,0,0,2021-10-01T05:04:17Z,0,6
BIGC,2021-10-01T10:00:00Z,1.6,0,0.02,0,2021-10-01T14:00:00Z,2021-10-01T14:00:00Z,274,274,2021_274,2021,D17,485,497,2021-10-01T06:04:17Z,39.385568080633455,7
BIGC,2021-10-01T11:00:00Z,1.6,0.01,0.03,0,2021-10-01T15:00:00Z,2021-10-01T15:00:00Z,274,274,2021_274,2021,D17,2116,2254,2021-10-01T07:04:17Z,513.8130716241727,8
BIGC,2021-10-01T12:00:00Z,1.6,0,0.02,0,2021-10-01T16:00:00Z,2021-10-01T16:00:00Z,274,274,2021_274,2021,D17,4311,4311,2021-10-01T08:04:17Z,947.5126928352776,9
BIGC,2021-10-01T13:00:00Z,1.5,0.01,0.03,0,2021-10-01T17:00:00Z,2021-10-01T17:00:00Z,274,274,2021_274,2021,D17,6604,6604,2021-10-01T09:04:17Z,1310.91531275131,10
BIGC,2021-10-01T14:00:00Z,1.6,0.01,0.02,0,2021-10-01T18:00:00Z,2021-10-01T18:00:00Z,274,274,2021_274,2021,D17,8287,8287,2021-10-01T10:04:17Z,1579.2446054944294,11
BIGC,2021-10-01T15:00:00Z,1.5,0.01,0.03,0,2021-10-01T19:00:00Z,2021-10-01T19:00:00Z,274,274,2021_274,2021,D17,8634,8634,2021-10-01T11:04:17Z,1734.206252544297,12
BIGC,2021-10-01T16:00:00Z,1.5,0.01,0.02,0,2021-10-01T20:00:00Z,2021-10-01T20:00:00Z,274,274,2021_274,2021,D17,8002,8002,2021-10-01T12:04:17Z,1765.2352189427593,13
BIGC,2021-10-01T17:00:00Z,1.4,0.01,0.03,0,2021-10-01T21:00:00Z,2021-10-01T21:00:00Z,274,274,2021_274,2021,D17,6693,6693,2021-10-01T13:04:17Z,1670.2160546281143,14
BIGC,2021-10-01T18:00:00Z,1.4,0.01,0.02,0,2021-10-01T22:00:00Z,2021-10-01T22:00:00Z,274,274,2021_274,2021,D17,5025,5025,2021-10-01T14:04:17Z,1455.627112575734,15
BIGC,2021-10-01T19:00:00Z,1.4,0.01,0.02,0,2021-10-01T23:00:00Z,2021-10-01T23:00:00Z,274,274,2021_274,2021,D17,2945,2945,2021-10-01T15:04:17Z,1136.098852299568,16
BIGC,2021-10-01T20:00:00Z,1.3,0,0.02,0,2021-10-02T00:00:00Z,2021-10-02T00:00:00Z,274,274,2021_274,2021,D17,971,971,2021-10-01T16:04:17Z,733.416344248432,17
BIGC,2021-10-01T21:00:00Z,1.4,0,0.01,0,2021-10-02T01:00:00Z,2021-10-02T01:00:00Z,274,274,2021_274,2021,D17,62,62,2021-10-01T17:04:17Z,275.0339838700838,18
BIGC,2021-10-01T22:00:00Z,1.3,0,0.02,0,2021-10-02T02:00:00Z,2021-10-02T02:00:00Z,274,274,2021_274,2021,D17,0,0,2021-10-01T18:04:17Z,0,19
BIGC,2021-10-01T23:00:00Z,1.4,0,0.02,0,2021-10-02T03:00:00Z,2021-10-02T03:00:00Z,274,274,2021_274,2021,D17,0,0,2021-10-01T19:04:17Z,0,20
BIGC,2021-10-02T00:00:00Z,1.5,0.01,0.03,0,2021-10-02T04:00:00Z,2021-10-02T04:00:00Z,274,274,2021_274,2021,D17,0,0,2021-10-01T20:04:17Z,0,21
BIGC,2021-10-02T01:00:00Z,1.5,0,0.02,0,2021-10-02T05:00:00Z,2021-10-02T05:00:00Z,274,274,2021_274,2021,D17,0,0,2021-10-01T21:04:17Z,0,22
BIGC,2021-10-02T02:00:00Z,1.5,0.01,0.03,0,2021-10-02T06:00:00Z,2021-10-02T06:00:00Z,274,274,2021_274,2021,D17,0,0,2021-10-01T22:04:17Z,0,23
BIGC,2021-10-02T03:00:00Z,1.5,0.01,0.03,0,2021-10-02T07:00:00Z,2021-10-02T07:00:00Z,275,274,2021_274,2021,D17,0,0,2021-10-01T23:04:17Z,0,0
BIGC,2021-10-02T04:00:00Z,1.5,0.01,0.03,0,2021-10-02T08:00:00Z,2021-10-02T08:00:00Z,275,274,2021_274,2021,D17,0,0,2021-10-02T00:04:17Z,0,1
BIGC,2021-10-02T05:00:00Z,1.5,0.01,0.02,0,2021-10-02T09:00:00Z,2021-10-02T09:00:00Z,275,274,2021_274,2021,D17,0,0,2021-10-02T01:04:17Z,0,2
BIGC,2021-10-02T06:00:00Z,1.6,0.01,0.03,0,2021-10-02T10:00:00Z,2021-10-02T10:00:00Z,275,274,2021_274,2021,D17,0,0,2021-10-02T02:04:17Z,0,3
BIGC,2021-10-02T07:00:00Z,1.6,0.01,0.02,0,2021-10-02T11:00:00Z,2021-10-02T11:00:00Z,275,275,2021_275,2021,D17,0,0,2021-10-02T03:04:17Z,0,4
BIGC,2021-10-02T08:00:00Z,1.5,0.01,0.03,0,2021-10-02T12:00:00Z,2021-10-02T12:00:00Z,275,275,2021_275,2021,D17,0,0,2021-10-02T04:04:17Z,0,5
BIGC,2021-10-02T09:00:00Z,1.6,0,0.02,0,2021-10-02T13:00:00Z,2021-10-02T13:00:00Z,275,275,2021_275,2021,D17,0,0,2021-10-02T05:04:17Z,0,6
BIGC,2021-10-02T10:00:00Z,1.5,0,0.02,0,2021-10-02T14:00:00Z,2021-10-02T14:00:00Z,275,275,2021_275,2021,D17,309,332,2021-10-02T06:04:17Z,32.19073580594391,7
BIGC,2021-10-02T11:00:00Z,1.6,0.01,0.02,0,2021-10-02T15:00:00Z,2021-10-02T15:00:00Z,275,275,2021_275,2021,D17,1723,1723,2021-10-02T07:04:17Z,506.27415847616,8
BIGC,2021-10-02T12:00:00Z,1.6,0.01,0.02,0,2021-10-02T16:00:00Z,2021-10-02T16:00:00Z,275,275,2021_275,2021,D17,3684,3684,2021-10-02T08:04:17Z,939.4804553657968,9
BIGC,2021-10-02T13:00:00Z,1.6,0.01,0.02,0,2021-10-02T17:00:00Z,2021-10-02T17:00:00Z,275,275,2021_275,2021,D17,5794,5794,2021-10-02T09:04:17Z,1302.2744022936686,10
BIGC,2021-10-02T14:00:00Z,1.6,0.01,0.03,0,2021-10-02T18:00:00Z,2021-10-02T18:00:00Z,275,275,2021_275,2021,D17,7231,7231,2021-10-02T10:04:17Z,1569.9213919162642,11
BIGC,2021-10-02T15:00:00Z,1.5,0.01,0.03,0,2021-10-02T19:00:00Z,2021-10-02T19:00:00Z,275,275,2021_275,2021,D17,7417,7417,2021-10-02T11:04:17Z,1724.173788284323,12
BIGC,2021-10-02T16:00:00Z,1.5,0.01,0.02,0,2021-10-02T20:00:00Z,2021-10-02T20:00:00Z,275,275,2021_275,2021,D17,7345,7345,2021-10-02T12:04:17Z,1754.5150089605793,13
BIGC,2021-10-02T17:00:00Z,1.5,0.01,0.03,0,2021-10-02T21:00:00Z,2021-10-02T21:00:00Z,275,275,2021_275,2021,D17,6592,6592,2021-10-02T13:04:17Z,1658.8765158404578,14
BIGC,2021-10-02T18:00:00Z,1.4,0.01,0.02,0,2021-10-02T22:00:00Z,2021-10-02T22:00:00Z,275,275,2021_275,2021,D17,4838,4838,2021-10-02T14:04:17Z,1443.7788330865853,15
BIGC,2021-10-02T19:00:00Z,1.4,0.01,0.03,0,2021-10-02T23:00:00Z,2021-10-02T23:00:00Z,275,275,2021_275,2021,D17,2803,2803,2021-10-02T15:04:17Z,1123.8869787100932,16
BIGC,2021-10-02T20:00:00Z,1.4,0,0.02,0,2021-10-03T00:00:00Z,2021-10-03T00:00:00Z,275,275,2021_275,2021,D17,905,905,2021-10-02T16:04:17Z,721.0106211700277,17
BIGC,2021-10-02T21:00:00Z,1.3,0,0.02,0,2021-10-03T01:00:00Z,2021-10-03T01:00:00Z,275,275,2021_275,2021,D17,56,56,2021-10-02T17:04:17Z,262.6171291829989,18
BIGC,2021-10-02T22:00:00Z,1.4,0.01,0.03,0,2021-10-03T02:00:00Z,2021-10-03T02:00:00Z,275,275,2021_275,2021,D17,0,0,2021-10-02T18:04:17Z,0,19
BIGC,2021-10-02T23:00:00Z,1.4,0.01,0.02,0,2021-10-03T03:00:00Z,2021-10-03T03:00:00Z,275,275,2021_275,2021,D17,0,0,2021-10-02T19:04:17Z,0,20
BIGC,2021-10-03T00:00:00Z,1.5,0.01,0.02,0,2021-10-03T04:00:00Z,2021-10-03T04:00:00Z,275,275,2021_275,2021,D17,0,0,2021-10-02T20:04:17Z,0,21
BIGC,2021-10-03T01:00:00Z,1.4,0.01,0.03,0,2021-10-03T05:00:00Z,2021-10-03T05:00:00Z,275,275,2021_275,2021,D17,0,0,2021-10-02T21:04:17Z,0,22
BIGC,2021-10-03T02:00:00Z,1.5,0.01,0.02,0,2021-10-03T06:00:00Z,2021-10-03T06:00:00Z,275,275,2021_275,2021,D17,0,0,2021-10-02T22:04:17Z,0,23
BIGC,2021-10-03T03:00:00Z,1.5,0.01,0.03,0,2021-10-03T07:00:00Z,2021-10-03T07:00:00Z,276,275,2021_275,2021,D17,0,0,2021-10-02T23:04:17Z,0,0
BIGC,2021-10-03T04:00:00Z,1.5,0,0.01,0,2021-10-03T08:00:00Z,2021-10-03T08:00:00Z,276,275,2021_275,2021,D17,0,0,2021-10-03T00:04:17Z,0,1
BIGC,2021-10-03T05:00:00Z,1.5,0.01,0.03,0,2021-10-03T09:00:00Z,2021-10-03T09:00:00Z,276,275,2021_275,2021,D17,0,0,2021-10-03T01:04:17Z,0,2
BIGC,2021-10-03T06:00:00Z,1.6,0,0.02,0,2021-10-03T10:00:00Z,2021-10-03T10:00:00Z,276,275,2021_275,2021,D17,0,0,2021-10-03T02:04:17Z,0,3
BIGC,2021-10-03T07:00:00Z,1.5,0.01,0.03,0,2021-10-03T11:00:00Z,2021-10-03T11:00:00Z,276,276,2021_276,2021,D17,0,0,2021-10-03T03:04:17Z,0,4
BIGC,2021-10-03T08:00:00Z,1.6,0.01,0.03,0,2021-10-03T12:00:00Z,2021-10-03T12:00:00Z,276,276,2021_276,2021,D17,0,0,2021-10-03T04:04:17Z,0,5
BIGC,2021-10-03T09:00:00Z,1.5,0.01,0.03,0,2021-10-03T13:00:00Z,2021-10-03T13:00:00Z,276,276,2021_276,2021,D17,0,0,2021-10-03T05:04:17Z,0,6
BIGC,2021-10-03T10:00:00Z,1.6,0,0.02,0,2021-10-03T14:00:00Z,2021-10-03T14:00:00Z,276,276,2021_276,2021,D17,299,299,2021-10-03T06:04:17Z,24.967030021599207,7
BIGC,2021-10-03T11:00:00Z,1.6,0.01,0.03,0,2021-10-03T15:00:00Z,2021-10-03T15:00:00Z,276,276,2021_276,2021,D17,1577,1577,2021-10-03T07:04:17Z,498.6859145090791,8
BIGC,2021-10-03T12:00:00Z,1.6,0.01,0.02,0,2021-10-03T16:00:00Z,2021-10-03T16:00:00Z,276,276,2021_276,2021,D17,3487,3487,2021-10-03T08:04:17Z,931.3840057765734,9
BIGC,2021-10-03T13:00:00Z,1.5,0.01,0.03,0,2021-10-03T17:00:00Z,2021-10-03T17:00:00Z,276,276,2021_276,2021,D17,5681,5681,2021-10-03T09:04:17Z,1293.5610037842594,10
BIGC,2021-10-03T14:00:00Z,1.5,0.01,0.02,0,2021-10-03T18:00:00Z,2021-10-03T18:00:00Z,276,276,2021_276,2021,D17,7240,7240,2021-10-03T10:04:17Z,1560.5245958523558,11
BIGC,2021-10-03T15:00:00Z,1.5,0,0.02,0,2021-10-03T19:00:00Z,2021-10-03T19:00:00Z,276,276,2021_276,2021,D17,7519,7519,2021-10-03T11:04:17Z,1714.0739119000025,12
BIGC,2021-10-03T16:00:00Z,1.5,0,0.02,0,2021-10-03T20:00:00Z,2021-10-03T20:00:00Z,276,276,2021_276,2021,D17,7007,7007,2021-10-03T12:04:17Z,1743.740405740215,13
BIGC,2021-10-03T17:00:00Z,1.3,0.01,0.02,0,2021-10-03T21:00:00Z,2021-10-03T21:00:00Z,276,276,2021_276,2021,D17,5822,5822,2021-10-03T13:04:17Z,1647.5015638130803,14
BIGC,2021-10-03T18:00:00Z,1.3,0,0.02,0,2021-10-03T22:00:00Z,2021-10-03T22:00:00Z,276,276,2021_276,2021,D17,4150,4150,2021-10-03T14:04:17Z,1431.918783231863,15
BIGC,2021-10-03T19:00:00Z,1.3,0,0.02,0,2021-10-03T23:00:00Z,2021-10-03T23:00:00Z,276,276,2021_276,2021,D17,2232,2232,2021-10-03T15:04:17Z,1111.6900203349057,16
BIGC,2021-10-03T20:00:00Z,1.3,0,0.02,0,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z,276,276,2021_276,2021,D17,662,662,2021-10-03T16:04:17Z,708.6477104768352,17
BIGC,2021-10-03T21:00:00Z,1.4,0.01,0.02,0,2021-10-04T01:00:00Z,2021-10-04T01:00:00Z,276,276,2021_276,2021,D17,37,37,2021-10-03T17:04:17Z,250.27027923744916,18
BIGC,2021-10-03T22:00:00Z,1.4,0.01,0.02,0,2021-10-04T02:00:00Z,2021-10-04T02:00:00Z,276,276,2021_276,2021,D17,0,0,2021-10-03T18:04:17Z,0,19
BIGC,2021-10-03T23:00:00Z,1.4,0.01,0.03,0,2021-10-04T03:00:00Z,2021-10-04T03:00:00Z,276,276,2021_276,2021,D17,0,0,2021-10-03T19:04:17Z,0,20
BIGC,2021-10-04T00:00:00Z,1.4,0.01,0.03,0,2021-10-04T04:00:00Z,2021-10-04T04:00:00Z,276,276,2021_276,2021,D17,0,0,2021-10-03T20:04:17Z,0,21
BIGC,2021-10-04T01:00:00Z,1.5,0.01,0.03,0,2021-10-04T05:00:00Z,2021-10-04T05:00:00Z,276,276,2021_276,2021,D17,0,0,2021-10-03T21:04:17Z,0,22
BIGC,2021-10-04T02:00:00Z,1.4,0.01,0.03,0,2021-10-04T06:00:00Z,2021-10-04T06:00:00Z,276,276,2021_276,2021,D17,0,0,2021-10-03T22:04:17Z,0,23
BIGC,2021-10-04T03:00:00Z,1.5,0.01,0.03,0,2021-10-04T07:00:00Z,2021-10-04T07:00:00Z,277,276,2021_276,2021,D17,0,0,2021-10-03T23:04:17Z,0,0
BIGC,2021-10-04T04:00:00Z,1.5,0.01,0.03,0,2021-10-04T08:00:00Z,2021-10-04T08:00:00Z,277,276,2021_276,2021,D17,0,0,2021-10-04T00:04:17Z,0,1
BIGC,2021-10-04T05:00:00Z,1.5,0.01,0.03,0,2021-10-04T09:00:00Z,2021-10-04T09:00:00Z,277,276,2021_276,2021,D17,0,0,2021-10-04T01:04:17Z,0,2
BIGC,2021-10-04T06:00:00Z,1.5,0.01,0.03,0,2021-10-04T10:00:00Z,2021-10-04T10:00:00Z,277,276,2021_276,2021,D17,0,0,2021-10-04T02:04:17Z,0,3
BIGC,2021-12-04T08:00:00Z,1.9,0,0.02,0,2021-12-04T12:00:00Z,2021-12-04T12:00:00Z,338,338,2021_338,2021,D17,0,0,2021-12-04T04:04:17Z,0,4
BIGC,2021-12-04T09:00:00Z,1.8,0,0.01,0,2021-12-04T13:00:00Z,2021-12-04T13:00:00Z,338,338,2021_338,2021,D17,0,0,2021-12-04T05:04:17Z,0,5
BIGC,2021-12-04T10:00:00Z,1.8,0,0.01,0,2021-12-04T14:00:00Z,2021-12-04T14:00:00Z,338,338,2021_338,2021,D17,0,0,2021-12-04T06:04:17Z,0,6
BIGC,2021-12-04T11:00:00Z,1.8,0,0.01,0,2021-12-04T15:00:00Z,2021-12-04T15:00:00Z,338,338,2021_338,2021,D17,0,0,2021-12-04T07:04:17Z,11.62477241524568,7
BIGC,2021-12-04T12:00:00Z,1.9,0,0.01,0,2021-12-04T16:00:00Z,2021-12-04T16:00:00Z,338,338,2021_338,2021,D17,901,915,2021-12-04T08:04:17Z,415.0820234876758,8
BIGC,2021-12-04T13:00:00Z,1.9,0,0.01,0,2021-12-04T17:00:00Z,2021-12-04T17:00:00Z,338,338,2021_338,2021,D17,2870,2870,2021-12-04T09:04:17Z,754.1506666176252,9
BIGC,2021-12-04T14:00:00Z,1.9,0,0.02,0,2021-12-04T18:00:00Z,2021-12-04T18:00:00Z,338,338,2021_338,2021,D17,4673,4673,2021-12-04T10:04:17Z,1005.7364482683621,10
BIGC,2021-12-04T15:00:00Z,1.8,0,0.02,0,2021-12-04T19:00:00Z,2021-12-04T19:00:00Z,338,338,2021_338,2021,D17,5933,5933,2021-12-04T11:04:17Z,1152.7036805758526,11
BIGC,2021-12-04T16:00:00Z,1.8,0,0.02,0,2021-12-04T20:00:00Z,2021-12-04T20:00:00Z,338,338,2021_338,2021,D17,6485,6485,2021-12-04T12:04:17Z,1185.042359469477,12
BIGC,2021-12-04T17:00:00Z,1.8,0,0.01,0,2021-12-04T21:00:00Z,2021-12-04T21:00:00Z,338,338,2021_338,2021,D17,6271,6271,2021-12-04T13:04:17Z,1100.5499439938021,13
BIGC,2021-12-04T18:00:00Z,1.7,0,0.02,0,2021-12-04T22:00:00Z,2021-12-04T22:00:00Z,338,338,2021_338,2021,D17,5313,5313,2021-12-04T14:04:17Z,904.9813612243697,14
BIGC,2021-12-04T19:00:00Z,1.7,0,0.02,0,2021-12-04T23:00:00Z,2021-12-04T23:00:00Z,338,338,2021_338,2021,D17,3783,3783,2021-12-04T15:04:17Z,611.6570212914733,15
BIGC,2021-12-04T20:00:00Z,1.7,0,0.01,0,2021-12-05T00:00:00Z,2021-12-05T00:00:00Z,338,338,2021_338,2021,D17,1850,1850,2021-12-04T16:04:17Z,240.55554215699306,16
BIGC,2021-12-04T21:00:00Z,1.7,0,0.01,0,2021-12-05T01:00:00Z,2021-12-05T01:00:00Z,338,338,2021_338,2021,D17,228,228,2021-12-04T17:04:17Z,0,17
BIGC,2021-12-04T22:00:00Z,1.7,0,0.02,0,2021-12-05T02:00:00Z,2021-12-05T02:00:00Z,338,338,2021_338,2021,D17,0,0,2021-12-04T18:04:17Z,0,18
BIGC,2021-12-04T23:00:00Z,1.7,0,0.02,0,2021-12-05T03:00:00Z,2021-12-05T03:00:00Z,338,338,2021_338,2021,D17,0,0,2021-12-04T19:04:17Z,0,19
BIGC,2021-12-05T00:00:00Z,1.7,0,0.02,0,2021-12-05T04:00:00Z,2021-12-05T04:00:00Z,338,338,2021_338,2021,D17,0,0,2021-12-04T20:04:17Z,0,20
BIGC,2021-12-05T01:00:00Z,1.7,0,0.02,0,2021-12-05T05:00:00Z,2021-12-05T05:00:00Z,338,338,2021_338,2021,D17,0,0,2021-12-04T21:04:17Z,0,21
