siteID,local_datetime,Jday,startDateTime,endDateTime,surfWaterNitrateMean,surfWaterNitrateMinimum,surfWaterNitrateMaximum,surfWaterNitrateVariance,surfWaterNitrateNumPts,surfWaterNitrateExpUncert,surfWaterNitrateStdErMean,N_mean_mgm3,model_datetime,model_day
CARI,2019-05-07T12:00:00Z,127,2019-05-07T12:00:00Z,2019-05-07T12:15:00Z,22.6,22.5,22.8,0.01,11,1.51,0.02,316.55142,2019-05-07T08:00:00Z,127
CARI,2019-05-07T13:00:00Z,127,2019-05-07T13:00:00Z,2019-05-07T13:15:00Z,22.9,22.7,23.1,0.01,11,1.53,0.04,320.75343,2019-05-07T09:00:00Z,127
CARI,2019-05-07T14:00:00Z,127,2019-05-07T14:00:00Z,2019-05-07T14:15:00Z,22.9,22.7,23,0.01,11,1.53,0.03,320.75343,2019-05-07T10:00:00Z,127
CARI,2019-05-07T15:00:00Z,127,2019-05-07T15:00:00Z,2019-05-07T15:15:00Z,23,22.8,23.2,0.01,11,1.53,0.03,322.1541,2019-05-07T11:00:00Z,127
CARI,2019-05-07T16:00:00Z,127,2019-05-07T16:00:00Z,2019-05-07T16:15:00Z,23.3,23.2,23.4,0.01,11,1.55,0.02,326.35611,2019-05-07T12:00:00Z,127
CARI,2019-05-07T17:00:00Z,127,2019-05-07T17:00:00Z,2019-05-07T17:15:00Z,23.4,23.3,23.6,0.01,11,1.56,0.03,327.75678,2019-05-07T13:00:00Z,127
CARI,2019-05-07T18:00:00Z,127,2019-05-07T18:00:00Z,2019-05-07T18:15:00Z,23.6,23.5,23.8,0.01,11,1.58,0.03,330.55812000000003,2019-05-07T14:00:00Z,127
CARI,2019-05-07T19:00:00Z,127,2019-05-07T19:00:00Z,2019-05-07T19:15:00Z,22.900000000000002,NA,NA,NA,NA,NA,NA,320.75343000000004,2019-05-07T15:00:00Z,127
CARI,2019-05-07T20:00:00Z,127,2019-05-07T20:00:00Z,2019-05-07T20:15:00Z,22.2,NA,NA,NA,NA,NA,NA,310.94874,2019-05-07T16:00:00Z,127
CARI,2019-05-07T21:00:00Z,127,2019-05-07T21:00:00Z,2019-05-07T21:15:00Z,21.5,21.4,21.7,0.01,11,1.44,0.03,301.14405,2019-05-07T17:00:00Z,127
CARI,2019-05-07T22:00:00Z,127,2019-05-07T22:00:00Z,2019-05-07T22:15:00Z,21.2,21,21.4,0.02,11,1.42,0.04,296.94204,2019-05-07T18:00:00Z,127
CARI,2019-05-07T23:00:00Z,127,2019-05-07T23:00:00Z,2019-05-07T23:15:00Z,20.9,20.7,21.1,0.01,11,1.39,0.03,292.74003,2019-05-07T19:00:00Z,127
CARI,2019-05-08T00:00:00Z,127,2019-05-08T00:00:00Z,2019-05-08T00:15:00Z,20.4,20.3,20.5,0,11,1.36,0.02,285.73668,2019-05-07T20:00:00Z,127
