siteID,model_datetime,surfWaterNitrateMean,surfWaterNitrateVariance,surfWaterNitrateStdErMean,rangeFailQM,UTC_startDateTime,local_datetime,Jday,model_jday,yr_jday,Year,domainID,GHI_wm2,clearsky_GHI_wm2
PRIN,2021-10-21T05:00:00Z,27.3,0.03,0.06,0,2021-10-21T09:00:00Z,2021-10-21T09:00:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T05:15:00Z,27.3,0.02,0.04,0,2021-10-21T09:15:00Z,2021-10-21T09:15:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T05:30:00Z,27.3,0.02,0.04,0,2021-10-21T09:30:00Z,2021-10-21T09:30:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T05:45:00Z,27.3,0.01,0.03,0,2021-10-21T09:45:00Z,2021-10-21T09:45:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T06:00:00Z,27.4,0.01,0.03,0,2021-10-21T10:00:00Z,2021-10-21T10:00:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T06:15:00Z,27.4,0.01,0.02,0,2021-10-21T10:15:00Z,2021-10-21T10:15:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T06:30:00Z,27.4,0.03,0.05,0,2021-10-21T10:30:00Z,2021-10-21T10:30:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T06:45:00Z,27.5,0.01,0.03,0,2021-10-21T10:45:00Z,2021-10-21T10:45:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T07:00:00Z,27.5,0.03,0.05,0,2021-10-21T11:00:00Z,2021-10-21T11:00:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T07:15:00Z,27.6,0.01,0.03,0,2021-10-21T11:15:00Z,2021-10-21T11:15:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T07:30:00Z,27.5,0.01,0.04,0,2021-10-21T11:30:00Z,2021-10-21T11:30:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T07:45:00Z,27.5,0.01,0.03,0,2021-10-21T11:45:00Z,2021-10-21T11:45:00Z,294,294,2021_294,2021,D11,0,0
PRIN,2021-10-21T08:00:00Z,27.5,0.03,0.05,0,2021-10-21T12:00:00Z,2021-10-21T12:00:00Z,294,294,2021_294,2021,D11,79,79
PRIN,2021-10-21T08:15:00Z,27.5,0.02,0.04,0,2021-10-21T12:15:00Z,2021-10-21T12:15:00Z,294,294,2021_294,2021,D11,190,190
PRIN,2021-10-21T08:30:00Z,27.1,0.02,0.05,0,2021-10-21T12:30:00Z,2021-10-21T12:30:00Z,294,294,2021_294,2021,D11,328,328
