siteID,model_datetime,surfWaterNitrateMean,surfWaterNitrateVariance,surfWaterNitrateStdErMean,rangeFailQM,UTC_startDateTime,local_datetime,Jday,model_jday,yr_jday,Year,domainID,GHI_wm2,clearsky_GHI_wm2
WLOU,2021-10-03T06:00:00Z,1,0,0.01,0,2021-10-03T10:00:00Z,2021-10-03T10:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T06:15:00Z,1,0,0.01,0,2021-10-03T10:15:00Z,2021-10-03T10:15:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T06:30:00Z,1,0,0.01,0,2021-10-03T10:30:00Z,2021-10-03T10:30:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T06:45:00Z,1,0,0.01,0,2021-10-03T10:45:00Z,2021-10-03T10:45:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T07:00:00Z,1,0,0.01,0,2021-10-03T11:00:00Z,2021-10-03T11:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T07:15:00Z,1,0,0.02,0,2021-10-03T11:15:00Z,2021-10-03T11:15:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T07:30:00Z,1,0,0.01,0,2021-10-03T11:30:00Z,2021-10-03T11:30:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T07:45:00Z,1,0,0.01,0,2021-10-03T11:45:00Z,2021-10-03T11:45:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T08:00:00Z,1,0,0.01,0,2021-10-03T12:00:00Z,2021-10-03T12:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T08:15:00Z,1,0,0.01,0,2021-10-03T12:15:00Z,2021-10-03T12:15:00Z,276,276,2021_276,2021,D13,24,24
WLOU,2021-10-03T08:30:00Z,1.1,0,0.01,0,2021-10-03T12:30:00Z,2021-10-03T12:30:00Z,276,276,2021_276,2021,D13,145,145
WLOU,2021-10-03T08:45:00Z,1,0,0.01,0,2021-10-03T12:45:00Z,2021-10-03T12:45:00Z,276,276,2021_276,2021,D13,278,278
WLOU,2021-10-03T09:00:00Z,1.1,0,0.01,0,2021-10-03T13:00:00Z,2021-10-03T13:00:00Z,276,276,2021_276,2021,D13,426,426
WLOU,2021-10-03T09:15:00Z,1.1,0,0.01,0,2021-10-03T13:15:00Z,2021-10-03T13:15:00Z,276,276,2021_276,2021,D13,581,581
WLOU,2021-10-03T09:30:00Z,1.1,0,0.02,0,2021-10-03T13:30:00Z,2021-10-03T13:30:00Z,276,276,2021_276,2021,D13,739,739
WLOU,2021-10-03T09:45:00Z,1.1,0,0.01,0,2021-10-03T13:45:00Z,2021-10-03T13:45:00Z,276,276,2021_276,2021,D13,895,895
WLOU,2021-10-03T10:00:00Z,1,0,0.01,0,2021-10-03T14:00:00Z,2021-10-03T14:00:00Z,276,276,2021_276,2021,D13,1050,1050
WLOU,2021-10-03T10:15:00Z,1,0,0.01,0,2021-10-03T14:15:00Z,2021-10-03T14:15:00Z,276,276,2021_276,2021,D13,1199,1199
WLOU,2021-10-03T10:30:00Z,1,0,0.01,0,2021-10-03T14:30:00Z,2021-10-03T14:30:00Z,276,276,2021_276,2021,D13,1344,1344
WLOU,2021-10-03T10:45:00Z,1,0,0.01,0,2021-10-03T14:45:00Z,2021-10-03T14:45:00Z,276,276,2021_276,2021,D13,1485,1485
WLOU,2021-10-03T11:00:00Z,1,0,0.01,0,2021-10-03T15:00:00Z,2021-10-03T15:00:00Z,276,276,2021_276,2021,D13,1617,1617
WLOU,2021-10-03T11:15:00Z,0.9,0,0.01,0,2021-10-03T15:15:00Z,2021-10-03T15:15:00Z,276,276,2021_276,2021,D13,1740,1740
WLOU,2021-10-03T11:30:00Z,0.9,0,0.01,0,2021-10-03T15:30:00Z,2021-10-03T15:30:00Z,276,276,2021_276,2021,D13,1856,1856
WLOU,2021-10-03T11:45:00Z,0.9,0,0.01,0,2021-10-03T15:45:00Z,2021-10-03T15:45:00Z,276,276,2021_276,2021,D13,1954,1954
WLOU,2021-10-03T12:00:00Z,0.8,0,0.02,0,2021-10-03T16:00:00Z,2021-10-03T16:00:00Z,276,276,2021_276,2021,D13,2046,2046
WLOU,2021-10-03T12:15:00Z,0.8,0,0.02,0,2021-10-03T16:15:00Z,2021-10-03T16:15:00Z,276,276,2021_276,2021,D13,2130,2130
WLOU,2021-10-03T12:30:00Z,0.8,0,0.01,0,2021-10-03T16:30:00Z,2021-10-03T16:30:00Z,276,276,2021_276,2021,D13,2205,2205
WLOU,2021-10-03T12:45:00Z,0.8,0,0.01,0,2021-10-03T16:45:00Z,2021-10-03T16:45:00Z,276,276,2021_276,2021,D13,2270,2270
WLOU,2021-10-03T13:00:00Z,0.8,0,0.01,0,2021-10-03T17:00:00Z,2021-10-03T17:00:00Z,276,276,2021_276,2021,D13,2322,2322
WLOU,2021-10-03T13:15:00Z,0.8,0,0.01,0,2021-10-03T17:15:00Z,2021-10-03T17:15:00Z,276,276,2021_276,2021,D13,2361,2361
WLOU,2021-10-03T13:30:00Z,0.8,0,0.01,0,2021-10-03T17:30:00Z,2021-10-03T17:30:00Z,276,276,2021_276,2021,D13,2390,2390
WLOU,2021-10-03T13:45:00Z,0.8,0,0.01,0,2021-10-03T17:45:00Z,2021-10-03T17:45:00Z,276,276,2021_276,2021,D13,1919,2406
WLOU,2021-10-03T14:00:00Z,0.7,0,0.01,0,2021-10-03T18:00:00Z,2021-10-03T18:00:00Z,276,276,2021_276,2021,D13,2411,2411
WLOU,2021-10-03T14:15:00Z,0.7,0,0.02,0,2021-10-03T18:15:00Z,2021-10-03T18:15:00Z,276,276,2021_276,2021,D13,2402,2402
WLOU,2021-10-03T14:30:00Z,0.7,0,0.02,0,2021-10-03T18:30:00Z,2021-10-03T18:30:00Z,276,276,2021_276,2021,D13,2382,2382
WLOU,2021-10-03T14:45:00Z,0.7,0,0.01,0,2021-10-03T18:45:00Z,2021-10-03T18:45:00Z,276,276,2021_276,2021,D13,2349,2349
WLOU,2021-10-03T15:00:00Z,0.7,0,0.01,0,2021-10-03T19:00:00Z,2021-10-03T19:00:00Z,276,276,2021_276,2021,D13,2305,2305
WLOU,2021-10-03T15:15:00Z,0.7,0,0.01,0,2021-10-03T19:15:00Z,2021-10-03T19:15:00Z,276,276,2021_276,2021,D13,2248,2248
WLOU,2021-10-03T15:30:00Z,0.7,0,0.01,0,2021-10-03T19:30:00Z,2021-10-03T19:30:00Z,276,276,2021_276,2021,D13,2181,2181
WLOU,2021-10-03T15:45:00Z,0.6,0,0.01,0,2021-10-03T19:45:00Z,2021-10-03T19:45:00Z,276,276,2021_276,2021,D13,2100,2100
WLOU,2021-10-03T16:00:00Z,0.7,0,0.02,0,2021-10-03T20:00:00Z,2021-10-03T20:00:00Z,276,276,2021_276,2021,D13,2000,2000
WLOU,2021-10-03T16:15:00Z,0.7,0,0.01,0,2021-10-03T20:15:00Z,2021-10-03T20:15:00Z,276,276,2021_276,2021,D13,1901,1901
WLOU,2021-10-03T16:30:00Z,0.7,0,0.01,0,2021-10-03T20:30:00Z,2021-10-03T20:30:00Z,276,276,2021_276,2021,D13,1793,1793
WLOU,2021-10-03T16:45:00Z,0.7,0,0.01,0,2021-10-03T20:45:00Z,2021-10-03T20:45:00Z,276,276,2021_276,2021,D13,1675,1675
WLOU,2021-10-03T17:00:00Z,0.7,0,0.01,0,2021-10-03T21:00:00Z,2021-10-03T21:00:00Z,276,276,2021_276,2021,D13,1549,1549
WLOU,2021-10-03T17:15:00Z,0.7,0,0.01,0,2021-10-03T21:15:00Z,2021-10-03T21:15:00Z,276,276,2021_276,2021,D13,1416,1416
WLOU,2021-10-03T17:30:00Z,0.7,0,0.01,0,2021-10-03T21:30:00Z,2021-10-03T21:30:00Z,276,276,2021_276,2021,D13,1275,1275
WLOU,2021-10-03T17:45:00Z,0.7,0,0.01,0,2021-10-03T21:45:00Z,2021-10-03T21:45:00Z,276,276,2021_276,2021,D13,1130,1130
