siteID,model_datetime,surfWaterNitrateMean,surfWaterNitrateVariance,surfWaterNitrateStdErMean,rangeFailQM,UTC_startDateTime,local_datetime,Jday,model_jday,yr_jday,Year,domainID,GHI_wm2,clearsky_GHI_wm2
WLOU,2021-10-03T06:00:00Z,1,0,0.01,0,2021-10-03T10:00:00Z,2021-10-03T10:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T07:00:00Z,1,0,0.01,0,2021-10-03T11:00:00Z,2021-10-03T11:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T08:00:00Z,1,0,0.01,0,2021-10-03T12:00:00Z,2021-10-03T12:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T09:00:00Z,1.1,0,0.01,0,2021-10-03T13:00:00Z,2021-10-03T13:00:00Z,276,276,2021_276,2021,D13,873,873
WLOU,2021-10-03T10:00:00Z,1,0,0.01,0,2021-10-03T14:00:00Z,2021-10-03T14:00:00Z,276,276,2021_276,2021,D13,3265,3265
WLOU,2021-10-03T11:00:00Z,1,0,0.01,0,2021-10-03T15:00:00Z,2021-10-03T15:00:00Z,276,276,2021_276,2021,D13,5645,5645
WLOU,2021-10-03T12:00:00Z,0.8,0,0.02,0,2021-10-03T16:00:00Z,2021-10-03T16:00:00Z,276,276,2021_276,2021,D13,7596,7596
WLOU,2021-10-03T13:00:00Z,0.8,0,0.01,0,2021-10-03T17:00:00Z,2021-10-03T17:00:00Z,276,276,2021_276,2021,D13,8927,8927
WLOU,2021-10-03T14:00:00Z,0.7,0,0.01,0,2021-10-03T18:00:00Z,2021-10-03T18:00:00Z,276,276,2021_276,2021,D13,9081,9568
WLOU,2021-10-03T15:00:00Z,0.7,0,0.01,0,2021-10-03T19:00:00Z,2021-10-03T19:00:00Z,276,276,2021_276,2021,D13,9438,9438
WLOU,2021-10-03T16:00:00Z,0.7,0,0.02,0,2021-10-03T20:00:00Z,2021-10-03T20:00:00Z,276,276,2021_276,2021,D13,8529,8529
WLOU,2021-10-03T17:00:00Z,0.7,0,0.01,0,2021-10-03T21:00:00Z,2021-10-03T21:00:00Z,276,276,2021_276,2021,D13,6918,6918
WLOU,2021-10-03T18:00:00Z,0.7,0,0.01,0,2021-10-03T22:00:00Z,2021-10-03T22:00:00Z,276,276,2021_276,2021,D13,4801,4801
WLOU,2021-10-03T19:00:00Z,0.7,0,0.01,0,2021-10-03T23:00:00Z,2021-10-03T23:00:00Z,276,276,2021_276,2021,D13,2378,2378
WLOU,2021-10-03T20:00:00Z,0.8,0,0.01,0,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z,276,276,2021_276,2021,D13,324,324
WLOU,2021-10-03T21:00:00Z,0.8,0,0.01,0,2021-10-04T01:00:00Z,2021-10-04T01:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T22:00:00Z,1,0,0.02,0,2021-10-04T02:00:00Z,2021-10-04T02:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-03T23:00:00Z,1.1,0,0.01,0,2021-10-04T03:00:00Z,2021-10-04T03:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-04T00:00:00Z,1.2,0,0.01,0,2021-10-04T04:00:00Z,2021-10-04T04:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-04T01:00:00Z,1.3,0,0.01,0,2021-10-04T05:00:00Z,2021-10-04T05:00:00Z,276,276,2021_276,2021,D13,0,0
WLOU,2021-10-04T02:00:00Z,1.3,0,0.01,0,2021-10-04T06:00:00Z,2021-10-04T06:00:00Z,277,276,2021_276,2021,D13,0,0
WLOU,2021-10-04T03:00:00Z,1.3,0,0.01,0,2021-10-04T07:00:00Z,2021-10-04T07:00:00Z,277,276,2021_276,2021,D13,0,0
WLOU,2021-10-04T04:00:00Z,1.4,0,0.01,0,2021-10-04T08:00:00Z,2021-10-04T08:00:00Z,277,276,2021_276,2021,D13,0,0
WLOU,2021-10-04T05:00:00Z,1.4,0,0.02,0,2021-10-04T09:00:00Z,2021-10-04T09:00:00Z,277,276,2021_276,2021,D13,0,0
WLOU,2021-10-04T06:00:00Z,1.4,0,0.01,0,2021-10-04T10:00:00Z,2021-10-04T10:00:00Z,277,277,2021_277,2021,D13,0,0
WLOU,2021-10-04T07:00:00Z,1.4,0,0.02,0,2021-10-04T11:00:00Z,2021-10-04T11:00:00Z,277,277,2021_277,2021,D13,0,0
WLOU,2021-10-04T08:00:00Z,1.4,0,0.01,0,2021-10-04T12:00:00Z,2021-10-04T12:00:00Z,277,277,2021_277,2021,D13,0,0
WLOU,2021-10-04T09:00:00Z,1.4,0,0.01,0,2021-10-04T13:00:00Z,2021-10-04T13:00:00Z,277,277,2021_277,2021,D13,841,841
WLOU,2021-10-04T10:00:00Z,1.4,0,0.01,0,2021-10-04T14:00:00Z,2021-10-04T14:00:00Z,277,277,2021_277,2021,D13,3195,3195
WLOU,2021-10-04T11:00:00Z,1.3,0,0.01,0,2021-10-04T15:00:00Z,2021-10-04T15:00:00Z,277,277,2021_277,2021,D13,5555,5555
WLOU,2021-10-04T12:00:00Z,1.1,0,0.01,0,2021-10-04T16:00:00Z,2021-10-04T16:00:00Z,277,277,2021_277,2021,D13,7510,7510
WLOU,2021-10-04T13:00:00Z,1,0,0.01,0,2021-10-04T17:00:00Z,2021-10-04T17:00:00Z,277,277,2021_277,2021,D13,8846,8846
WLOU,2021-10-04T14:00:00Z,0.9,0,0.01,0,2021-10-04T18:00:00Z,2021-10-04T18:00:00Z,277,277,2021_277,2021,D13,9441,9441
WLOU,2021-10-04T15:00:00Z,1,0,0.01,0,2021-10-04T19:00:00Z,2021-10-04T19:00:00Z,277,277,2021_277,2021,D13,9310,9310
WLOU,2021-10-04T16:00:00Z,0.9,0,0.02,0,2021-10-04T20:00:00Z,2021-10-04T20:00:00Z,277,277,2021_277,2021,D13,8418,8418
WLOU,2021-10-04T17:00:00Z,0.8,0,0.01,0,2021-10-04T21:00:00Z,2021-10-04T21:00:00Z,277,277,2021_277,2021,D13,6846,6846
WLOU,2021-10-04T18:00:00Z,0.8,0,0.01,0,2021-10-04T22:00:00Z,2021-10-04T22:00:00Z,277,277,2021_277,2021,D13,4541,4725
WLOU,2021-10-04T19:00:00Z,0.9,0,0.01,0,2021-10-04T23:00:00Z,2021-10-04T23:00:00Z,277,277,2021_277,2021,D13,2298,2298
WLOU,2021-10-04T20:00:00Z,0.9,0,0.01,0,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z,277,277,2021_277,2021,D13,294,294
WLOU,2021-10-04T21:00:00Z,1,0,0.02,0,2021-10-05T01:00:00Z,2021-10-05T01:00:00Z,277,277,2021_277,2021,D13,0,0
WLOU,2021-10-04T22:00:00Z,1.2,0,0.01,0,2021-10-05T02:00:00Z,2021-10-05T02:00:00Z,277,277,2021_277,2021,D13,0,0
WLOU,2021-10-04T23:00:00Z,1.3,0,0.01,0,2021-10-05T03:00:00Z,2021-10-05T03:00:00Z,277,277,2021_277,2021,D13,0,0
