siteID,local_datetime,yr_jday,Jday,surfWaterNitrateMean,surfWaterNitrateVariance,surfWaterNitrateStdErMean,rangeFailQM,UTC_startDateTime,Year,domainID,GHI_wm2,clearsky_GHI_wm2
WLOU,2021-02-01T07:00:00Z,2021_32,32,3.6,0.01,0.03,0,2021-02-01T07:00:00Z,2021,D13,0,0
WLOU,2021-02-01T07:15:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T07:15:00Z,2021,D13,0,0
WLOU,2021-02-01T07:30:00Z,2021_32,32,3.6,0.01,0.03,0,2021-02-01T07:30:00Z,2021,D13,0,0
WLOU,2021-02-01T07:45:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T07:45:00Z,2021,D13,0,0
WLOU,2021-02-01T08:00:00Z,2021_32,32,3.7,0,0.02,0,2021-02-01T08:00:00Z,2021,D13,0,0
WLOU,2021-02-01T08:15:00Z,2021_32,32,3.6,0.01,0.03,0,2021-02-01T08:15:00Z,2021,D13,0,0
WLOU,2021-02-01T08:30:00Z,2021_32,32,3.6,0.01,0.03,0,2021-02-01T08:30:00Z,2021,D13,0,0
WLOU,2021-02-01T08:45:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T08:45:00Z,2021,D13,0,0
WLOU,2021-02-01T09:00:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T09:00:00Z,2021,D13,0,0
WLOU,2021-02-01T09:15:00Z,2021_32,32,3.7,0.02,0.04,0,2021-02-01T09:15:00Z,2021,D13,0,0
WLOU,2021-02-01T09:30:00Z,2021_32,32,3.6,0.01,0.03,0,2021-02-01T09:30:00Z,2021,D13,0,0
WLOU,2021-02-01T09:45:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T09:45:00Z,2021,D13,0,0
WLOU,2021-02-01T10:00:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T10:00:00Z,2021,D13,0,0
WLOU,2021-02-01T10:15:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T10:15:00Z,2021,D13,0,0
WLOU,2021-02-01T10:30:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T10:30:00Z,2021,D13,0,0
WLOU,2021-02-01T10:45:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T10:45:00Z,2021,D13,0,0
WLOU,2021-02-01T11:00:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T11:00:00Z,2021,D13,0,0
WLOU,2021-02-01T11:15:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T11:15:00Z,2021,D13,0,0
WLOU,2021-02-01T11:30:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T11:30:00Z,2021,D13,0,0
WLOU,2021-02-01T11:45:00Z,2021_32,32,3.7,0.01,0.04,0,2021-02-01T11:45:00Z,2021,D13,0,0
WLOU,2021-02-01T12:00:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T12:00:00Z,2021,D13,0,0
WLOU,2021-02-01T12:15:00Z,2021_32,32,3.7,0.01,0.04,0,2021-02-01T12:15:00Z,2021,D13,0,0
WLOU,2021-02-01T12:30:00Z,2021_32,32,3.7,0.01,0.04,0,2021-02-01T12:30:00Z,2021,D13,0,0
WLOU,2021-02-01T12:45:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T12:45:00Z,2021,D13,0,0
WLOU,2021-02-01T13:00:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T13:00:00Z,2021,D13,0,0
WLOU,2021-02-01T13:15:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T13:15:00Z,2021,D13,0,0
WLOU,2021-02-01T13:30:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T13:30:00Z,2021,D13,0,0
WLOU,2021-02-01T13:45:00Z,2021_32,32,3.7,0.02,0.04,0,2021-02-01T13:45:00Z,2021,D13,0,0
WLOU,2021-02-01T14:00:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T14:00:00Z,2021,D13,0,0
WLOU,2021-02-01T14:15:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T14:15:00Z,2021,D13,0,0
WLOU,2021-02-01T14:30:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T14:30:00Z,2021,D13,26,37
WLOU,2021-02-01T14:45:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T14:45:00Z,2021,D13,54,78
WLOU,2021-02-01T15:00:00Z,2021_32,32,3.7,0.01,0.03,0,2021-02-01T15:00:00Z,2021,D13,87,124
WLOU,2021-02-01T15:15:00Z,2021_32,32,3.7,0.01,0.04,0,2021-02-01T15:15:00Z,2021,D13,138,172
WLOU,2021-02-01T15:30:00Z,2021_32,32,3.7,0,0.02,0,2021-02-01T15:30:00Z,2021,D13,177,220
