site,ID,latitude,longitude,a,95%CI,b,95%CI,R2,c,95%CI,f,95%CI,R2,k,95%CI,m,95%CI,R2
Arikaree River NEON | ARIK | https://www.neonscience.org/field-sites/ARIK,ARIK,39.758206,-102.447148,6.7,"(3.9,11)",0.04,"(_0.11,0.19)",0.03,0.18,"(0.06,0.56)",0.15,"(_0.17,0.48)",0.08,0.84,"(0.24,2.9)",0.8,"(0.46,1.2)",0.66
Upper Big Creek NEON | BIGC | https://www.neonscience.org/field-sites/BIGC,BIGC,37.059719,-119.257549,4.8,"(4.6,5)",0.07,"(0.05,0.08)",0.77,0.3,"(0.22,0.4)",0.27,"(0.18,0.37)",0.6,0.72,"(0.55,0.95)",0.67,"(0.58,0.76)",0.91
Blacktail Deer Creek NEON | BLDE | https://www.neonscience.org/field-sites/BLDE,BLDE,44.95011,-110.58715,4.3,"(3.9,4.6)",0.14,"(0.1,0.17)",0.78,0.3,"(0.28,0.32)",0.34,"(0.31,0.38)",0.97,0.79,"(0.75,0.83)",0.52,"(0.49,0.55)",0.99
Blue River NEON | BLUE | https://www.neonscience.org/field-sites/BLUE,BLUE,34.444218,-96.624201,23,"(22,24)",0.01,"(_0.03,0.06)",0.06,0.19,"(0.17,0.22)",0.53,"(0.4,0.67)",0.91,0.23,"(0.21,0.25)",0.45,"(0.35,0.56)",0.92
Caribou Creek NEON | CARI | https://www.neonscience.org/field-sites/CARI,CARI,65.153224,-147.503973,3.3,"(3,3.6)",0.1,"(0.01,0.18)",0.16,0.5,"(0.45,0.55)",0.49,"(0.39,0.59)",0.8,0.61,"(0.58,0.64)",0.41,"(0.37,0.45)",0.94
Como Creek NEON | COMO | https://www.neonscience.org/field-sites/COMO,COMO,40.034962,-105.544164,2.9,"(2.6,3.1)",0.11,"(0.09,0.13)",0.82,0.51,"(0.41,0.63)",0.42,"(0.38,0.47)",0.92,0.68,"(0.57,0.82)",0.47,"(0.43,0.51)",0.95
Rio Cupeyes NEON | CUPE | https://www.neonscience.org/field-sites/CUPE,CUPE,18.11352,-66.98676,6.9,"(6.3,7.5)",0.13,"(0.1,0.16)",0.73,0.32,"(0.22,0.47)",0.55,"(0.42,0.68)",0.72,0.45,"(0.32,0.63)",0.32,"(0.2,0.44)",0.52
Rio Yahuecas NEON | GUIL | https://www.neonscience.org/field-sites/GUIL,GUIL,18.17406,-66.79868,7,"(6.1,7.9)",0.11,"(0.04,0.18)",0.26,0.45,"(0.39,0.53)",0.36,"(0.28,0.45)",0.73,0.32,"(0.28,0.36)",0.53,"(0.46,0.6)",0.9
Lower Hop Brook NEON | HOPB | https://www.neonscience.org/field-sites/HOPB,HOPB,42.471941,-72.329526,6.9,"(6.6,7.3)",0.13,"(0.11,0.15)",0.89,0.24,"(0.18,0.31)",0.29,"(0.2,0.39)",0.64,0.61,"(0.47,0.79)",0.58,"(0.49,0.66)",0.89
Kings Creek NEON | KING | https://www.neonscience.org/field-sites/KING,KING,39.105061,-96.603829,6.5,"(5.7,7.4)",0.12,"(0.08,0.17)",0.76,0.28,"(0.12,0.67)",0.23,"(_0.1,0.55)",0.2,0.54,"(0.24,1.2)",0.65,"(0.35,0.95)",0.7
