siteID,namedLocation,collectDate,collectDateTrim,stationToInjectionDistance,injectionType,slugTracerMass,slugPourTime,dripStartTime,plateauCollectTime,backgroundSaltConc,meanBackgroundCond,backgroundSensorCond,plateauSaltConc,meanPlatSaltConc,sdPlatSaltConc,plateauSaltConcClean,meanPlatSaltConcClean,sdPlatSaltConcClean,plateauSaltConcCleanCorr,meanPlatSaltConcCleanCorr,sdPlatSaltConcCleanCorr,platSensorCond,plateauGasConc,meanPlatGasConc,sdPlatGasConc,plateauGasConcClean,meanPlatGasConcClean,sdPlatGasConcClean,unmixedStationFlag,wettedWidth,waterTemp,hoboSampleID,fieldDischarge_lps,stage,eventID
BIGC,BIGC.AOS.reaeration.station.03,2017-06-20 16:46,2017-06-20 16:46,160,NaCl,NA,NA,2017-06-20 18:07,1497984360,4.9578,82.6,NA,6.1859|6.1646|6.3223|6.2657|6.188,6.2253,0.06646296,6.1859|6.1646|6.2657|6.188,6.20105,0.044377359,0.209770462705232|0.21178748638509|0.213804510064948|0.207753439025374,0.210778975,0.002603966,NA,1.04|1.05|1.1|1.06|1.03,1.056,0.027018512,1.04|1.05|1.06|1.03,1.045,0.012909944,NA,4.256666667,16,NA,125.68,0.64,BIGC.20170620
BIGC,BIGC.AOS.reaeration.station.02,2017-06-20 16:46,2017-06-20 16:46,100,NaCl,NA,NA,2017-06-20 18:07,1497984000,4.9263,82.5,NA,6.1984|NA|6.1728|6.1779|6.2334,6.195625,0.027506408,6.1984|NA|6.1728|6.1779|6.2334,6.195625,0.027506408,0.22735115604003|0.225321235003958|0.2151716298236|0.229381077076102|0.219231471895743,0.223291314,0.005918186,NA,1.12|1.11|1.06|1.13|1.08,1.1,0.029154759,1.12|1.11|1.06|1.13|1.08,1.1,0.029154759,NA,4.256666667,15.8,NA,125.68,0.64,BIGC.20170620
BIGC,BIGC.AOS.reaeration.station.01,2017-06-20 16:46,2017-06-20 16:46,40,NaCl,NA,NA,2017-06-20 18:07,1497983640,4.883,80.7,NA,6.0957|5.852|6.0775|6.028|6.0545,6.02154,0.098111075,6.0957|6.0775|6.028|6.0545,6.063925,0.029288038,0.235510956379275|0.223223428220356|0.215031742781077|0.231415113659635,0.22629531,0.009081941,NA,1.15|1.14|1.09|1.05|1.13,1.112,0.041472883,1.15|1.09|1.05|1.13,1.105,0.044347116,NA,4.256666667,15.7,BIGC_S1_20170620,125.68,0.64,BIGC.20170620
BIGC,BIGC.AOS.reaeration.station.04,2017-06-20 16:46,2017-06-20 16:46,220,NaCl,NA,NA,2017-06-20 18:07,1497984780,4.9802,81.3,NA,6.2484|6.3133|6.2898|6.3384|6.2973,6.29744,0.033138241,6.3133|6.2898|6.3384|6.2973,6.3097,0.021497442,0.190755391349745|0.194771294325529|0.200795148789205|0.200795148789205,0.196779246,0.004918457,NA,0.96|0.95|0.97|1|1,0.976,0.023021729,0.95|0.97|1|1,0.98,0.024494897,NA,4.256666667,16,BIGC_S4_20170620,125.68,0.64,BIGC.20170620
BIGC,BIGC.AOS.reaeration.station.04,2017-06-27 17:54,2017-06-27 17:54,220,NaCl,NA,NA,2017-06-27 19:46,1498594440,5.6241,84.5,NA,7.2874|7.2142|7.2648|7.2432|7.223,7.24652,0.030058809,7.2874|7.2142|7.223,7.241533333,0.039964651,0.199142973986949|0.199142973986949|0.199142973986949,0.199142974,0,NA,1.12|1.12|1.15|1.08|1.12,1.118,0.024899799,1.12|1.12|1.12,1.12,0,NA,4.206666667,16.8,BIGC_S4_20170627,103.39,0.64,BIGC.20170627
BIGC,BIGC.AOS.reaeration.station.01,2017-06-27 17:54,2017-06-27 17:54,40,NaCl,NA,NA,2017-06-27 19:46,1498593840,5.6912,71.5,NA,7.1249|7.2447|7.1458|7.2119|7.1707,7.1796,0.048721248,7.1249|7.2447|7.1458|7.1707,7.171525,0.05225236,0.230179926904695|0.231937025583357|0.237208321619342|0.233694124262019,0.23325485,0.003000817,NA,1.31|1.32|1.35|1.13|1.33,1.288,0.089554453,1.31|1.32|1.35|1.33,1.3275,0.017078251,NA,4.206666667,16.7,BIGC_S1_20170627,103.39,0.64,BIGC.20170627
BIGC,BIGC.AOS.reaeration.station.03,2017-06-27 17:54,2017-06-27 17:54,160,NaCl,NA,NA,2017-06-27 19:46,1498594260,5.6674,84.2,NA,7.2738|7.2692|7.2157|7.343|7.2292,7.26618,0.049709778,7.2738|7.2692|7.2292,7.2574,0.024529982,0.202914916893108|0.208208349507711|0.204679394431309,0.205267554,0.002695284,NA,1.15|1.18|1.09|1.26|1.16,1.168,0.061400326,1.15|1.18|1.16,1.163333333,0.015275252,NA,4.206666667,16.9,NA,103.39,0.64,BIGC.20170627
BIGC,BIGC.AOS.reaeration.station.02,2017-06-27 17:54,2017-06-27 17:54,100,NaCl,NA,NA,2017-06-27 19:46,1498594080,5.6633,84.3,NA,7.2013|7.1115|7.2179|7.2033|7.2263,7.19206,0.046210691,7.2013|7.2179|7.2033|7.2263,7.2122,0.01196272,0.206593328977804|0.211890593823389|0.215422103720446|0.211890593823389,0.211449155,0.003640197,NA,1.17|1.23|1.2|1.22|1.2,1.204,0.023021729,1.17|1.2|1.22|1.2,1.1975,0.020615528,NA,4.206666667,16.8,NA,103.39,0.64,BIGC.20170627
BIGC,BIGC.AOS.reaeration.station.02,2017-07-12 17:39,2017-07-12 17:39,100,NaCl,NA,NA,2017-07-12 18:23,1499885700,9.7218,95.8,NA,11.83|11.932|11.991|11.889|12.006,11.9296,0.072768812,11.83|11.991|11.889|12.006,11.929,0.084011904,0.201608755580242|0.197494291180646|0.198522907280545|0.201608755580242,0.199808677,0.002120546,NA,1.96|1.84|1.92|1.93|1.96,1.922,0.049193496,1.96|1.92|1.93|1.96,1.9425,0.020615528,NA,4.063333333,16.1,NA,89.16,0.6,BIGC.20170712
BIGC,BIGC.AOS.reaeration.station.03,2017-07-12 17:39,2017-07-12 17:39,160,NaCl,NA,NA,2017-07-12 18:23,1499885880,9.5479,96.2,NA,11.891|12.126|11.941|12.089|11.94,11.9974,0.103350375,11.891|12.126|11.941|12.089|11.94,11.9974,0.103350375,0.191665182919804|0.19375988437248|0.192712533646142|0.194807235098818|0.196901936551493,0.193969355,0.002014619,NA,1.83|1.85|1.84|1.86|1.88,1.852,0.019235384,1.83|1.85|1.84|1.86|1.88,1.852,0.019235384,NA,4.063333333,16.2,NA,89.16,0.6,BIGC.20170712
