siteID,eventID,collectDate,type,peakMaxVelocity_mPerSec,meanDepth_m,meanQ_lps,meanWettedWidth_m
ARIK,ARIK.20170313,2017-03-13 22:45,model,0.027193828,NA,NA,7.126666667
ARIK,ARIK.20170417,2017-04-17 21:40,model,0.030237581,NA,NA,5.742333333
ARIK,ARIK.20170515,2017-05-15 22:01,model,0.053231939,0.126439008,44.22,6.57
ARIK,ARIK.20171129,2017-11-29 22:38,model,0.04057971,0.105158785,20.54,4.813333333
ARIK,ARIK.20180305,2018-03-05 23:07,model,0.08,0.092038488,36.03,4.893333333
ARIK,ARIK.20180402,2018-04-02 23:37,model,0.073684211,0.091864491,38.82,5.735
ARIK,ARIK.20180430,2018-04-30 23:05,model,0.087306502,0.124595611,63.31,5.82
ARIK,ARIK.20180605,2018-06-05 20:23,model,NA,NA,NA,3.69
ARIK,ARIK.20181105,2018-11-05 23:32,model - slug,NA,NA,NA,3.583333333
ARIK,ARIK.20181114,2018-11-14 22:56,model - slug,0.026603416,0.162014031,18.16,4.213333333
ARIK,ARIK.20190318,2019-03-18 21:43,model - slug,0.067673087,0.089600847,39.11,6.45
ARIK,ARIK.20190401,2019-04-01 23:34,model - slug,0.054447215,0.116143901,40.75,6.444
ARIK,ARIK.20190506,2019-05-06 23:14,model - slug,0.05191458,0.119032944,37.24,6.026333333
ARIK,ARIK.20190604,2019-06-04 23:30,model - slug,0.023135397,0.163482404,23.47,6.205333333
ARIK,ARIK.20191121,2019-11-21 16:32,model - slug,0.013868883,0.117643494,11.73,7.189333333
ARIK,ARIK.20200309,2020-03-09 21:35,model - slug,0.045134443,NA,NA,7.347666667
ARIK,ARIK.20201215,2020-12-15 23:48,model - slug,0.030888031,0.050889205,8.53,5.426666667
ARIK,ARIK.20210309,2021-03-09 21:20,model - slug,0.057494867,0.066573432,23.79,6.215333333
ARIK,ARIK.20210330,2021-03-30 22:12,model - slug,0.082352941,0.080154211,36.71,5.561333333
ARIK,ARIK.20210504,2021-05-04 23:13,model - slug,0.081871345,0.102507776,50.24,5.986333333
ARIK,ARIK.20211130,2021-11-30 21:48,model - slug,0.005645161,NA,NA,3.954
ARIK,ARIK.20211214,2021-12-14 21:56,model - slug,NA,NA,NA,4.55
BIGC,BIGC.20170620,2017-06-20 16:46,NaCl,0.18556701,0.159109371,125.68,4.256666667
BIGC,BIGC.20170627,2017-06-27 17:54,NaCl,0.209302326,0.117426572,103.39,4.206666667
BIGC,BIGC.20170712,2017-07-12 17:39,NaCl,0.163636364,0.134093519,89.16,4.063333333
BIGC,BIGC.20170808,2017-08-08 17:31,NaCl,0.136363636,0.112406426,59.79,3.900666667
BIGC,BIGC.20170905,2017-09-05 17:59,NaCl,0.079646018,0.091325323,27.24,3.745
BIGC,BIGC.20171003,2017-10-03 17:08,NaCl,0.101694915,0.103150506,41.47,3.953333333
BIGC,BIGC.20180227,2018-02-27 18:42,NaCl,0.097297297,0.098268976,40.03,4.186666667
BIGC,BIGC.20180409,2018-04-09 19:35,NaCl,0.240641711,0.175967989,177.85,4.2
