samp,time,nh4,spc,minutes
1,11:21,NA,194.870876,11
2,11:24,NA,194.5633284,14
3,11:28,-0.70626283,194.5820388,18
4,11:32,0.423757698,194.4717546,22
5,11:36,1.130020527,194.4893616,26
6,11:40,2.048162206,194.6343871,30
7,11:44,3.81381928,194.9063581,34
8,11:48,18.43345985,198.7536113,38
9,11:52,40.82199155,206.8007861,42
10,11:56,50.21528718,212.5339375,46
11,12:00,53.53472248,215.707056,50
12,12:04,49.93278205,216.0753928,54
13,12:08,38.70320306,214.9188067,58
14,12:12,32.84122158,213.1304879,62
15,12:16,27.19111894,211.0926916,66
16,12:20,21.61164259,208.6798908,70
17,12:24,14.19588287,205.8935043,74
18,12:28,11.01770014,204.6273118,78
19,12:32,9.887679614,202.4816429,82
20,12:36,8.898911653,201.8508086,86
21,12:40,7.133254579,200.718182,90
22,12:44,5.438223788,199.9643429,94
23,12:48,4.731960958,199.337134,98
24,12:52,3.319435299,199.2117175,102
25,12:56,7.980769974,198.4607156,106
26,13:00,3.036930167,198.4603531,110
27,13:04,8.898911653,198.2098826,114
28,13:08,1.20064681,197.7102498,118
29,13:12,1.130020527,197.584518,122
30,13:16,1.341899376,197.5827368,126
31,13:20,0.988767961,197.5803252,130
32,13:24,1.20064681,197.7012336,134
33,13:28,0.847515396,197.6974033,138
