time,spc,samp,nh4,minutes
7/25/2022 12:40,193.9,1,3.930305236,25
7/25/2022 12:50,193.6,2,2.043219555,35
7/25/2022 12:55,194.5,3,1.885962415,40
7/25/2022 13:00,194.2,4,1.796101192,45
7/25/2022 13:05,194.5,5,2.290337918,50
7/25/2022 13:10,197.2,6,8.603088825,55
7/25/2022 13:15,205,7,28.61967622,60
7/25/2022 13:20,208.6,8,34.93242713,65
7/25/2022 13:25,212.6,9,32.70836186,70
7/25/2022 13:30,212.9,10,29.06898234,75
7/25/2022 13:35,211.4,11,25.3846722,80
7/25/2022 13:40,210,12,21.76775798,85
7/25/2022 13:45,202.3,13,19.43136618,90
7/25/2022 13:50,206.1,14,17.27469683,95
7/25/2022 13:55,203.8,15,14.26434587,100
7/25/2022 14:00,203.2,16,12.13014182,105
7/25/2022 14:05,201.5,17,10.10826431,110
7/25/2022 14:10,201.1,18,8.333505157,115
7/25/2022 14:15,199.9,19,7.300101094,120
7/25/2022 14:20,199,20,6.199301113,125
7/25/2022 14:25,198.5,21,5.592737859,130
7/25/2022 14:30,197.7,22,5.031105216,135
7/25/2022 14:35,197.2,23,4.941243993,140
7/25/2022 14:40,196.6,24,4.918778687,145
7/25/2022 14:45,196,25,4.312215433,150
7/25/2022 14:50,195.9,26,3.705652178,155
7/25/2022 14:55,195.7,27,3.43606851,160
