samp,minutes,nh4,spc
1,22,1.443221546,223.4
2,26,1.621191063,223.6
3,31,1.359798336,223.4
4,36,1.404290715,223.4
5,41,3.784632995,225
6,43,9.36842657,228.6
7,45,20.09108993,233.1
8,47,26.75938524,237.3
9,49,39.20056674,242.8
10,51,50.66847745,247.2
11,53,61.69702591,248.7
12,56,72.84236687,249.2
13,59,71.88578072,248.9
14,62,72.44193546,247.4
15,66,52.60389594,245
16,70,46.48063227,242
17,74,39.30067459,239
18,78,36.2140158,236.5
19,82,29.25652002,234.13
20,86,25.66932195,232.5
21,90,21.34243809,231
22,99,13.6675027,227.6
23,94,17.11010053,229.3
24,104,11.09806781,226.5
25,109,8.851202663,225.8
26,114,7.121561426,225.1
27,119,5.981444212,224.6
28,124,4.974804136,224.2
29,129,4.196187502,223.8
30,134,4.079395007,223.6
31,139,3.367516941,223.4
32,144,2.855854582,223.3
