samp,minutes,spc,nh4
3,35,217,2.129124462
4,40,217.4,3.145005659
5,45,217.3,1.905774695
6,51,217.8,2.669486801
7,54,219.4,4.146477194
8,58,228.3,16.04885831
9,62,235.5,18.59216372
10,66,239,23.76523251
11,71,236.2,23.20325568
12,74,235.3,22.37470009
13,77,234.4,21.50291552
14,80,234.9,21.59657832
15,83,233.5,19.29823718
16,88,230.1,16.82698008
17,93,227.6,13.51996257
18,98,223.9,12.98680506
19,103,224.6,11.15677794
20,108,223.3,8.656701516
21,113,222.4,7.712868631
22,118,221,6.999590343
23,123,220.4,5.998118809
24,128,220,6.034142965
25,133,219.4,5.003852105
26,138,218.8,4.636405715
27,145,218.5,4.30498348
28,150,218.6,4.139272363
