minutes,spc,nh4
18,213,3.435716908
21,211.7,3.16298817
24,211.8,2.916867114
26,212,3.389153465
28,212.1,3.182943932
30,211.8,2.85699983
32,212.3,2.85699983
34,212.6,2.990038239
36,212.6,2.956778637
38,212.7,2.790480626
40,212.8,2.790480626
43,213.2,3.063209364
45,215.6,3.987826305
47,219.9,6.748373289
49,225.3,11.03221005
51,229.5,15.07657768
53,233.1,18.48236095
55,236,21.35599058
57,237,25.24071212
59,238.5,24.78172961
61,238.6,24.55556431
63,238,24.33605094
65,237.7,23.65755505
67,237.1,22.54003242
70,233.1,21.16973681
73,232.6,19.2805914
76,229.6,17.44466136
80,227.4,15.60873132
84.25,224.8,13.82601664
88,223.5,12.12977693
93,221.9,10.83265244
98,219.4,9.422445307
103,218.2,8.384745718
108,216.6,7.413565333
113,215.6,6.788284811
118,215,5.970098597
123,214.4,5.25834311
128,214.3,4.859227883
133,214.2,5.624198734
138,213.9,4.892487485
143,213.5,4.832620201
148,213.4,4.500024179
,,4.500024179
