minutes,spc,nh4
30,199.3,4.480598881
34,201.5,3.360449161
38,201.7,3.211095865
42,201.4,3.733832401
46,201.5,3.509802457
50,201.9,3.211095865
54,199.6,3.285772513
58,204,3.435125809
62,200.8,3.435125809
66,202,5.974131842
70,204.2,11.5002038
73,207.5,12.02294033
76,210.4,13.66582659
79,213.7,15.01000625
82,215.8,16.65289251
85,217.7,16.50353921
89.3,218.8,15.53274279
93,219.4,14.18856312
96,217.8,13.14309005
99,216.3,12.47100022
104,213,11.94826368
109,211.3,12.02294033
114,209.5,10.23070078
119,208.5,8.811844466
124,207.3,7.841048042
129,206.1,6.720898322
134,205.6,6.870251618
139,205.3,6.646221674
144,204.2,6.944928266
149,203.8,5.824778546
154,204.2,5.526071954
159,203.8,5.302042009
164,202.8,5.376718657
169,202.3,4.853982121
174,201.8,4.779305473
