time,minutes,bottle,SRP,spc
51,30,2,< 0.8,202.9
56,35,3,< 0.8,206.4
61,40,1,1.2,206.3
66,45,4,< 0.8,205.9
71,50,5,1.1,222.1
76,55,6,2.4,229.3
81,60,7,2.3,232.3
86,65,8,3.2,230.7
91,70,9,2.9,227.7
96,75,10,2.7,224.2
101,80,11,1.3,221.1
106,85,12,1.0,218.9
111,90,13,0.8,216.3
116,95,14,0.9,215
121,100,15,1.2,212.9
126,105,16,1.0,211.7
131,110,17,0.9,212.1
136,115,18,0.8,209.9
141,120,19,0.8,209.5
146,125,20,< 0.8,208.2
151,130,21,0.9,207.9
156,135,22,< 0.8,207.8
161,140,23,< 0.8,208.4
166,145,24,0.8,207.2
171,150,25,< 0.8,206.6
176,155,26,< 0.8,206.5
