time,minutes,bottle,nh4,spc
20,30,1,4.225281543,210.3
25,35,2,4.021653517,210.3
30,40,3,3.512583451,210.4
35,45,4,5.548863713,212.2
40,50,5,17.35928923,224.5
45,55,6,27.84613258,232.8
50,60,7,33.4459033,235.8
55,65,8,32.12232113,235
60,70,9,29.47515679,232.9
65,75,10,25.19896824,229.9
70,80,11,22.75543192,228.1
75,85,12,20.31189561,226
80,90,13,19.39556949,223.3
85,95,14,16.3411491,221.3
90,100,15,14.10124081,220.5
95,105,16,11.55589048,219.3
100,110,17,10.53775035,217.8
105,115,18,9.214168184,216.6
110,120,19,9.926866276,215.8
115,125,20,8.09421404,215.5
120,130,21,7.076073909,214.7
125,135,22,6.261561805,214
130,140,23,5.650677726,213.3
135,145,24,5.243421674,213
140,150,25,5.752491739,212.5
