time,minutes,bottles,nh4,spc
0,25,26,4.937979635,199.1
5,30,27,4.225281543,198.5
10,35,28,4.021653517,197.4
15,40,29,4.12346753,196
20,45,30,4.225281543,198.3
25,50,31,4.530723582,198.3
30,55,32,11.86133252,206.6
35,60,33,26.62436442,211.5
40,65,34,29.47515679,220.1
45,70,35,33.95497336,220.2
50,75,36,29.67878481,219.6
55,80,37,29.78059883,219.2
60,85,38,26.01348034,218.3
65,90,39,23.16268798,214.6
70,95,40,21.0245937,212.4
75,100,41,18.88649943,210.5
80,105,42,16.44296311,207.4
85,110,43,15.526637,206
90,115,44,13.38854272,207.1
95,120,45,12.4722166,207.2
100,125,46,11.04682042,205.9
105,130,47,10.02868029,204.8
110,135,48,9.315982197,204.1
115,140,49,9.315982197,203.4
120,145,50,9.214168184,203.1
125,150,51,7.686957988,202.7
130,155,52,7.279701935,202.4
