time,minutes,bottles,SRP,spc
40,32,1,< 0.8,200.6
45,37,2,< 0.8,200.3
50,42,3,< 0.8,199.8
55,47,4,< 0.8,199.5
60,52,5,< 0.8,200.2
65,57,6,1.3,206.4
70,62,7,3.2,213.9
75,67,8,1.9,220.5
80,72,9,2.6,222.6
85,77,10,2.1,221
90,82,11,3.1,219.7
95,87,12,1.4,217.2
100,92,13,1.9,214.7
105,97,14,1.9,214.1
110,102,15,1.3,212.1
115,107,16,1.0,210
120,112,17,0.9,208.9
125,117,18,1.1,206.8
130,122,19,1.2,206.6
135,127,20,1.4,205.6
140,132,21,0.9,205.1
145,137,22,< 0.8,204.4
150,142,23,< 0.8,203.8
155,147,24,< 0.8,203.3
160,152,25,< 0.8,202.7
