minutes,nh4,spc
26,2.820474575,211.6
31,2.66801649,211.6
36,2.697056125,211.6
41,2.595417402,211.6
46,13.20940409,213.1
51,37.85679452,222.9
56,48.7103582,236.6
61,47.26563635,241.6
66,43.12022841,242.6
71,38.22704987,241.1
76,34.89475172,239.6
81,30.04513264,237.1
86,25.42783063,233.3
91,21.55103932,229.5
96,18.4873578,226.5
101,16.71594005,223.9
106,13.88457561,221.8
111,12.38903439,220.1
116,11.03143145,218.8
121,9.013176795,217.3
126,7.75721257,215.8
131,7.183679773,214.7
136,6.239891627,213.2
141,5.724438101,214.9
146,5.012967037,214.4
151,4.744350411,213.9
180,3.408527189,212.3
