minutes,nh4,spc
30,2.527791085,203.1
35,2.38334588,203
40,2.38334588,203.2
45,2.38334588,205.4
50,2.600013687,205.3
55,7.077815037,208.9
60,23.8334588,221.3
65,36.61685942,230.5
70,36.03907861,232.4
75,33.29461971,231.8
80,28.96126357,229.4
85,25.42235605,225.6
90,21.30566771,222.3
95,18.0556506,219.1
100,15.38341431,216.5
105,13.86673966,214.8
110,11.988952,213.2
115,10.68894516,211.8
120,8.66671229,210.3
125,7.583373254,209.3
130,7.294482844,208.7
135,6.427811615,208
140,6.211143808,207.4
145,6.57225682,207.7
150,6.066698603,207.3
161,4.838914362,206
