mod_day,K_mod_avg,K_mod_sd,sumlight,mod_date
230,3.7240726367545114,2.1371297914723373,60226212.51221016,2023-08-18
231,3.7970031419643444,2.2266156141946998,59783003.14093819,2023-08-19
232,3.8442339565406733,2.3021026515150615,59333906.149032734,2023-08-20
233,3.7363722288023955,2.050362491394181,58879603.270948745,2023-08-21
234,3.8478074892335115,2.2437069023571294,58419943.82228217,2023-08-22
235,3.7157465321960865,1.957487581397145,57956006.2630638,2023-08-23
236,3.779270210903078,2.257335791814521,57488919.13414504,2023-08-24
237,3.6728504088320624,2.025185181271815,57015242.93688952,2023-08-25
238,3.712023437403352,2.0904384723828517,56538016.418305546,2023-08-26
239,3.72415981146107,2.024419784526243,56057876.225555986,2023-08-27
240,3.664155500003101,1.9738403878282285,55571354.82056901,2023-08-28
241,3.7443462652387076,1.932879843799721,55082487.05267504,2023-08-29
242,3.7896288297027465,2.154450523072361,54590346.881955616,2023-08-30
243,3.7854641881950397,2.1966442602035516,54094491.771161154,2023-08-31
244,3.7349720047072412,2.0260680893080205,53594579.973049976,2023-09-01
245,3.7607754360237307,2.089319962966487,53091060.27122991,2023-09-02
246,3.8274199149723946,2.1937866133052357,52586801.12803135,2023-09-03
247,3.7252035732871396,2.01981526177556,52077093.85976677,2023-09-04
248,3.9015065250170693,2.3821190852560186,51565551.17907791,2023-09-05
249,3.772835258821447,2.085209036229511,51052447.70089642,2023-09-06
250,3.6776282891766305,2.0236650524253106,50536335.68959837,2023-09-07
251,3.8031427573717527,2.177821062489613,50017645.84528315,2023-09-08
270,3.717073878063922,1.9735364486743558,39988483.725278884,2023-09-27
271,3.7910967188144733,2.1289712049081366,39464562.64395805,2023-09-28
272,3.7228120053067904,2.152734442491511,38940223.32668626,2023-09-29
273,3.856866106617899,2.2266212597133053,38419942.596243724,2023-09-30
274,3.692182032717976,2.072780613469624,37901149.76844042,2023-10-01
275,3.7771560744431594,2.1393971369253855,37382506.51400033,2023-10-02
276,3.773480586667199,2.1150202981384307,36868757.049825095,2023-10-03
277,3.7037409890670903,2.116394131749078,36356016.40699306,2023-10-04
278,3.6957036660989018,2.1055891445500836,35846683.498526335,2023-10-05
279,3.7510897334357205,2.027432790346038,35339088.59372322,2023-10-06
280,3.798072363608962,2.3809315093750802,34835829.88466624,2023-10-07
281,3.7574716008072224,2.080311471248771,34335471.65606316,2023-10-08
282,3.7574803699805166,1.9603786591998633,33835858.781485714,2023-10-09
283,3.767049927328804,2.1674983292308156,33344147.0629342,2023-10-10
284,3.7456511296745254,2.1539090959225176,32853588.64655082,2023-10-11
