local_datetime,hours,mod_hours,model_datetime,model_day,N_conc,N_conc_hat
2023-08-18T10:00:00Z,4,0,2023-08-18T06:00:00Z,230,3.991,3.991
2023-08-18T11:00:00Z,5,1,2023-08-18T07:00:00Z,230,4.014,3.9340612621543007
2023-08-18T12:00:00Z,6,2,2023-08-18T08:00:00Z,230,4.0115,3.9310369538117453
2023-08-18T13:00:00Z,7,3,2023-08-18T09:00:00Z,230,3.981,3.8944506334075397
2023-08-18T14:00:00Z,8,4,2023-08-18T10:00:00Z,230,3.943,3.8164297678000922
2023-08-18T15:00:00Z,9,5,2023-08-18T11:00:00Z,230,3.9545,3.702371625097749
2023-08-18T16:00:00Z,10,6,2023-08-18T12:00:00Z,230,3.8925,3.5878496768661554
2023-08-18T17:00:00Z,11,7,2023-08-18T13:00:00Z,230,3.8555,3.4880917500396946
2023-08-18T18:00:00Z,12,8,2023-08-18T14:00:00Z,230,3.596,3.409898300880542
2023-08-18T19:00:00Z,13,9,2023-08-18T15:00:00Z,230,3.441,3.3585997546043713
2023-08-18T20:00:00Z,14,10,2023-08-18T16:00:00Z,230,3.3225,3.3376931300548245
2023-08-18T21:00:00Z,15,11,2023-08-18T17:00:00Z,230,3.294,3.3486036460694035
2023-08-18T22:00:00Z,16,12,2023-08-18T18:00:00Z,230,3.2645,3.390587561103267
2023-08-18T23:00:00Z,17,13,2023-08-18T19:00:00Z,230,3.2825,3.4607828699010765
2023-08-19T00:00:00Z,18,14,2023-08-18T20:00:00Z,230,3.276,3.5544044016666536
2023-08-19T01:00:00Z,19,15,2023-08-18T21:00:00Z,230,3.375,3.665070020353564
2023-08-19T02:00:00Z,20,16,2023-08-18T22:00:00Z,230,3.432,3.7834965096032573
2023-08-19T03:00:00Z,21,17,2023-08-18T23:00:00Z,230,3.463,3.874240362027153
2023-08-19T04:00:00Z,22,18,2023-08-19T00:00:00Z,230,3.5945,3.9239976432183483
2023-08-19T05:00:00Z,23,19,2023-08-19T01:00:00Z,230,3.7585,3.9340612621543007
2023-08-19T06:00:00Z,0,20,2023-08-19T02:00:00Z,230,3.969,3.9340612621543007
2023-08-19T07:00:00Z,1,21,2023-08-19T03:00:00Z,230,4.0965,3.9340612621543007
2023-08-19T08:00:00Z,2,22,2023-08-19T04:00:00Z,230,4.1415,3.9340612621543007
2023-08-19T09:00:00Z,3,23,2023-08-19T05:00:00Z,230,4.1745,3.9340612621543007
2023-08-19T10:00:00Z,4,0,2023-08-19T06:00:00Z,231,4.1655,4.1655
2023-08-19T11:00:00Z,5,1,2023-08-19T07:00:00Z,231,4.1355,3.8772275944995527
2023-08-19T12:00:00Z,6,2,2023-08-19T08:00:00Z,231,4.156,3.8743988599754284
2023-08-19T13:00:00Z,7,3,2023-08-19T09:00:00Z,231,4.1225,3.836595598133351
2023-08-19T14:00:00Z,8,4,2023-08-19T10:00:00Z,231,4.0755,3.7548436027355576
2023-08-19T15:00:00Z,9,5,2023-08-19T11:00:00Z,231,3.94,3.634499988888465
2023-08-19T16:00:00Z,10,6,2023-08-19T12:00:00Z,231,3.7445,3.5130625694445743
2023-08-19T17:00:00Z,11,7,2023-08-19T13:00:00Z,231,3.584,3.407316364852282
2023-08-19T18:00:00Z,12,8,2023-08-19T14:00:00Z,231,3.452,3.3244701400185797
2023-08-19T19:00:00Z,13,9,2023-08-19T15:00:00Z,231,3.401,3.2701715690456776
2023-08-19T20:00:00Z,14,10,2023-08-19T16:00:00Z,231,3.3065,3.248122228263497
2023-08-19T21:00:00Z,15,11,2023-08-19T17:00:00Z,231,3.257,3.259825254707181
2023-08-19T22:00:00Z,16,12,2023-08-19T18:00:00Z,231,3.196,3.304482872659072
2023-08-19T23:00:00Z,17,13,2023-08-19T19:00:00Z,231,3.2165,3.379050774338288
2023-08-20T00:00:00Z,18,14,2023-08-19T20:00:00Z,231,3.213,3.4784456480199926
2023-08-20T01:00:00Z,19,15,2023-08-19T21:00:00Z,231,3.2185,3.5958917067030547
2023-08-20T02:00:00Z,20,16,2023-08-19T22:00:00Z,231,3.2845,3.721091688012865
