DateTimeUTC,NO3_uM,N_mgL,jdayUTC,local_datetime,jday_local,date_local
2023-08-17T22:15:00Z,2.85,0.03991,229,2023-08-17T22:15:00Z,229,2023-08-17
2023-08-17T22:30:00Z,3.2155,0.045045,229,2023-08-17T22:30:00Z,229,2023-08-17
2023-08-17T22:45:00Z,3.428,0.04803,229,2023-08-17T22:45:00Z,229,2023-08-17
2023-08-17T23:00:00Z,3.438,0.04816,229,2023-08-17T23:00:00Z,229,2023-08-17
2023-08-17T23:15:00Z,3.4,0.04763,229,2023-08-17T23:15:00Z,229,2023-08-17
2023-08-17T23:30:00Z,3.37,0.047175,229,2023-08-17T23:30:00Z,229,2023-08-17
2023-08-17T23:45:00Z,3.309,0.046345,229,2023-08-17T23:45:00Z,229,2023-08-17
2023-08-18T00:00:00Z,3.266,0.04576,230,2023-08-18T00:00:00Z,229,2023-08-17
2023-08-18T00:15:00Z,3.2445,0.04546,230,2023-08-18T00:15:00Z,229,2023-08-17
2023-08-18T00:30:00Z,3.2425,0.045415,230,2023-08-18T00:30:00Z,229,2023-08-17
2023-08-18T00:45:00Z,3.202,0.044855,230,2023-08-18T00:45:00Z,229,2023-08-17
2023-08-18T01:00:00Z,3.229,0.045205,230,2023-08-18T01:00:00Z,229,2023-08-17
2023-08-18T01:15:00Z,3.209,0.04495,230,2023-08-18T01:15:00Z,229,2023-08-17
2023-08-18T01:30:00Z,3.2225,0.045145,230,2023-08-18T01:30:00Z,229,2023-08-17
2023-08-18T01:45:00Z,3.1935000000000002,0.04474,230,2023-08-18T01:45:00Z,229,2023-08-17
2023-08-18T02:00:00Z,3.202,0.04487,230,2023-08-18T02:00:00Z,229,2023-08-17
2023-08-18T02:15:00Z,3.2125,0.04498,230,2023-08-18T02:15:00Z,229,2023-08-17
2023-08-18T02:30:00Z,3.2515,0.045545,230,2023-08-18T02:30:00Z,229,2023-08-17
2023-08-18T02:45:00Z,3.3205,0.04651,230,2023-08-18T02:45:00Z,229,2023-08-17
2023-08-18T03:00:00Z,3.3355,0.046725,230,2023-08-18T03:00:00Z,229,2023-08-17
2023-08-18T03:15:00Z,3.3865,0.047445,230,2023-08-18T03:15:00Z,229,2023-08-17
2023-08-18T03:30:00Z,3.3515,0.046925,230,2023-08-18T03:30:00Z,229,2023-08-17
2023-08-18T03:45:00Z,3.4145,0.04782,230,2023-08-18T03:45:00Z,229,2023-08-17
2023-08-18T04:00:00Z,3.4655,0.048545,230,2023-08-18T04:00:00Z,229,2023-08-17
2023-08-18T04:15:00Z,3.5385,0.049575,230,2023-08-18T04:15:00Z,229,2023-08-17
2023-08-18T04:30:00Z,3.559,0.04988,230,2023-08-18T04:30:00Z,229,2023-08-17
2023-08-18T04:45:00Z,3.608,0.05054,230,2023-08-18T04:45:00Z,229,2023-08-17
2023-08-18T05:00:00Z,3.665,0.051335,230,2023-08-18T05:00:00Z,229,2023-08-17
2023-08-18T05:15:00Z,3.71,0.05197,230,2023-08-18T05:15:00Z,229,2023-08-17
2023-08-18T05:30:00Z,3.7495,0.052515,230,2023-08-18T05:30:00Z,229,2023-08-17
2023-08-18T05:45:00Z,3.7995,0.05322,230,2023-08-18T05:45:00Z,229,2023-08-17
2023-08-18T06:00:00Z,3.858,0.05405,230,2023-08-18T06:00:00Z,230,2023-08-18
2023-08-18T06:15:00Z,3.893,0.05454,230,2023-08-18T06:15:00Z,230,2023-08-18
2023-08-18T06:30:00Z,3.9295,0.05504,230,2023-08-18T06:30:00Z,230,2023-08-18
2023-08-18T06:45:00Z,3.95,0.05534,230,2023-08-18T06:45:00Z,230,2023-08-18
2023-08-18T07:00:00Z,3.9465,0.05527,230,2023-08-18T07:00:00Z,230,2023-08-18
2023-08-18T07:15:00Z,3.972,0.05563,230,2023-08-18T07:15:00Z,230,2023-08-18
2023-08-18T07:30:00Z,4.0095,0.056175,230,2023-08-18T07:30:00Z,230,2023-08-18
2023-08-18T07:45:00Z,4.0205,0.056325,230,2023-08-18T07:45:00Z,230,2023-08-18
2023-08-18T08:00:00Z,3.9755,0.055705,230,2023-08-18T08:00:00Z,230,2023-08-18
2023-08-18T08:15:00Z,3.988,0.055855,230,2023-08-18T08:15:00Z,230,2023-08-18
2023-08-18T08:30:00Z,4.025,0.05638,230,2023-08-18T08:30:00Z,230,2023-08-18
2023-08-18T08:45:00Z,4.042,0.056615,230,2023-08-18T08:45:00Z,230,2023-08-18
2023-08-18T09:00:00Z,4.0435,0.056615,230,2023-08-18T09:00:00Z,230,2023-08-18
2023-08-18T09:15:00Z,4.0075,0.05615,230,2023-08-18T09:15:00Z,230,2023-08-18
