Unix_Timestamp_sec,UTC_datetime,MST_datetime,Battery_Volt,Temperature_degC,DO_mgl,DO_sat_perc,Q,Comments
1696632000,           2023-10-06 22:40:00,           2023-10-06 16:40:00,3.46,13.751,8.036,87.709251,1.039,MiniDOT Logger Concatenated Data File
1696632300,           2023-10-06 22:45:00,           2023-10-06 16:45:00,3.46,11.592,8.432,87.647515,1.04,Sensor:             7450-334128
1696632600,           2023-10-06 22:50:00,           2023-10-06 16:50:00,3.46,10.946,8.566,87.718208,1.04,Concatenation Date: 2023Nov14 12:11:03 MST
1696632900,           2023-10-06 22:55:00,           2023-10-06 16:55:00,3.46,10.729,8.635,87.978185,1.04,
1696633200,           2023-10-06 23:00:00,           2023-10-06 17:00:00,3.46,10.666,8.64,87.8995,1.04,DO concentration compensated for salinity: 0.0 (ppt)
1696633500,           2023-10-06 23:05:00,           2023-10-06 17:05:00,3.46,10.548,8.657,87.829308,1.04,Saturation computed at elevation: 1010.0 (meter)
1696633800,           2023-10-06 23:10:00,           2023-10-06 17:10:00,3.46,10.448,8.671,87.765092,1.04,
1696634100,           2023-10-06 23:15:00,           2023-10-06 17:15:00,3.46,10.339,8.692,87.752426,1.041,
1696634400,           2023-10-06 23:20:00,           2023-10-06 17:20:00,3.46,10.357,8.65,87.365407,1.04,
1696634700,           2023-10-06 23:25:00,           2023-10-06 17:25:00,3.46,10.212,8.62,86.765475,1.04,
1696635000,           2023-10-06 23:30:00,           2023-10-06 17:30:00,3.46,10.184,8.634,86.848991,1.04,
1696635300,           2023-10-06 23:35:00,           2023-10-06 17:35:00,3.46,10.148,8.628,86.714901,1.04,
1696635600,           2023-10-06 23:40:00,           2023-10-06 17:40:00,3.46,10.148,8.614,86.574195,1.04,
1696635900,           2023-10-06 23:45:00,           2023-10-06 17:45:00,3.46,10.066,8.572,85.985272,1.04,
1696636200,           2023-10-06 23:50:00,           2023-10-06 17:50:00,3.46,9.975,8.57,85.780235,1.04,
1696636500,           2023-10-06 23:55:00,           2023-10-06 17:55:00,3.46,9.975,8.544,85.519991,1.04,
1696636800,           2023-10-07 00:00:00,           2023-10-06 18:00:00,3.46,9.965,8.522,85.279578,1.04,
1696637100,           2023-10-07 00:05:00,           2023-10-06 18:05:00,3.46,9.865,8.542,85.277242,1.04,
1696637400,           2023-10-07 00:10:00,           2023-10-06 18:10:00,3.46,9.911,8.47,84.650784,1.04,
1696637700,           2023-10-07 00:15:00,           2023-10-06 18:15:00,3.46,9.801,8.466,84.390145,1.04,
1696638000,           2023-10-07 00:20:00,           2023-10-06 18:20:00,3.46,9.755,8.46,84.238168,1.04,
1696638300,           2023-10-07 00:25:00,           2023-10-06 18:25:00,3.46,9.718,8.44,83.965083,1.04,
1696638600,           2023-10-07 00:30:00,           2023-10-06 18:30:00,3.46,9.654,8.422,83.658425,1.039,
1696638900,           2023-10-07 00:35:00,           2023-10-06 18:35:00,3.46,9.617,8.412,83.485441,1.04,
1696639200,           2023-10-07 00:40:00,           2023-10-06 18:40:00,3.46,9.507,8.404,83.187392,1.04,
1696639500,           2023-10-07 00:45:00,           2023-10-06 18:45:00,3.46,9.507,8.351,82.662769,1.039,
1696639800,           2023-10-07 00:50:00,           2023-10-06 18:50:00,3.46,9.461,8.333,82.393975,1.04,
1696640100,           2023-10-07 00:55:00,           2023-10-06 18:55:00,3.46,9.322,8.346,82.248414,1.04,
1696640400,           2023-10-07 01:00:00,           2023-10-06 19:00:00,3.46,9.332,8.28,81.617551,1.039,
1696640700,           2023-10-07 01:05:00,           2023-10-06 19:05:00,3.46,9.304,8.254,81.306682,1.04,
1696641000,           2023-10-07 01:10:00,           2023-10-06 19:10:00,3.46,9.193,8.246,81.011806,1.04,
1696641300,           2023-10-07 01:15:00,           2023-10-06 19:15:00,3.46,9.202,8.191,80.488863,1.04,
1696641600,           2023-10-07 01:20:00,           2023-10-06 19:20:00,3.46,9.054,8.192,80.212696,1.04,
1696641900,           2023-10-07 01:25:00,           2023-10-06 19:25:00,3.46,9.063,8.153,79.848126,1.04,
1696642200,           2023-10-07 01:30:00,           2023-10-06 19:30:00,3.46,9.073,8.112,79.465711,1.039,
1696642500,           2023-10-07 01:35:00,           2023-10-06 19:35:00,3.46,8.952,8.06,78.726432,1.04,
1696642800,           2023-10-07 01:40:00,           2023-10-06 19:40:00,3.46,8.915,8.033,78.392684,1.04,
1696643100,           2023-10-07 01:45:00,           2023-10-06 19:45:00,3.46,8.859,7.982,77.789704,1.04,
1696643400,           2023-10-07 01:50:00,           2023-10-06 19:50:00,3.45,8.747,7.997,77.725048,1.039,
1696643700,           2023-10-07 01:55:00,           2023-10-06 19:55:00,3.45,8.738,7.94,77.154234,1.04,
1696644000,           2023-10-07 02:00:00,           2023-10-06 20:00:00,3.45,8.691,7.898,76.65878,1.04,
1696644300,           2023-10-07 02:05:00,           2023-10-06 20:05:00,3.45,8.673,7.864,76.295476,1.04,
1696644600,           2023-10-07 02:10:00,           2023-10-06 20:10:00,3.45,8.617,7.827,75.833432,1.039,
1696644900,           2023-10-07 02:15:00,           2023-10-06 20:15:00,3.45,8.607,7.806,75.611616,1.039,
1696645200,           2023-10-07 02:20:00,           2023-10-06 20:20:00,3.46,8.514,7.752,74.919107,1.04,
1696645500,           2023-10-07 02:25:00,           2023-10-06 20:25:00,3.46,8.476,7.697,74.318844,1.04,
1696645800,           2023-10-07 02:30:00,           2023-10-06 20:30:00,3.46,8.43,7.71,74.361066,1.039,
1696646100,           2023-10-07 02:35:00,           2023-10-06 20:35:00,3.45,8.364,7.654,73.702353,1.04,
1696646400,           2023-10-07 02:40:00,           2023-10-06 20:40:00,3.46,8.355,7.613,73.29147,1.04,
1696646700,           2023-10-07 02:45:00,           2023-10-06 20:45:00,3.46,8.345,7.602,73.167729,1.039,
1696647000,           2023-10-07 02:50:00,           2023-10-06 20:50:00,3.46,8.261,7.57,72.710529,1.039,
1696647300,           2023-10-07 02:55:00,           2023-10-06 20:55:00,3.46,8.261,7.524,72.268695,1.039,
1696647600,           2023-10-07 03:00:00,           2023-10-06 21:00:00,3.46,8.233,7.506,72.046506,1.039,
1696647900,           2023-10-07 03:05:00,           2023-10-06 21:05:00,3.45,8.167,7.503,71.901593,1.039,
1696648200,           2023-10-07 03:10:00,           2023-10-06 21:10:00,3.46,8.129,7.463,71.451795,1.039,
1696648500,           2023-10-07 03:15:00,           2023-10-06 21:15:00,3.46,8.073,7.462,71.344299,1.039,
1696648800,           2023-10-07 03:20:00,           2023-10-06 21:20:00,3.45,8.12,7.401,70.842587,1.039,
1696649100,           2023-10-07 03:25:00,           2023-10-06 21:25:00,3.45,8.082,7.404,70.805372,1.039,
1696649400,           2023-10-07 03:30:00,           2023-10-06 21:30:00,3.45,7.988,7.373,70.346577,1.039,
1696649700,           2023-10-07 03:35:00,           2023-10-06 21:35:00,3.45,7.978,7.349,70.100383,1.039,
1696650000,           2023-10-07 03:40:00,           2023-10-06 21:40:00,3.45,7.95,7.325,69.823434,1.039,
1696650300,           2023-10-07 03:45:00,           2023-10-06 21:45:00,3.46,7.912,7.311,69.624954,1.039,
1696650600,           2023-10-07 03:50:00,           2023-10-06 21:50:00,3.45,7.95,7.289,69.480274,1.039,
1696650900,           2023-10-07 03:55:00,           2023-10-06 21:55:00,3.46,7.893,7.298,69.4687,1.04,
1696651200,           2023-10-07 04:00:00,           2023-10-06 22:00:00,3.45,7.837,7.274,69.144941,1.039,
1696651500,           2023-10-07 04:05:00,           2023-10-06 22:05:00,3.45,7.818,7.263,69.008098,1.039,
1696651800,           2023-10-07 04:10:00,           2023-10-06 22:10:00,3.45,7.818,7.257,68.95109,1.04,
1696652100,           2023-10-07 04:15:00,           2023-10-06 22:15:00,3.45,7.789,7.237,68.71198,1.039,
1696652400,           2023-10-07 04:20:00,           2023-10-06 22:20:00,3.45,7.78,7.223,68.563855,1.039,
1696652700,           2023-10-07 04:25:00,           2023-10-06 22:25:00,3.45,7.78,7.219,68.525885,1.039,
1696653000,           2023-10-07 04:30:00,           2023-10-06 22:30:00,3.45,7.751,7.21,68.391565,1.039,
1696653300,           2023-10-07 04:35:00,           2023-10-06 22:35:00,3.45,7.742,7.187,68.158273,1.039,
1696653600,           2023-10-07 04:40:00,           2023-10-06 22:40:00,3.45,7.657,7.204,68.176383,1.04,
1696653900,           2023-10-07 04:45:00,           2023-10-06 22:45:00,3.45,7.638,7.18,67.917382,1.039,
1696654200,           2023-10-07 04:50:00,           2023-10-06 22:50:00,3.45,7.647,7.157,67.714868,1.039,
1696654500,           2023-10-07 04:55:00,           2023-10-06 22:55:00,3.45,7.59,7.161,67.65737,1.039,
1696654800,           2023-10-07 05:00:00,           2023-10-06 23:00:00,3.45,7.609,7.153,67.613527,1.039,
1696655100,           2023-10-07 05:05:00,           2023-10-06 23:05:00,3.45,7.6,7.148,67.551239,1.039,
1696655400,           2023-10-07 05:10:00,           2023-10-06 23:10:00,3.45,7.59,7.147,67.525097,1.039,
1696655700,           2023-10-07 05:15:00,           2023-10-06 23:15:00,3.45,7.571,7.146,67.483943,1.039,
1696656000,           2023-10-07 05:20:00,           2023-10-06 23:20:00,3.45,7.59,7.13,67.364481,1.039,
1696656300,           2023-10-07 05:25:00,           2023-10-06 23:25:00,3.45,7.543,7.133,67.314543,1.039,
1696656600,           2023-10-07 05:30:00,           2023-10-06 23:30:00,3.45,7.533,7.139,67.354499,1.039,
1696656900,           2023-10-07 05:35:00,           2023-10-06 23:35:00,3.45,7.476,7.154,67.400842,1.039,
1696657200,           2023-10-07 05:40:00,           2023-10-06 23:40:00,3.45,7.514,7.133,67.266253,1.039,
1696657500,           2023-10-07 05:45:00,           2023-10-06 23:45:00,3.45,7.485,7.129,67.18028,1.039,
1696657800,           2023-10-07 05:50:00,           2023-10-06 23:50:00,3.45,7.457,7.124,67.086615,1.039,
1696658100,           2023-10-07 05:55:00,           2023-10-06 23:55:00,3.45,7.466,7.115,67.016804,1.039,
1696658400,           2023-10-07 06:00:00,           2023-10-07 00:00:00,3.45,7.428,7.125,67.047825,1.039,
1696658700,           2023-10-07 06:05:00,           2023-10-07 00:05:00,3.45,7.419,7.124,67.023458,1.039,
1696659000,           2023-10-07 06:10:00,           2023-10-07 00:10:00,3.45,7.419,7.12,66.985825,1.039,
1696659300,           2023-10-07 06:15:00,           2023-10-07 00:15:00,3.45,7.419,7.116,66.948193,1.039,
1696659600,           2023-10-07 06:20:00,           2023-10-07 00:20:00,3.45,7.419,7.111,66.901152,1.039,
1696659900,           2023-10-07 06:25:00,           2023-10-07 00:25:00,3.45,7.362,7.123,66.919358,1.039,
1696660200,           2023-10-07 06:30:00,           2023-10-07 00:30:00,3.45,7.323,7.128,66.901518,1.039,
1696660500,           2023-10-07 06:35:00,           2023-10-07 00:35:00,3.45,7.333,7.123,66.871195,1.039,
1696660800,           2023-10-07 06:40:00,           2023-10-07 00:40:00,3.45,7.304,7.121,66.80428,1.039,
1696661100,           2023-10-07 06:45:00,           2023-10-07 00:45:00,3.45,7.323,7.117,66.798275,1.039,
1696661400,           2023-10-07 06:50:00,           2023-10-07 00:50:00,3.45,7.333,7.106,66.711598,1.039,
1696661700,           2023-10-07 06:55:00,           2023-10-07 00:55:00,3.45,7.323,7.103,66.666875,1.039,
1696662000,           2023-10-07 07:00:00,           2023-10-07 01:00:00,3.45,7.304,7.106,66.66356,1.039,
