Unix_Timestamp_sec,UTC_datetime,MST_datetime,Battery_Volt,Temperature_degC,DO_mgl,DO_sat_perc,Q,Comments,time,solar.time,light,osat,jday,model_datetime,model_jday
1692353040,2023-08-18T10:04:00Z,2023-08-18T04:04:00Z,3.46,7.191,6.785,63.395721,1.05,NA,2023-08-18T10:04:00Z,2023-08-18T02:33:14Z,0,10.68171577805837,230,2023-08-18T00:04:00Z,230
1692353340,2023-08-18T10:09:00Z,2023-08-18T04:09:00Z,3.46,7.201,6.779,63.355429,1.05,NA,2023-08-18T10:09:00Z,2023-08-18T02:38:14Z,0,10.679056885109825,230,2023-08-18T00:09:00Z,230
1692353640,2023-08-18T10:14:00Z,2023-08-18T04:14:00Z,3.46,7.201,6.778,63.346083,1.05,NA,2023-08-18T10:14:00Z,2023-08-18T02:43:14Z,0,10.679056885109825,230,2023-08-18T00:14:00Z,230
1692353940,2023-08-18T10:19:00Z,2023-08-18T04:19:00Z,3.46,7.182,6.783,63.362834,1.05,NA,2023-08-18T10:19:00Z,2023-08-18T02:48:14Z,0,10.684109757934085,230,2023-08-18T00:19:00Z,230
1692354240,2023-08-18T10:24:00Z,2023-08-18T04:24:00Z,3.46,7.153,6.769,63.186399,1.05,NA,2023-08-18T10:24:00Z,2023-08-18T02:53:14Z,0,10.691829989979222,230,2023-08-18T00:24:00Z,230
1692354540,2023-08-18T10:29:00Z,2023-08-18T04:29:00Z,3.46,7.144,6.782,63.293556,1.05,NA,2023-08-18T10:29:00Z,2023-08-18T02:58:14Z,0,10.694227879997394,230,2023-08-18T00:29:00Z,230
1692354840,2023-08-18T10:34:00Z,2023-08-18T04:34:00Z,3.46,7.211,6.764,63.230977,1.05,NA,2023-08-18T10:34:00Z,2023-08-18T03:03:14Z,0,10.676399133319137,230,2023-08-18T00:34:00Z,230
1692355140,2023-08-18T10:39:00Z,2023-08-18T04:39:00Z,3.46,7.191,6.769,63.246225,1.05,NA,2023-08-18T10:39:00Z,2023-08-18T03:08:14Z,0,10.68171577805837,230,2023-08-18T00:39:00Z,230
1692355440,2023-08-18T10:44:00Z,2023-08-18T04:44:00Z,3.46,7.134,6.783,63.287116,1.05,NA,2023-08-18T10:44:00Z,2023-08-18T03:13:14Z,0,10.696893289851769,230,2023-08-18T00:44:00Z,230
1692355740,2023-08-18T10:49:00Z,2023-08-18T04:49:00Z,3.46,7.134,6.789,63.343098,1.05,NA,2023-08-18T10:49:00Z,2023-08-18T03:18:14Z,0,10.696893289851769,230,2023-08-18T00:49:00Z,230
1692356040,2023-08-18T10:54:00Z,2023-08-18T04:54:00Z,3.46,7.144,6.779,63.265558,1.05,NA,2023-08-18T10:54:00Z,2023-08-18T03:23:14Z,0,10.694227879997394,230,2023-08-18T00:54:00Z,230
1692356340,2023-08-18T10:59:00Z,2023-08-18T04:59:00Z,3.46,7.144,6.745,62.948251,1.05,NA,2023-08-18T10:59:00Z,2023-08-18T03:28:14Z,0,10.694227879997394,230,2023-08-18T00:59:00Z,230
1692356640,2023-08-18T11:04:00Z,2023-08-18T05:04:00Z,3.46,7.076,6.795,63.307458,1.05,NA,2023-08-18T11:04:00Z,2023-08-18T03:33:14Z,0,10.71237527627356,230,2023-08-18T01:04:00Z,230
