FrameSync,DateTime (UTC+00:00),NITRATE_UM (μM),NITRATE_MG (mg N/L),ABS_254 (a.u.),ABS_350 (a.u.),BR_TRACE (mg/L),SPEC_AVG,DARK_AVG,INT_FACTOR,UV (188.86),UV (189.65),UV (190.44),UV (191.24),UV (192.03),UV (192.83),UV (193.62),UV (194.42),UV (195.22),UV (196.01),UV (196.81),UV (197.60),UV (198.40),UV (199.20),UV (199.99),UV (200.79),UV (201.58),UV (202.38),UV (203.18),UV (203.98),UV (204.77),UV (205.57),UV (206.37),UV (207.17),UV (207.96),UV (208.76),UV (209.56),UV (210.36),UV (211.16),UV (211.96),UV (212.75),UV (213.55),UV (214.35),UV (215.15),UV (215.95),UV (216.75),UV (217.55),UV (218.35),UV (219.15),UV (219.95),UV (220.75),UV (221.55),UV (222.35),UV (223.15),UV (223.95),UV (224.75),UV (225.55),UV (226.35),UV (227.15),UV (227.95),UV (228.75),UV (229.55),UV (230.35),UV (231.15),UV (231.96),UV (232.76),UV (233.56),UV (234.36),UV (235.16),UV (235.96),UV (236.76),UV (237.57),UV (238.37),UV (239.17),UV (239.97),UV (240.77),UV (241.58),UV (242.38),UV (243.18),UV (243.98),UV (244.78),UV (245.59),UV (246.39),UV (247.19),UV (247.99),UV (248.80),UV (249.60),UV (250.40),UV (251.20),UV (252.01),UV (252.81),UV (253.61),UV (254.42),UV (255.22),UV (256.02),UV (256.82),UV (257.63),UV (258.43),UV (259.23),UV (260.04),UV (260.84),UV (261.64),UV (262.45),UV (263.25),UV (264.05),UV (264.85),UV (265.66),UV (266.46),UV (267.26),UV (268.07),UV (268.87),UV (269.67),UV (270.48),UV (271.28),UV (272.08),UV (272.89),UV (273.69),UV (274.49),UV (275.29),UV (276.10),UV (276.90),UV (277.70),UV (278.51),UV (279.31),UV (280.11),UV (280.92),UV (281.72),UV (282.52),UV (283.32),UV (284.13),UV (284.93),UV (285.73),UV (286.53),UV (287.34),UV (288.14),UV (288.94),UV (289.74),UV (290.55),UV (291.35),UV (292.15),UV (292.95),UV (293.76),UV (294.56),UV (295.36),UV (296.16),UV (296.96),UV (297.77),UV (298.57),UV (299.37),UV (300.17),UV (300.97),UV (301.78),UV (302.58),UV (303.38),UV (304.18),UV (304.98),UV (305.78),UV (306.58),UV (307.38),UV (308.19),UV (308.99),UV (309.79),UV (310.59),UV (311.39),UV (312.19),UV (312.99),UV (313.79),UV (314.59),UV (315.39),UV (316.19),UV (316.99),UV (317.79),UV (318.59),UV (319.39),UV (320.19),UV (320.99),UV (321.79),UV (322.59),UV (323.38),UV (324.18),UV (324.98),UV (325.78),UV (326.58),UV (327.38),UV (328.18),UV (328.97),UV (329.77),UV (330.57),UV (331.37),UV (332.16),UV (332.96),UV (333.76),UV (334.56),UV (335.35),UV (336.15),UV (336.95),UV (337.74),UV (338.54),UV (339.33),UV (340.13),UV (340.93),UV (341.72),UV (342.52),UV (343.31),UV (344.11),UV (344.90),UV (345.70),UV (346.49),UV (347.29),UV (348.08),UV (348.88),UV (349.67),UV (350.46),UV (351.26),UV (352.05),UV (352.84),UV (353.64),UV (354.43),UV (355.22),UV (356.01),UV (356.81),UV (357.60),UV (358.39),UV (359.18),UV (359.97),UV (360.76),UV (361.56),UV (362.35),UV (363.14),UV (363.93),UV (364.72),UV (365.51),UV (366.30),UV (367.09),UV (367.88),UV (368.67),UV (369.45),UV (370.24),UV (371.03),UV (371.82),UV (372.61),UV (373.39),UV (374.18),UV (374.97),UV (375.76),UV (376.54),UV (377.33),UV (378.12),UV (378.90),UV (379.69),UV (380.47),UV (381.26),UV (382.04),UV (382.83),UV (383.61),UV (384.40),UV (385.18),UV (385.96),UV (386.75),UV (387.53),UV (388.31),UV (389.10),UV (389.88),UV (390.66),UV (391.44),UV (392.22),T_INT (CELSIUS),T_SPEC (CELSIUS),T_LAMP (CELSIUS),LAMP_TIME (s),HUMIDITY (%),VOLT_MAIN (V),VOLT_12 (V),VOLT_5 (V),CURRENT (amp),FIT_S2,FIT_S3,FIT_B0,FIT_B1,RMSe,CTD_TIME (s),CTD_SAL,CTD_TEMP (CELSIUS),CTD_DEPTH (m),CHECK
SATSDF0290,09/16/2023 00:00:04,0.00,0.0000,0.0000,0.0000,0.00,669,0,1,659,629,629,637,642,638,634,627,629,630,638,632,638,640,627,631,647,637,645,637,647,657,658,641,639,635,650,649,658,670,657,657,650,651,646,647,655,640,647,645,651,642,658,657,655,647,643,651,644,651,649,649,660,657,658,663,665,661,656,651,659,661,662,662,663,654,673,656,663,667,661,647,659,656,646,659,656,667,672,677,672,679,658,665,656,660,666,665,676,673,669,672,673,660,675,654,672,668,665,657,679,672,674,668,691,673,673,663,645,667,677,685,677,677,672,667,675,669,667,677,680,673,667,667,663,679,689,685,677,681,681,681,684,689,685,667,675,680,678,679,678,668,674,673,678,673,687,686,689,690,688,689,693,675,675,677,663,675,675,695,696,685,692,681,679,691,676,689,690,681,698,689,702,708,689,688,681,679,681,695,681,679,689,674,683,682,690,688,694,685,699,688,691,669,691,674,675,675,679,680,679,693,706,688,697,689,676,680,682,685,697,702,693,692,685,683,674,677,665,673,682,685,685,680,673,666,671,670,681,668,683,677,678,679,668,667,679,674,682,678,677,664,677,656,647,663,684,668,669,667,677,682,693,682,670,490,0.0,0.0,0.0,1390102,45.1,12.9,0.1,5.0,62,0.00,0.00,0.0000,0.000000,0.000000,,NaN,NaN,NaN,0
SATSLF0290,09/16/2023 00:00:05,3.99,0.0559,0.0832,0.0602,0.00,13049,669,1,660,668,648,671,666,679,678,665,675,674,677,707,809,1155,1970,3517,5766,8221,10257,11563,12219,12458,12512,12578,12701,12957,13383,14011,14819,15831,17051,18485,20037,21657,23281,24733,25927,26752,27094,26961,26429,25579,24535,23470,22416,21525,20785,20232,19858,19694,19684,19863,20223,20705,21334,22105,23011,23961,25019,26103,27173,28168,28807,29608,30208,30340,30169,29664,28845,27827,26635,25340,24026,22746,21544,20432,19443,18572,17800,17146,16576,16123,15736,15450,15245,15117,15067,15089,15206,15332,15557,15846,16151,16539,16911,17331,17723,18087,18412,18649,18779,18797,18677,18426,18057,17544,16991,16384,15726,15085,14453,13856,13298,12800,12357,11982,11641,11342,11119,10929,10793,10696,10630,10615,10643,10724,10838,10977,11171,11397,11654,11941,12236,12578,12910,13261,13647,14011,14375,14748,15097,15396,15673,15917,16093,16245,16329,16353,16316,16237,16086,15863,15611,15339,15018,14679,14308,13940,13557,13185,12808,12457,12118,11815,11533,11269,11029,10807,10585,10409,10240,10083,9922,9762,9605,9485,9366,9259,9158,9069,9005,8952,8911,8893,8889,8877,8872,8855,8857,8871,8885,8866,8858,8826,8827,8839,8866,8903,8938,8941,8941,8931,8947,8973,9003,9014,9021,9014,9005,8985,8958,8904,8848,8771,8678,8591,8484,8384,8274,8159,8087,8022,7953,7880,7737,7555,7318,7089,6888,6697,6569,6450,6391,6323,6285,6286,6301,6317,6340,6328,6240,6104,5940,5799,5705,5597,5545,5509,5483,5467,5477,5505,5534,5582,5609,5453,12.4,12.4,13.2,1390103,45.0,12.0,12.0,5.0,592,-1.00,-1.00,12.3729,-1.458082,0.000430,,NaN,NaN,NaN,0
SATSLF0290,09/16/2023 00:00:06,3.92,0.0548,0.0829,0.0588,0.00,13058,669,1,662,663,668,674,667,674,672,672,667,663,687,698,819,1166,1973,3513,5756,8205,10257,11561,12213,12450,12519,12569,12709,12969,13374,14019,14812,15831,17047,18476,20037,21661,23281,24737,25923,26741,27080,26955,26427,25578,24540,23457,22423,21525,20785,20225,19861,19705,19694,19863,20225,20702,21342,22112,23007,23979,25024,26101,27195,28224,28833,29636,30241,30384,30186,29695,28890,27853,26661,25341,24043,22754,21549,20437,19463,18573,17820,17144,16589,16133,15750,15468,15253,15127,15082,15101,15184,15363,15572,15846,16183,16538,16935,17353,17748,18099,18414,18653,18792,18804,18695,18432,18061,17591,17006,16404,15752,15093,14461,13865,13310,12828,12373,11979,11651,11369,11123,10933,10791,10697,10637,10621,10648,10734,10838,10999,11178,11421,11676,11961,12249,12580,12930,13284,13653,14020,14393,14759,15103,15399,15671,15921,16094,16240,16339,16375,16344,16251,16101,15893,15633,15339,15027,14676,14317,13940,13565,13196,12828,12456,12125,11832,11552,11289,11053,10823,10605,10420,10257,10105,9926,9757,9590,9471,9363,9275,9166,9091,9018,8949,8923,8888,8881,8865,8868,8873,8874,8891,8916,8890,8863,8831,8830,8850,8873,8917,8946,8961,8961,8957,8968,8988,9006,9017,9017,9005,8990,8976,8959,8914,8846,8775,8689,8601,8511,8398,8288,8180,8087,8020,7945,7875,7752,7560,7337,7108,6886,6701,6573,6459,6399,6337,6292,6296,6313,6326,6355,6338,6241,6095,5934,5806,5700,5626,5550,5519,5501,5488,5482,5512,5542,5574,5617,5467,12.4,12.4,13.2,1390104,44.9,11.9,12.0,5.1,590,-1.00,-1.00,13.2322,-1.832939,0.000410,,NaN,NaN,NaN,0
SATSLF0290,09/16/2023 00:00:07,4.03,0.0564,0.0831,0.0595,0.00,13059,669,1,643,643,649,679,673,679,682,668,669,678,669,698,809,1145,1954,3485,5744,8205,10240,11541,12198,12454,12501,12555,12687,12951,13376,13994,14805,15812,17039,18473,20036,21642,23256,24716,25912,26704,27079,26940,26416,25570,24517,23449,22410,21503,20768,20217,19853,19699,19698,19882,20237,20702,21336,22123,23006,23974,25027,26114,27177,28183,28811,29604,30224,30367,30205,29712,28884,27845,26649,25345,24046,22769,21546,20446,19466,18573,17823,17152,16597,16126,15767,15461,15249,15139,15085,15123,15207,15357,15571,15871,16186,16553,16933,17345,17734,18089,18420,18671,18806,18816,18700,18451,18081,17568,17011,16390,15755,15112,14470,13881,13332,12821,12386,11990,11661,11364,11132,10937,10798,10686,10632,10626,10656,10731,10847,10994,11195,11420,11674,11963,12250,12561,12934,13273,13664,14028,14407,14766,15106,15402,15687,15942,16119,16271,16349,16375,16353,16264,16101,15913,15643,15357,15047,14697,14325,13944,13559,13195,12823,12470,12122,11835,11557,11294,11059,10818,10618,10437,10258,10093,9929,9753,9606,9473,9377,9261,9183,9085,9009,8959,8932,8921,8903,8882,8879,8869,8871,8891,8906,8901,8884,8848,8854,8865,8873,8925,8936,8939,8957,8944,8967,8992,9012,9017,9021,9015,9009,8983,8963,8907,8861,8777,8691,8597,8507,8410,8309,8200,8121,8037,7957,7888,7754,7582,7331,7109,6897,6705,6582,6458,6400,6340,6291,6279,6311,6336,6353,6317,6235,6102,5952,5831,5736,5640,5569,5519,5503,5483,5476,5507,5529,5579,5631,5480,12.5,12.4,13.2,1390105,45.0,11.9,12.1,5.0,588,-1.00,-1.00,12.9576,-1.714669,0.000403,,NaN,NaN,NaN,0
SATSLF0290,09/16/2023 00:00:08,4.16,0.0583,0.0829,0.0583,0.00,13064,669,1,661,665,676,678,683,665,659,666,670,676,681,701,823,1161,1965,3498,5742,8214,10260,11561,12200,12448,12496,12555,12682,12938,13366,13969,14795,15801,17032,18464,20025,21636,23252,24720,25894,26687,27057,26918,26393,25560,24539,23449,22405,21505,20766,20225,19875,19705,19707,19882,20238,20708,21344,22100,23023,23990,25026,26119,27189,28222,28830,29634,30238,30379,30194,29703,28895,27854,26656,25367,24045,22763,21563,20473,19468,18599,17825,17161,16598,16134,15767,15476,15258,15147,15090,15115,15203,15360,15568,15871,16187,16564,16960,17362,17757,18113,18437,18679,18814,18829,18705,18457,18084,17598,17017,16405,15742,15093,14470,13878,13315,12832,12391,12015,11675,11382,11153,10953,10816,10709,10638,10631,10677,10752,10865,11013,11197,11424,11678,11963,12269,12581,12939,13289,13671,14029,14411,14760,15111,15410,15697,15942,16123,16267,16355,16389,16358,16279,16101,15897,15639,15361,15036,14708,14325,13959,13593,13209,12839,12481,12148,11838,11563,11306,11051,10839,10617,10430,10265,10113,9941,9766,9611,9484,9362,9250,9175,9074,9011,8967,8929,8899,8907,8891,8887,8873,8890,8893,8905,8896,8864,8855,8860,8861,8876,8923,8948,8958,8966,8967,8984,9006,9029,9047,9025,9013,9015,8990,8971,8925,8871,8791,8690,8607,8516,8419,8313,8200,8104,8031,7955,7895,7772,7570,7338,7105,6869,6695,6565,6483,6409,6337,6313,6323,6318,6342,6361,6343,6247,6109,5951,5814,5731,5634,5574,5527,5517,5492,5484,5511,5522,5587,5617,5479,12.4,12.4,13.2,1390106,45.1,11.9,12.0,5.1,591,-1.00,-1.00,12.7377,-1.629786,0.000391,,NaN,NaN,NaN,0
SATSLF0290,09/16/2023 00:00:09,4.12,0.0577,0.0830,0.0592,0.00,13065,669,1,660,650,653,671,673,677,682,667,667,667,675,709,827,1155,1968,3505,5747,8197,10239,11543,12195,12430,12482,12542,12664,12930,13352,13971,14782,15801,17017,18440,20001,21613,23222,24677,25878,26695,27049,26914,26390,25552,24517,23453,22413,21514,20758,20215,19845,19677,19687,19863,20225,20709,21352,22121,23003,23967,25021,26119,27174,28212,28824,29628,30238,30389,30204,29704,28885,27858,26649,25361,24054,22752,21568,20464,19466,18590,17819,17160,16590,16130,15758,15470,15257,15137,15097,15111,15213,15366,15576,15863,16177,16558,16954,17374,17754,18129,18428,18682,18808,18832,18715,18453,18092,17599,17037,16421,15766,15106,14470,13884,13326,12842,12402,11993,11663,11383,11149,10946,10814,10706,10663,10644,10679,10757,10869,11005,11191,11411,11677,11953,12271,12586,12937,13305,13674,14053,14398,14771,15104,15412,15692,15937,16126,16269,16360,16407,16365,16277,16126,15914,15660,15373,15041,14696,14324,13963,13591,13222,12846,12491,12148,11843,11565,11300,11042,10823,10613,10422,10258,10117,9956,9776,9621,9503,9378,9281,9198,9104,9019,8967,8923,8903,8904,8890,8889,8873,8871,8887,8919,8925,8874,8859,8858,8869,8898,8939,8950,8967,8953,8949,8973,9003,9029,9048,9033,9027,9006,8988,8971,8943,8884,8805,8704,8628,8525,8417,8308,8193,8109,8048,7991,7909,7782,7592,7350,7120,6901,6710,6583,6479,6393,6351,6313,6313,6329,6344,6370,6346,6257,6105,5959,5834,5729,5634,5568,5521,5499,5497,5500,5524,5563,5601,5649,5486,12.5,12.4,13.2,1390107,45.1,11.9,12.0,5.0,591,-1.00,-1.00,13.0850,-1.772066,0.000427,,NaN,NaN,NaN,0
SATSLF0290,09/16/2023 00:00:10,4.12,0.0577,0.0825,0.0577,0.00,13072,669,1,653,659,661,675,677,677,675,669,673,664,683,709,815,1159,1966,3505,5746,8185,10219,11537,12185,12417,12487,12533,12672,12922,13353,13971,14783,15790,17018,18429,19994,21616,23225,24673,25872,26666,27036,26905,26392,25557,24521,23457,22409,21506,20749,20207,19852,19692,19680,19861,20225,20709,21346,22112,23009,23970,25024,26133,27185,28219,28840,29642,30254,30376,30216,29716,28897,27873,26666,25383,24052,22762,21555,20455,19462,18577,17824,17166,16606,16146,15771,15491,15277,15155,15089,15121,15220,15369,15607,15872,16203,16571,16969,17373,17760,18124,18440,18699,18833,18845,18737,18462,18102,17614,17047,16412,15777,15138,14498,13885,13339,12822,12395,12005,11680,11385,11156,10956,10822,10709,10661,10647,10692,10762,10862,11031,11209,11424,11680,11974,12269,12589,12939,13307,13697,14074,14421,14805,15132,15434,15725,15962,16150,16292,16364,16401,16372,16278,16132,15919,15653,15376,15068,14720,14352,13977,13600,13214,12860,12497,12169,11869,11573,11315,11069,10835,10634,10437,10269,10117,9956,9772,9625,9496,9381,9280,9187,9094,9021,8979,8952,8930,8919,8902,8913,8894,8894,8912,8926,8910,8875,8863,8852,8878,8903,8954,8962,8973,8981,8977,8998,9037,9054,9053,9044,9031,9031,9009,8974,8921,8871,8790,8730,8629,8525,8439,8324,8215,8109,8041,7968,7907,7765,7583,7350,7129,6898,6709,6599,6489,6405,6337,6311,6301,6327,6342,6363,6355,6269,6133,5977,5835,5720,5646,5578,5540,5518,5509,5511,5526,5551,5590,5633,5488,12.5,12.4,13.3,1390108,44.9,11.9,12.0,5.0,595,-1.00,-1.00,13.4034,-1.910948,0.000447,,NaN,NaN,NaN,0
SATSLF0290,09/16/2023 00:00:11,4.24,0.0594,0.0822,0.0576,0.00,13076,669,1,659,660,674,661,667,679,672,668,663,685,684,711,825,1157,1963,3490,5725,8187,10229,11537,12180,12403,12475,12522,12661,12925,13348,13959,14791,15796,17017,18432,19993,21610,23234,24692,25861,26679,27029,26916,26391,25540,24512,23434,22411,21497,20768,20226,19869,19690,19701,19884,20231,20723,21356,22144,23030,23993,25048,26130,27198,28225,28832,29659,30262,30399,30226,29729,28898,27880,26677,25391,24060,22783,21558,20471,19480,18588,17837,17178,16598,16156,15776,15497,15289,15165,15108,15141,15228,15381,15597,15868,16197,16565,16963,17393,17793,18151,18473,18707,18839,18854,18723,18477,18109,17610,17056,16429,15791,15134,14498,13923,13368,12845,12411,12021,11669,11384,11149,10958,10807,10711,10675,10657,10674,10765,10873,11037,11192,11427,11699,11985,12272,12607,12958,13317,13684,14067,14417,14799,15136,15440,15724,15961,16142,16301,16386,16398,16371,16291,16139,15939,15657,15369,15064,14726,14354,13991,13608,13228,12855,12488,12163,11851,11577,11306,11079,10846,10647,10452,10289,10125,9959,9761,9627,9491,9391,9289,9190,9099,9025,8975,8950,8928,8913,8901,8902,8880,8899,8916,8918,8927,8917,8877,8874,8874,8912,8946,8962,8964,8969,8979,8986,9009,9054,9047,9049,9042,9026,9001,8977,8938,8885,8807,8723,8643,8544,8437,8321,8215,8123,8047,7982,7925,7786,7594,7355,7143,6905,6733,6601,6507,6421,6355,6318,6324,6318,6357,6376,6349,6271,6119,5974,5824,5721,5636,5575,5539,5517,5498,5508,5538,5557,5605,5643,5497,12.5,12.4,13.3,1390109,44.7,11.8,12.1,5.1,598,-1.00,-1.00,13.0635,-1.777738,0.000366,,NaN,NaN,NaN,0
SATSLF0290,09/16/2023 00:00:12,4.28,0.0599,0.0824,0.0576,0.00,13081,669,1,643,663,658,683,677,668,675,676,674,669,672,698,816,1149,1961,3496,5749,8204,10241,11542,12189,12409,12480,12544,12653,12925,13358,13966,14774,15786,17010,18433,19985,21607,23211,24682,25858,26674,27029,26908,26372,25535,24515,23449,22418,21498,20770,20229,19860,19708,19708,19886,20237,20723,21356,22133,23033,24000,25045,26121,27209,28226,28867,29668,30265,30403,30226,29718,28917,27878,26699,25392,24097,22800,21593,20488,19510,18608,17851,17194,16621,16150,15780,15493,15300,15166,15126,15136,15229,15387,15614,15897,16224,16584,16990,17405,17791,18163,18465,18714,18843,18853,18738,18493,18120,17637,17058,16447,15786,15129,14491,13897,13344,12842,12403,12017,11690,11395,11168,10977,10832,10729,10665,10662,10697,10772,10874,11027,11220,11447,11698,11982,12282,12610,12964,13330,13709,14073,14427,14797,15144,15452,15723,15954,16138,16289,16382,16413,16388,16318,16161,15939,15683,15397,15073,14731,14356,13978,13601,13237,12877,12501,12171,11867,11581,11314,11077,10842,10631,10463,10278,10132,9971,9800,9645,9505,9403,9305,9204,9106,9039,8994,8963,8937,8920,8923,8910,8891,8898,8914,8916,8927,8884,8871,8877,8893,8907,8950,8968,8976,8978,8979,8998,9027,9054,9065,9068,9034,9027,9013,8989,8939,8881,8809,8731,8650,8541,8429,8320,8205,8117,8043,7990,7918,7787,7598,7372,7132,6903,6731,6609,6491,6403,6342,6301,6311,6341,6350,6363,6365,6276,6133,5969,5841,5741,5651,5591,5539,5525,5512,5520,5538,5577,5606,5648,5499,12.5,12.4,13.3,1390110,44.9,11.8,12.0,5.1,599,-1.00,-1.00,13.0602,-1.780547,0.000397,,NaN,NaN,NaN,0
SATSLF0290,09/16/2023 00:00:13,4.19,0.0587,0.0823,0.0569,0.00,13089,669,1,663,667,667,675,661,675,676,684,682,672,691,709,818,1161,1969,3485,5735,8186,10218,11542,12180,12422,12470,12541,12662,12931,13354,13959,14763,15787,17005,18431,20002,21617,23231,24678,25872,26683,27040,26921,26393,25547,24506,23447,22417,21504,20773,20231,19873,19713,19722,19898,20249,20723,21371,22140,23037,23993,25058,26134,27232,28253,28874,29694,30290,30420,30256,29761,28946,27920,26712,25398,24077,22796,21589,20485,19496,18618,17857,17191,16629,16154,15781,15501,15281,15161,15117,15144,15239,15394,15622,15909,16221,16605,16996,17416,17796,18162,18473,18715,18834,18869,18752,18493,18140,17629,17079,16465,15825,15137,14503,13917,13362,12866,12417,12028,11689,11398,11159,10977,10835,10741,10688,10673,10709,10777,10886,11035,11221,11441,11700,11989,12290,12621,12977,13333,13704,14091,14442,14826,15157,15479,15750,15992,16161,16307,16384,16416,16397,16312,16161,15949,15686,15400,15093,14740,14372,13986,13607,13253,12882,12509,12173,11871,11596,11353,11088,10859,10656,10460,10298,10139,9971,9786,9651,9521,9413,9306,9200,9118,9032,8982,8968,8941,8937,8929,8921,8903,8903,8919,8918,8929,8896,8887,8882,8884,8920,8958,8975,8983,8987,8993,9013,9045,9073,9068,9079,9054,9034,9020,8976,8943,8900,8816,8746,8649,8557,8456,8330,8204,8131,8053,7985,7907,7799,7606,7378,7149,6924,6740,6601,6503,6424,6373,6347,6333,6343,6361,6378,6356,6278,6132,5985,5828,5739,5651,5597,5557,5534,5512,5518,5546,5580,5617,5669,5502,12.5,12.5,13.3,1390111,44.9,11.8,12.0,5.1,596,-1.00,-1.00,13.6735,-2.050472,0.000401,,NaN,NaN,NaN,0
