FrameSync,DateTime (UTC+00:00),NITRATE_UM (μM),NITRATE_MG (mg N/L),ABS_254 (a.u.),ABS_350 (a.u.),BR_TRACE (mg/L),SPEC_AVG,DARK_AVG,INT_FACTOR,UV (188.86),UV (189.65),UV (190.44),UV (191.24),UV (192.03),UV (192.83),UV (193.62),UV (194.42),UV (195.22),UV (196.01),UV (196.81),UV (197.60),UV (198.40),UV (199.20),UV (199.99),UV (200.79),UV (201.58),UV (202.38),UV (203.18),UV (203.98),UV (204.77),UV (205.57),UV (206.37),UV (207.17),UV (207.96),UV (208.76),UV (209.56),UV (210.36),UV (211.16),UV (211.96),UV (212.75),UV (213.55),UV (214.35),UV (215.15),UV (215.95),UV (216.75),UV (217.55),UV (218.35),UV (219.15),UV (219.95),UV (220.75),UV (221.55),UV (222.35),UV (223.15),UV (223.95),UV (224.75),UV (225.55),UV (226.35),UV (227.15),UV (227.95),UV (228.75),UV (229.55),UV (230.35),UV (231.15),UV (231.96),UV (232.76),UV (233.56),UV (234.36),UV (235.16),UV (235.96),UV (236.76),UV (237.57),UV (238.37),UV (239.17),UV (239.97),UV (240.77),UV (241.58),UV (242.38),UV (243.18),UV (243.98),UV (244.78),UV (245.59),UV (246.39),UV (247.19),UV (247.99),UV (248.80),UV (249.60),UV (250.40),UV (251.20),UV (252.01),UV (252.81),UV (253.61),UV (254.42),UV (255.22),UV (256.02),UV (256.82),UV (257.63),UV (258.43),UV (259.23),UV (260.04),UV (260.84),UV (261.64),UV (262.45),UV (263.25),UV (264.05),UV (264.85),UV (265.66),UV (266.46),UV (267.26),UV (268.07),UV (268.87),UV (269.67),UV (270.48),UV (271.28),UV (272.08),UV (272.89),UV (273.69),UV (274.49),UV (275.29),UV (276.10),UV (276.90),UV (277.70),UV (278.51),UV (279.31),UV (280.11),UV (280.92),UV (281.72),UV (282.52),UV (283.32),UV (284.13),UV (284.93),UV (285.73),UV (286.53),UV (287.34),UV (288.14),UV (288.94),UV (289.74),UV (290.55),UV (291.35),UV (292.15),UV (292.95),UV (293.76),UV (294.56),UV (295.36),UV (296.16),UV (296.96),UV (297.77),UV (298.57),UV (299.37),UV (300.17),UV (300.97),UV (301.78),UV (302.58),UV (303.38),UV (304.18),UV (304.98),UV (305.78),UV (306.58),UV (307.38),UV (308.19),UV (308.99),UV (309.79),UV (310.59),UV (311.39),UV (312.19),UV (312.99),UV (313.79),UV (314.59),UV (315.39),UV (316.19),UV (316.99),UV (317.79),UV (318.59),UV (319.39),UV (320.19),UV (320.99),UV (321.79),UV (322.59),UV (323.38),UV (324.18),UV (324.98),UV (325.78),UV (326.58),UV (327.38),UV (328.18),UV (328.97),UV (329.77),UV (330.57),UV (331.37),UV (332.16),UV (332.96),UV (333.76),UV (334.56),UV (335.35),UV (336.15),UV (336.95),UV (337.74),UV (338.54),UV (339.33),UV (340.13),UV (340.93),UV (341.72),UV (342.52),UV (343.31),UV (344.11),UV (344.90),UV (345.70),UV (346.49),UV (347.29),UV (348.08),UV (348.88),UV (349.67),UV (350.46),UV (351.26),UV (352.05),UV (352.84),UV (353.64),UV (354.43),UV (355.22),UV (356.01),UV (356.81),UV (357.60),UV (358.39),UV (359.18),UV (359.97),UV (360.76),UV (361.56),UV (362.35),UV (363.14),UV (363.93),UV (364.72),UV (365.51),UV (366.30),UV (367.09),UV (367.88),UV (368.67),UV (369.45),UV (370.24),UV (371.03),UV (371.82),UV (372.61),UV (373.39),UV (374.18),UV (374.97),UV (375.76),UV (376.54),UV (377.33),UV (378.12),UV (378.90),UV (379.69),UV (380.47),UV (381.26),UV (382.04),UV (382.83),UV (383.61),UV (384.40),UV (385.18),UV (385.96),UV (386.75),UV (387.53),UV (388.31),UV (389.10),UV (389.88),UV (390.66),UV (391.44),UV (392.22),T_INT (CELSIUS),T_SPEC (CELSIUS),T_LAMP (CELSIUS),LAMP_TIME (s),HUMIDITY (%),VOLT_MAIN (V),VOLT_12 (V),VOLT_5 (V),CURRENT (amp),FIT_S2,FIT_S3,FIT_B0,FIT_B1,RMSe,CTD_TIME (s),CTD_SAL,CTD_TEMP (CELSIUS),CTD_DEPTH (m),CHECK
SATSDF0290,9/27/23 0:00,0,0,0,0,0,647,0,1,633,624,604,611,614,621,625,635,625,615,623,619,619,628,625,617,619,618,628,620,643,645,645,634,642,635,625,635,634,643,630,633,630,642,650,647,648,629,635,633,639,647,645,638,651,633,639,629,643,628,635,620,619,621,637,637,639,649,645,641,637,642,643,653,625,627,626,635,629,630,637,644,648,659,662,653,646,637,635,640,647,642,655,650,641,655,646,651,662,649,643,652,645,648,644,658,645,665,676,661,653,640,657,662,648,648,654,641,647,641,641,646,659,653,662,656,666,653,642,646,663,656,663,661,657,658,649,655,648,645,649,650,657,657,663,652,649,647,645,634,659,650,653,660,655,647,641,630,643,651,659,658,659,670,657,645,659,664,653,651,661,659,661,653,653,669,661,661,662,661,661,657,645,647,649,653,648,647,657,656,666,651,671,653,648,667,654,657,645,663,649,655,657,659,664,667,669,676,662,646,651,648,645,653,658,657,665,657,661,662,664,654,665,653,659,648,659,650,646,665,663,673,649,650,649,649,647,651,646,643,663,652,646,649,657,645,641,635,647,648,653,650,643,651,636,643,637,647,653,657,658,646,639,655,650,469,0,0,0,1410944,45.8,12.7,0.1,5,61,0,0,0,0,0,,NaN,NaN,NaN,0
SATSLF0290,9/27/23 0:00,4.63,0.0648,0.1104,0.0774,0,12348,647,1,640,635,643,655,657,662,640,643,655,660,661,689,855,1272,2208,3859,6092,8325,10032,11046,11485,11608,11595,11634,11742,11967,12381,12944,13704,14669,15795,17131,18605,20138,21628,22997,24119,24898,25225,25139,24640,23860,22905,21916,20938,20103,19413,18889,18567,18406,18435,18589,18932,19386,19981,20687,21523,22424,23404,24412,25424,26376,26944,27683,28271,28400,28248,27760,27014,26044,24942,23730,22506,21316,20190,19167,18259,17424,16727,16093,15575,15161,14801,14527,14343,14235,14176,14215,14323,14453,14667,14952,15268,15611,15977,16365,16737,17083,17400,17646,17760,17767,17666,17437,17084,16629,16091,15524,14901,14289,13686,13122,12607,12136,11724,11361,11056,10768,10555,10365,10238,10154,10097,10099,10129,10197,10292,10445,10621,10828,11064,11343,11621,11943,12277,12616,12973,13326,13674,14018,14338,14631,14908,15118,15298,15440,15522,15546,15531,15429,15304,15113,14861,14577,14296,13952,13612,13265,12906,12551,12215,11883,11549,11263,11001,10750,10523,10305,10109,9927,9795,9648,9495,9306,9175,9042,8945,8847,8757,8684,8606,8558,8521,8509,8503,8512,8505,8502,8501,8510,8530,8518,8495,8464,8468,8485,8517,8550,8583,8594,8595,8587,8612,8633,8655,8659,8645,8643,8631,8627,8595,8557,8509,8428,8356,8254,8183,8082,7983,7873,7805,7730,7665,7611,7493,7325,7090,6867,6648,6471,6337,6231,6155,6115,6081,6095,6116,6136,6146,6159,6085,5936,5785,5641,5531,5443,5383,5337,5322,5315,5321,5338,5377,5418,5473,5318,8.9,8.8,9.6,1410945,45.8,11.6,12,5,594,-1,-1,14.9666,-1.329359,0.000508,,NaN,NaN,NaN,0
SATSLF0290,9/27/23 0:00,4.57,0.064,0.1104,0.0771,0,12358,647,1,653,654,649,655,645,649,642,643,656,658,676,701,865,1271,2217,3865,6088,8327,10041,11037,11500,11609,11612,11629,11725,11975,12374,12947,13696,14667,15791,17127,18599,20127,21635,22994,24126,24887,25229,25117,24634,23865,22902,21901,20945,20086,19415,18905,18560,18399,18429,18583,18943,19373,19968,20693,21540,22422,23423,24434,25425,26391,26971,27708,28273,28388,28253,27777,27029,26063,24960,23730,22519,21319,20215,19193,18252,17425,16739,16112,15594,15163,14819,14541,14343,14237,14193,14218,14315,14476,14676,14967,15264,15613,16005,16378,16760,17095,17401,17634,17761,17775,17672,17449,17097,16636,16112,15529,14916,14281,13715,13155,12629,12163,11753,11381,11061,10777,10565,10385,10247,10146,10099,10105,10121,10190,10307,10453,10629,10850,11089,11357,11641,11961,12288,12632,12985,13330,13681,14033,14362,14633,14903,15130,15319,15465,15550,15566,15549,15449,15304,15105,14864,14597,14306,13991,13645,13277,12937,12576,12227,11876,11555,11259,11009,10774,10550,10317,10137,9964,9804,9648,9497,9313,9175,9057,8965,8871,8787,8684,8641,8574,8553,8536,8533,8502,8509,8505,8506,8534,8537,8532,8504,8480,8488,8481,8531,8566,8599,8589,8608,8593,8611,8640,8667,8682,8673,8665,8642,8623,8615,8567,8521,8461,8372,8290,8192,8091,7997,7889,7799,7731,7671,7611,7495,7338,7114,6886,6663,6474,6362,6250,6173,6121,6096,6109,6116,6142,6180,6162,6086,5931,5792,5638,5543,5461,5390,5345,5345,5325,5331,5357,5389,5430,5481,5331,8.9,8.9,9.7,1410946,46.1,11.5,12.1,5.1,599,-1,-1,15.5204,-1.568122,0.000486,,NaN,NaN,NaN,0
SATSLF0290,9/27/23 0:00,4.64,0.065,0.1105,0.075,0,12354,647,1,647,641,647,650,658,660,657,661,669,658,660,701,841,1270,2207,3869,6073,8316,10009,11009,11458,11591,11602,11618,11729,11956,12359,12925,13693,14644,15782,17129,18578,20107,21605,22976,24102,24855,25193,25084,24617,23845,22880,21886,20932,20080,19411,18906,18556,18400,18398,18583,18912,19364,19953,20685,21524,22428,23418,24425,25425,26373,26929,27699,28276,28381,28241,27772,27024,26062,24944,23731,22519,21342,20212,19189,18244,17424,16723,16104,15596,15157,14807,14539,14343,14247,14204,14230,14323,14478,14690,14957,15254,15607,15977,16376,16734,17095,17410,17650,17773,17793,17670,17440,17085,16631,16109,15528,14915,14297,13693,13143,12628,12157,11742,11380,11060,10796,10556,10386,10249,10153,10093,10101,10138,10209,10308,10455,10618,10835,11080,11336,11650,11944,12287,12641,12992,13329,13679,14028,14349,14638,14913,15125,15312,15448,15534,15565,15543,15449,15328,15123,14872,14591,14313,13978,13617,13271,12919,12564,12223,11880,11573,11276,11013,10785,10545,10313,10110,9943,9794,9644,9499,9330,9190,9060,8962,8867,8776,8692,8621,8576,8554,8542,8520,8523,8504,8496,8500,8513,8539,8533,8504,8477,8486,8498,8515,8571,8590,8609,8605,8631,8631,8658,8688,8669,8663,8645,8657,8634,8627,8577,8527,8461,8373,8299,8193,8087,8003,7894,7798,7735,7682,7607,7502,7325,7100,6869,6658,6465,6344,6250,6177,6121,6105,6100,6124,6145,6177,6167,6087,5941,5789,5642,5543,5463,5387,5355,5354,5344,5333,5345,5384,5422,5467,5323,8.9,8.8,9.7,1410947,45.5,11.5,12,5,598,-1,-1,15.5505,-1.574212,0.000494,,NaN,NaN,NaN,0
SATSLF0290,9/27/23 0:00,4.68,0.0655,0.1102,0.0762,0,12357,647,1,649,656,653,660,654,654,664,657,657,668,668,697,859,1264,2205,3854,6069,8300,10011,11034,11479,11597,11604,11618,11715,11952,12333,12909,13685,14645,15772,17106,18566,20092,21576,22935,24075,24848,25176,25092,24597,23818,22871,21881,20918,20072,19395,18888,18542,18395,18405,18573,18915,19368,19959,20674,21507,22422,23394,24403,25405,26370,26946,27702,28269,28386,28242,27762,27022,26063,24949,23722,22513,21312,20186,19159,18235,17425,16728,16119,15582,15169,14809,14549,14371,14237,14199,14227,14327,14482,14693,14957,15269,15621,15987,16393,16753,17115,17416,17664,17782,17793,17685,17445,17096,16635,16113,15533,14915,14292,13729,13144,12636,12169,11758,11376,11060,10789,10562,10387,10245,10157,10115,10115,10152,10210,10319,10465,10633,10842,11095,11349,11639,11955,12295,12641,12984,13337,13693,14046,14373,14648,14920,15155,15331,15477,15561,15583,15549,15441,15335,15125,14885,14609,14317,14002,13641,13285,12939,12581,12237,11885,11573,11269,11014,10784,10544,10331,10150,9968,9801,9659,9500,9321,9187,9059,8959,8864,8779,8701,8633,8586,8554,8539,8529,8507,8507,8504,8502,8522,8549,8546,8517,8507,8490,8517,8535,8583,8582,8607,8606,8609,8614,8658,8677,8691,8681,8675,8669,8649,8621,8585,8540,8466,8374,8295,8197,8107,8008,7899,7816,7742,7699,7626,7512,7324,7117,6876,6657,6464,6359,6257,6177,6118,6105,6106,6141,6160,6189,6195,6105,5946,5786,5647,5546,5438,5387,5349,5347,5329,5337,5371,5392,5435,5477,5338,8.9,8.9,9.7,1410948,46.6,11.5,12,5,600,-1,-1,15.7294,-1.646801,0.000528,,NaN,NaN,NaN,0
SATSLF0290,9/27/23 0:00,4.57,0.064,0.1107,0.0767,0,12357,647,1,645,641,646,653,649,643,642,645,656,661,674,694,851,1274,2200,3847,6068,8288,10001,11017,11456,11588,11580,11618,11694,11940,12352,12917,13673,14629,15749,17083,18537,20069,21569,22955,24070,24842,25178,25080,24606,23813,22855,21874,20898,20087,19393,18883,18536,18377,18398,18573,18929,19360,19954,20685,21509,22421,23410,24402,25415,26373,26950,27681,28275,28398,28258,27780,27015,26077,24967,23744,22523,21320,20217,19182,18253,17424,16730,16112,15585,15153,14813,14537,14359,14247,14202,14241,14325,14487,14699,14966,15276,15617,15994,16378,16765,17108,17408,17643,17776,17778,17691,17436,17099,16654,16128,15537,14923,14319,13720,13152,12634,12149,11743,11379,11046,10769,10554,10391,10254,10170,10118,10101,10136,10201,10306,10455,10618,10839,11095,11364,11649,11964,12304,12641,13005,13341,13694,14037,14372,14644,14921,15144,15326,15467,15557,15572,15537,15461,15325,15125,14866,14605,14313,13979,13643,13291,12931,12578,12247,11905,11580,11289,11018,10781,10554,10324,10131,9965,9812,9657,9498,9337,9192,9057,8955,8873,8772,8690,8623,8579,8549,8536,8531,8525,8517,8518,8522,8529,8545,8538,8524,8504,8503,8517,8547,8579,8590,8601,8601,8601,8621,8663,8686,8700,8688,8675,8679,8648,8627,8585,8537,8465,8380,8277,8195,8110,8014,7901,7817,7757,7701,7630,7527,7341,7110,6873,6663,6490,6363,6269,6194,6125,6103,6103,6118,6150,6177,6165,6075,5962,5802,5666,5547,5463,5395,5357,5326,5319,5341,5360,5390,5431,5490,5354,8.9,8.9,9.7,1410949,46.6,11.4,12.1,5,604,-1,-1,16.3451,-1.907782,0.000515,,NaN,NaN,NaN,0
SATSLF0290,9/27/23 0:00,4.6,0.0645,0.1101,0.0764,0,12366,647,1,651,654,646,647,651,663,649,641,643,647,641,679,851,1269,2211,3863,6065,8299,10006,11021,11465,11581,11579,11608,11706,11954,12333,12913,13673,14623,15769,17090,18566,20080,21575,22963,24079,24834,25163,25083,24595,23816,22851,21871,20912,20080,19393,18885,18555,18387,18415,18576,18902,19361,19957,20696,21513,22429,23408,24427,25428,26372,26935,27703,28285,28402,28247,27789,27045,26074,24967,23733,22529,21324,20205,19177,18265,17430,16738,16114,15605,15172,14813,14550,14350,14243,14215,14256,14325,14489,14698,14974,15265,15633,16013,16400,16769,17113,17422,17657,17783,17800,17690,17463,17134,16666,16132,15549,14919,14311,13721,13158,12622,12163,11756,11387,11085,10797,10587,10405,10275,10171,10123,10120,10142,10213,10305,10464,10641,10870,11108,11376,11649,11973,12292,12651,12986,13347,13692,14063,14358,14659,14925,15145,15327,15460,15547,15595,15578,15493,15357,15149,14905,14610,14336,14002,13662,13309,12940,12596,12251,11920,11604,11289,11029,10793,10560,10334,10142,9966,9824,9673,9522,9346,9204,9073,8954,8881,8782,8699,8640,8600,8571,8550,8543,8529,8534,8522,8509,8536,8548,8558,8532,8497,8503,8523,8552,8589,8612,8621,8631,8605,8637,8661,8689,8695,8707,8690,8688,8649,8639,8593,8541,8457,8395,8305,8215,8129,8014,7915,7843,7768,7713,7641,7530,7344,7109,6890,6689,6501,6366,6274,6203,6151,6128,6115,6135,6169,6202,6196,6124,5957,5815,5670,5571,5477,5409,5365,5363,5346,5362,5376,5389,5435,5490,5342,8.9,8.9,9.7,1410950,46.4,11.4,12.1,5,606,-1,-1,16.3202,-1.901716,0.000476,,NaN,NaN,NaN,0
SATSLF0290,9/27/23 0:00,4.77,0.0669,0.1105,0.0769,0,12362,647,1,648,643,655,649,651,649,653,653,657,661,661,685,859,1268,2209,3849,6059,8295,10003,11009,11444,11577,11574,11601,11709,11927,12337,12899,13661,14615,15759,17081,18549,20058,21559,22937,24060,24817,25159,25046,24575,23806,22840,21875,20897,20066,19387,18890,18538,18392,18407,18573,18909,19373,19963,20686,21517,22426,23408,24425,25421,26387,26961,27700,28264,28411,28245,27769,27031,26061,24960,23751,22515,21335,20220,19188,18269,17438,16743,16115,15592,15159,14803,14544,14353,14247,14200,14234,14333,14476,14699,14960,15279,15649,16021,16389,16791,17128,17434,17664,17789,17811,17704,17440,17099,16637,16122,15550,14933,14323,13724,13159,12647,12160,11744,11373,11067,10790,10575,10400,10261,10174,10113,10123,10145,10214,10324,10464,10628,10852,11111,11366,11655,11957,12287,12639,13005,13338,13684,14051,14373,14674,14936,15159,15343,15497,15572,15589,15554,15474,15324,15125,14883,14626,14338,14002,13652,13306,12938,12588,12241,11908,11584,11298,11020,10801,10556,10332,10148,9958,9796,9671,9513,9337,9197,9081,8972,8887,8782,8711,8637,8587,8567,8549,8529,8517,8519,8509,8517,8530,8555,8549,8535,8509,8506,8519,8548,8584,8607,8600,8619,8597,8631,8665,8703,8712,8697,8695,8680,8650,8645,8589,8549,8464,8384,8309,8218,8130,8008,7911,7822,7764,7707,7647,7522,7342,7111,6883,6679,6493,6365,6251,6195,6146,6106,6115,6133,6171,6198,6178,6090,5945,5803,5658,5564,5471,5389,5351,5322,5335,5342,5362,5400,5433,5505,5344,8.9,8.9,9.8,1410951,46.5,11.5,12.1,5,604,-1,-1,15.8873,-1.719578,0.00043,,NaN,NaN,NaN,0
SATSLF0290,9/27/23 0:00,4.69,0.0657,0.1105,0.0748,0,12370,647,1,657,646,659,669,666,660,659,650,659,657,665,710,851,1273,2209,3870,6085,8292,9997,11008,11456,11570,11582,11597,11719,11952,12354,12910,13676,14609,15755,17089,18525,20067,21569,22933,24063,24829,25155,25066,24586,23801,22839,21863,20893,20072,19385,18892,18549,18391,18389,18569,18907,19382,19965,20683,21520,22417,23410,24415,25438,26376,26954,27693,28285,28407,28259,27789,27038,26073,24960,23754,22522,21328,20209,19193,18266,17450,16741,16125,15588,15157,14824,14544,14359,14244,14199,14245,14336,14499,14724,14980,15289,15647,16014,16398,16783,17129,17430,17661,17799,17810,17715,17488,17121,16669,16146,15564,14951,14327,13734,13162,12655,12174,11755,11379,11065,10793,10583,10404,10277,10180,10123,10115,10139,10228,10323,10474,10645,10851,11106,11366,11652,11975,12309,12655,13008,13355,13709,14048,14396,14683,14956,15165,15347,15481,15565,15602,15578,15494,15365,15163,14912,14631,14343,14010,13655,13293,12941,12605,12261,11923,11603,11313,11036,10784,10567,10346,10161,9986,9837,9677,9525,9344,9213,9085,8995,8894,8796,8706,8642,8592,8572,8567,8545,8547,8549,8538,8531,8545,8557,8564,8545,8528,8505,8523,8556,8582,8611,8613,8629,8636,8660,8684,8722,8714,8699,8693,8678,8664,8652,8597,8562,8488,8423,8325,8229,8133,8026,7909,7835,7776,7721,7664,7552,7345,7115,6887,6669,6497,6372,6277,6205,6142,6109,6129,6141,6173,6203,6192,6100,5963,5809,5657,5571,5473,5406,5383,5369,5361,5355,5383,5412,5461,5500,5349,8.9,8.9,9.8,1410952,46.5,11.4,12,5.1,596,-1,-1,16.2777,-1.884778,0.000459,,NaN,NaN,NaN,0
SATSLF0290,9/27/23 0:00,4.76,0.0667,0.1106,0.0752,0,12370,647,1,631,643,649,654,648,639,643,636,648,656,662,707,853,1271,2206,3854,6069,8299,9986,11001,11449,11573,11560,11588,11703,11932,12339,12913,13675,14609,15755,17074,18537,20046,21559,22920,24050,24823,25168,25065,24594,23805,22849,21861,20897,20066,19385,18876,18545,18382,18411,18586,18913,19387,19977,20684,21519,22425,23412,24419,25424,26388,26955,27709,28288,28403,28271,27800,27026,26071,24967,23747,22535,21333,20205,19191,18265,17440,16730,16128,15596,15156,14820,14560,14365,14250,14205,14235,14332,14493,14706,14973,15306,15636,16027,16408,16797,17136,17429,17671,17798,17817,17720,17488,17137,16675,16144,15574,14937,14327,13739,13178,12668,12182,11767,11378,11067,10790,10581,10396,10263,10175,10125,10123,10152,10220,10328,10461,10653,10865,11108,11385,11674,11984,12323,12664,13006,13367,13708,14073,14390,14681,14957,15173,15349,15496,15582,15614,15585,15495,15360,15157,14903,14631,14346,14013,13661,13311,12964,12605,12267,11921,11613,11305,11047,10798,10569,10331,10155,9973,9819,9675,9514,9345,9205,9085,8982,8882,8807,8708,8624,8595,8567,8556,8541,8533,8513,8539,8540,8565,8562,8559,8533,8509,8513,8528,8564,8601,8629,8625,8619,8627,8638,8677,8701,8704,8715,8698,8688,8670,8648,8603,8563,8481,8396,8311,8223,8125,8027,7913,7827,7767,7715,7653,7537,7365,7129,6874,6686,6498,6361,6255,6190,6129,6111,6121,6157,6182,6200,6192,6114,5955,5812,5670,5563,5487,5417,5383,5373,5345,5353,5378,5393,5447,5492,5349,8.9,8.9,9.8,1410953,46.4,11.4,12.1,5,606,-1,-1,16.0702,-1.801044,0.000472,,NaN,NaN,NaN,0
