FrameSync,DateTime (UTC+00:00),NITRATE_UM (μM),NITRATE_MG (mg N/L),ABS_254 (a.u.),ABS_350 (a.u.),BR_TRACE (mg/L),SPEC_AVG,DARK_AVG,INT_FACTOR,UV (190.15),UV (190.93),UV (191.72),UV (192.50),UV (193.29),UV (194.07),UV (194.86),UV (195.64),UV (196.43),UV (197.21),UV (198.00),UV (198.78),UV (199.57),UV (200.36),UV (201.14),UV (201.93),UV (202.72),UV (203.50),UV (204.29),UV (205.08),UV (205.87),UV (206.65),UV (207.44),UV (208.23),UV (209.02),UV (209.81),UV (210.60),UV (211.38),UV (212.17),UV (212.96),UV (213.75),UV (214.54),UV (215.33),UV (216.12),UV (216.91),UV (217.70),UV (218.49),UV (219.28),UV (220.07),UV (220.86),UV (221.65),UV (222.44),UV (223.23),UV (224.02),UV (224.81),UV (225.61),UV (226.40),UV (227.19),UV (227.98),UV (228.77),UV (229.56),UV (230.35),UV (231.15),UV (231.94),UV (232.73),UV (233.52),UV (234.32),UV (235.11),UV (235.90),UV (236.69),UV (237.49),UV (238.28),UV (239.07),UV (239.86),UV (240.66),UV (241.45),UV (242.24),UV (243.04),UV (243.83),UV (244.62),UV (245.42),UV (246.21),UV (247.01),UV (247.80),UV (248.59),UV (249.39),UV (250.18),UV (250.97),UV (251.77),UV (252.56),UV (253.36),UV (254.15),UV (254.95),UV (255.74),UV (256.53),UV (257.33),UV (258.12),UV (258.92),UV (259.71),UV (260.51),UV (261.30),UV (262.10),UV (262.89),UV (263.69),UV (264.48),UV (265.28),UV (266.07),UV (266.87),UV (267.66),UV (268.46),UV (269.25),UV (270.05),UV (270.84),UV (271.64),UV (272.43),UV (273.23),UV (274.02),UV (274.82),UV (275.61),UV (276.41),UV (277.20),UV (278.00),UV (278.79),UV (279.59),UV (280.38),UV (281.18),UV (281.97),UV (282.77),UV (283.56),UV (284.36),UV (285.15),UV (285.95),UV (286.75),UV (287.54),UV (288.34),UV (289.13),UV (289.93),UV (290.72),UV (291.52),UV (292.31),UV (293.11),UV (293.90),UV (294.70),UV (295.49),UV (296.28),UV (297.08),UV (297.87),UV (298.67),UV (299.46),UV (300.26),UV (301.05),UV (301.85),UV (302.64),UV (303.44),UV (304.23),UV (305.02),UV (305.82),UV (306.61),UV (307.41),UV (308.20),UV (309.00),UV (309.79),UV (310.58),UV (311.38),UV (312.17),UV (312.96),UV (313.76),UV (314.55),UV (315.34),UV (316.14),UV (316.93),UV (317.72),UV (318.52),UV (319.31),UV (320.10),UV (320.90),UV (321.69),UV (322.48),UV (323.27),UV (324.07),UV (324.86),UV (325.65),UV (326.44),UV (327.24),UV (328.03),UV (328.82),UV (329.61),UV (330.40),UV (331.19),UV (331.99),UV (332.78),UV (333.57),UV (334.36),UV (335.15),UV (335.94),UV (336.73),UV (337.52),UV (338.31),UV (339.10),UV (339.89),UV (340.68),UV (341.47),UV (342.26),UV (343.05),UV (343.84),UV (344.63),UV (345.42),UV (346.21),UV (347.00),UV (347.79),UV (348.57),UV (349.36),UV (350.15),UV (350.94),UV (351.73),UV (352.52),UV (353.30),UV (354.09),UV (354.88),UV (355.66),UV (356.45),UV (357.24),UV (358.02),UV (358.81),UV (359.60),UV (360.38),UV (361.17),UV (361.96),UV (362.74),UV (363.53),UV (364.31),UV (365.10),UV (365.88),UV (366.67),UV (367.45),UV (368.23),UV (369.02),UV (369.80),UV (370.59),UV (371.37),UV (372.15),UV (372.94),UV (373.72),UV (374.50),UV (375.28),UV (376.07),UV (376.85),UV (377.63),UV (378.41),UV (379.19),UV (379.97),UV (380.75),UV (381.53),UV (382.31),UV (383.09),UV (383.87),UV (384.65),UV (385.43),UV (386.21),UV (386.99),UV (387.77),UV (388.55),UV (389.33),UV (390.11),UV (390.88),UV (391.66),T_INT (CELSIUS),T_SPEC (CELSIUS),T_LAMP (CELSIUS),LAMP_TIME (s),HUMIDITY (%),VOLT_MAIN (V),VOLT_12 (V),VOLT_5 (V),CURRENT (amp),FIT_S2,FIT_S3,FIT_B0,FIT_B1,RMSe,CTD_TIME (s),CTD_SAL,CTD_TEMP (CELSIUS),CTD_DEPTH (m),CHECK
SATSLF1292,7/22/24 18:46,6.79,0.0951,0.0593,0.0149,0,19915,1019,1,1051,1050,1052,1052,1058,1051,1053,1053,1052,1053,1051,1046,1063,1163,1587,2869,5551,9557,14126,18360,21621,23725,24775,24959,24623,23989,23273,22612,22105,21831,21800,22037,22511,23288,24322,25580,27126,28995,30972,33066,35119,37008,38593,39701,40225,40163,39543,38502,37205,35762,34334,33053,31905,30977,30293,29808,29522,29434,29493,29733,30127,30655,31365,32195,33124,34215,35430,36694,37953,39104,40116,40939,41407,41501,41208,40466,39347,37946,36306,34542,32702,30885,29175,27611,26183,24912,23760,22775,21932,21227,20643,20195,19859,19636,19530,19531,19637,19829,20113,20480,20944,21470,22077,22711,23366,24023,24671,25258,25764,26153,26425,26516,26475,26256,25917,25443,24865,24199,23511,22802,22079,21412,20756,20174,19660,19191,18786,18458,18179,17980,17825,17715,17656,17644,17667,17730,17835,17964,18128,18321,18546,18806,19074,19371,19697,20033,20392,20785,21179,21596,22004,22400,22766,23170,23493,23808,24066,24278,24450,24582,24652,24672,24631,24538,24386,24186,23865,23496,23047,22538,21995,21433,20834,20216,19617,19065,18544,18041,17549,17106,16675,16281,15925,15579,15252,14953,14643,14369,14109,13855,13620,13404,13173,12954,12767,12590,12436,12289,12158,12011,11918,11813,11737,11671,11616,11583,11543,11523,11511,11516,11520,11543,11568,11603,11645,11685,11742,11793,11849,11913,11976,12044,12116,12186,12232,12247,12220,12175,12122,12036,11974,11917,11848,11776,11704,11636,11563,11495,11407,11301,11166,10985,10773,10583,10380,10198,10027,9874,9725,9578,9448,9340,9242,9159,8968,8509,36.1,36.4,39.3,289292,0.9,14.3,12,5,508,-1,-1,19.9747,-5.444026,0.000874,,NaN,NaN,NaN,0
SATSLF1292,7/22/24 18:46,6.8,0.0952,0.0409,-0.0025,0,20730,1030,1,1055,1056,1057,1059,1061,1057,1058,1059,1051,1053,1053,1049,1070,1171,1612,2958,5744,9925,14692,19108,22511,24717,25809,26002,25653,25003,24258,23563,23038,22751,22719,22969,23454,24270,25352,26662,28282,30227,32287,34473,36608,38592,40251,41399,41943,41887,41241,40149,38788,37283,35793,34457,33260,32297,31586,31075,30776,30678,30752,30997,31404,31955,32702,33551,34524,35669,36938,38258,39567,40776,41825,42682,43169,43276,42963,42199,41031,39556,37839,35996,34082,32187,30404,28777,27278,25947,24752,23724,22844,22098,21500,21025,20678,20441,20330,20328,20442,20641,20940,21319,21803,22352,22976,23645,24326,25014,25688,26295,26825,27232,27520,27613,27569,27338,26980,26492,25892,25191,24476,23740,22986,22286,21606,21003,20464,19976,19554,19207,18921,18704,18545,18431,18369,18355,18381,18450,18556,18690,18860,19065,19301,19571,19848,20158,20495,20848,21232,21639,22043,22473,22907,23310,23694,24112,24451,24781,25056,25268,25450,25586,25660,25677,25635,25535,25384,25171,24840,24455,23985,23458,22884,22295,21669,21030,20409,19829,19287,18761,18250,17782,17337,16925,16552,16191,15850,15534,15224,14937,14659,14399,14152,13921,13683,13456,13257,13074,12912,12761,12619,12468,12377,12268,12186,12115,12061,12020,11987,11956,11951,11953,11953,11977,12008,12040,12084,12125,12184,12238,12296,12361,12436,12498,12576,12651,12694,12713,12691,12639,12580,12495,12424,12369,12296,12216,12155,12076,12008,11930,11844,11725,11585,11401,11183,10981,10774,10578,10405,10242,10087,9940,9800,9677,9580,9496,9301,8829,36.1,36.5,39.2,289295,0.7,14.3,12,5,500,-1,-1,18.0287,-5.403772,0.000877,,NaN,NaN,NaN,0
SATSLF1292,7/22/24 18:46,6.83,0.0956,0.0286,-0.0143,0,21292,1030,1,1058,1057,1059,1064,1060,1064,1060,1059,1061,1056,1055,1051,1068,1174,1631,3009,5882,10192,15098,19640,23150,25417,26544,26744,26378,25704,24947,24226,23687,23394,23353,23605,24113,24950,26065,27414,29084,31080,33203,35455,37655,39685,41393,42575,43137,43084,42415,41297,39898,38344,36807,35431,34189,33196,32473,31946,31639,31541,31608,31859,32277,32840,33608,34484,35495,36663,37965,39324,40670,41911,42988,43879,44380,44485,44172,43378,42185,40663,38896,36998,35034,33084,31254,29573,28033,26664,25439,24379,23469,22714,22089,21608,21251,21009,20889,20883,21007,21210,21522,21914,22407,22974,23617,24299,25000,25706,26400,27021,27567,27989,28280,28375,28331,28097,27728,27228,26605,25885,25150,24389,23617,22891,22199,21571,21021,20511,20081,19730,19429,19205,19041,18925,18860,18844,18872,18946,19048,19190,19366,19578,19809,20095,20378,20700,21044,21406,21791,22210,22636,23080,23515,23936,24331,24758,25107,25445,25724,25944,26132,26273,26348,26365,26320,26227,26065,25846,25503,25111,24628,24081,23497,22896,22252,21588,20947,20352,19800,19254,18732,18252,17788,17372,16982,16613,16270,15940,15622,15324,15043,14775,14518,14282,14039,13797,13598,13411,13245,13090,12948,12785,12690,12582,12495,12424,12364,12330,12292,12263,12256,12258,12260,12283,12314,12344,12396,12432,12493,12552,12612,12675,12751,12824,12901,12974,13020,13037,13013,12961,12900,12811,12743,12678,12606,12530,12453,12379,12300,12228,12140,12016,11871,11681,11463,11254,11042,10845,10661,10490,10332,10178,10034,9914,9814,9728,9526,9044,36.1,36.6,39.1,289299,0.7,14.3,12,5,499,-1,-1,16.3812,-5.229916,0.000887,,NaN,NaN,NaN,0
SATSLF1292,7/22/24 18:46,6.81,0.0953,0.0192,-0.024,0,21736,1030,1,1058,1054,1054,1065,1064,1058,1060,1064,1056,1058,1053,1052,1067,1183,1648,3055,5990,10388,15398,20028,23606,25924,27068,27278,26913,26219,25441,24718,24164,23862,23825,24087,24610,25455,26595,27985,29683,31715,33887,36191,38442,40518,42258,43471,44044,43983,43303,42160,40727,39149,37577,36171,34905,33885,33141,32612,32298,32202,32271,32524,32950,33532,34312,35212,36237,37437,38772,40162,41538,42800,43908,44819,45335,45441,45114,44304,43088,41538,39728,37795,35784,33785,31926,30209,28636,27241,25982,24898,23971,23200,22560,22073,21701,21458,21335,21342,21456,21662,21979,22382,22887,23465,24126,24823,25540,26262,26972,27610,28169,28590,28894,28991,28944,28704,28328,27810,27176,26441,25689,24912,24124,23381,22664,22028,21464,20948,20502,20140,19835,19608,19443,19318,19254,19240,19267,19336,19447,19588,19767,19980,20232,20517,20805,21134,21484,21846,22247,22680,23119,23564,24010,24439,24844,25279,25641,25981,26266,26495,26683,26825,26903,26931,26876,26781,26617,26389,26040,25639,25144,24588,23990,23371,22715,22042,21390,20779,20213,19649,19129,18629,18157,17729,17337,16956,16602,16268,15942,15639,15354,15080,14821,14573,14318,14087,13881,13687,13516,13356,13213,13049,12959,12842,12752,12685,12621,12579,12539,12514,12505,12510,12505,12535,12570,12601,12647,12688,12755,12809,12872,12935,13008,13081,13158,13230,13282,13301,13274,13225,13153,13072,12999,12941,12866,12786,12705,12630,12551,12469,12376,12258,12110,11919,11692,11476,11260,11059,10869,10704,10534,10376,10229,10109,10006,9914,9713,9225,36.1,36.6,39,289302,0.5,14.3,12,5,505,-1,-1,15.6925,-5.331363,0.000879,,NaN,NaN,NaN,0
SATSLF1292,7/22/24 18:46,6.77,0.0948,0.0119,-0.0335,0,22115,1030,1,1060,1061,1065,1064,1063,1065,1061,1064,1063,1059,1060,1058,1074,1182,1663,3097,6088,10559,15636,20333,23955,26296,27459,27663,27284,26584,25800,25053,24492,24188,24153,24418,24943,25813,26967,28379,30099,32173,34369,36708,38992,41100,42869,44100,44682,44627,43939,42778,41331,39727,38134,36707,35422,34388,33636,33087,32774,32676,32748,33011,33449,34036,34836,35748,36798,38022,39375,40786,42189,43478,44606,45528,46053,46166,45836,45016,43780,42205,40375,38408,36361,34339,32442,30704,29110,27687,26414,25312,24374,23588,22936,22444,22071,21817,21693,21704,21822,22038,22360,22774,23288,23874,24552,25263,25989,26730,27451,28106,28673,29114,29419,29515,29471,29225,28845,28321,27673,26920,26158,25364,24562,23814,23076,22430,21862,21337,20881,20511,20203,19971,19797,19677,19609,19599,19625,19699,19807,19955,20138,20359,20610,20903,21198,21531,21889,22267,22680,23111,23550,24019,24475,24915,25331,25771,26139,26486,26780,27008,27206,27354,27438,27455,27411,27309,27139,26909,26562,26150,25646,25080,24474,23843,23168,22481,21817,21192,20617,20050,19506,19005,18523,18084,17680,17297,16930,16590,16263,15958,15664,15381,15121,14872,14617,14370,14158,13960,13792,13627,13475,13314,13213,13102,13013,12937,12879,12839,12801,12769,12763,12766,12769,12794,12827,12862,12906,12949,13017,13071,13138,13200,13281,13348,13427,13508,13559,13579,13557,13494,13429,13344,13271,13209,13137,13052,12972,12899,12815,12737,12642,12512,12360,12164,11933,11715,11491,11285,11093,10927,10757,10593,10440,10312,10205,10118,9907,9409,36,36.6,38.8,289306,1,14.3,12,5,497,-1,-1,15.734,-5.631784,0.000889,,NaN,NaN,NaN,0
SATSLF1292,7/22/24 18:46,6.79,0.0951,0.0107,-0.0349,0,22173,1030,1,1062,1059,1058,1066,1062,1065,1066,1066,1063,1062,1058,1058,1070,1188,1668,3114,6121,10605,15691,20395,24012,26349,27513,27718,27335,26631,25841,25103,24540,24232,24200,24470,24994,25863,27018,28427,30159,32236,34439,36783,39072,41193,42961,44197,44783,44722,44038,42869,41427,39811,38224,36796,35509,34470,33704,33169,32853,32749,32826,33091,33531,34116,34923,35839,36889,38116,39474,40894,42298,43589,44721,45646,46171,46287,45958,45130,43892,42316,40480,38514,36460,34429,32536,30788,29184,27768,26487,25382,24444,23654,23006,22507,22130,21883,21764,21769,21885,22104,22428,22834,23358,23943,24625,25337,26074,26810,27534,28194,28766,29203,29506,29605,29565,29317,28928,28401,27752,27007,26236,25438,24631,23881,23154,22495,21925,21394,20938,20570,20258,20030,19856,19735,19668,19655,19682,19755,19866,20008,20196,20413,20670,20962,21259,21594,21952,22333,22742,23178,23623,24081,24546,24983,25401,25840,26210,26561,26858,27088,27279,27432,27513,27531,27484,27381,27213,26988,26632,26223,25719,25147,24540,23909,23235,22544,21876,21259,20676,20104,19556,19060,18571,18135,17731,17344,16981,16641,16306,16002,15702,15425,15162,14915,14658,14412,14197,14000,13830,13665,13518,13348,13253,13139,13050,12972,12910,12872,12835,12804,12800,12796,12803,12830,12866,12898,12945,12991,13052,13110,13173,13236,13311,13390,13470,13543,13599,13616,13592,13533,13471,13379,13311,13245,13174,13088,13010,12931,12850,12771,12675,12547,12394,12197,11964,11742,11525,11315,11122,10944,10784,10620,10470,10343,10229,10142,9934,9432,35.9,36.6,38.6,289310,0.8,14.3,12,5,500,-1,-1,15.7762,-5.695645,0.000882,,NaN,NaN,NaN,0
SATSLF1292,7/22/24 18:46,6.82,0.0955,0.0072,-0.0378,0,22348,1029,1,1063,1062,1065,1066,1067,1069,1060,1068,1067,1064,1064,1060,1081,1196,1700,3196,6280,10826,15972,20694,24312,26651,27798,27995,27608,26893,26088,25336,24768,24457,24420,24688,25225,26098,27262,28678,30425,32520,34746,37106,39416,41551,43342,44587,45179,45116,44420,43251,41786,40163,38558,37114,35812,34768,34000,33453,33125,33025,33102,33371,33809,34407,35209,36138,37197,38429,39802,41228,42638,43945,45085,46016,46550,46661,46334,45505,44247,42665,40805,38820,36749,34701,32791,31035,29415,27980,26689,25576,24626,23836,23173,22676,22292,22043,21923,21925,22041,22266,22595,23002,23531,24115,24802,25518,26261,27001,27729,28395,28973,29411,29718,29821,29772,29530,29140,28608,27953,27203,26427,25627,24815,24054,23319,22659,22084,21551,21093,20724,20413,20176,20004,19880,19812,19802,19827,19906,20018,20160,20349,20574,20822,21116,21425,21757,22116,22500,22912,23362,23799,24268,24731,25174,25590,26034,26408,26761,27067,27300,27492,27641,27717,27739,27692,27592,27417,27192,26832,26422,25914,25340,24722,24088,23411,22709,22039,21414,20824,20251,19701,19192,18707,18266,17858,17464,17101,16752,16415,16114,15809,15526,15267,15012,14757,14507,14293,14097,13925,13763,13601,13438,13337,13225,13132,13054,12994,12958,12919,12886,12884,12885,12884,12915,12948,12983,13027,13069,13129,13196,13263,13320,13399,13477,13562,13629,13683,13709,13678,13620,13554,13463,13389,13326,13254,13169,13086,13015,12930,12853,12757,12634,12476,12277,12041,11821,11598,11391,11197,11021,10846,10689,10540,10405,10300,10210,9998,9492,35.8,36.6,38.1,289314,0.8,14.3,12,5,498,-1,-1,14.9853,-5.520536,0.000899,,NaN,NaN,NaN,0
SATSLF1292,7/22/24 18:46,6.8,0.0953,0.0074,-0.0381,0,22347,1029,1,1063,1062,1069,1071,1070,1061,1064,1069,1066,1059,1060,1060,1079,1202,1713,3231,6333,10900,16037,20743,24352,26676,27816,28003,27612,26894,26088,25344,24767,24454,24424,24685,25216,26090,27256,28675,30414,32514,34741,37096,39409,41538,43327,44577,45162,45102,44409,43231,41767,40149,38540,37092,35795,34751,33985,33437,33115,33007,33085,33351,33791,34388,35196,36117,37170,38406,39780,41205,42616,43920,45065,45993,46524,46632,46298,45478,44230,42638,40789,38804,36733,34688,32775,31022,29406,27973,26686,25571,24629,23831,23177,22669,22296,22042,21921,21922,22044,22268,22593,23009,23525,24118,24800,25521,26261,27004,27729,28396,28968,29411,29719,29819,29771,29532,29138,28610,27954,27198,26429,25626,24810,24055,23325,22663,22078,21552,21093,20722,20404,20175,19997,19872,19807,19794,19823,19897,20005,20154,20349,20568,20817,21110,21412,21749,22112,22492,22896,23348,23792,24261,24726,25167,25586,26029,26404,26751,27056,27286,27480,27641,27716,27729,27688,27588,27419,27189,26822,26413,25901,25334,24715,24084,23405,22706,22039,21415,20824,20252,19698,19200,18706,18268,17862,17469,17105,16761,16422,16117,15817,15529,15270,15024,14765,14519,14296,14096,13928,13764,13610,13447,13344,13229,13138,13063,13000,12965,12926,12900,12890,12888,12897,12924,12951,12987,13039,13072,13143,13199,13267,13332,13411,13482,13568,13638,13695,13714,13688,13632,13569,13477,13398,13339,13267,13179,13099,13026,12946,12865,12760,12641,12484,12282,12051,11826,11606,11396,11203,11026,10861,10696,10547,10419,10307,10215,10005,9498,35.6,36.6,37.8,289317,1.1,14.3,12,5,495,-1,-1,14.9114,-5.479476,0.00089,,NaN,NaN,NaN,0
SATSLF1292,7/22/24 18:46,6.79,0.0952,0.0073,-0.0383,0,22352,1029,1,1062,1061,1066,1066,1069,1070,1063,1072,1069,1061,1062,1061,1077,1204,1732,3267,6389,10969,16099,20793,24382,26695,27828,28007,27608,26888,26088,25336,24761,24457,24424,24690,25214,26091,27255,28681,30418,32510,34745,37096,39411,41545,43324,44579,45164,45102,44405,43240,41773,40148,38543,37107,35797,34757,33986,33438,33114,33010,33085,33356,33793,34388,35196,36120,37182,38410,39783,41209,42626,43929,45064,45999,46532,46640,46311,45489,44236,42649,40789,38806,36738,34691,32779,31023,29411,27984,26691,25581,24627,23838,23185,22679,22296,22047,21926,21930,22049,22273,22595,23011,23534,24127,24810,25532,26273,27020,27742,28407,28980,29423,29721,29832,29784,29538,29145,28618,27961,27211,26435,25633,24818,24060,23328,22661,22084,21554,21099,20722,20408,20176,20007,19880,19810,19799,19829,19896,20012,20155,20353,20569,20821,21112,21419,21751,22112,22497,22902,23351,23795,24262,24725,25171,25584,26034,26405,26756,27056,27284,27486,27639,27714,27733,27687,27593,27415,27191,26832,26414,25904,25340,24720,24087,23410,22713,22042,21417,20826,20255,19702,19205,18716,18271,17869,17473,17106,16764,16425,16119,15822,15537,15276,15023,14766,14514,14307,14106,13935,13771,13616,13453,13352,13237,13145,13066,13008,12969,12929,12897,12896,12892,12900,12927,12961,12994,13040,13084,13149,13206,13278,13332,13412,13489,13570,13644,13698,13714,13692,13637,13570,13481,13408,13343,13273,13183,13104,13025,12942,12870,12770,12645,12492,12287,12056,11830,11605,11400,11202,11031,10863,10701,10549,10417,10307,10222,10009,9503,35.6,36.6,37.7,289321,0.6,14.3,12,5,497,-1,-1,14.9733,-5.507427,0.000899,,NaN,NaN,NaN,0
SATSLF1292,7/22/24 18:46,6.77,0.0949,0.0065,-0.039,0,22393,1029,1,1070,1061,1069,1067,1067,1069,1067,1073,1069,1063,1058,1063,1085,1213,1746,3312,6470,11067,16210,20896,24479,26781,27901,28075,27675,26948,26145,25388,24819,24508,24473,24735,25272,26146,27319,28739,30477,32578,34811,37182,39491,41630,43412,44663,45256,45187,44501,43318,41854,40228,38613,37169,35865,34822,34054,33494,33177,33075,33149,33413,33849,34453,35257,36187,37248,38472,39858,41282,42703,44003,45153,46087,46613,46726,46395,45567,44316,42728,40870,38884,36811,34760,32842,31088,29469,28037,26742,25628,24681,23884,23232,22724,22346,22095,21974,21974,22094,22322,22645,23059,23576,24182,24861,25580,26324,27069,27798,28467,29038,29473,29785,29886,29837,29592,29199,28670,28019,27261,26480,25682,24862,24102,23369,22700,22123,21586,21136,20755,20446,20210,20034,19911,19842,19831,19858,19933,20038,20189,20383,20603,20855,21145,21449,21778,22146,22530,22938,23386,23828,24303,24765,25212,25618,26070,26449,26800,27093,27327,27516,27675,27754,27777,27731,27630,27458,27234,26871,26457,25944,25378,24755,24120,23447,22746,22076,21447,20856,20279,19735,19233,18739,18299,17896,17499,17134,16793,16448,16142,15844,15558,15301,15044,14789,14542,14322,14125,13950,13786,13639,13469,13370,13256,13165,13089,13028,12991,12954,12922,12917,12914,12921,12942,12981,13017,13063,13101,13171,13228,13295,13355,13434,13510,13591,13669,13723,13742,13718,13655,13592,13503,13430,13361,13288,13207,13124,13050,12966,12892,12787,12663,12512,12304,12073,11853,11627,11419,11226,11046,10880,10712,10565,10435,10321,10236,10025,9519,35.4,36.6,37.4,289324,1.1,14.3,12,5,497,-1,-1,14.8172,-5.475469,0.000898,,NaN,NaN,NaN,0
