Date,clock_time,elapsed_time,sc,corr_sc,n_conc,corr_n_conc,AUC_salt,AUC_n,R,Q,notes,bkgd_sc,bkgd_n,sc_add,n_add,R0
22/07/2024,13:32:00,00:47,197.0,0.0,7.80,0.00,,,,,bkgd,197,7.8,47853.8,1164,0.024324087
22/07/2024,13:33:00,00:48,197.8,0.8,7.90,0.10,0.40,0.05,7.89,,,,,,,
22/07/2024,13:34:00,00:49,198.1,1.1,8.04,0.24,0.95,0.17,5.61,,,,,,,
22/07/2024,13:35:00,00:50,197.9,0.9,8.20,0.40,1.00,0.32,3.14,,,,,,,
22/07/2024,13:36:00,00:51,201.7,4.7,8.67,0.87,2.80,0.64,4.40,,,,,,,
22/07/2024,13:37:00,00:52,201.8,4.8,9.20,1.40,4.75,1.14,4.18,,,,,,,
22/07/2024,13:38:00,00:53,205.2,8.2,9.83,2.03,6.50,1.71,3.80,,,,,,,
22/07/2024,13:39:00,00:54,209.1,12.1,10.53,2.73,10.15,2.38,4.27,,,,,,,
22/07/2024,13:40:00,00:55,211.2,14.2,10.68,2.88,13.15,2.81,4.68,,,,,,,
22/07/2024,13:41:00,00:56,210.1,13.1,10.92,3.12,13.65,3.00,4.55,,,,,,,
22/07/2024,13:42:00,00:57,212.1,15.1,11.23,3.43,14.10,3.27,4.31,,,,,,,
22/07/2024,13:43:00,00:58,211.5,14.5,11.37,3.57,14.80,3.50,4.22,,,,,,,
22/07/2024,13:44:00,00:59,212.9,15.9,11.87,4.07,15.20,3.82,3.98,,,,,,,
22/07/2024,13:45:00,01:00,216.2,19.2,12.15,4.35,17.55,4.21,4.17,,,,,,,
22/07/2024,13:46:00,01:01,216.1,19.1,12.27,4.47,19.15,4.41,4.34,,,,,,,
22/07/2024,13:47:00,01:02,215.1,18.1,12.26,4.46,18.60,4.47,4.17,,,,,,,
22/07/2024,13:48:00,01:03,216.1,19.1,12.17,4.37,18.60,4.42,4.21,,,,,,,
22/07/2024,13:49:00,01:04,214.7,17.7,12.21,4.41,18.40,4.39,4.19,,,,,,,
22/07/2024,13:50:00,01:05,216.0,19.0,12.62,4.82,18.35,4.61,3.98,,,,,,,
22/07/2024,13:51:00,01:06,216.6,19.6,12.61,4.81,19.30,4.81,4.01,,,,,,,
22/07/2024,13:52:00,01:07,216.0,19.0,12.49,4.69,19.30,4.75,4.06,,,,,,,
22/07/2024,13:53:00,01:08,215.3,18.3,12.45,4.65,18.65,4.67,4.00,,,,,,,
22/07/2024,13:54:00,01:09,215.5,18.5,12.58,4.78,18.40,4.71,3.90,,,,,,,
22/07/2024,13:55:00,01:10,215.6,18.6,12.47,4.67,18.55,4.72,3.93,,,,,,,
22/07/2024,13:56:00,01:11,214.8,17.8,12.34,4.54,18.20,4.60,3.96,,,,,,,
22/07/2024,13:57:00,01:12,214.8,17.8,12.33,4.53,17.80,4.53,3.93,,,,,,,
22/07/2024,13:58:00,01:13,214.8,17.8,12.35,4.55,17.80,4.54,3.92,,,,,,,
22/07/2024,13:59:00,01:14,214.7,17.7,12.34,4.54,17.75,4.55,3.91,,,,,,,
22/07/2024,14:00:00,01:15,213.9,16.9,12.22,4.42,17.30,4.48,3.86,,,,,,,
22/07/2024,14:01:00,01:16,213.9,16.9,12.16,4.36,16.90,4.39,3.85,,,,,,,
22/07/2024,14:02:00,01:17,213.6,16.6,12.13,4.33,16.75,4.35,3.85,,,,,,,
22/07/2024,14:03:00,01:18,213.8,16.8,12.14,4.34,16.70,4.33,3.85,,,,,,,
22/07/2024,14:04:00,01:19,213.3,16.3,12.05,4.25,16.55,4.29,3.86,,,,,,,
22/07/2024,14:05:00,01:20,213.1,16.1,12.04,4.24,16.20,4.24,3.82,,,,,,,
22/07/2024,14:06:00,01:21,212.4,15.4,11.85,4.05,15.75,4.14,3.80,,,,,,,
22/07/2024,14:07:00,01:22,212.2,15.2,11.78,3.98,15.30,4.01,3.81,,,,,,,
22/07/2024,14:08:00,01:23,212.0,15.0,11.69,3.89,15.10,3.93,3.84,,,,,,,
22/07/2024,14:09:00,01:24,211.5,14.5,11.50,3.70,14.75,3.80,3.89,,,,,,,
22/07/2024,14:10:00,01:25,211.1,14.1,11.49,3.69,14.30,3.70,3.87,,,,,,,
22/07/2024,14:11:00,01:26,210.9,13.9,11.47,3.67,14.00,3.68,3.80,,,,,,,
22/07/2024,14:12:00,01:27,210.6,13.6,11.38,3.58,13.75,3.63,3.79,,,,,,,
22/07/2024,14:13:00,01:28,210.0,13.0,11.24,3.44,13.30,3.51,3.79,,,,,,,
22/07/2024,14:14:00,01:29,209.7,12.7,11.19,3.39,12.85,3.42,3.76,,,,,,,
22/07/2024,14:15:00,01:30,209.9,12.9,11.05,3.25,12.80,3.32,3.85,,,,,,,
22/07/2024,14:16:00,01:31,208.6,11.6,10.95,3.15,12.25,3.20,3.82,,,,,,,
22/07/2024,14:17:00,01:32,208.5,11.5,10.79,2.99,11.55,3.07,3.76,,,,,,,
22/07/2024,14:18:00,01:33,208.1,11.1,10.71,2.91,11.30,2.95,3.83,,,,,,,
22/07/2024,14:19:00,01:34,207.5,10.5,10.64,2.84,10.80,2.88,3.76,,,,,,,
22/07/2024,14:20:00,01:35,207.7,10.7,10.63,2.83,10.60,2.84,3.74,,,,,,,
