Date,clock_time,elapsed_time,sc,corr_sc,n_conc,corr_n_conc,AUC_salt,AUC_n,R,Q,notes,bkgd_sc,bkgd_n,sc_add,n_add,R0,reach_length,str_width
10/8/24,15:10,02:06,211.0,0.0,7.99,0.00,,,0,,bkgd,211,8,47771400,1940,4.06E-05,900,17.5
10/8/24,15:12,02:08,210.9,0.0,8.02,0.02,,,0,,,,,,,,,
10/8/24,15:14,02:10,211.0,0.0,8.03,0.03,,,0,,,,,,,,,
10/8/24,15:16,02:12,211.1,0.1,8.05,0.05,,,0.595238095,,,,,,,,,
10/8/24,15:18,02:14,211.1,0.1,8.18,0.18,,,2.103174603,,,,,,,,,
10/8/24,15:20,02:16,211.5,0.5,8.26,0.26,,,0.53030303,,,,,,,,,
10/8/24,15:22,02:18,212.1,1.1,8.55,0.55,,,0.504305043,,,,,,,,,
10/8/24,15:24,02:20,212.1,1.1,8.68,0.68,,,0.627306273,,,,,,,,,
10/8/24,15:26,02:22,213.6,2.6,9.29,1.29,,,0.500515996,,,,,,,,,
10/8/24,15:28,02:24,215.3,4.3,9.73,1.73,,,0.403828198,,,,,,,,,
10/8/24,15:30,02:26,216.7,5.7,10.16,2.16,,,0.379427633,,,,,,,,,
10/8/24,15:32,02:28,217.5,6.5,10.66,2.66,,,0.410240592,,,,,,,,,
10/8/24,15:34,02:30,218.5,7.5,11.05,3.05,,,0.407090682,,,,,,,,,
10/8/24,15:36,02:32,220.0,9.0,11.59,3.59,,,0.399970318,,,,,,,,,
10/8/24,15:38,02:34,221.9,10.9,11.77,3.77,,,0.346380007,,,,,,,,,
10/8/24,15:40,02:36,223.0,12.0,12.64,4.64,,,0.386904762,,,,,,,,,
10/8/24,15:42,02:38,222.7,11.7,13.09,5.09,,,0.43563848,,,,,,,,,
10/8/24,15:44,02:40,224.1,13.1,13.29,5.29,,,0.404565372,,,,,,,,,
10/8/24,15:46,02:42,224.6,13.6,13.60,5.60,,,0.412004319,,,,,,,,,
10/8/24,15:48,02:44,224.1,13.1,13.61,5.61,,,0.428767961,,,,,,,,,
10/8/24,15:50,02:46,224.3,13.3,14.16,6.16,,,0.463966677,,,,,,,,,
10/8/24,15:52,02:48,223.8,12.8,13.55,5.55,,,0.434136421,,,,,,,,,
10/8/24,15:54,02:50,224.4,13.4,13.63,5.63,,,0.420900578,,,,,,,,,
10/8/24,15:56,02:52,224.3,13.3,13.69,5.69,,,0.428585767,,,,,,,,,
10/8/24,15:58,02:54,224.2,13.2,13.60,5.60,,,0.42450445,,,,,,,,,
10/8/24,16:00,02:56,224.4,13.4,13.54,5.54,,,0.413927077,,,,,,,,,
10/8/24,16:02,02:58,224.3,13.3,13.80,5.80,,,0.436866406,,,,,,,,,
10/8/24,16:04,03:00,224.1,13.1,13.57,5.57,,,0.425965556,,,,,,,,,
10/8/24,16:06,03:02,225.4,14.4,13.82,5.82,,,0.404847979,,,,,,,,,
10/8/24,16:08,03:04,224.8,13.8,13.70,5.70,,,0.413764751,,,,,,,,,
