Unix,Date time,DO
1566021600,8/17/2019 0:00,
1566022020,           2019-08-17 00:07:00,8.481
1566022620,           2019-08-17 00:17:00,8.505
1566023220,           2019-08-17 00:27:00,8.512
1566023820,           2019-08-17 00:37:00,8.526
1566024420,           2019-08-17 00:47:00,8.536
1566025020,           2019-08-17 00:57:00,8.544
1566025620,           2019-08-17 01:07:00,8.543
1566026220,           2019-08-17 01:17:00,8.568
1566026820,           2019-08-17 01:27:00,8.568
1566027420,           2019-08-17 01:37:00,8.575
1566028020,           2019-08-17 01:47:00,8.585
1566028620,           2019-08-17 01:57:00,8.591
1566029220,           2019-08-17 02:07:00,8.577
1566029820,           2019-08-17 02:17:00,8.606
1566030420,           2019-08-17 02:27:00,8.619
1566031020,           2019-08-17 02:37:00,8.623
1566031620,           2019-08-17 02:47:00,8.616
1566032220,           2019-08-17 02:57:00,8.636
1566032820,           2019-08-17 03:07:00,8.661
1566033420,           2019-08-17 03:17:00,8.656
1566034020,           2019-08-17 03:27:00,8.667
1566034620,           2019-08-17 03:37:00,8.686
1566035220,           2019-08-17 03:47:00,8.701
1566035820,           2019-08-17 03:57:00,8.719
1566036420,           2019-08-17 04:07:00,8.677
1566037020,           2019-08-17 04:17:00,8.725
1566037620,           2019-08-17 04:27:00,8.701
1566038220,           2019-08-17 04:37:00,8.719
1566038820,           2019-08-17 04:47:00,8.715
1566039420,           2019-08-17 04:57:00,8.725
1566040020,           2019-08-17 05:07:00,8.73
1566040620,           2019-08-17 05:17:00,8.739
1566041220,           2019-08-17 05:27:00,8.74
1566041820,           2019-08-17 05:37:00,8.747
1566042420,           2019-08-17 05:47:00,8.761
1566043020,           2019-08-17 05:57:00,8.765
1566043620,           2019-08-17 06:07:00,8.756
1566044220,           2019-08-17 06:17:00,8.759
1566044820,           2019-08-17 06:27:00,8.772
1566045420,           2019-08-17 06:37:00,8.778
1566046020,           2019-08-17 06:47:00,8.78
1566046620,           2019-08-17 06:57:00,8.792
1566047220,           2019-08-17 07:07:00,8.799
1566047820,           2019-08-17 07:17:00,8.778
1566048420,           2019-08-17 07:27:00,8.798
